before,reverse_color,after,length,swing_to
PPPBPP,BBBBPP,PBPPBB,6,P
BBPBPP,BBBPP,PBPPBB,5,P
PBBBBP,BBBBBBPP,BPPPPP,8,P
BBBPPB,PPPPPBB,PBPPBB,7,B
BPBBBP,BBBPP,PBBBBP,5,P
BPBPBB,PPPPBB,PPPPPP,6,B
PPPPBB,PPPPPPBB,PPBPBB,8,B
BBPPBP,BBBBBBBPP,PPBPPP,9,P
PPBBBB,PPPBB,BPPPPP,5,B
PPPBBB,PPPPPPPPBB,PBBPBP,10,B
PBPBPB,PPPBB,BPPBPB,5,B
BPPBBP,BBBBPP,BBPBBP,6,P
BPPPBP,BBBBBPP,PPPBPB,7,P
BBPBPP,BBBBBBBBPP,PPPBBP,10,P
BBBBPP,PPPBB,PBPBBB,5,B
PBBPBP,BBBPP,PPPBPP,5,P
PPPPPB,PPPBB,BBBPPP,5,B
BPPPBB,BBBPP,PPPPBB,5,P
BBBPPP,BBBPP,PPBPPB,5,P
PPPBPP,BBBPP,PPBBPP,5,P
PPPBPP,BBBPP,PPBBBB,5,P
PPBBPB,PPPPBB,BBPBBP,6,B
PBBPPB,PPPBB,PBBPPB,5,B
PBPBPB,PPPBB,PPBPPP,5,B
PBBPPB,PPPBB,BBBBBP,5,B
BPBPPB,PPPBB,PBBPPP,5,B
PBBPBB,PPPPBB,PBPPBP,6,B
PBBBPP,PPPBB,BPBBBB,5,B
PPBBBP,BBBBPP,BPBPBB,6,P
BBBBBP,BBBPP,PBPBBB,5,P
BBBPBP,BBBBPP,BPBBBB,6,P
BBBBBP,BBBBPP,BPBPBB,6,P
BPBPBB,PPPBB,BPBPBB,5,B
BBBBPB,PPPPPBB,BBBPBB,7,B
PPBPBB,PPPPBB,PPBBBP,6,B
PPBBPP,BBBPP,PPBBPB,5,P
PPPPPB,PPPPBB,PBBPPP,6,B
BPBPPB,PPPPBB,BBBBBB,6,B
PPPPBB,BBBBBBPP,PPBBPB,8,P
PBPPBP,BBBPP,PBBBPB,5,P
PPBBBP,BBBPP,BPBPBP,5,P
BPBPBB,PPPBB,BBBPPB,5,B
PPPPPB,PPPBB,BPBBBB,5,B
PBPPPB,PPPPPBB,PBBPBB,7,B
BPBBBP,BBBBBPP,BBBPPB,7,P
BBBBPP,BBBPP,BPPPBP,5,P
BPBBPP,BBBPP,PPPBPB,5,P
PBPBPP,BBBPP,BBBPPB,5,P
PBBBPP,BBBPP,BBPBPB,5,P
BBPBPB,PPPPPPPBB,BBBBBP,9,B
BBBBBP,BBBBBBPP,PBBBPP,8,P
BBBPPP,BBBPP,PPBPPB,5,P
BBPBPB,PPPPPBB,BPBPPB,7,B
BBBPPP,BBBBBBPP,PPBPPB,8,P
PBPBBP,BBBBBBBBBBBBPP,PBPPBP,14,P
PPPBPP,BBBPP,PBBPBP,5,P
BPPPPB,PPPBB,BBPBBP,5,B
BBBPPB,PPPBB,BBPBBP,5,B
PBBPBP,BBBBBPP,BBBPBB,7,P
PPBPBB,PPPPPBB,BPBBPP,7,B
BPPBPP,BBBBBPP,BBPPBB,7,P
BPBPPB,PPPPBB,PBBBPB,6,B
PPPPBP,BBBPP,PBBBBB,5,P
PBBPBP,BBBBPP,PBPBBP,6,P
PBBPBP,BBBBPP,BBPPPP,6,P
PPPPBP,BBBBPP,BBBPBP,6,P
BBBPBP,BBBBBBPP,BPPPPB,8,P
BPPPBP,BBBPP,BPBPPP,5,P
PPPBPP,BBBPP,PPBPBP,5,P
PBPBPB,PPPPPPBB,BPPBBB,8,B
PBBBPB,PPPBB,BPPBBB,5,B
PPBBPP,BBBBPP,PPPPPP,6,P
BBBBPP,PPPPPPBB,PBBBBB,8,B
PPPBBP,BBBPP,PPPPPB,5,P
BBBBPB,PPPBB,PBPPPP,5,B
BBBBPP,PPPPBB,PBBPBP,6,B
PBPBPP,BBBPP,PPPBPB,5,P
PPPPPB,PPPPPBB,BPPPBB,7,B
PPPBBB,PPPBB,PBBPPB,5,B
PBBPPB,PPPPPPBB,BBPBPP,8,B
BPBPPB,PPPBB,PPPBPB,5,B
PBPBPB,PPPPBB,BPBBPP,6,B
PBPBPP,BBBBPP,BPBBPP,6,P
BPPPBP,BBBBBBPP,BPPBPP,8,P
BPPBPB,PPPPPPBB,BPBBBP,8,B
PPBBBP,BBBPP,BBPPBB,5,P
BPPBBP,BBBBPP,PBBPPB,6,P
PPBPBP,BBBBPP,BBPPBP,6,P
BBPPBP,BBBPP,BPBPBP,5,P
PBPPBP,BBBBBBPP,BBBBPB,8,P
BBPBPB,PPPPBB,BPBPPB,6,B
PBBBBP,BBBPP,BPBBBB,5,P
PPPPPB,PPPPBB,BPBBBP,6,B
BPBBPP,BBBBBBPP,PBPBPB,8,P
BPBPBB,PPPBB,BBBPPP,5,B
PBBBPB,PPPBB,PPPBBB,5,B
BPPPBB,PPPBB,BPBPPB,5,B
PBPBBP,BBBBPP,BBBPPP,6,P
BBBBPP,BBBPP,PBPBBP,5,P
PBPBBP,BBBPP,BBPBPP,5,P
BPBBPB,PPPPBB,BPPBPB,6,B
BBPPBP,BBBPP,BPPBPP,5,P
BBPPPB,PPPPPPPBB,BPPPPP,9,B
PBPBPP,BBBBBBPP,PPPPBP,8,P
BPPPBP,BBBBPP,BBBPPP,6,P
BBBBPP,BBBPP,PPPBPB,5,P
BPPPBP,BBBBPP,BBBPBB,6,P
BPPPPB,PPPBB,PBPPBB,5,B
BBPBPP,BBBBPP,PPPPPB,6,P
PPPBPP,BBBBPP,BBBPBB,6,P
BBBPBB,PPPBB,BBPBBB,5,B
PBBBBP,BBBPP,PBPBBP,5,P
PBPBBP,BBBBBBPP,PBPPBP,8,P
BBPPPB,PPPBB,PBBBPB,5,B
PBPBPP,BBBPP,BBBPPB,5,P
PBBBPP,BBBPP,BBPBBB,5,P
PBPPBB,PPPPBB,PPPPPB,6,B
PPPPBB,PPPPPBB,PPPBBP,7,B
PBBPPB,PPPPPBB,BBBPBP,7,B
PBBPBP,BBBBBPP,PPBPPP,7,P
BBBPBP,BBBBBPP,PPBPBB,7,P
BBBPBP,BBBBPP,PBPBPP,6,P
BBBBPP,PPPPBB,BPBPBP,6,B
PBPBBP,BBBBPP,PPBPBB,6,P
BBPBPP,BBBPP,PPPBPB,5,P
BBPBPB,PPPBB,BPBPBP,5,B
PBPPBP,BBBBPP,BPBBPP,6,P
PBPBPB,PPPBB,BPBPPP,5,B
PBBBPB,PPPBB,PPPPPP,5,B
BPPPBB,PPPPPPBB,PPBPBP,8,B
BPBPPB,PPPBB,PBPBBP,5,B
BBPBPB,PPPPBB,BPPBPP,6,B
PBPBPB,PPPPBB,BPBBPB,6,B
BBPPPB,PPPPBB,BBPPPB,6,B
PPBBBB,PPPBB,BPPBPB,5,B
PBPPBP,BBBBPP,BBBBBB,6,P
PBPPBB,PPPPBB,BBPBBB,6,B
PBBBBP,BBBPP,BPBBBB,5,P
BBPPBP,BBBBPP,BPBPBB,6,P
BBBBPB,PPPPPBB,PPBPPP,7,B
PBBPPB,PPPPPPBB,BBBPPP,8,B
PPPPBB,BBBPP,PPBPBB,5,P
BPBPPB,PPPBB,PPBPPP,5,B
PBBBPP,BBBBBPP,BPPBBP,7,P
PBPPBB,PPPPBB,BBPBPB,6,B
BPBBPB,PPPPBB,PBBBPP,6,B
PPPBBP,BBBPP,PPBPBP,5,P
BBBBBP,BBBPP,PPBPPP,5,P
BBBPBB,PPPPBB,PPPPPP,6,B
PPBPPB,PPPPPPBB,BBPBBP,8,B
BBBPBB,PPPBB,PPBBPB,5,B
PBBBBP,BBBBPP,PPBPBB,6,P
BPPBPB,PPPBB,PPPBBP,5,B
BPPPBB,PPPBB,PPBBPB,5,B
PBPPBP,BBBPP,PPBBBP,5,P
BBPPPP,BBBPP,PPBBBB,5,P
BPPPPB,PPPPBB,BBPBPP,6,B
PBPPPB,PPPBB,PBBPPP,5,B
PBBPBB,PPPBB,BBBBBB,5,B
BBBBPB,PPPBB,PBBPBP,5,B
PPBBPB,PPPBB,PPPBBP,5,B
BBBPBB,PPPBB,BPPBBB,5,B
PBBBPP,BBBPP,PBPPPB,5,P
PBPBBP,BBBPP,PBBBPB,5,P
BPBPBB,PPPPBB,BPPBBP,6,B
PPBBPB,PPPPPBB,PPPBBB,7,B
PPPPBB,PPPBB,BPPBPP,5,B
BPPBPB,PPPPBB,PPBBBB,6,B
PPBBPP,BBBBPP,PBPBPP,6,P
PBBPBP,BBBPP,PBBBBB,5,P
BBBPPP,BBBBBPP,BPPPBB,7,P
BBBPPB,PPPBB,BBPBPB,5,B
PBPPBP,BBBBPP,PPPPBP,6,P
PBBBBP,BBBPP,PPBBBB,5,P
BBBPBP,BBBPP,BPPPBB,5,P
BBBPPB,PPPBB,BPBPBP,5,B
BBBBPB,PPPPPBB,BPPPBP,7,B
BBPBPP,BBBPP,BBBBPB,5,P
PBPPBB,PPPPPBB,BPBPBB,7,B
PBPPBB,PPPBB,BBPPBB,5,B
PBBBBP,BBBPP,BPPBPB,5,P
PPPBPP,BBBPP,PPPPPP,5,P
BBBPBP,BBBBBPP,PBBBPB,7,P
BBBPBP,BBBBBBBPP,BPPPPP,9,P
BBBPPB,PPPPPPPBB,PBPPBP,9,B
BPBPPB,PPPPBB,PBBBBP,6,B
BPBPBB,PPPPPPBB,PPPPPB,8,B
BBPBPB,PPPPBB,BBBPBP,6,B
BBBBPB,PPPPPPPPPPBB,BBBPPB,12,B
PPPPBB,BBBPP,BBBBBP,5,P
BBBBBP,BBBBBPP,PPBPPB,7,P
PPBBBP,BBBBBBPP,PBBPBB,8,P
BPPBPB,PPPBB,PPPBPP,5,B
PBBBBP,BBBPP,BBPPBB,5,P
PPBBPP,BBBBBBBBPP,PPBPBB,10,P
PBBBBP,BBBPP,PPBPPP,5,P
BPPPPB,PPPPBB,BBBBPB,6,B
PBBBPB,PPPBB,BBPBPB,5,B
PBBBPP,BBBPP,PBBPBB,5,P
PPPPPB,PPPPPBB,PBPBBP,7,B
BPBBBP,BBBPP,PBBPBB,5,P
PBBPPB,PPPBB,BBPBPB,5,B
PBPBPB,PPPPBB,PBBPPP,6,B
PBBPBB,PPPBB,BPBBPP,5,B
BBPPPB,PPPPPPBB,PPBPBB,8,B
BPBBPB,PPPBB,PBPBBP,5,B
PBPBPB,PPPBB,PBBBBB,5,B
PBBBPB,PPPPBB,PPBBPB,6,B
BPPPBB,PPPPPPBB,PPPPBB,8,B
PPPPBB,PPPPBB,PBPPPB,6,B
PPBBPB,PPPBB,PBPPBP,5,B
BBPBPP,BBBBBPP,BBPBBB,7,P
BPPBBP,BBBPP,BPBBBP,5,P
PBBBPB,PPPBB,PBPBBP,5,B
BBBPBP,BBBPP,PPBPPB,5,P
PBPBPP,BBBBPP,BBPPBP,6,P
PBBPPB,PPPBB,BPPPBB,5,B
PPPBBB,PPPBB,BPBBBP,5,B
PBBBBP,BBBPP,PBBBBP,5,P
BBBPPP,BBBBPP,BPPBPB,6,P
BBPBBP,BBBPP,PPPBPB,5,P
PPPBPP,BBBPP,BPBBBB,5,P
BBPPBP,BBBBPP,BPPBBB,6,P
BPBPPB,PPPPBB,BPPPBP,6,B
PBPPBP,BBBPP,PBPBPB,5,P
BBPPBP,BBBBBPP,PBBBBB,7,P
PPBPPB,PPPBB,PPBBBB,5,B
BBPPBB,PPPPPBB,PPBPPB,7,B
PPBPPB,PPPBB,PBPBBP,5,B
BBPPBP,BBBBPP,BBBBBB,6,P
BBBBPP,BBBBBBBBPP,PBBBPP,10,P
BBBPPP,BBBPP,PBBPBP,5,P
PPBPBB,PPPBB,PPBPBP,5,B
BPPBPB,PPPBB,BBPBBB,5,B
PBPBPB,PPPBB,BPBBPB,5,B
PPBBBB,PPPBB,BBBBPP,5,B
BPPPBB,BBBBPP,BPPPPB,6,P
BBBPPB,PPPPBB,BBBBBB,6,B
PPPPBB,BBBBBBBBPP,BBPBBB,10,P
BPPPBP,BBBBPP,BBBPBP,6,P
PPPBPB,PPPPBB,BPPPBP,6,B
BBBBPB,PPPPPBB,PBPBPB,7,B
BBBBPP,BBBBPP,PPPPPP,6,P
BBBBPP,PPPPPPPBB,PBBBBB,9,B
BBPBPP,BBBBPP,PBBPPP,6,P
BPPPBB,PPPBB,BBPBPB,5,B
PBPBBP,BBBPP,BBBBBB,5,P
PPPPPB,PPPPBB,BBBPPP,6,B
PPPPBB,BBBPP,PBBBPB,5,P
BPBBPP,BBBPP,BPPBBB,5,P
BPPBPP,BBBPP,PPBBBB,5,P
BBBPBP,BBBBBBPP,PBPPBB,8,P
BPBPBB,PPPPPPPBB,BPBPBB,9,B
PBBBBP,BBBPP,PBPPBP,5,P
PBBBPP,BBBBBBBBPP,BBPPPP,10,P
BBPPBB,PPPPBB,BPBBPB,6,B
BPBBPB,PPPBB,PPBPBP,5,B
BPPBBP,BBBPP,PPPPBB,5,P
PBBBPP,PPPPBB,BBBBPP,6,B
PPPPBB,BBBBPP,BBBPBP,6,P
BPPBPB,PPPBB,BPBPBB,5,B
BBPPBP,BBBBBBBBBBBPP,BPBBBB,13,P
BBBPBP,BBBBPP,PPBPBB,6,P
BBBPBB,PPPPPBB,PPPPBP,7,B
BPBBBP,BBBPP,PBBBBB,5,P
PPBPPB,PPPPPPBB,PPPBPB,8,B
BPPPBP,BBBPP,PPBBBB,5,P
BBPBPP,BBBPP,BBBPBP,5,P
BPPPPB,PPPBB,BPPBBB,5,B
BPPBPP,BBBBPP,PPBBPB,6,P
PPPBBP,BBBBBPP,BBPBPB,7,P
PPBPBB,PPPPBB,BPPPPP,6,B
PPPBBB,PPPPPBB,BPBPPP,7,B
PBBPBP,BBBBPP,BBBPPB,6,P
BBBBPP,BBBPP,BPBPPP,5,P
BBPPBB,PPPPPBB,BBBBPP,7,B
BBPPBP,BBBPP,PPBBBP,5,P
BBPPPP,BBBPP,PPBBPB,5,P
BBPBBP,BBBBBBPP,PPPPBP,8,P
BPPPBP,BBBBPP,BPBBPB,6,P
PBPBBP,BBBBBPP,PPPPBP,7,P
PBBBPB,PPPPBB,PPPBBB,6,B
PPPPBB,PPPBB,BBPBPB,5,B
BBPBPP,BBBPP,BBPBPP,5,P
PBPPBP,BBBPP,PBBBBP,5,P
BBPPPB,PPPBB,BBBPPB,5,B
BPPPBB,BBBPP,BBBPBP,5,P
BBBPBP,BBBBBBBPP,BBBPPB,9,P
BBBBPP,BBBPP,BBBPBB,5,P
PPBPBP,BBBPP,BBBPPB,5,P
PBBBPP,BBBPP,BBPBBP,5,P
BBPPBB,PPPPPPPBB,BPPBBB,9,B
PBBBPP,BBBPP,PBBPBP,5,P
BBPPPB,PPPBB,BPBBPB,5,B
BPBBPP,BBBPP,BPBBBP,5,P
BBPPBP,BBBPP,BBBPBP,5,P
BBBPBP,BBBPP,BBPBBP,5,P
PBBPBB,PPPPBB,PBPPPP,6,B
PPBBPB,PPPPBB,PBBBPP,6,B
PPPBBP,BBBPP,BBBBPP,5,P
BPBBPB,PPPBB,PBBPPB,5,B
PPPPBP,BBBBPP,PPPBBB,6,P
BBBBPP,PPPBB,BPBPBP,5,B
PPPBPB,PPPPPBB,BBBBPP,7,B
PPPPBB,BBBBPP,BBPBBP,6,P
BPBBPB,PPPPPPPPPBB,PPBBPP,11,B
BBPBPB,PPPPBB,BPPBPP,6,B
BBBPPB,PPPPPBB,BBPBBB,7,B
BBPBPP,BBBPP,BPBBPB,5,P
BBBPBB,PPPBB,PPBPPB,5,B
PPBBPB,PPPBB,BBBBBP,5,B
BBBBBP,BBBPP,PPPBBP,5,P
PBBBPP,PPPBB,PPBBBP,5,B
PPBBPB,PPPPBB,PPBBPP,6,B
PPBBBP,BBBPP,PPBBBB,5,P
BPPPBB,PPPPPPPBB,PBPPPB,9,B
PPBBPB,PPPBB,PPBBPP,5,B
PPBPPB,PPPBB,BBPPBP,5,B
BPBPPB,PPPBB,BPPPBB,5,B
PPPBBB,PPPBB,BBPBBB,5,B
BPBPBB,PPPBB,BBPBPP,5,B
BBBBPB,PPPPPBB,PBBBPB,7,B
BBBPBB,PPPBB,BPPBBB,5,B
BBPBBP,BBBPP,PBBPPB,5,P
BBPPBP,BBBPP,BBBPPP,5,P
BPPPBP,BBBPP,PPPBPP,5,P
PPPPPB,PPPPPBB,BBBBPP,7,B
PPPPBB,BBBBPP,PPBBBB,6,P
BBPBBP,BBBBBBPP,PPBBPB,8,P
BPBBPP,BBBBPP,PPBBBP,6,P
BBPPPP,BBBPP,BPBBPP,5,P
PPBPBB,PPPPPBB,BPBPBP,7,B
BPPBPB,PPPPPPPBB,PBBBBB,9,B
PBBBPB,PPPPPBB,BPPBBP,7,B
BPPBBP,BBBPP,BPPPPP,5,P
PBBPPB,PPPPBB,BPPPBB,6,B
BPBBPP,BBBBPP,BPBBBB,6,P
PPPPPB,PPPBB,PBPPBB,5,B
BBPBPP,BBBPP,PBPPPB,5,P
BBPPPB,PPPBB,PPPBPB,5,B
BBPPBP,BBBPP,BBBBBB,5,P
PBBBPP,BBBBBBBPP,BBBBBP,9,P
BBBBPP,BBBBBPP,PBPBPB,7,P
BBBPBP,BBBBPP,BPBPBP,6,P
PPBBBB,PPPPBB,BPPBPB,6,B
BPBBPB,PPPBB,BPPPBB,5,B
PPPBBB,PPPBB,PPBPBB,5,B
BBPPBP,BBBBPP,BPPPPP,6,P
BBPBPP,BBBPP,BPPBBB,5,P
BPPBPP,BBBPP,BPPBPB,5,P
BBBPBP,BBBBBPP,PBBBPP,7,P
BBBPPP,BBBPP,PBPPPB,5,P
BPPPPB,PPPBB,PBPPBP,5,B
BPBPPB,PPPPPPPPBB,BPBPBP,10,B
BBPPBP,BBBPP,PBPBBP,5,P
BPBBPP,BBBPP,PBPBBB,5,P
PPPBBP,BBBPP,PBBBPB,5,P
BPBPPB,PPPPPPPBB,BPBBBB,9,B
PPBBBP,BBBBPP,PPBBBB,6,P
BBPPBP,BBBPP,BPPBPB,5,P
PBPBPB,PPPPPBB,BBPPPB,7,B
PPBBBB,PPPBB,BBBPPP,5,B
BPPPBB,BBBPP,PBBBPP,5,P
BPPPBB,PPPBB,PBPBPP,5,B
PPBBPP,BBBBPP,PPPBPP,6,P
PPBBBP,BBBPP,PBBBBB,5,P
BBBPPP,BBBBBBBBPP,BBPBPB,10,P
PBPBPP,BBBBBBPP,BBPBBP,8,P
BBPPPB,PPPPBB,PPBBBB,6,B
BBBPBP,BBBPP,PPPPPB,5,P
BPPPPB,PPPPBB,PPBBBB,6,B
PPBBPP,BBBBPP,PPPBPP,6,P
PBPPBP,BBBPP,PPBPPP,5,P
BPPBPB,PPPBB,BPBBBP,5,B
PPBPBB,PPPPPBB,PBBBBB,7,B
BPBPPB,PPPPBB,BBPBPP,6,B
PPPBPB,PPPPBB,BBBPBP,6,B
BPBBPP,BBBBBPP,PBBBBP,7,P
BBBPBP,BBBBPP,PPBBBB,6,P
PPBPBP,BBBBBBBBPP,BBPPBB,10,P
PPBBBP,BBBPP,BPPBPB,5,P
PBPPBB,PPPPBB,BPPPPP,6,B
BPPPPB,PPPPBB,BPBPPB,6,B
BPPBBP,BBBBPP,BPPBPP,6,P
PBBBPP,BBBPP,BBBBBP,5,P
PBBBPB,PPPBB,PPPPBP,5,B
PPPPBB,PPPBB,PBPPBB,5,B
BPBPBB,PPPPBB,PPPPPP,6,B
PPPPBB,PPPPPPBB,PPBBPB,8,B
PPBPBB,PPPBB,BPBPBB,5,B
BPBBPP,BBBPP,PBBBBB,5,P
BBBPPP,BBBBBPP,BPPPPB,7,P
PPPPBB,PPPPBB,PBBPBB,6,B
PPBPPB,PPPPBB,BPBBPB,6,B
PPPPPB,PPPPBB,BBBBBB,6,B
BPBBPB,PPPBB,PBPBPB,5,B
PBBBPB,PPPPPBB,PBBBBB,7,B
PPPBBP,BBBBBPP,PBPPPB,7,P
BPBBBP,BBBBPP,PPPPPB,6,P
BBBBPP,PPPPPBB,BBBBBP,7,B
BBBBBP,BBBBBPP,PPPBBB,7,P
BPBBPB,PPPBB,BBBPPB,5,B
BPPPBB,BBBPP,BPBPBP,5,P
BBPPPP,BBBPP,PPBBBP,5,P
BBPPPP,BBBPP,BBPBBP,5,P
PPPPBP,BBBPP,PBBBBB,5,P
PBPBBP,BBBBPP,BBBBBP,6,P
BBBBPP,BBBBBPP,PPBPPP,7,P
BBBPBB,PPPPPBB,BPBBBB,7,B
PPBBBP,BBBBPP,PPPPPP,6,P
BBBBPP,PPPPPPBB,BPPBBP,8,B
BBPPBP,BBBPP,BPPPBP,5,P
PBBBPB,PPPPBB,BBBBPB,6,B
BPBBBP,BBBPP,BBBPPP,5,P
PBBBPP,BBBPP,PPPPBP,5,P
BBPBPP,BBBPP,BPPPBP,5,P
BBPBPB,PPPPBB,BBPBBB,6,B
PBBBBP,BBBPP,PPBPBP,5,P
BPBBBP,BBBBBPP,PPPBBP,7,P
BBBBPP,PPPBB,PBPPBB,5,B
PPBBBP,BBBBPP,PPPBBP,6,P
PBBPPB,PPPBB,BPPPBB,5,B
PPPBBB,PPPBB,PBBBBP,5,B
PPPBBP,BBBBPP,BPBPBB,6,P
PPBPPB,PPPBB,PPPPPP,5,B
PPBBBP,BBBPP,BPBBPP,5,P
BPBPBP,BBBBBBBPP,PBBPBB,9,P
PPPBBP,BBBBPP,PBBPPB,6,P
PPPPBB,BBBBPP,PBBBPB,6,P
BBPBPB,PPPPPPBB,BPPBBB,8,B
BBPPBP,BBBPP,PPBPPP,5,P
BBPBBP,BBBPP,PBBPBP,5,P
PPPPPB,PPPBB,BPPPPP,5,B
PPBBPP,BBBBPP,BBBPBP,6,P
PBBBPB,PPPBB,PBBPBP,5,B
PPBPBB,PPPBB,PPBPBB,5,B
PBPBBP,BBBPP,BBPPBB,5,P
BBPBPB,PPPBB,PPPPBB,5,B
BPPPBB,PPPPBB,BPPBBP,6,B
PPBPBB,PPPBB,PBBBBB,5,B
PBPBPB,PPPPPBB,BPBPBB,7,B
BBBPPP,BBBBPP,BPPBPP,6,P
PBPBPB,PPPBB,BBPBPP,5,B
PPBPPB,PPPBB,BBPPBP,5,B
BPBBPB,PPPBB,PBBBBB,5,B
PPPBBP,BBBBBPP,BBPPBP,7,P
PBBPPB,PPPPPBB,PPBPBB,7,B
BPPPBB,BBBPP,BBBBPP,5,P
BBBBPP,BBBBPP,BPPBBB,6,P
PBBBBP,BBBBBBPP,BBPBBB,8,P
PBBPPB,PPPPPPBB,BPPPBP,8,B
PPBBPB,PPPBB,PPPPBP,5,B
BPPPPB,PPPBB,PPBBPB,5,B
BBBBBP,BBBPP,BBPPBB,5,P
BPBBPB,PPPPPPPPBB,BBBPBP,10,B
BPBBBP,BBBBPP,BBPBBB,6,P
PBPBPB,PPPBB,BBBBPB,5,B
PPBPPB,PPPPPPBB,PPBPPP,8,B
PPPBPB,PPPPBB,PBBBBB,6,B
PPBBPP,BBBBBBBBBPP,PBBBBB,11,P
BBBPPP,BBBBBPP,PBPPPB,7,P
BPBBBP,BBBPP,BBBBBP,5,P
BPPBPP,BBBBBPP,PBPBPB,7,P
PBBPBB,PPPPBB,PBBBBP,6,B
PPPBBP,BBBBPP,BPPPPB,6,P
BBBPPB,PPPPBB,PPPPPP,6,B
PPPPBB,PPPPPPBB,PBBBPB,8,B
BBPBBP,BBBPP,PPBBBB,5,P
BBBBPB,PPPPPBB,PPBBPP,7,B
BBPBPP,BBBBPP,PPPBBP,6,P
BBBBPP,PPPBB,PBPBPP,5,B
BBPBPB,PPPBB,BBBBBB,5,B
BPPPBB,BBBBBBBBPP,PPPBPP,10,P
BBBPBB,PPPBB,BPBBPB,5,B
BBPBBP,BBBBBBPP,BBBPBB,8,P
BPBPPB,PPPBB,PPPBBB,5,B
BPPPBB,PPPBB,BPBPPB,5,B
PPBPBB,PPPPPBB,PBPBPP,7,B
PBPPBB,PPPPBB,BBBBPB,6,B
PBBPBB,PPPBB,BBPPBP,5,B
BBBBPB,PPPBB,PPPPPB,5,B
BBBPBP,BBBBPP,PBPBBP,6,P
PPBBPB,PPPBB,BPBBBB,5,B
PBBPBB,PPPBB,PBBBPB,5,B
PBPPPB,PPPPBB,BBBPPB,6,B
PPPPBB,BBBPP,BBPBPB,5,P
PBPPBP,BBBBBBBBPP,BPPPPP,10,P
BBBPPB,PPPPPBB,PBBPBB,7,B
PBBPBB,PPPBB,BPBBPP,5,B
BBBBPB,PPPBB,PPBBBP,5,B
BPBBPP,BBBPP,PPBBBP,5,P
BBPPPP,BBBPP,BPPPBB,5,P
BBBPPB,PPPBB,BBPBBB,5,B
PBBBBP,BBBPP,BPPBBB,5,P
BBPPPP,BBBPP,PBPBPP,5,P
PBBPBB,PPPPBB,BPPBBB,6,B
PPPBBP,BBBPP,PPBPPP,5,P
PPPPBB,PPPPBB,BPPBBB,6,B
PBBBPP,BBBPP,BPPBPP,5,P
BPBBBP,BBBBPP,PPPBPB,6,P
PPPBPB,PPPPBB,PBPBBP,6,B
BPBPBB,PPPPPPPBB,PBPPPB,9,B
PPPBPP,BBBPP,BBBPPB,5,P
PBBBPP,BBBPP,BBBBBB,5,P
PBBBPP,BBBBBBPP,BBPBPB,8,P
PPPPBP,BBBPP,BPPBPP,5,P
PPBPPB,PPPBB,BPPBPB,5,B
BPBPBP,BBBPP,BBBPBB,5,P
BPBBPP,BBBBPP,PPBBBP,6,P
BPPBPP,BBBPP,BPBPBP,5,P
BPBPBP,BBBBBBPP,BPBBBB,8,P
BPPPBP,BBBBBPP,BPBBBB,7,P
BBPPBP,BBBBPP,PPPBBP,6,P
BBBBPP,PPPBB,PPPBBB,5,B
BBBBPB,PPPPPPPPPPBB,PBBBPP,12,B
PPPBBP,BBBPP,BPBPBB,5,P
BPBBBP,BBBBBPP,PBBPPP,7,P
BPPPBB,PPPPPBB,PBBBBP,7,B
BPBPBB,PPPBB,BPPPBP,5,B
BBPBPP,BBBBBBBBBPP,BPBBPP,11,P
PPBPBB,PPPPBB,PBPPPB,6,B
PPBPBB,PPPBB,PPBPBB,5,B
PBPPPB,PPPBB,BPPBBP,5,B
PBPBBP,BBBBPP,PBBPBB,6,P
BPBBPB,PPPPPBB,PPPBPB,7,B
PPPPPB,PPPPPBB,BBBBPP,7,B
PPPPPB,PPPPPBB,BPBBPB,7,B
PPBBPP,BBBBPP,BBPBPB,6,P
PBPBBP,BBBBBBBPP,BBPBBB,9,P
BPBPPB,PPPPPBB,PBBPBP,7,B
BPBBPB,PPPPPBB,PBPPPP,7,B
BBBBPP,PPPBB,BPPPBB,5,B
PPPBBB,PPPBB,BPBPBB,5,B
BBBPBP,BBBBPP,BPPPPP,6,P
PBBBPP,BBBPP,PBPPPB,5,P
PBPPBB,PPPBB,BPBPPP,5,B
BPBPBP,BBBPP,BPPPPB,5,P
PBPPBB,PPPBB,BPBPPB,5,B
PBPPBB,PPPBB,PBPBBP,5,B
BPBBPB,PPPPPBB,PPBPPP,7,B
BBBBPB,PPPBB,PPBBBP,5,B
BPBPBP,BBBPP,BBBPPP,5,P
PBBBPP,BBBPP,PPBBBB,5,P
BBBBBP,BBBPP,BBPBBP,5,P
BBBBBP,BBBPP,PBBPPB,5,P
BBPPBP,BBBPP,BPPPPB,5,P
BPPBPP,BBBBPP,PBBPPP,6,P
BPPPBB,PPPPBB,BBBPPB,6,B
PBPBPB,PPPBB,BBPPPB,5,B
BBPBPB,PPPPBB,BPPBPP,6,B
BPBBPP,BBBPP,PPPPBP,5,P
PBPBBP,BBBPP,BBPPBP,5,P
PPBPBB,PPPBB,PPBBBB,5,B
PBPPBB,PPPBB,BPBBPB,5,B
PBPBPB,PPPPBB,PBPPBB,6,B
PPPPBP,BBBPP,BBPBBB,5,P
PBBPBP,BBBBBPP,PBPBBP,7,P
PPBPBP,BBBPP,BPPPBB,5,P
PPPBBB,PPPPPPPBB,BPBBBB,9,B
