before,four_cut,after,pattern
BPPBPB,PPPPBPPPPB,PPBBBP,4-1-4-1
PPBBPB,BBBBPBBBBP,PBBPPP,4-1-4-1
PPBBBP,BBBBPBBBBP,PPBPBB,4-1-4-1
BPPBPP,BBBBPBBBBP,PPBPPB,4-1-4-1
PPBBBB,PPPPBPPPPB,PBBPPP,4-1-4-1
BBPPBB,BBBBPBBBBP,BBBBPB,4-1-4-1
BBPBPB,BBBBPBBBBP,PPPBPB,4-1-4-1
PPBBBB,BBBBPBBBBP,PBPPPB,4-1-4-1
PBPPBP,PPPPBPPPPB,PBBPPP,4-1-4-1
BPBPPP,PPPPBPPPPB,PBBPPB,4-1-4-1
BBPBPB,BBBBPBBBBP,BBBPPP,4-1-4-1
BBBBPB,BBBBPBBBBP,PBBPPB,4-1-4-1
BPBPPP,PPPPBPPPPB,BBPBBP,4-1-4-1
BPBBPP,BBBBPBBBBP,BBPBBB,4-1-4-1
PBBBBB,BBBBPBBBBP,BPPBBB,4-1-4-1
PPPPBP,PPPPBPPPPB,PBPBBB,4-1-4-1
BBBPBP,BBBBPBBBBP,BBPPPP,4-1-4-1
BPBPBP,BBBBPBBBBP,BPPBBB,4-1-4-1
BPBBBB,BBBBPBBBBP,BBBBBB,4-1-4-1
BBPPBP,BBBBPBBBBP,PPBBBP,4-1-4-1
PBPPPB,PPPPBPPPPB,PPPBPP,4-1-4-1
BBPPPB,PPPPBPPPPB,BBBBPP,4-1-4-1
PBPBPB,BBBBPBBBBP,PBPBPP,4-1-4-1
BPPPPP,BBBBPBBBBP,BPBBBB,4-1-4-1
PBPBPP,PPPPBPPPPB,BBPBPB,4-1-4-1
BBBPBB,BBBBPBBBBP,BBBBPP,4-1-4-1
BBPBBB,PPPPBPPPPB,PPPPBP,4-1-4-1
BPPBBP,BBBBPBBBBP,PPBPBP,4-1-4-1
BPBPPP,PPPPBPPPPB,PBPBBP,4-1-4-1
BBBBBB,PPPPBPPPPB,BPBPPP,4-1-4-1
PPBBPP,BBBBPBBBBP,BPBBBP,4-1-4-1
PBPBPB,PPPPBPPPPB,BPBBBB,4-1-4-1
PPBPPB,BBBBPBBBBP,PPPBBB,4-1-4-1
PBBPPB,BBBBPBBBBP,PPPPPB,4-1-4-1
BBPBBB,PPPPBPPPPB,PPBPPB,4-1-4-1
PPBBPB,BBBBPBBBBP,PPPBBP,4-1-4-1
BBPBBB,BBBBPBBBBP,PBBPPB,4-1-4-1
BBBPPB,BBBBPBBBBP,BPBPPP,4-1-4-1
BBPBPB,BBBBPBBBBP,BBPPBB,4-1-4-1
BPPBBP,PPPPBPPPPB,BPBPPP,4-1-4-1
BBBPPB,PPPPBPPPPB,PPPBBP,4-1-4-1
PPBPPB,PPPPBPPPPB,BPBBPB,4-1-4-1
BBPBPB,PPPPBPPPPB,BPPBBB,4-1-4-1
BPPBBB,PPPPBPPPPB,BPBPBP,4-1-4-1
PBPBBP,PPPPBPPPPB,PBPBPP,4-1-4-1
PBPBBB,BBBBPBBBBP,BPPPBB,4-1-4-1
BBPBBB,BBBBPBBBBP,PBPPPP,4-1-4-1
PPBBPP,PPPPBPPPPB,PPBPBB,4-1-4-1
BPBPBP,PPPPBPPPPB,BPBPBB,4-1-4-1
PPPPPP,BBBBPBBBBP,BBPBPP,4-1-4-1
PBBPPB,BBBBPBBBBP,BPBPPP,4-1-4-1
PBBBBB,BBBBPBBBBP,BPBBPB,4-1-4-1
PPBPPP,BBBBPBBBBP,BBPPPB,4-1-4-1
PPPBBP,BBBBPBBBBP,PPPBBP,4-1-4-1
PPBPBB,PPPPBPPPPB,PPPBBP,4-1-4-1
BPBPPB,BBBBPBBBBP,BPBBPB,4-1-4-1
BPBPBB,BBBBPBBBBP,PBPBPP,4-1-4-1
PPBPPB,PPPPBPPPPB,BPBBPB,4-1-4-1
PBBBPP,PPPPBPPPPB,BPBBBP,4-1-4-1
BPPBBB,PPPPBPPPPB,PBBBBP,4-1-4-1
PPBBPB,BBBBPBBBBP,BPPBPB,4-1-4-1
PPBBPP,BBBBPBBBBP,PBPBBP,4-1-4-1
BPBPBB,PPPPBPPPPB,BBBBPB,4-1-4-1
BPBPBB,PPPPBPPPPB,PBPPPB,4-1-4-1
BPPPPP,BBBBPBBBBP,BPPBBP,4-1-4-1
BPPPPP,PPPPBPPPPB,PPBPBP,4-1-4-1
PPPBPB,PPPPBPPPPB,PPBBBB,4-1-4-1
PBBPPP,PPPPBPPPPB,BBBPBP,4-1-4-1
BPPBBP,PPPPBPPPPB,BPBBBB,4-1-4-1
PPPBBB,BBBBPBBBBP,BPPBBP,4-1-4-1
PBPPBP,PPPPBPPPPB,PPPPPP,4-1-4-1
PBPBPP,BBBBPBBBBP,BPBBPP,4-1-4-1
BPPBPB,BBBBPBBBBP,PPBBBB,4-1-4-1
PBPPPP,BBBBPBBBBP,PBBPPP,4-1-4-1
BPBBBB,BBBBPBBBBP,PPPPBB,4-1-4-1
PPBPPB,PPPPBPPPPB,BBBPPP,4-1-4-1
BPPBBB,PPPPBPPPPB,PPBPPB,4-1-4-1
PPBPPP,PPPPBPPPPB,PPPBBP,4-1-4-1
BPPPPP,PPPPBPPPPB,PBPBBP,4-1-4-1
PBPBBP,BBBBPBBBBP,PPPBBP,4-1-4-1
PPPPPP,PPPPBPPPPB,BBBPPB,4-1-4-1
PPPBBP,BBBBPBBBBP,PBBPBP,4-1-4-1
BPBPBP,PPPPBPPPPB,BPPPBP,4-1-4-1
BBBBPB,PPPPBPPPPB,BPPPPB,4-1-4-1
BBBBBP,PPPPBPPPPB,BPBPBB,4-1-4-1
BBPPPB,PPPPBPPPPB,BBBBBP,4-1-4-1
PPBBPB,BBBBPBBBBP,PPBBBP,4-1-4-1
PBPPPP,PPPPBPPPPB,BBPBBP,4-1-4-1
BPPBBP,BBBBPBBBBP,BBBPBB,4-1-4-1
PBBBPB,BBBBPBBBBP,PPPPPB,4-1-4-1
BPPPPB,BBBBPBBBBP,PPBPBB,4-1-4-1
PBPPPB,BBBBPBBBBP,PPPPBB,4-1-4-1
BPPPPP,BBBBPBBBBP,PPBPPB,4-1-4-1
PBBBBB,PPPPBPPPPB,PBBBBP,4-1-4-1
BBBBPB,BBBBPBBBBP,BBBBPB,4-1-4-1
BBBBPB,PPPPBPPPPB,BPBBBP,4-1-4-1
PPBBBB,PPPPBPPPPB,PBBPPP,4-1-4-1
BBBBPB,PPPPBPPPPB,BBBBBP,4-1-4-1
BPPPPP,PPPPBPPPPB,PPBPPP,4-1-4-1
BPBBBP,BBBBPBBBBP,BPPPPB,4-1-4-1
BPPBBB,PPPPBPPPPB,BBPPPP,4-1-4-1
PBPBPP,BBBBPBBBBP,PPBPPB,4-1-4-1
PBBBPP,BBBBPBBBBP,BPPBPB,4-1-4-1
PBBPBB,BBBBPBBBBP,PPPBPP,4-1-4-1
BPBPBP,PPPPBPPPPB,PBBBPP,4-1-4-1
PBPPBP,BBBBPBBBBP,BBBPBP,4-1-4-1
PBPPBB,BBBBPBBBBP,BBPBBP,4-1-4-1
PBPBPP,BBBBPBBBBP,BPPBPB,4-1-4-1
BPBBBP,BBBBPBBBBP,BBPPBB,4-1-4-1
BBBBPB,BBBBPBBBBP,PPBBPB,4-1-4-1
BBPPBB,PPPPBPPPPB,BPPBPB,4-1-4-1
BBPPBP,BBBBPBBBBP,BBBPBB,4-1-4-1
PPBPPB,PPPPBPPPPB,PBBPBB,4-1-4-1
BBPBPB,PPPPBPPPPB,PPBBBP,4-1-4-1
BBPPBB,PPPPBPPPPB,BBBBBP,4-1-4-1
BBPPBP,PPPPBPPPPB,PBPBBP,4-1-4-1
BPPPBP,BBBBPBBBBP,BBBBBB,4-1-4-1
PBBPBB,PPPPBPPPPB,BPBBBP,4-1-4-1
BBBPPP,PPPPBPPPPB,PBBBPB,4-1-4-1
PPBBBP,PPPPBPPPPB,PPPPPB,4-1-4-1
BBPPPP,PPPPBPPPPB,BBPBPP,4-1-4-1
PPBPBP,PPPPBPPPPB,BBBPBP,4-1-4-1
PBPPBP,BBBBPBBBBP,PPPPBP,4-1-4-1
BPBPPB,BBBBPBBBBP,PPBBPB,4-1-4-1
BBBPPB,BBBBPBBBBP,BPPPBB,4-1-4-1
BBPPPB,PPPPBPPPPB,PBBPPB,4-1-4-1
BPPPBB,BBBBPBBBBP,BPBBPP,4-1-4-1
PBBBBB,BBBBPBBBBP,PBPBPB,4-1-4-1
PBBBBB,PPPPBPPPPB,PBBBBP,4-1-4-1
PBPPBP,BBBBPBBBBP,PBBPBB,4-1-4-1
BBPPPB,BBBBPBBBBP,PPBBBP,4-1-4-1
PBPBBB,BBBBPBBBBP,PPPPBB,4-1-4-1
PBPPBP,BBBBPBBBBP,BBBBPP,4-1-4-1
PBBBBB,BBBBPBBBBP,BBBPPP,4-1-4-1
BBPBPB,BBBBPBBBBP,PPBPPB,4-1-4-1
PBPBBP,PPPPBPPPPB,BBBPBB,4-1-4-1
PPBBBB,PPPPBPPPPB,BPBBPB,4-1-4-1
PBBBPB,BBBBPBBBBP,BPBBBP,4-1-4-1
PPBBPB,PPPPBPPPPB,BPBPPB,4-1-4-1
BBPPPP,BBBBPBBBBP,BBBBPP,4-1-4-1
BPPBPP,BBBBPBBBBP,BPPBBB,4-1-4-1
PPBPBP,BBBBPBBBBP,BBPPBP,4-1-4-1
BBBPBP,PPPPBPPPPB,BPBBBP,4-1-4-1
PBPBPP,BBBBPBBBBP,PBPPBB,4-1-4-1
BBPPPP,BBBBPBBBBP,PPBPPB,4-1-4-1
BBBBPB,PPPPBPPPPB,BPPBBP,4-1-4-1
PPPPPB,BBBBPBBBBP,PBPBBB,4-1-4-1
PPPBBP,BBBBPBBBBP,BPPBBB,4-1-4-1
PBBPPP,BBBBPBBBBP,BBBBBB,4-1-4-1
BPBBBP,PPPPBPPPPB,BBBPPB,4-1-4-1
BBPBPP,PPPPBPPPPB,PPPBPB,4-1-4-1
BPPPPB,BBBBPBBBBP,BBBPPB,4-1-4-1
BPBPPB,BBBBPBBBBP,BBPBPB,4-1-4-1
PPBBBB,BBBBPBBBBP,PPPBPP,4-1-4-1
BBBPBB,PPPPBPPPPB,BBPPPB,4-1-4-1
BPBPPP,PPPPBPPPPB,BBBBPP,4-1-4-1
BBBPPB,PPPPBPPPPB,BBPBBB,4-1-4-1
PBBPPP,PPPPBPPPPB,PPPPPP,4-1-4-1
PPPPPB,BBBBPBBBBP,PBBPPP,4-1-4-1
BBBBBB,PPPPBPPPPB,BPBBPB,4-1-4-1
PPPPPB,BBBBPBBBBP,BPBPBP,4-1-4-1
PBPBBB,BBBBPBBBBP,BPPPBB,4-1-4-1
PBPBBP,BBBBPBBBBP,BBBPPB,4-1-4-1
BPBPBP,PPPPBPPPPB,BBPPPB,4-1-4-1
BPPPBB,BBBBPBBBBP,PPBPBB,4-1-4-1
BBBPPP,PPPPBPPPPB,PPPBBP,4-1-4-1
PBPBPP,PPPPBPPPPB,BPBPPB,4-1-4-1
PPPBBB,BBBBPBBBBP,BBBBPP,4-1-4-1
BPBPPP,BBBBPBBBBP,PPPBBP,4-1-4-1
PPPPPP,BBBBPBBBBP,BBBPPP,4-1-4-1
PPPPPP,BBBBPBBBBP,BPPPPP,4-1-4-1
PPBPPB,BBBBPBBBBP,BBBPPP,4-1-4-1
BBPPPB,PPPPBPPPPB,BPPPPP,4-1-4-1
PBBBPB,BBBBPBBBBP,PPBBBP,4-1-4-1
PPBBBB,BBBBPBBBBP,PPPPPB,4-1-4-1
BBBBPP,PPPPBPPPPB,PBPBBP,4-1-4-1
BPPBPB,PPPPBPPPPB,PPPBBB,4-1-4-1
PBBPBP,BBBBPBBBBP,BBBPPP,4-1-4-1
BBBBPP,PPPPBPPPPB,BPPPBP,4-1-4-1
PPBBBB,PPPPBPPPPB,BPPPBP,4-1-4-1
BBPBBP,BBBBPBBBBP,PBPBPP,4-1-4-1
PPBBBB,BBBBPBBBBP,PBPBBP,4-1-4-1
BBPPPP,PPPPBPPPPB,BBBBBB,4-1-4-1
BBPBBB,PPPPBPPPPB,PBPBPB,4-1-4-1
PBBBBB,BBBBPBBBBP,BBPBPB,4-1-4-1
BPPBBP,PPPPBPPPPB,PBPPBP,4-1-4-1
PBPPBP,BBBBPBBBBP,PBPPBP,4-1-4-1
BBPBBB,BBBBPBBBBP,PPPBPB,4-1-4-1
BBPPBB,BBBBPBBBBP,PPPBPB,4-1-4-1
BBPBPB,BBBBPBBBBP,BPPBBP,4-1-4-1
PBPPPB,PPPPBPPPPB,BBBBBP,4-1-4-1
BPPPPB,BBBBPBBBBP,PPPPPB,4-1-4-1
PBBBPP,BBBBPBBBBP,PPBPBP,4-1-4-1
BBBBPB,PPPPBPPPPB,PBBBPB,4-1-4-1
PPPBBB,BBBBPBBBBP,BBBPBB,4-1-4-1
BBBBBB,PPPPBPPPPB,PBPBBP,4-1-4-1
BPBBBB,PPPPBPPPPB,PPPPPP,4-1-4-1
PPBBBP,BBBBPBBBBP,BPPPPB,4-1-4-1
BPBPBB,PPPPBPPPPB,BBPPPP,4-1-4-1
BPPPBB,PPPPBPPPPB,BPPBBP,4-1-4-1
PPPBPP,PPPPBPPPPB,BBBBBB,4-1-4-1
PPPBPB,BBBBPBBBBP,PPBBPP,4-1-4-1
BPPPBP,PPPPBPPPPB,BPPBBB,4-1-4-1
BBBPPB,PPPPBPPPPB,BBBPBP,4-1-4-1
BPBBBB,PPPPBPPPPB,PPPBBP,4-1-4-1
BBBBBP,PPPPBPPPPB,BPBBBB,4-1-4-1
BBBBPP,PPPPBPPPPB,BPPBPB,4-1-4-1
BPBBBP,BBBBPBBBBP,BBBPBB,4-1-4-1
BPBPPP,PPPPBPPPPB,PPBPBB,4-1-4-1
PBPBBP,PPPPBPPPPB,PBBPBP,4-1-4-1
BPPPPP,PPPPBPPPPB,PBPPPP,4-1-4-1
PBBPPP,PPPPBPPPPB,BBPBPP,4-1-4-1
PPPBBP,BBBBPBBBBP,PBBPBP,4-1-4-1
PPPPPP,PPPPBPPPPB,BBBPPP,4-1-4-1
BBBPPB,PPPPBPPPPB,PPPBBP,4-1-4-1
BPPBPB,BBBBPBBBBP,PBPBPP,4-1-4-1
PBPPBB,BBBBPBBBBP,PPPPBB,4-1-4-1
PPPPBP,BBBBPBBBBP,BBBPBB,4-1-4-1
BBPBBB,PPPPBPPPPB,BPPPBB,4-1-4-1
BPBPBP,BBBBPBBBBP,BBBBPB,4-1-4-1
PBPPPB,BBBBPBBBBP,BPPBPP,4-1-4-1
BPBBPB,BBBBPBBBBP,PPPBPB,4-1-4-1
PPBBPP,BBBBPBBBBP,BBBPPP,4-1-4-1
BPPPBB,BBBBPBBBBP,BPBPPP,4-1-4-1
PBBBPP,BBBBPBBBBP,BPPBPP,4-1-4-1
BPBBBB,PPPPBPPPPB,PBBBPB,4-1-4-1
PPPPBB,BBBBPBBBBP,BPBPPP,4-1-4-1
BPBPBP,PPPPBPPPPB,PBPPBB,4-1-4-1
PPBPBB,PPPPBPPPPB,PBPPPB,4-1-4-1
BBPBPB,PPPPBPPPPB,PPPBPB,4-1-4-1
BBBBPP,BBBBPBBBBP,PPBBPP,4-1-4-1
BPPBBB,PPPPBPPPPB,PBBPPB,4-1-4-1
PPBPPB,PPPPBPPPPB,BPBPPB,4-1-4-1
PPPBPB,BBBBPBBBBP,PPBPPB,4-1-4-1
BBBPBP,PPPPBPPPPB,BBBBPP,4-1-4-1
BBBBPB,PPPPBPPPPB,PBPBPB,4-1-4-1
PPBBPB,PPPPBPPPPB,PBPPPB,4-1-4-1
BBBPPB,BBBBPBBBBP,PBPBBB,4-1-4-1
BPPBPB,BBBBPBBBBP,PPBPPP,4-1-4-1
PPBBBP,PPPPBPPPPB,PPBPBB,4-1-4-1
BBPPPP,BBBBPBBBBP,PPBPBP,4-1-4-1
BBBBPP,BBBBPBBBBP,BBBPBP,4-1-4-1
PPPBPB,BBBBPBBBBP,BPPPBB,4-1-4-1
BBPPBP,PPPPBPPPPB,BBPBBB,4-1-4-1
PBPBPP,PPPPBPPPPB,BBPPPP,4-1-4-1
BBPBBB,BBBBPBBBBP,PBPBBP,4-1-4-1
BBBPPP,PPPPBPPPPB,BBPBBP,4-1-4-1
BBBPBP,PPPPBPPPPB,BPPBPB,4-1-4-1
BBPPPB,PPPPBPPPPB,BPPPBP,4-1-4-1
BPPPBB,PPPPBPPPPB,BPPPBB,4-1-4-1
BBBPPB,BBBBPBBBBP,PPPPPB,4-1-4-1
BPBPPB,PPPPBPPPPB,BBBPBB,4-1-4-1
BPPBBP,BBBBPBBBBP,PPBPBP,4-1-4-1
PPBPPB,BBBBPBBBBP,PPPPPB,4-1-4-1
BPPBPB,BBBBPBBBBP,PBPBPB,4-1-4-1
PBBPBP,PPPPBPPPPB,BPBBPP,4-1-4-1
PBBBPB,BBBBPBBBBP,BPBBPB,4-1-4-1
BBBBBP,PPPPBPPPPB,BBPBBB,4-1-4-1
PBBBPB,BBBBPBBBBP,BBBPBB,4-1-4-1
BPBBPB,PPPPBPPPPB,BBBPBP,4-1-4-1
BBBBPP,PPPPBPPPPB,PPPBBP,4-1-4-1
BBPBBB,PPPPBPPPPB,BBBBBP,4-1-4-1
PBPBBP,PPPPBPPPPB,BBBBPP,4-1-4-1
PPBPBB,PPPPBPPPPB,PBPBBP,4-1-4-1
PBPPBP,BBBBPBBBBP,BPBBBP,4-1-4-1
BBBPPP,BBBBPBBBBP,BBPBPB,4-1-4-1
BBPPPB,PPPPBPPPPB,BPPBBB,4-1-4-1
BBBPBB,PPPPBPPPPB,BBPBPP,4-1-4-1
BPBPPB,BBBBPBBBBP,BPBBPP,4-1-4-1
PBBPPP,PPPPBPPPPB,BBBBBB,4-1-4-1
PBPBBB,PPPPBPPPPB,PPBPPP,4-1-4-1
BPBBBB,BBBBPBBBBP,BBBPBP,4-1-4-1
BBPPPP,PPPPBPPPPB,PBBBBB,4-1-4-1
BPBPPP,PPPPBPPPPB,BBBPBP,4-1-4-1
PBPBBB,BBBBPBBBBP,PBBBBB,4-1-4-1
BBBPPB,PPPPBPPPPB,BBBPBP,4-1-4-1
BPPBPP,BBBBPBBBBP,BPPPPB,4-1-4-1
PPBBPP,PPPPBPPPPB,PPPBPP,4-1-4-1
BPPBBB,BBBBPBBBBP,BPBPBB,4-1-4-1
BPPBBB,PPPPBPPPPB,BPBBPP,4-1-4-1
PPPBBP,PPPPBPPPPB,PPPBBP,4-1-4-1
PPBPBP,PPPPBPPPPB,PBBPBP,4-1-4-1
BBPPPP,BBBBPBBBBP,PBBPPB,4-1-4-1
BBPBBP,PPPPBPPPPB,PBPBBP,4-1-4-1
PPBPBB,BBBBPBBBBP,BBBBBP,4-1-4-1
PBBPPP,BBBBPBBBBP,PBBBPP,4-1-4-1
PBBBBB,BBBBPBBBBP,PPBBPP,4-1-4-1
PPBBPB,BBBBPBBBBP,PBBBBB,4-1-4-1
PPPPPP,BBBBPBBBBP,BPPPPP,4-1-4-1
PPBPPP,BBBBPBBBBP,PBBBBB,4-1-4-1
BBBPPP,BBBBPBBBBP,PBBBPB,4-1-4-1
PBPBBB,PPPPBPPPPB,PBPPPB,4-1-4-1
PPBBBB,PPPPBPPPPB,BBBPPP,4-1-4-1
PBPPPB,PPPPBPPPPB,PBPPBB,4-1-4-1
BBBPBB,PPPPBPPPPB,BPPBBB,4-1-4-1
BPBPBP,PPPPBPPPPB,PPPPBP,4-1-4-1
PBBPBB,PPPPBPPPPB,PPBBBP,4-1-4-1
PPPBBB,BBBBPBBBBP,PPPBPP,4-1-4-1
BPBBPB,BBBBPBBBBP,PPBPBP,4-1-4-1
BBBPPP,PPPPBPPPPB,BPPBBP,4-1-4-1
BBBPPP,BBBBPBBBBP,BPPPPP,4-1-4-1
PPPBPB,BBBBPBBBBP,BBPPBB,4-1-4-1
PPPBBP,BBBBPBBBBP,BPBPBP,4-1-4-1
PPPPBP,BBBBPBBBBP,PBBPPB,4-1-4-1
PPPBPB,BBBBPBBBBP,PBPBPP,4-1-4-1
PPPPBB,BBBBPBBBBP,PBBBPB,4-1-4-1
BBPPBP,BBBBPBBBBP,BPPPPP,4-1-4-1
BBPBPP,BBBBPBBBBP,BPPPPB,4-1-4-1
BBBBBB,PPPPBPPPPB,BBBBBB,4-1-4-1
PBBBBP,PPPPBPPPPB,BBBPBB,4-1-4-1
BPPPBP,BBBBPBBBBP,BPPPBB,4-1-4-1
BBPPBB,BBBBPBBBBP,PBBBPB,4-1-4-1
PPBPBB,PPPPBPPPPB,BPBPPB,4-1-4-1
PPBPPP,BBBBPBBBBP,BPBBBB,4-1-4-1
PPBBBB,PPPPBPPPPB,PPBBPB,4-1-4-1
BPBBPP,PPPPBPPPPB,BPBBBB,4-1-4-1
BPBBPP,PPPPBPPPPB,BBPBBP,4-1-4-1
PBBPPP,PPPPBPPPPB,PPPPPP,4-1-4-1
BBPPBB,PPPPBPPPPB,BBPPPP,4-1-4-1
PPBPBP,PPPPBPPPPB,BPPPBB,4-1-4-1
BBPBPB,BBBBPBBBBP,PBBBBP,4-1-4-1
BBPBBB,BBBBPBBBBP,PPPBBP,4-1-4-1
BBPPBB,PPPPBPPPPB,BBPPBP,4-1-4-1
PPBBPB,PPPPBPPPPB,PBBBPB,4-1-4-1
PBBPPB,PPPPBPPPPB,PBPPBB,4-1-4-1
BPPPBB,BBBBPBBBBP,BBBPBP,4-1-4-1
BBBPBB,BBBBPBBBBP,BPBBPP,4-1-4-1
PBBPPB,BBBBPBBBBP,BPBBBB,4-1-4-1
BPPPBB,BBBBPBBBBP,BPBBPP,4-1-4-1
PPBPBP,BBBBPBBBBP,BBPBBB,4-1-4-1
BPPBBP,PPPPBPPPPB,BBPPBB,4-1-4-1
PPPBPB,PPPPBPPPPB,BPPPPP,4-1-4-1
PBPBPP,BBBBPBBBBP,PBPBPP,4-1-4-1
BPBPBP,BBBBPBBBBP,PBBPPB,4-1-4-1
PBBPBP,BBBBPBBBBP,PBPBPP,4-1-4-1
PPBPPP,BBBBPBBBBP,BBPPPP,4-1-4-1
PPBBBB,BBBBPBBBBP,BBBBPP,4-1-4-1
PPBPBB,PPPPBPPPPB,BBPBBB,4-1-4-1
BPPBBP,PPPPBPPPPB,PBPPPP,4-1-4-1
PPPBBP,BBBBPBBBBP,PBPPPP,4-1-4-1
BPPBBB,PPPPBPPPPB,PPPBBP,4-1-4-1
BPBBPP,PPPPBPPPPB,BBBBPB,4-1-4-1
PBBPPB,BBBBPBBBBP,BPPPBP,4-1-4-1
PBBBBP,PPPPBPPPPB,BBBPBP,4-1-4-1
BBBPBP,BBBBPBBBBP,PBBPPP,4-1-4-1
PBBPBB,PPPPBPPPPB,PBBBBP,4-1-4-1
BPPBPP,PPPPBPPPPB,PPBPBB,4-1-4-1
BBBBPP,BBBBPBBBBP,PPBPPP,4-1-4-1
BPPBPP,BBBBPBBBBP,BPPPBP,4-1-4-1
PPBBPB,BBBBPBBBBP,BBPBPB,4-1-4-1
BBPBPP,PPPPBPPPPB,PBBBBP,4-1-4-1
PPPPPP,BBBBPBBBBP,BPBBPB,4-1-4-1
BBPBPP,BBBBPBBBBP,BBBPPP,4-1-4-1
BPBBPB,BBBBPBBBBP,BPPBPB,4-1-4-1
PBBBPB,PPPPBPPPPB,PBPBPB,4-1-4-1
BBBBBP,PPPPBPPPPB,PPBBPP,4-1-4-1
PPPBBP,BBBBPBBBBP,PBPBBP,4-1-4-1
PPBPBP,BBBBPBBBBP,PBPBPP,4-1-4-1
PPBBPP,BBBBPBBBBP,BPBBPB,4-1-4-1
PPPBBP,PPPPBPPPPB,BPBPBB,4-1-4-1
PBBPBB,BBBBPBBBBP,PPBBPB,4-1-4-1
PPPPPB,BBBBPBBBBP,PBBPBP,4-1-4-1
BBBBPP,PPPPBPPPPB,PPPBBP,4-1-4-1
BPBBBB,BBBBPBBBBP,PPBBPP,4-1-4-1
PPBPPB,PPPPBPPPPB,BPBBBB,4-1-4-1
BBPBBB,PPPPBPPPPB,BBBBPP,4-1-4-1
PBPPBP,BBBBPBBBBP,BBBBBB,4-1-4-1
BBBBBB,BBBBPBBBBP,BBBPBB,4-1-4-1
PPPPPB,BBBBPBBBBP,PPPBBB,4-1-4-1
BPBPBB,BBBBPBBBBP,BBBBPP,4-1-4-1
BPBPBP,PPPPBPPPPB,BBPBPP,4-1-4-1
PBPBPB,BBBBPBBBBP,PBBPBP,4-1-4-1
PBBBPP,PPPPBPPPPB,BBBBBB,4-1-4-1
BPBPBP,PPPPBPPPPB,BPPBBB,4-1-4-1
BPBPBB,BBBBPBBBBP,PPBPPB,4-1-4-1
PPPBPB,BBBBPBBBBP,BPBBBB,4-1-4-1
BPPPPP,PPPPBPPPPB,PPPBPP,4-1-4-1
PBPPPB,PPPPBPPPPB,BPPBBP,4-1-4-1
BPPBPB,PPPPBPPPPB,PBPBPB,4-1-4-1
BBBBBB,BBBBPBBBBP,PBBBPB,4-1-4-1
BPBBBB,BBBBPBBBBP,PBBBBB,4-1-4-1
PPPBBB,PPPPBPPPPB,PPBBPP,4-1-4-1
BBBPBP,BBBBPBBBBP,PBBPBB,4-1-4-1
BBPBPP,BBBBPBBBBP,BBBPBP,4-1-4-1
BBPPPP,PPPPBPPPPB,PPPBPB,4-1-4-1
BPBBBP,BBBBPBBBBP,BPPPPP,4-1-4-1
PBPBPB,BBBBPBBBBP,PBPPPP,4-1-4-1
PPPBPP,BBBBPBBBBP,BBPBPB,4-1-4-1
PBPPBP,BBBBPBBBBP,BBPBBP,4-1-4-1
PBBPBP,PPPPBPPPPB,BPPPPB,4-1-4-1
PBPBBB,BBBBPBBBBP,BPPBPP,4-1-4-1
PPPBBB,BBBBPBBBBP,PPBBBB,4-1-4-1
PBPBBP,BBBBPBBBBP,PPBBBB,4-1-4-1
BBBPBB,BBBBPBBBBP,PPBBBB,4-1-4-1
BBPPPP,BBBBPBBBBP,PBBPBB,4-1-4-1
BPBBPB,BBBBPBBBBP,PPBBPB,4-1-4-1
BPPPPB,BBBBPBBBBP,BPBBBB,4-1-4-1
BBBPPP,PPPPBPPPPB,BBBPPB,4-1-4-1
PPBBPP,BBBBPBBBBP,BBPBPB,4-1-4-1
PBPBBP,PPPPBPPPPB,BBBBBB,4-1-4-1
PBBPBB,PPPPBPPPPB,BBPBBB,4-1-4-1
BBBPPP,PPPPBPPPPB,BPBPPB,4-1-4-1
PPPPPP,BBBBPBBBBP,BPPPBP,4-1-4-1
PBPBBB,PPPPBPPPPB,PPPPPB,4-1-4-1
PBBPBP,BBBBPBBBBP,PBBBBP,4-1-4-1
PPPPPP,BBBBPBBBBP,PBPBPP,4-1-4-1
BBBPBP,BBBBPBBBBP,PPBPBB,4-1-4-1
BPPBBP,PPPPBPPPPB,BPPPBP,4-1-4-1
BPPPPP,BBBBPBBBBP,BBBBPP,4-1-4-1
BPBPPP,PPPPBPPPPB,BBPBPP,4-1-4-1
BBBBPP,PPPPBPPPPB,BBPBBP,4-1-4-1
PPPPBP,PPPPBPPPPB,PPPPPB,4-1-4-1
BBPPPP,PPPPBPPPPB,PBBBPP,4-1-4-1
PPPBPB,BBBBPBBBBP,BBBPBB,4-1-4-1
BPBPPP,PPPPBPPPPB,BBBBBB,4-1-4-1
PPPBBB,BBBBPBBBBP,PPBBBB,4-1-4-1
BBBBBB,PPPPBPPPPB,BPBPBB,4-1-4-1
BPPBPP,PPPPBPPPPB,BBPBBB,4-1-4-1
BBPPBP,PPPPBPPPPB,BPBPPB,4-1-4-1
PBBBPP,BBBBPBBBBP,BBBBPP,4-1-4-1
BBPPBB,PPPPBPPPPB,BPBPPP,4-1-4-1
PBPPPB,PPPPBPPPPB,BBPPBP,4-1-4-1
PBPPPP,PPPPBPPPPB,BPPPBP,4-1-4-1
