before,red_three_cut,after,pattern
PBPBBP,PPPBPPPB,BBBPBP,PPP-B-PPP-B
PPPBPB,PPPBPPPB,BBBBBB,PPP-B-PPP-B
BBBBBB,PPPBPPPB,BPPBPB,PPP-B-PPP-B
PBPPBP,PPPBPPPB,PPBPPP,PPP-B-PPP-B
BPPBPP,PPPBPPPB,PPBBPP,PPP-B-PPP-B
BBBPPP,PPPBPPPB,BBPBBP,PPP-B-PPP-B
PBBBBP,PPPBPPPB,PPPPPB,PPP-B-PPP-B
PBPBBP,PPPBPPPB,PBPPPB,PPP-B-PPP-B
PPPBBP,PPPBPPPB,BBBPBB,PPP-B-PPP-B
PPBPPP,PPPBPPPB,PPBPBP,PPP-B-PPP-B
BBBBPB,PPPBPPPB,PBPBPB,PPP-B-PPP-B
BBPBBP,PPPBPPPB,PBPPPB,PPP-B-PPP-B
PPBPPB,PPPBPPPB,BBBPBP,PPP-B-PPP-B
BPPPBB,PPPBPPPB,BBBPPP,PPP-B-PPP-B
PBBBBP,PPPBPPPB,PBPBBB,PPP-B-PPP-B
BPPPPP,PPPBPPPB,BBBBBB,PPP-B-PPP-B
PBBBPB,PPPBPPPB,BBBBPP,PPP-B-PPP-B
BBBBBP,PPPBPPPB,BPBPBB,PPP-B-PPP-B
BPBBPP,PPPBPPPB,BBPPBB,PPP-B-PPP-B
BPBPBP,PPPBPPPB,BBPPPP,PPP-B-PPP-B
PBPBBP,PPPBPPPB,PBPPBP,PPP-B-PPP-B
PBBBBB,PPPBPPPB,PPPBPP,PPP-B-PPP-B
BPBPPP,PPPBPPPB,BPPPBB,PPP-B-PPP-B
BPPBBP,PPPBPPPB,PPPBPP,PPP-B-PPP-B
PPBBPB,PPPBPPPB,PPPBBP,PPP-B-PPP-B
PPPBBP,PPPBPPPB,PPBBBB,PPP-B-PPP-B
BBPBPP,PPPBPPPB,PBBBPB,PPP-B-PPP-B
BPBBBB,PPPBPPPB,BPPBPB,PPP-B-PPP-B
PPPPBP,PPPBPPPB,PBPPBB,PPP-B-PPP-B
PPBPPB,PPPBPPPB,PBPBPP,PPP-B-PPP-B
PBBPPP,PPPBPPPB,BPPBBB,PPP-B-PPP-B
PPPPBB,PPPBPPPB,BBBPPB,PPP-B-PPP-B
PPPPBB,PPPBPPPB,BBBPPB,PPP-B-PPP-B
PPBPPP,PPPBPPPB,PPPPPP,PPP-B-PPP-B
BPPBBP,PPPBPPPB,PBBBBP,PPP-B-PPP-B
BPPBPP,PPPBPPPB,PPPBBB,PPP-B-PPP-B
BBPPBP,PPPBPPPB,PPBBPB,PPP-B-PPP-B
BPBPPP,PPPBPPPB,PBBPPP,PPP-B-PPP-B
PBPBPB,PPPBPPPB,PBPPPB,PPP-B-PPP-B
PPBPPP,PPPBPPPB,BPBPBB,PPP-B-PPP-B
BBPPBP,PPPBPPPB,BPPBBP,PPP-B-PPP-B
PPBBPB,PPPBPPPB,PBBPBB,PPP-B-PPP-B
BBBBPB,PPPBPPPB,BBPPBB,PPP-B-PPP-B
BBBPPP,PPPBPPPB,PBPPBP,PPP-B-PPP-B
PPPPPP,PPPBPPPB,BBPPPB,PPP-B-PPP-B
BBBBBB,PPPBPPPB,BPBPPB,PPP-B-PPP-B
PPPPPP,PPPBPPPB,BBBPPP,PPP-B-PPP-B
BBPBPP,PPPBPPPB,BPBBBP,PPP-B-PPP-B
PPPBBB,PPPBPPPB,PPBPPP,PPP-B-PPP-B
BBBBPB,PPPBPPPB,PPPBPP,PPP-B-PPP-B
PPPPPP,PPPBPPPB,BBBBBP,PPP-B-PPP-B
BPBPBB,PPPBPPPB,PBBBBP,PPP-B-PPP-B
BPBPBP,PPPBPPPB,BBBBBB,PPP-B-PPP-B
BBPBBP,PPPBPPPB,BPPPPP,PPP-B-PPP-B
BPBPPP,PPPBPPPB,BPBBBB,PPP-B-PPP-B
BBBBPP,PPPBPPPB,BPPBBB,PPP-B-PPP-B
PPPPBP,PPPBPPPB,BPBBBB,PPP-B-PPP-B
BBPBPB,PPPBPPPB,BBPBBP,PPP-B-PPP-B
PBPBBP,PPPBPPPB,PBBPPP,PPP-B-PPP-B
PBBPPB,PPPBPPPB,PBPBPP,PPP-B-PPP-B
PBBBBB,PPPBPPPB,BBBPBB,PPP-B-PPP-B
BPBBPP,PPPBPPPB,BBPBPP,PPP-B-PPP-B
PBPBPB,PPPBPPPB,PPPBBB,PPP-B-PPP-B
PPBBPB,PPPBPPPB,BBPBBP,PPP-B-PPP-B
PPBPBP,PPPBPPPB,PBBPBB,PPP-B-PPP-B
BPPBPB,PPPBPPPB,BPBBPP,PPP-B-PPP-B
BBPPBB,PPPBPPPB,BBPPBP,PPP-B-PPP-B
PBBBPP,PPPBPPPB,BPBPPB,PPP-B-PPP-B
BPBBBP,PPPBPPPB,BBPBPP,PPP-B-PPP-B
PPPPPP,PPPBPPPB,PBPBBB,PPP-B-PPP-B
BPPPBB,PPPBPPPB,PPBPPB,PPP-B-PPP-B
PPBBPB,PPPBPPPB,PPPPBB,PPP-B-PPP-B
BPBBPP,PPPBPPPB,PBPBPP,PPP-B-PPP-B
BBPBBP,PPPBPPPB,PBPBBP,PPP-B-PPP-B
BPBBPB,PPPBPPPB,BBPBPB,PPP-B-PPP-B
PBBBBB,PPPBPPPB,PBPPBB,PPP-B-PPP-B
BBPPBP,PPPBPPPB,BPPPBB,PPP-B-PPP-B
BBPPPP,PPPBPPPB,BBPPPP,PPP-B-PPP-B
PPBPPP,PPPBPPPB,BPPBPB,PPP-B-PPP-B
PBPBPB,PPPBPPPB,PBPBPB,PPP-B-PPP-B
BPPBPP,PPPBPPPB,BPPBBP,PPP-B-PPP-B
BPPBPP,PPPBPPPB,BPPBBP,PPP-B-PPP-B
PBBBPB,PPPBPPPB,BBBBPP,PPP-B-PPP-B
PPPBPP,PPPBPPPB,BBPPPP,PPP-B-PPP-B
PPPBPP,PPPBPPPB,BBBBBB,PPP-B-PPP-B
PBBPBP,PPPBPPPB,PBPPPP,PPP-B-PPP-B
PBBPBP,PPPBPPPB,PBPPPP,PPP-B-PPP-B
PBPBBP,PPPBPPPB,BBBBBP,PPP-B-PPP-B
PBPPPP,PPPBPPPB,PPBBPB,PPP-B-PPP-B
BBBPPB,PPPBPPPB,BBBBBB,PPP-B-PPP-B
BBPPPP,PPPBPPPB,PPPPBB,PPP-B-PPP-B
BBPPPP,PPPBPPPB,PPPPBB,PPP-B-PPP-B
BBPPBP,PPPBPPPB,BPPBPB,PPP-B-PPP-B
PBPBPP,PPPBPPPB,BBBPPP,PPP-B-PPP-B
BBPBBP,PPPBPPPB,PBBPBP,PPP-B-PPP-B
PBPPPP,PPPBPPPB,PBBBBB,PPP-B-PPP-B
BBPPBB,PPPBPPPB,BBBPBB,PPP-B-PPP-B
BBPBBB,PPPBPPPB,BPPPBP,PPP-B-PPP-B
BPPPBB,PPPBPPPB,PPBPBB,PPP-B-PPP-B
BPPPBB,PPPBPPPB,PPBPBB,PPP-B-PPP-B
BPBPBP,PPPBPPPB,PBPPBB,PPP-B-PPP-B
PBPBPP,PPPBPPPB,BBPBPP,PPP-B-PPP-B
BBBBPB,PPPBPPPB,BBPBBB,PPP-B-PPP-B
PBBBBB,PPPBPPPB,PBBBPP,PPP-B-PPP-B
PBPBBP,PPPBPPPB,PBPBBB,PPP-B-PPP-B
PPBBBB,PPPBPPPB,PPBPBB,PPP-B-PPP-B
PPBBBB,PPPBPPPB,PPBPBB,PPP-B-PPP-B
BBPBBP,PPPBPPPB,PPBBPP,PPP-B-PPP-B
PBBPPP,PPPBPPPB,BBBPPB,PPP-B-PPP-B
PBBPPP,PPPBPPPB,BBBPPB,PPP-B-PPP-B
PBBPPP,PPPBPPPB,BBBPPB,PPP-B-PPP-B
PBBPPP,PPPBPPPB,BBBPPB,PPP-B-PPP-B
PBBPBB,PPPBPPPB,BBBPBB,PPP-B-PPP-B
BBPPBP,PPPBPPPB,BPPBPP,PPP-B-PPP-B
PBBBBP,PPPBPPPB,PPPPBP,PPP-B-PPP-B
BBPBBP,PPPBPPPB,BPPPPB,PPP-B-PPP-B
PBPPPP,PPPBPPPB,PPBPPP,PPP-B-PPP-B
PBBBBP,PPPBPPPB,BPPPPB,PPP-B-PPP-B
PPBPBB,PPPBPPPB,BBBBPP,PPP-B-PPP-B
PBPPPP,PPPBPPPB,BBBBPB,PPP-B-PPP-B
BBBBPP,PPPBPPPB,PPBBBB,PPP-B-PPP-B
PBPPBP,PPPBPPPB,BPPBBB,PPP-B-PPP-B
BBPBBP,PPPBPPPB,PBPBBP,PPP-B-PPP-B
PPBPBP,PPPBPPPB,BBBPBP,PPP-B-PPP-B
BBPBBP,PPPBPPPB,BPPPBB,PPP-B-PPP-B
PPPBPP,PPPBPPPB,PBBBPP,PPP-B-PPP-B
BPBPBP,PPPBPPPB,PBBBPP,PPP-B-PPP-B
BPPBPP,PPPBPPPB,BPBBPB,PPP-B-PPP-B
BPPBBP,PPPBPPPB,BPBPBP,PPP-B-PPP-B
BBPPBP,PPPBPPPB,PBPBPP,PPP-B-PPP-B
BBPBBP,PPPBPPPB,BBPBPB,PPP-B-PPP-B
PPBPPB,PPPBPPPB,BBBPBP,PPP-B-PPP-B
BBBBBP,PPPBPPPB,PPBBPP,PPP-B-PPP-B
PBBBPB,PPPBPPPB,BBPBBB,PPP-B-PPP-B
PPBBBB,PPPBPPPB,PPPPPB,PPP-B-PPP-B
PBBPBP,PPPBPPPB,PPBBBB,PPP-B-PPP-B
BBBPPB,PPPBPPPB,BPPPBB,PPP-B-PPP-B
BBBPPB,PPPBPPPB,BBBPBB,PPP-B-PPP-B
BPBBBB,PPPBPPPB,BBBBPP,PPP-B-PPP-B
PPBBPP,PPPBPPPB,PBPPPB,PPP-B-PPP-B
PBPBBP,PPPBPPPB,BBPPPP,PPP-B-PPP-B
BPBPBB,PPPBPPPB,PBBPBP,PPP-B-PPP-B
BBPBBP,PPPBPPPB,PPPPBB,PPP-B-PPP-B
PBBBBB,PPPBPPPB,BPBPBB,PPP-B-PPP-B
BPPBPB,PPPBPPPB,BPBBBP,PPP-B-PPP-B
BBBPBB,PPPBPPPB,BBBBBB,PPP-B-PPP-B
BPPBPP,PPPBPPPB,BPBBPB,PPP-B-PPP-B
BPPPBP,PPPBPPPB,PPBBPP,PPP-B-PPP-B
PBBPPP,PPPBPPPB,BBPPPP,PPP-B-PPP-B
PPBPPB,PPPBPPPB,BPPBPB,PPP-B-PPP-B
BPBPBB,PPPBPPPB,PBPBBB,PPP-B-PPP-B
BPBBBP,PPPBPPPB,BBBBBB,PPP-B-PPP-B
PPPPPP,PPPBPPPB,BPPBBP,PPP-B-PPP-B
PBPBPB,PPPBPPPB,BPBBPB,PPP-B-PPP-B
PBPBBB,PPPBPPPB,PPBPBB,PPP-B-PPP-B
PPPBBB,PPPBPPPB,BBPBPB,PPP-B-PPP-B
BPPPBB,PPPBPPPB,PPPBBP,PPP-B-PPP-B
BBBPBP,PPPBPPPB,BBPBBP,PPP-B-PPP-B
PPPPBP,PPPBPPPB,PBBPBP,PPP-B-PPP-B
BBBPBB,PPPBPPPB,BBPPPB,PPP-B-PPP-B
PPPPPP,PPPBPPPB,BPBBPP,PPP-B-PPP-B
PBPBBB,PPPBPPPB,BPBPBP,PPP-B-PPP-B
PPBBPP,PPPBPPPB,BBBBPP,PPP-B-PPP-B
BBBPBB,PPPBPPPB,BBPPBB,PPP-B-PPP-B
PBBPPP,PPPBPPPB,BBBPBP,PPP-B-PPP-B
PBBPBP,PPPBPPPB,BPPBPP,PPP-B-PPP-B
PPBBPP,PPPBPPPB,PBPBPB,PPP-B-PPP-B
BBPPBB,PPPBPPPB,PBPPPB,PPP-B-PPP-B
PBPBBB,PPPBPPPB,BPBPPP,PPP-B-PPP-B
PPPBBB,PPPBPPPB,PPPBBP,PPP-B-PPP-B
BBPPPP,PPPBPPPB,PBPBBB,PPP-B-PPP-B
PPPBBB,PPPBPPPB,BPBBBP,PPP-B-PPP-B
PPBBPB,PPPBPPPB,BBBBPB,PPP-B-PPP-B
BPPBBP,PPPBPPPB,PBBPPB,PPP-B-PPP-B
BPPBBP,PPPBPPPB,PBBPPB,PPP-B-PPP-B
BBBBBB,PPPBPPPB,BPBPPP,PPP-B-PPP-B
BBPBBP,PPPBPPPB,PPPBBP,PPP-B-PPP-B
BPBPPB,PPPBPPPB,BPBPPP,PPP-B-PPP-B
BPBPPP,PPPBPPPB,PPPBPB,PPP-B-PPP-B
BBBPPB,PPPBPPPB,PBPBBB,PPP-B-PPP-B
BBBBPB,PPPBPPPB,BBPPPP,PPP-B-PPP-B
BBBBPB,PPPBPPPB,BBPPPP,PPP-B-PPP-B
PPBPBB,PPPBPPPB,PBPBBP,PPP-B-PPP-B
PPPBBP,PPPBPPPB,BPPBBB,PPP-B-PPP-B
PBBBPP,PPPBPPPB,PPPPBB,PPP-B-PPP-B
PPPPBB,PPPBPPPB,BBPBPB,PPP-B-PPP-B
PPBPPB,PPPBPPPB,PPBPBP,PPP-B-PPP-B
PPPPBP,PPPBPPPB,BPBPPP,PPP-B-PPP-B
PPPPBP,PPPBPPPB,BPBPPP,PPP-B-PPP-B
BBBBBB,PPPBPPPB,BBPPBB,PPP-B-PPP-B
BBBBBB,PPPBPPPB,BBPPBB,PPP-B-PPP-B
BPPPBP,PPPBPPPB,PPBPPP,PPP-B-PPP-B
PBBPPP,PPPBPPPB,BPPBPB,PPP-B-PPP-B
BPBPBP,PPPBPPPB,PBPPPB,PPP-B-PPP-B
PPPBPB,PPPBPPPB,BPBPBP,PPP-B-PPP-B
BPPPBP,PPPBPPPB,BPBBBB,PPP-B-PPP-B
BBBPBP,PPPBPPPB,BPPBPB,PPP-B-PPP-B
PBBBBP,PPPBPPPB,PPBBBP,PPP-B-PPP-B
PBBBBP,PPPBPPPB,PPPBPP,PPP-B-PPP-B
PBBBBB,PPPBPPPB,PPPBPP,PPP-B-PPP-B
PBBPPP,PPPBPPPB,BPPPBP,PPP-B-PPP-B
BBBPPP,PPPBPPPB,PBPPBP,PPP-B-PPP-B
BBPPPP,PPPBPPPB,BBPBBB,PPP-B-PPP-B
PBBBPP,PPPBPPPB,PBBBBP,PPP-B-PPP-B
BPPPPP,PPPBPPPB,PPBBPP,PPP-B-PPP-B
PBPPPP,PPPBPPPB,BPBPBP,PPP-B-PPP-B
BPBPPB,PPPBPPPB,PBPBBB,PPP-B-PPP-B
PBBBBP,PPPBPPPB,BBBBBB,PPP-B-PPP-B
PBPPPP,PPPBPPPB,PPBBBB,PPP-B-PPP-B
BBPBBB,PPPBPPPB,PPPPBB,PPP-B-PPP-B
PBPBPP,PPPBPPPB,PPPPPB,PPP-B-PPP-B
BBBBPP,PPPBPPPB,BPPPBP,PPP-B-PPP-B
PBBPBB,PPPBPPPB,BBPBBP,PPP-B-PPP-B
BPPBBB,PPPBPPPB,PPPPBB,PPP-B-PPP-B
PBPBPP,PPPBPPPB,PBPPBB,PPP-B-PPP-B
BPPBBP,PPPBPPPB,PPBBPP,PPP-B-PPP-B
PBPPPP,PPPBPPPB,PBBBBB,PPP-B-PPP-B
PBPPPP,PPPBPPPB,PBBBBB,PPP-B-PPP-B
BBPBPB,PPPBPPPB,PPBBPP,PPP-B-PPP-B
PBBBBB,PPPBPPPB,BPPBBB,PPP-B-PPP-B
BPBPBB,PPPBPPPB,PBPBBB,PPP-B-PPP-B
PPBPBB,PPPBPPPB,BPBPPP,PPP-B-PPP-B
PPBBBB,PPPBPPPB,PPBPPB,PPP-B-PPP-B
PPBBBB,PPPBPPPB,PPBPPB,PPP-B-PPP-B
PPBBBP,PPPBPPPB,BPPBBP,PPP-B-PPP-B
PBBBPB,PPPBPPPB,BBBBPP,PPP-B-PPP-B
BBBBBP,PPPBPPPB,PPPBBP,PPP-B-PPP-B
PBPBBP,PPPBPPPB,BPBPPP,PPP-B-PPP-B
PPBPPB,PPPBPPPB,BBBBPB,PPP-B-PPP-B
BPPBPP,PPPBPPPB,PPBBPB,PPP-B-PPP-B
BPPBBP,PPPBPPPB,BBPPPP,PPP-B-PPP-B
BPBBPB,PPPBPPPB,BPPPBP,PPP-B-PPP-B
BBBBBP,PPPBPPPB,PPBBPP,PPP-B-PPP-B
BBBBPP,PPPBPPPB,PPPPBP,PPP-B-PPP-B
BPBPPP,PPPBPPPB,BBPBPP,PPP-B-PPP-B
BPPPBP,PPPBPPPB,BPBPBB,PPP-B-PPP-B
PPPPBB,PPPBPPPB,PPPBBP,PPP-B-PPP-B
BPBPPP,PPPBPPPB,PBBBPB,PPP-B-PPP-B
PBBBBB,PPPBPPPB,BBPBPB,PPP-B-PPP-B
PBBBBP,PPPBPPPB,PPBBPP,PPP-B-PPP-B
PPPPBP,PPPBPPPB,BBPBBB,PPP-B-PPP-B
BPBPPP,PPPBPPPB,BBPPBP,PPP-B-PPP-B
PBBPPP,PPPBPPPB,BPBBPP,PPP-B-PPP-B
PBBPPP,PPPBPPPB,BPBBPP,PPP-B-PPP-B
PBBBPB,PPPBPPPB,BPBBPB,PPP-B-PPP-B
BBBPBB,PPPBPPPB,BBBBBP,PPP-B-PPP-B
BPBBPB,PPPBPPPB,PPPPPB,PPP-B-PPP-B
BPPBPB,PPPBPPPB,BPBBPB,PPP-B-PPP-B
PPBBBB,PPPBPPPB,PPPPPP,PPP-B-PPP-B
BPPBPB,PPPBPPPB,PPBBBB,PPP-B-PPP-B
PBBPBB,PPPBPPPB,BPBPPB,PPP-B-PPP-B
BPBBPB,PPPBPPPB,BPBPBP,PPP-B-PPP-B
BPBBBP,PPPBPPPB,PPPBPB,PPP-B-PPP-B
BBBBPP,PPPBPPPB,PBBPBP,PPP-B-PPP-B
BBBBPP,PPPBPPPB,PBBPBP,PPP-B-PPP-B
BPBPBP,PPPBPPPB,PPBBPB,PPP-B-PPP-B
BPBPPP,PPPBPPPB,BPBBPP,PPP-B-PPP-B
PPPPBP,PPPBPPPB,PPPBPP,PPP-B-PPP-B
BBBPPB,PPPBPPPB,PBPPPB,PPP-B-PPP-B
BBBPPB,PPPBPPPB,PBPPPB,PPP-B-PPP-B
PPBPPB,PPPBPPPB,BBBBPP,PPP-B-PPP-B
PPBPBP,PPPBPPPB,BBPPBP,PPP-B-PPP-B
PBPPBP,PPPBPPPB,BBBPBB,PPP-B-PPP-B
PPPPBP,PPPBPPPB,BPPPPP,PPP-B-PPP-B
BBPPBB,PPPBPPPB,BPPPPP,PPP-B-PPP-B
PBPPBP,PPPBPPPB,BPPBPB,PPP-B-PPP-B
BBPPBB,PPPBPPPB,PBPBBP,PPP-B-PPP-B
PPBPPB,PPPBPPPB,BBBBBB,PPP-B-PPP-B
BBBPBB,PPPBPPPB,BBPBPP,PPP-B-PPP-B
BBPBBB,PPPBPPPB,PBBBPB,PPP-B-PPP-B
BPBPPB,PPPBPPPB,PBBBBP,PPP-B-PPP-B
BBBBBP,PPPBPPPB,PBBBPP,PPP-B-PPP-B
PPPPBB,PPPBPPPB,BBBPPP,PPP-B-PPP-B
BPPPPP,PPPBPPPB,BBBPBB,PPP-B-PPP-B
BBPBBB,PPPBPPPB,BBPBPP,PPP-B-PPP-B
BBPBPB,PPPBPPPB,BPBPBB,PPP-B-PPP-B
BBPBPB,PPPBPPPB,BPBPBB,PPP-B-PPP-B
BBPBPB,PPPBPPPB,BPBPBB,PPP-B-PPP-B
BPPBBB,PPPBPPPB,BPPBPP,PPP-B-PPP-B
BPBPPB,PPPBPPPB,PBBPBP,PPP-B-PPP-B
BPBBBP,PPPBPPPB,BBBPBP,PPP-B-PPP-B
PBPBPP,PPPBPPPB,PPPPPB,PPP-B-PPP-B
BBPBBB,PPPBPPPB,PBPBBB,PPP-B-PPP-B
BBBPBP,PPPBPPPB,PBBBPP,PPP-B-PPP-B
PBBPBB,PPPBPPPB,BPBBPB,PPP-B-PPP-B
PBBBBB,PPPBPPPB,PBBPBP,PPP-B-PPP-B
BPPBBB,PPPBPPPB,PBPBPP,PPP-B-PPP-B
PBBBPB,PPPBPPPB,PPBBPB,PPP-B-PPP-B
PPBBBP,PPPBPPPB,BPBPBP,PPP-B-PPP-B
BBPBPB,PPPBPPPB,BPPPBB,PPP-B-PPP-B
PPPBBP,PPPBPPPB,PPPPPP,PPP-B-PPP-B
BPBBPP,PPPBPPPB,BPPPBP,PPP-B-PPP-B
BBBBPP,PPPBPPPB,BPPPBP,PPP-B-PPP-B
BBBBPB,PPPBPPPB,BBBPPP,PPP-B-PPP-B
PBBBBP,PPPBPPPB,BPBBBP,PPP-B-PPP-B
PPBPBB,PPPBPPPB,BPPPBP,PPP-B-PPP-B
BBPBPB,PPPBPPPB,PBPPBP,PPP-B-PPP-B
PPBBPP,PPPBPPPB,PBPBPB,PPP-B-PPP-B
BBPPBB,PPPBPPPB,BPPBBP,PPP-B-PPP-B
PPPBBP,PPPBPPPB,BPPPBB,PPP-B-PPP-B
BPPPBP,PPPBPPPB,BPPPBP,PPP-B-PPP-B
BBBBPP,PPPBPPPB,PBPBBP,PPP-B-PPP-B
BPBBBP,PPPBPPPB,PBPPBP,PPP-B-PPP-B
PBPPPP,PPPBPPPB,BPBBPP,PPP-B-PPP-B
PBPPBP,PPPBPPPB,PBPPPB,PPP-B-PPP-B
BBBPBB,PPPBPPPB,PPPPBB,PPP-B-PPP-B
BPBPBP,PPPBPPPB,BPBBPP,PPP-B-PPP-B
BBBPPB,PPPBPPPB,PPPBPP,PPP-B-PPP-B
PBBBBB,PPPBPPPB,BBBBBP,PPP-B-PPP-B
BBPPBB,PPPBPPPB,PPPPBB,PPP-B-PPP-B
BBBBBP,PPPBPPPB,BBBPPP,PPP-B-PPP-B
BPPPPP,PPPBPPPB,BPPPPB,PPP-B-PPP-B
BPBPPB,PPPBPPPB,PPBPPB,PPP-B-PPP-B
BBBPBB,PPPBPPPB,PPPBBP,PPP-B-PPP-B
BPBBPB,PPPBPPPB,PPPPPB,PPP-B-PPP-B
BBPPPP,PPPBPPPB,PBBPPB,PPP-B-PPP-B
PBBPPB,PPPBPPPB,PBBPPB,PPP-B-PPP-B
PPPBPP,PPPBPPPB,PPPPPP,PPP-B-PPP-B
PPBBBP,PPPBPPPB,BPPPBB,PPP-B-PPP-B
BBBBPP,PPPBPPPB,BPBPBB,PPP-B-PPP-B
BPPPPP,PPPBPPPB,BBPBBB,PPP-B-PPP-B
PPPBPB,PPPBPPPB,PBPBBP,PPP-B-PPP-B
BBPBBB,PPPBPPPB,BBPBPP,PPP-B-PPP-B
PBPPBP,PPPBPPPB,BBBBPP,PPP-B-PPP-B
BBPBPP,PPPBPPPB,BBBBBP,PPP-B-PPP-B
BPPBBB,PPPBPPPB,BBPPPB,PPP-B-PPP-B
PPBBPB,PPPBPPPB,PBPPBP,PPP-B-PPP-B
PPPPBB,PPPBPPPB,PPPPBB,PPP-B-PPP-B
BPPPBP,PPPBPPPB,PBBPPB,PPP-B-PPP-B
PPBPBB,PPPBPPPB,BBPPPP,PPP-B-PPP-B
PPBPPB,PPPBPPPB,BBPBPP,PPP-B-PPP-B
BBPBBB,PPPBPPPB,PBBBPP,PPP-B-PPP-B
PPBBBB,PPPBPPPB,BPPBPB,PPP-B-PPP-B
PPBPBB,PPPBPPPB,PPBBPB,PPP-B-PPP-B
PBPPBP,PPPBPPPB,PPPPPP,PPP-B-PPP-B
PPPBBB,PPPBPPPB,BPBPBP,PPP-B-PPP-B
BPBBPP,PPPBPPPB,BBBPPP,PPP-B-PPP-B
PPBPBP,PPPBPPPB,PBBBBP,PPP-B-PPP-B
BBBBPB,PPPBPPPB,BBPBBP,PPP-B-PPP-B
PBBBBP,PPPBPPPB,BPPPBP,PPP-B-PPP-B
PBPPPP,PPPBPPPB,BPPBPP,PPP-B-PPP-B
BBBBBB,PPPBPPPB,BPPPBP,PPP-B-PPP-B
BPPBPP,PPPBPPPB,BPBBBP,PPP-B-PPP-B
BPPBPP,PPPBPPPB,BPBBBP,PPP-B-PPP-B
BBBPPP,PPPBPPPB,BBPBPP,PPP-B-PPP-B
PBBBPB,PPPBPPPB,PBBBPP,PPP-B-PPP-B
PPBPBB,PPPBPPPB,BPBPBP,PPP-B-PPP-B
PBBBBP,PPPBPPPB,BPBBPP,PPP-B-PPP-B
PPPPBP,PPPBPPPB,PPPPBP,PPP-B-PPP-B
BPPBPB,PPPBPPPB,BBBPBB,PPP-B-PPP-B
BBBPBB,PPPBPPPB,PPPPPP,PPP-B-PPP-B
PPBPPB,PPPBPPPB,PBBBPB,PPP-B-PPP-B
PPPPBB,PPPBPPPB,BBBBBP,PPP-B-PPP-B
PBBBPP,PPPBPPPB,PBBPPB,PPP-B-PPP-B
BBPBPP,PPPBPPPB,PBPPPP,PPP-B-PPP-B
PBPBPP,PPPBPPPB,PBPPBB,PPP-B-PPP-B
BBBBPB,PPPBPPPB,PBPBBP,PPP-B-PPP-B
PPPPBB,PPPBPPPB,PBPBBP,PPP-B-PPP-B
PBPBPB,PPPBPPPB,PPPPPP,PPP-B-PPP-B
BBPPPP,PPPBPPPB,BBBPBP,PPP-B-PPP-B
BPPPBP,PPPBPPPB,PBPBPB,PPP-B-PPP-B
BBBPPP,PPPBPPPB,PBPPPB,PPP-B-PPP-B
PBBPBP,PPPBPPPB,BPPBBP,PPP-B-PPP-B
BBPPPP,PPPBPPPB,PBPPBB,PPP-B-PPP-B
PPPBPP,PPPBPPPB,BPPPPB,PPP-B-PPP-B
PPBBBB,PPPBPPPB,BPPBBB,PPP-B-PPP-B
BBBPBB,PPPBPPPB,PPBPPP,PPP-B-PPP-B
BBPPBB,PPPBPPPB,PPPPPP,PPP-B-PPP-B
BBBPBB,PPPBPPPB,BBBBPP,PPP-B-PPP-B
BPPBPP,PPPBPPPB,PBPPBP,PPP-B-PPP-B
PPBPBB,PPPBPPPB,BBBBBB,PPP-B-PPP-B
BBBPPB,PPPBPPPB,BPBPPB,PPP-B-PPP-B
BPPPPP,PPPBPPPB,PBPBPP,PPP-B-PPP-B
BBBPPP,PPPBPPPB,BBBPPP,PPP-B-PPP-B
BBBPPP,PPPBPPPB,BBBPPP,PPP-B-PPP-B
BPPPBB,PPPBPPPB,PPPBBP,PPP-B-PPP-B
BPBBPB,PPPBPPPB,PPBBPP,PPP-B-PPP-B
PPPBBB,PPPBPPPB,BPBBPB,PPP-B-PPP-B
BPPPPP,PPPBPPPB,PBBBPP,PPP-B-PPP-B
BBPPPP,PPPBPPPB,PPPBBB,PPP-B-PPP-B
PPBPPB,PPPBPPPB,PBPBBP,PPP-B-PPP-B
PBBBPB,PPPBPPPB,PPPBPP,PPP-B-PPP-B
PBPPPB,PPPBPPPB,PBBBPP,PPP-B-PPP-B
BPPBBP,PPPBPPPB,PBBPBB,PPP-B-PPP-B
BBPPBP,PPPBPPPB,BBPPPP,PPP-B-PPP-B
BPBPBB,PPPBPPPB,PBBBPP,PPP-B-PPP-B
PPPBBB,PPPBPPPB,PPPBBP,PPP-B-PPP-B
BPPBPP,PPPBPPPB,BPBBBP,PPP-B-PPP-B
BPBPPB,PPPBPPPB,BBPPPP,PPP-B-PPP-B
BBBBPP,PPPBPPPB,BBBPPB,PPP-B-PPP-B
PPBPBB,PPPBPPPB,BBPPBP,PPP-B-PPP-B
PBBPBP,PPPBPPPB,BBBPPP,PPP-B-PPP-B
PBBPPP,PPPBPPPB,BPPBPB,PPP-B-PPP-B
BBBPBB,PPPBPPPB,BPPPPP,PPP-B-PPP-B
PBBPPP,PPPBPPPB,BPBPBP,PPP-B-PPP-B
PBPBPP,PPPBPPPB,BBBBPB,PPP-B-PPP-B
BBBBPP,PPPBPPPB,BPBBBB,PPP-B-PPP-B
BBBPPP,PPPBPPPB,BBPBPP,PPP-B-PPP-B
PBBBPP,PPPBPPPB,BPBPBB,PPP-B-PPP-B
