before,red_2cut,after,pattern
PPBBPB,PPBPP,PBPPPP,PP-B-PP
BPPBBB,PPBPP,PBPPPP,PP-B-PP
PPPBPB,PPBPP,PPBBPP,PP-B-PP
BPPPPP,PPBPP,PBPBBP,PP-B-PP
PBBBPP,PPBPP,BPPBPB,PP-B-PP
BPBPBP,PPBPP,PBPPPP,PP-B-PP
BPPBBP,PPBPP,PPPBBP,PP-B-PP
BBBBBB,PPBPP,PBBPBP,PP-B-PP
BPBBBP,PPBPP,PPPPBB,PP-B-PP
PPPBPB,PPBPP,BBPBBB,PP-B-PP
BBPPPP,PPBPP,BPBPPP,PP-B-PP
PBPBPP,PPBPP,BPBBBB,PP-B-PP
PBPBPB,PPBPP,PBBPBB,PP-B-PP
BPPPBB,PPBPP,BBBPPP,PP-B-PP
BPBPBB,PPBPP,PBPPBB,PP-B-PP
BPBPPP,PPBPP,PBPBPP,PP-B-PP
BBBPBB,PPBPP,BBBPBP,PP-B-PP
PBBBPB,PPBPP,BBPBPP,PP-B-PP
PPBBPB,PPBPP,BPPPPP,PP-B-PP
PBPPPP,PPBPP,PBBBBP,PP-B-PP
PPBPPP,PPBPP,PPBPBB,PP-B-PP
PBBBBB,PPBPP,PPPPPB,PP-B-PP
PPPBBP,PPBPP,PBPBPB,PP-B-PP
PBBBBB,PPBPP,PPBPBB,PP-B-PP
BPBPBP,PPBPP,PBBBBP,PP-B-PP
PBBPBP,PPBPP,BBPPPP,PP-B-PP
BBPBPP,PPBPP,PBPBBB,PP-B-PP
BPBBPB,PPBPP,BBBBPB,PP-B-PP
PPPPBB,PPBPP,BBBBBB,PP-B-PP
BBPPBB,PPBPP,BPBPBB,PP-B-PP
PPBBPP,PPBPP,BPBBBB,PP-B-PP
PPBPBB,PPBPP,PPBPPB,PP-B-PP
BPPBPP,PPBPP,BBBBBP,PP-B-PP
PBBPPP,PPBPP,PBBPBB,PP-B-PP
BBBPBB,PPBPP,PPPBPB,PP-B-PP
BPBPPP,PPBPP,BPBPPB,PP-B-PP
PPPBBB,PPBPP,BPPBBB,PP-B-PP
BBPBPB,PPBPP,PBBPBB,PP-B-PP
BPBBBP,PPBPP,PBBBBB,PP-B-PP
BBBBPB,PPBPP,BPBBBP,PP-B-PP
BPPBPB,PPBPP,PBPPPP,PP-B-PP
BPPPPP,PPBPP,BPBPBP,PP-B-PP
PBPBBB,PPBPP,PPBPBP,PP-B-PP
PPPPPP,PPBPP,BPBBPB,PP-B-PP
BPPPPP,PPBPP,PPPBPB,PP-B-PP
BPBBBP,PPBPP,PPPPBB,PP-B-PP
BPBBBB,PPBPP,BBPPBB,PP-B-PP
BPBBBP,PPBPP,BPPPPB,PP-B-PP
BPBPPP,PPBPP,BBPPPP,PP-B-PP
BBBPBP,PPBPP,PPPPBB,PP-B-PP
BBPBPP,PPBPP,BPPBPP,PP-B-PP
PPBPPB,PPBPP,PPPBPB,PP-B-PP
PPPBBB,PPBPP,BBPBPP,PP-B-PP
PBPBBP,PPBPP,PBBPPP,PP-B-PP
BPPPBB,PPBPP,PPBPPP,PP-B-PP
BPPBPP,PPBPP,PPPPPB,PP-B-PP
PBBBBP,PPBPP,BBBPPP,PP-B-PP
BBBPBB,PPBPP,BBPBPP,PP-B-PP
BPBPBP,PPBPP,PBBPBP,PP-B-PP
PBPPBP,PPBPP,PBBPBB,PP-B-PP
BBBBBP,PPBPP,BBPBPP,PP-B-PP
BPPBBB,PPBPP,BPPPBB,PP-B-PP
PPBBBB,PPBPP,BPPBPB,PP-B-PP
BPBBBB,PPBPP,BPPPPP,PP-B-PP
BBBPBB,PPBPP,BPPBBB,PP-B-PP
BPPPPP,PPBPP,BBPPBB,PP-B-PP
BBBBPB,PPBPP,PBPBPB,PP-B-PP
PPPPPP,PPBPP,BBBBBP,PP-B-PP
BBBBBB,PPBPP,BPBPBB,PP-B-PP
BBBBPB,PPBPP,PPBBBP,PP-B-PP
BPPPPP,PPBPP,PPBPBB,PP-B-PP
BPPBBB,PPBPP,BPPPBP,PP-B-PP
PPPPPP,PPBPP,BBBBBP,PP-B-PP
BBBPPP,PPBPP,BBPBBP,PP-B-PP
BBPBBB,PPBPP,BPPPBP,PP-B-PP
PPPBPB,PPBPP,PBBPPP,PP-B-PP
PBBBBP,PPBPP,PBBBBB,PP-B-PP
PPPPPP,PPBPP,BPPPBB,PP-B-PP
BBBPBB,PPBPP,BBBPPP,PP-B-PP
BPPBPB,PPBPP,BBBPPB,PP-B-PP
PBPBPB,PPBPP,BPBPBB,PP-B-PP
BBBBBP,PPBPP,BBPBPB,PP-B-PP
PPBBPP,PPBPP,PBPBBB,PP-B-PP
PBPBBB,PPBPP,PBBBBB,PP-B-PP
BPBPPP,PPBPP,PBPBPP,PP-B-PP
PBPBPB,PPBPP,BPPPBB,PP-B-PP
PPPPBB,PPBPP,PBBBBB,PP-B-PP
BBPBPB,PPBPP,BBPBBB,PP-B-PP
BBPBBB,PPBPP,BPBBBP,PP-B-PP
BBBPPP,PPBPP,BBBPPP,PP-B-PP
BBBPBP,PPBPP,PPBPBB,PP-B-PP
BBBPBB,PPBPP,BPPPBP,PP-B-PP
PBPPBP,PPBPP,PBBPPP,PP-B-PP
BPPBBP,PPBPP,BBBBPB,PP-B-PP
BBBBPP,PPBPP,PBBBPB,PP-B-PP
BBBBBB,PPBPP,PBBPBB,PP-B-PP
PPBBPP,PPBPP,BPBBBB,PP-B-PP
PBPBBB,PPBPP,BBBBPP,PP-B-PP
PBBBBB,PPBPP,BPBBBP,PP-B-PP
BPPPPP,PPBPP,BBPPPB,PP-B-PP
BPBPBB,PPBPP,PBPBPP,PP-B-PP
BPBPPP,PPBPP,BBPPBP,PP-B-PP
BPPBBP,PPBPP,PBPPBP,PP-B-PP
PBPPPB,PPBPP,PPPBBB,PP-B-PP
BPPPPP,PPBPP,PPBBBP,PP-B-PP
BPBBBP,PPBPP,PBBPBP,PP-B-PP
BBPPBB,PPBPP,PPBBBP,PP-B-PP
BBBBBP,PPBPP,BBPBBB,PP-B-PP
BBBPBP,PPBPP,PPBPPB,PP-B-PP
PPPBPP,PPBPP,BPBBPP,PP-B-PP
BPPBBP,PPBPP,BBBPBP,PP-B-PP
BPBPBB,PPBPP,BPPPBB,PP-B-PP
BPPPPP,PPBPP,BBPPPP,PP-B-PP
PBBPBB,PPBPP,BPBBBB,PP-B-PP
BPPPPP,PPBPP,PBPPBP,PP-B-PP
PBPPPB,PPBPP,BPPBPB,PP-B-PP
BBBPBP,PPBPP,PPPPPB,PP-B-PP
BPPPBB,PPBPP,PBPBBB,PP-B-PP
PPBBPB,PPBPP,PBBPPB,PP-B-PP
BPBPPP,PPBPP,PPPPPP,PP-B-PP
BPBBPP,PPBPP,BPPPPP,PP-B-PP
PPBPBP,PPBPP,BPPPPP,PP-B-PP
BPBPBB,PPBPP,BBBPBP,PP-B-PP
PPPBBP,PPBPP,BPPPPB,PP-B-PP
BPPBPP,PPBPP,BPPPPB,PP-B-PP
PBBPBP,PPBPP,BBBBBB,PP-B-PP
PPBBPP,PPBPP,PBBPBP,PP-B-PP
PPBPPP,PPBPP,PPBPBP,PP-B-PP
BPPPBB,PPBPP,PPPBPP,PP-B-PP
BBPPBB,PPBPP,BBPPPP,PP-B-PP
PPBBPP,PPBPP,BBPBBB,PP-B-PP
BBBBPB,PPBPP,PBPBBP,PP-B-PP
PPBPBB,PPBPP,PPBPBB,PP-B-PP
BPPBBP,PPBPP,PPPPBP,PP-B-PP
PBPPPP,PPBPP,BBBBBB,PP-B-PP
PBPPPP,PPBPP,BBPBBP,PP-B-PP
BBPBBP,PPBPP,BBPPBB,PP-B-PP
PPBBBB,PPBPP,PPBBPB,PP-B-PP
PBBPBB,PPBPP,PPBBBB,PP-B-PP
PPBPBP,PPBPP,PBBPPB,PP-B-PP
PPBBPP,PPBPP,PBBBBB,PP-B-PP
PBBPBB,PPBPP,BBBBPB,PP-B-PP
BPBBBB,PPBPP,PPBBPB,PP-B-PP
BBPBBB,PPBPP,PPPBBB,PP-B-PP
PBPBPB,PPBPP,PBBBBB,PP-B-PP
BBBPBB,PPBPP,BPPPPP,PP-B-PP
PBBPBP,PPBPP,BBBBBB,PP-B-PP
BPBPPP,PPBPP,BPPPBP,PP-B-PP
PBBBBP,PPBPP,PPBBBP,PP-B-PP
PBBBPP,PPBPP,BPBPPP,PP-B-PP
BPBBBB,PPBPP,BPPBBB,PP-B-PP
BBBPBP,PPBPP,PPPPBB,PP-B-PP
PPPPBB,PPBPP,PBBPBP,PP-B-PP
BBPBBB,PPBPP,PPBBPP,PP-B-PP
PBBPBB,PPBPP,BPPPPP,PP-B-PP
PBBBBB,PPBPP,BPBPBP,PP-B-PP
PPPBPB,PPBPP,PPBBPB,PP-B-PP
BPBPBB,PPBPP,PBBBBB,PP-B-PP
BBBBBB,PPBPP,PPBBBB,PP-B-PP
PBPPPP,PPBPP,PBBBPB,PP-B-PP
PPPBBB,PPBPP,PBBBBB,PP-B-PP
PBPPBB,PPBPP,BBPPPP,PP-B-PP
BPBBBB,PPBPP,PBPPBB,PP-B-PP
BPPPPP,PPBPP,PPPBBP,PP-B-PP
PBBBPP,PPBPP,PBBBPB,PP-B-PP
PPBPBP,PPBPP,BPPPPB,PP-B-PP
BBBPPP,PPBPP,PPPBBB,PP-B-PP
BBPBBB,PPBPP,BPBPPP,PP-B-PP
BPPPBB,PPBPP,BBPPBB,PP-B-PP
BPPBBP,PPBPP,BPPPPP,PP-B-PP
PPBBPP,PPBPP,PPPPPP,PP-B-PP
BPBBBB,PPBPP,BBBBBP,PP-B-PP
PBBBPP,PPBPP,BPPBPB,PP-B-PP
BPBBBB,PPBPP,PPPBBP,PP-B-PP
PBBBPP,PPBPP,BBBBBP,PP-B-PP
BBBPBP,PPBPP,PPBBBP,PP-B-PP
PBBBBP,PPBPP,BPPPPB,PP-B-PP
BBBBPP,PPBPP,BBPPBB,PP-B-PP
PBBPBP,PPBPP,PBPPBP,PP-B-PP
PBPPPB,PPBPP,BPPPPP,PP-B-PP
PPBPPP,PPBPP,PPPBPB,PP-B-PP
BPBBBB,PPBPP,BPPPPP,PP-B-PP
PPBPPP,PPBPP,PBPPBB,PP-B-PP
BBPBBP,PPBPP,PPPBBB,PP-B-PP
BBBBPP,PPBPP,PBBBPP,PP-B-PP
PPBBBP,PPBPP,PBBPBB,PP-B-PP
PPPPPP,PPBPP,BBPPPB,PP-B-PP
BPPBBP,PPBPP,BBBPBP,PP-B-PP
BPBPPP,PPBPP,BPPBBB,PP-B-PP
BBPPPP,PPBPP,BPPBBB,PP-B-PP
PPBPBB,PPBPP,PBBBBP,PP-B-PP
PBPBPP,PPBPP,BPPPBB,PP-B-PP
PPBBBP,PPBPP,BPPBBB,PP-B-PP
PBBBBB,PPBPP,PBBBBP,PP-B-PP
PPPPBB,PPBPP,BBPBBP,PP-B-PP
BPBBPP,PPBPP,PPPBPP,PP-B-PP
PPBPPP,PPBPP,PPPBPB,PP-B-PP
BBBBBP,PPBPP,BPBBBB,PP-B-PP
PBPBPP,PPBPP,BBBPBB,PP-B-PP
BBBPPP,PPBPP,PPPBPB,PP-B-PP
PPBPBP,PPBPP,BBPPPP,PP-B-PP
BPBBBP,PPBPP,BPBBBP,PP-B-PP
PBBBBP,PPBPP,PPBBPP,PP-B-PP
PBBPPP,PPBPP,BPBBBP,PP-B-PP
BBPBPP,PPBPP,PPPPBB,PP-B-PP
PPPBPB,PPBPP,BPBPBB,PP-B-PP
BPBPBB,PPBPP,BPBBPB,PP-B-PP
PBBBBB,PPBPP,PBPBBB,PP-B-PP
PBBBPB,PPBPP,PPBBPP,PP-B-PP
PPBBBP,PPBPP,PBBPBB,PP-B-PP
PBBBPP,PPBPP,BBBBPB,PP-B-PP
BBBBPP,PPBPP,BBPBPP,PP-B-PP
PBBBBB,PPBPP,PPPBPP,PP-B-PP
BPPPBB,PPBPP,PPPBPP,PP-B-PP
PPBPPP,PPBPP,PPPBBP,PP-B-PP
PPPPBB,PPBPP,PPPPBB,PP-B-PP
BPBPBB,PPBPP,BPBPPB,PP-B-PP
PBBPBB,PPBPP,BPBPBB,PP-B-PP
BPBPBB,PPBPP,PPBBBP,PP-B-PP
BBPBPB,PPBPP,PBBPPB,PP-B-PP
PBBBPB,PPBPP,BBBBPB,PP-B-PP
PPBPBB,PPBPP,BPPBPP,PP-B-PP
PPBPPB,PPBPP,PBPBBP,PP-B-PP
PBBBBB,PPBPP,PPBPBB,PP-B-PP
PBBPPP,PPBPP,BBBPPB,PP-B-PP
PBBPBP,PPBPP,PBPBPP,PP-B-PP
PPPBPB,PPBPP,BPBBBB,PP-B-PP
BPBBBB,PPBPP,BPBPBP,PP-B-PP
PBBPPP,PPBPP,BPPPPP,PP-B-PP
PPPPPP,PPBPP,PPPPBB,PP-B-PP
PPBPBP,PPBPP,BBBBBP,PP-B-PP
PBBBPP,PPBPP,BPPBPB,PP-B-PP
BBPPBB,PPBPP,PPBBBB,PP-B-PP
PPPBBP,PPBPP,PPBPBP,PP-B-PP
BBPBBP,PPBPP,BPBBBB,PP-B-PP
PPPBBB,PPBPP,PPPPPB,PP-B-PP
PPPPPP,PPBPP,BPBBPP,PP-B-PP
PBBPPP,PPBPP,BPBPPB,PP-B-PP
BBBPBB,PPBPP,BPBPBP,PP-B-PP
PPBPBB,PPBPP,PBPPPP,PP-B-PP
PPPBPP,PPBPP,PBBPBB,PP-B-PP
PBBBPB,PPBPP,PPBPPB,PP-B-PP
BPPBPP,PPBPP,BPBBBB,PP-B-PP
BBBPBP,PPBPP,PPPBBP,PP-B-PP
PPPBBP,PPBPP,PPPBPB,PP-B-PP
BBPBBP,PPBPP,PPPBPP,PP-B-PP
PPBPPP,PPBPP,PBBPBB,PP-B-PP
BBBPBB,PPBPP,BPBPBB,PP-B-PP
BBPBPB,PPBPP,BPPPPB,PP-B-PP
BBBPPP,PPBPP,BBPBBB,PP-B-PP
BPBBBB,PPBPP,PPPBBP,PP-B-PP
PBBPBP,PPBPP,PPBPPP,PP-B-PP
PPPBPP,PPBPP,PPBPPP,PP-B-PP
PPPBPP,PPBPP,PBPPPP,PP-B-PP
PBBPPP,PPBPP,BBBPBP,PP-B-PP
PBBBPB,PPBPP,PBBPBB,PP-B-PP
BBPPBB,PPBPP,PBPBPB,PP-B-PP
BPBBPP,PPBPP,PBBPPB,PP-B-PP
PBPPPP,PPBPP,BPBPBP,PP-B-PP
PBBBPP,PPBPP,BBPPBB,PP-B-PP
BBPBPB,PPBPP,PPPBBB,PP-B-PP
PBBPBP,PPBPP,BBBPPP,PP-B-PP
PPBBPB,PPBPP,BPBBPB,PP-B-PP
BPBBPB,PPBPP,BPBBBB,PP-B-PP
PBBPPP,PPBPP,PPBPBB,PP-B-PP
BBBBPP,PPBPP,PPPPBP,PP-B-PP
BPPBBP,PPBPP,BPBBPP,PP-B-PP
BPBBPP,PPBPP,BBBBBP,PP-B-PP
BPBBBB,PPBPP,PBBBBP,PP-B-PP
PBBBBP,PPBPP,PBPBPP,PP-B-PP
PPPPBB,PPBPP,BBPBPB,PP-B-PP
BBBPBB,PPBPP,PBBPPB,PP-B-PP
PPBBPB,PPBPP,BPPBBP,PP-B-PP
BBPPBB,PPBPP,BBPBBB,PP-B-PP
BPBBBB,PPBPP,PPBBBB,PP-B-PP
BBPBBP,PPBPP,BPBBBP,PP-B-PP
BPPPBB,PPBPP,BPBBPP,PP-B-PP
PBBPBP,PPBPP,PBPBBP,PP-B-PP
BBPPPP,PPBPP,PBBBPB,PP-B-PP
BBBBBB,PPBPP,PBBBPB,PP-B-PP
BBBPBP,PPBPP,PPPBBP,PP-B-PP
BBBBBB,PPBPP,BPBBBP,PP-B-PP
PPPBPP,PPBPP,PPBBPP,PP-B-PP
PBPBBB,PPBPP,BBBPPB,PP-B-PP
PPBPBP,PPBPP,PPPBPP,PP-B-PP
BBPBBP,PPBPP,PPBPPP,PP-B-PP
PPPBPP,PPBPP,PPBBBB,PP-B-PP
PBBPPP,PPBPP,PBPPBB,PP-B-PP
BPBBPP,PPBPP,BPPPPP,PP-B-PP
PPBBPB,PPBPP,PPBBPB,PP-B-PP
PBPBBB,PPBPP,BBPBBP,PP-B-PP
PBBBBP,PPBPP,BBPBPB,PP-B-PP
BBBBBB,PPBPP,BPBBPP,PP-B-PP
PPBPBB,PPBPP,PBBPPP,PP-B-PP
PPPPPP,PPBPP,BBPBPP,PP-B-PP
PPBBBP,PPBPP,BPBPBB,PP-B-PP
BPBBBP,PPBPP,BPPPBB,PP-B-PP
PPPBBB,PPBPP,PBPPPB,PP-B-PP
PBBBPP,PPBPP,PBPPBB,PP-B-PP
PPBBBB,PPBPP,BPPBPB,PP-B-PP
PPBBPB,PPBPP,BPPPBP,PP-B-PP
BPPBPB,PPBPP,PBPPBP,PP-B-PP
PBPPPB,PPBPP,BBPBBP,PP-B-PP
PPBBBB,PPBPP,PPBPBP,PP-B-PP
PBPBPB,PPBPP,PBPBBB,PP-B-PP
BPBPBB,PPBPP,BBBPBB,PP-B-PP
BPPBBP,PPBPP,BPPPBB,PP-B-PP
BPPBBP,PPBPP,PPPBBB,PP-B-PP
PPBPBP,PPBPP,BPBPBB,PP-B-PP
BBBBBB,PPBPP,BBPPPP,PP-B-PP
BBBBBP,PPBPP,BPBBPP,PP-B-PP
BPBPBB,PPBPP,PBBBBB,PP-B-PP
BPBBPP,PPBPP,BBPBPB,PP-B-PP
BBPBBP,PPBPP,PBBBPB,PP-B-PP
PBPBPP,PPBPP,BPBBPP,PP-B-PP
PBPBBB,PPBPP,PPBPBB,PP-B-PP
BBBBPB,PPBPP,BBBPBB,PP-B-PP
PBBBPB,PPBPP,PBBPPP,PP-B-PP
BPPPBB,PPBPP,PBBPBB,PP-B-PP
BBBPBP,PPBPP,BPPBBP,PP-B-PP
PPBBBP,PPBPP,BPBBPB,PP-B-PP
PPPPBB,PPBPP,PPBBBP,PP-B-PP
BPBBPB,PPBPP,PPPBBB,PP-B-PP
PBPBPB,PPBPP,BPBBBP,PP-B-PP
BPPPPP,PPBPP,BBPBPB,PP-B-PP
PPBBPP,PPBPP,PBBPPB,PP-B-PP
PBPBPP,PPBPP,BPPBBB,PP-B-PP
BBBBPB,PPBPP,PPBBBP,PP-B-PP
BBBPBB,PPBPP,BPBPBP,PP-B-PP
BBBPPP,PPBPP,BBBBBP,PP-B-PP
PBPBBP,PPBPP,BBPBPP,PP-B-PP
PPBBBB,PPBPP,PPBPBP,PP-B-PP
PBPBPB,PPBPP,PBBPPB,PP-B-PP
PPPBBP,PPBPP,PBBPBB,PP-B-PP
BBPPPP,PPBPP,BPBBBB,PP-B-PP
BBPBBB,PPBPP,PBBBPB,PP-B-PP
PBPBPP,PPBPP,PBBPBP,PP-B-PP
BPBBPB,PPBPP,PPBBBP,PP-B-PP
PBBBBB,PPBPP,PBPBBB,PP-B-PP
PPBPBB,PPBPP,BBPBBP,PP-B-PP
PPPBBB,PPBPP,BBBBPP,PP-B-PP
PBBBBP,PPBPP,PPBBBB,PP-B-PP
PBBBBP,PPBPP,PPPBBP,PP-B-PP
BPBPBP,PPBPP,BPBBBP,PP-B-PP
BPBBBP,PPBPP,BPBPBB,PP-B-PP
BBPBBB,PPBPP,BPPBPB,PP-B-PP
PPBPBB,PPBPP,BPPPBP,PP-B-PP
BPPBBP,PPBPP,PBBPPB,PP-B-PP
BPPPBB,PPBPP,BBPPBB,PP-B-PP
PPBBBB,PPBPP,PBPPPP,PP-B-PP
PPPBPP,PPBPP,BPBBPB,PP-B-PP
PBPPPP,PPBPP,PPBBBP,PP-B-PP
BBPBBB,PPBPP,PBBPPB,PP-B-PP
PBBPPP,PPBPP,BPPPPP,PP-B-PP
PPBBPB,PPBPP,PBBBBB,PP-B-PP
BPBBPB,PPBPP,BPPBPB,PP-B-PP
BBPBPP,PPBPP,BBPPBB,PP-B-PP
BBBBPP,PPBPP,PBPPPB,PP-B-PP
PBBPBB,PPBPP,PPBBPP,PP-B-PP
PPBBBB,PPBPP,BBPBPP,PP-B-PP
PBBBPB,PPBPP,PPPBBP,PP-B-PP
BBBBPP,PPBPP,BBBBPP,PP-B-PP
BBBBPP,PPBPP,BBPBBP,PP-B-PP
BBPBPP,PPBPP,PBPPBB,PP-B-PP
PPPBBB,PPBPP,BPBBPB,PP-B-PP
BBPPBB,PPBPP,PBPPPB,PP-B-PP
PBBPBB,PPBPP,BBBBBB,PP-B-PP
BBBPBB,PPBPP,BBBPPP,PP-B-PP
PPBBPP,PPBPP,BPPPBP,PP-B-PP
PBPPBP,PPBPP,BPBPBB,PP-B-PP
PBPBPP,PPBPP,BPPPPB,PP-B-PP
BPPBBB,PPBPP,BPBPPB,PP-B-PP
PPBPBP,PPBPP,PPPBBP,PP-B-PP
PBBBPP,PPBPP,PPBPPP,PP-B-PP
PPPBPP,PPBPP,PPBPBB,PP-B-PP
BPBPBB,PPBPP,PBPBBP,PP-B-PP
BPBPBB,PPBPP,PBPBBB,PP-B-PP
PBBBPP,PPBPP,PBPPBB,PP-B-PP
PPBBPP,PPBPP,BPPBBB,PP-B-PP
PPBBPB,PPBPP,BPPPBP,PP-B-PP
BBPBPP,PPBPP,BBBBPB,PP-B-PP
BBBBBB,PPBPP,PBBPPB,PP-B-PP
BPPPBB,PPBPP,BBBBBB,PP-B-PP
BBBPPP,PPBPP,BPBBBB,PP-B-PP
PPPPPP,PPBPP,PBPPPB,PP-B-PP
PPBBPP,PPBPP,BPPBPP,PP-B-PP
PPBPPB,PPBPP,PBBPPB,PP-B-PP
PPBBPB,PPBPP,BBBBPP,PP-B-PP
PBBPPP,PPBPP,PPPPBB,PP-B-PP
BBBBPP,PPBPP,PPPPBP,PP-B-PP
PPPPBB,PPBPP,BPPBBP,PP-B-PP
BBBPBP,PPBPP,BBPPPB,PP-B-PP
PPPBBP,PPBPP,BPBPBB,PP-B-PP
BBPPPP,PPBPP,BPPPBP,PP-B-PP
PBPPBP,PPBPP,BBBBPP,PP-B-PP
BBPPBB,PPBPP,PPPPBB,PP-B-PP
BPBPBB,PPBPP,BBBPPP,PP-B-PP
PBBBBP,PPBPP,PBPPBP,PP-B-PP
PPPPBB,PPBPP,PBBPPP,PP-B-PP
PBBBBB,PPBPP,BPBBBP,PP-B-PP
BBBBBP,PPBPP,PPBPPP,PP-B-PP
PPPBPP,PPBPP,PPPPPB,PP-B-PP
PBBBPP,PPBPP,BPBBBB,PP-B-PP
PPBBBP,PPBPP,BPPBBB,PP-B-PP
BPBPBB,PPBPP,PBPPPB,PP-B-PP
BBPPPP,PPBPP,BPPBPP,PP-B-PP
PPBPPB,PPBPP,BBPBPP,PP-B-PP
PBBPPP,PPBPP,BBBPBB,PP-B-PP
PPBBPP,PPBPP,PPPPPP,PP-B-PP
BPPBPB,PPBPP,BBPPPP,PP-B-PP
PBBPPP,PPBPP,PPPBBP,PP-B-PP
PBPBPP,PPBPP,BBBPBP,PP-B-PP
PPBBPB,PPBPP,BPPPPP,PP-B-PP
BBPPPP,PPBPP,PBBPBB,PP-B-PP
BBPBBP,PPBPP,PPBBBP,PP-B-PP
BBPBPB,PPBPP,BBPPBB,PP-B-PP
BPPPBB,PPBPP,PPBPBB,PP-B-PP
BBBPPP,PPBPP,BPPBPP,PP-B-PP
PPBPPB,PPBPP,PPBPBB,PP-B-PP
PPBBBP,PPBPP,BBPBBB,PP-B-PP
BPPPPP,PPBPP,PPBPBP,PP-B-PP
BPBPBP,PPBPP,BBBPBP,PP-B-PP
BPPBPB,PPBPP,PBBBBB,PP-B-PP
PBBBBB,PPBPP,BBPBPP,PP-B-PP
PPPPBB,PPBPP,PPBBBB,PP-B-PP
BPBPBB,PPBPP,BBPBBP,PP-B-PP
BBPBPP,PPBPP,PBBBPP,PP-B-PP
PPPBBB,PPBPP,PBBBPB,PP-B-PP
PBPBPP,PPBPP,PPPBBP,PP-B-PP
BBBBPP,PPBPP,PPBBPB,PP-B-PP
PBBBPB,PPBPP,PBBPPP,PP-B-PP
PPBPBP,PPBPP,BPBPPP,PP-B-PP
BBBBBP,PPBPP,BBBPBB,PP-B-PP
BPBBBP,PPBPP,BPPBPB,PP-B-PP
PBPBBB,PPBPP,PBBPBB,PP-B-PP
PBBPBB,PPBPP,PBBPBB,PP-B-PP
BBPBPB,PPBPP,BBBPBP,PP-B-PP
BPPPBB,PPBPP,BBBPPB,PP-B-PP
BPPPBB,PPBPP,PBBPBP,PP-B-PP
BPBPBP,PPBPP,PPPPBB,PP-B-PP
PPPPBB,PPBPP,BPPBPB,PP-B-PP
BPBPBP,PPBPP,BBPBPB,PP-B-PP
PBPBBB,PPBPP,PPPBPB,PP-B-PP
BPBPBB,PPBPP,PBPBPP,PP-B-PP
PBBBPP,PPBPP,BPPPBP,PP-B-PP
BPBPBB,PPBPP,BBBBPP,PP-B-PP
PBBBPP,PPBPP,BPPPPB,PP-B-PP
BPPBPP,PPBPP,BPPBPP,PP-B-PP
PPBPPB,PPBPP,PPPPBP,PP-B-PP
PPPBPB,PPBPP,BPBBPB,PP-B-PP
PBBBPB,PPBPP,BBBPPP,PP-B-PP
BBPBBP,PPBPP,PBPBBP,PP-B-PP
PPPPBB,PPBPP,BBBPPB,PP-B-PP
BPPBBB,PPBPP,PBBBBB,PP-B-PP
PPBBPP,PPBPP,PPBBPB,PP-B-PP
PBPBBP,PPBPP,BBPBPB,PP-B-PP
BPBPBB,PPBPP,BPBBBP,PP-B-PP
PPBBBB,PPBPP,PPBBPP,PP-B-PP
PBBPBP,PPBPP,BPBBPP,PP-B-PP
PPPBBB,PPBPP,PBBBBP,PP-B-PP
BPBBPB,PPBPP,PBBPPP,PP-B-PP
BPPBBP,PPBPP,BPPBBP,PP-B-PP
BPBPBP,PPBPP,PPBBBB,PP-B-PP
BPBBBB,PPBPP,BPPBPB,PP-B-PP
BPPBBB,PPBPP,BBPPBB,PP-B-PP
BBBBBB,PPBPP,BPBBBB,PP-B-PP
BPBBBP,PPBPP,PPPBPB,PP-B-PP
BBPBBB,PPBPP,PBBPPB,PP-B-PP
PBPBBP,PPBPP,PBPBPP,PP-B-PP
PPBPBP,PPBPP,BBPBBP,PP-B-PP
BBBPBP,PPBPP,BBBPPP,PP-B-PP
BPBBBP,PPBPP,BBPPPB,PP-B-PP
BBPBPP,PPBPP,PBPBBB,PP-B-PP
BPBBBB,PPBPP,PBPPBP,PP-B-PP
BPPPBB,PPBPP,BBPBPB,PP-B-PP
PPPBBP,PPBPP,BBPPPP,PP-B-PP
BBBPBP,PPBPP,BPBPPB,PP-B-PP
PBPBPP,PPBPP,PPBBPB,PP-B-PP
BBBPPP,PPBPP,BBPBBP,PP-B-PP
PPPPBB,PPBPP,BBBBBP,PP-B-PP
PBPPBB,PPBPP,PPPPPP,PP-B-PP
PPPBPP,PPBPP,PBPBPP,PP-B-PP
BBBPPP,PPBPP,PBBBBB,PP-B-PP
BBPBPB,PPBPP,BBPPPP,PP-B-PP
BBBBPB,PPBPP,BPPPPB,PP-B-PP
BBBBBP,PPBPP,BPPBPB,PP-B-PP
BBBBPB,PPBPP,PBPBBP,PP-B-PP
PBPPPP,PPBPP,PBBPPP,PP-B-PP
BBBBBB,PPBPP,BBBPPP,PP-B-PP
BBBPPP,PPBPP,BBBBBP,PP-B-PP
PBPPPP,PPBPP,PBBBPP,PP-B-PP
PBBPBB,PPBPP,BBPPBB,PP-B-PP
PPPBBP,PPBPP,PPPPBB,PP-B-PP
BPPBPP,PPBPP,BBPPPB,PP-B-PP
PPPBBB,PPBPP,BBPBPB,PP-B-PP
BPBBPP,PPBPP,PPPBBP,PP-B-PP
BBPBBP,PPBPP,BPPBPP,PP-B-PP
PPBPPB,PPBPP,PPBBPB,PP-B-PP
BPPBPP,PPBPP,PPPPPB,PP-B-PP
