before,no_cut,after,length,structure
PBBPBP,PBPBPB,BBBBPB,6,PBP
BPBBPP,PBPBPBPB,BPBPBP,8,PBP
PBPBPB,BPBPBPBP,PPPPBB,8,BPB
BBBPPP,PBPBPB,BBBBBP,6,PBP
PBPPBB,BPBPBP,PBBPPB,6,BPB
PPBBBP,PBPBPBPBPB,BBPPBB,10,PBP
PBPPPB,BPBPBP,BBBBBB,6,BPB
BPBBPP,PBPBPB,BBBPBB,6,PBP
PBBPPP,PBPBPB,PPPBPP,6,PBP
PBPPPP,PBPBPB,BPPBBB,6,PBP
BBPPBB,BPBPBP,PBPPPP,6,BPB
PBBPBP,PBPBPB,BBPBBP,6,PBP
BPPPBB,BPBPBP,PBBPBB,6,BPB
BBBBBB,BPBPBPBP,PPBPPP,8,BPB
PPPPPP,PBPBPB,BPBPBP,6,PBP
PBPBPB,BPBPBP,BBPBBP,6,BPB
PBPBBP,PBPBPBPB,PPBPPB,8,PBP
PPPBPB,BPBPBP,BBPPPB,6,BPB
PBBBPP,PBPBPB,BBPPPP,6,PBP
PBPBBB,BPBPBP,PBBPPB,6,BPB
PPBBBB,BPBPBP,PPPBPP,6,BPB
BBPPPP,PBPBPB,BBBPPB,6,PBP
BBPBPB,BPBPBP,PBPPBP,6,BPB
PPPBBP,PBPBPBPBPB,BBPPPB,10,PBP
BPPPPB,BPBPBP,PBBPBB,6,BPB
BPPPPP,PBPBPB,BPBPPP,6,PBP
PBBPBB,BPBPBP,BBPPPP,6,BPB
PPBPPP,PBPBPB,PPBPPP,6,PBP
PBPPPP,PBPBPB,PPPPPP,6,PBP
PBBBBP,PBPBPB,PPBBBP,6,PBP
PPBPBB,BPBPBP,BBPBBP,6,BPB
BBPPBP,PBPBPB,BBBBPB,6,PBP
PPPPBB,BPBPBPBP,BBPPBB,8,BPB
PBBPPB,BPBPBP,PPBPBP,6,BPB
PBPBPP,PBPBPB,PPBPPB,6,PBP
PPBPPP,PBPBPB,PPPPPP,6,PBP
PPPPPP,PBPBPB,BBBPBP,6,PBP
PPBBPB,BPBPBP,BBBBPB,6,BPB
BBBBPB,BPBPBP,BBPPBP,6,BPB
BPPPPB,BPBPBP,BBBBBP,6,BPB
PPPBPB,BPBPBPBPBPBP,PBPBBP,12,BPB
PPPPPP,PBPBPB,PPPPPB,6,PBP
PBBBPP,PBPBPB,BBBBPB,6,PBP
PPPPBB,BPBPBP,PPBPBB,6,BPB
PPPPBP,PBPBPB,BBPPBP,6,PBP
BPPPBB,BPBPBP,PBBBBP,6,BPB
BPPBBB,BPBPBP,PBBPBP,6,BPB
PPPPPB,BPBPBP,BBPBBP,6,BPB
PPPBPB,BPBPBP,BBPBBP,6,BPB
BPBBPB,BPBPBPBPBP,PPBPBP,10,BPB
PPPPPB,BPBPBP,BBPBBP,6,BPB
PBPBBB,BPBPBPBP,PPPPBP,8,BPB
BPBBBB,BPBPBPBPBPBP,PPBPPP,12,BPB
PPBBBB,BPBPBP,PPPPBB,6,BPB
BBPBPP,PBPBPBPB,BBPPBB,8,PBP
PBBPPB,BPBPBP,BBPPPB,6,BPB
BPPBPB,BPBPBP,PPBBBP,6,BPB
BPPPPP,PBPBPB,PPPPPB,6,PBP
BBBPBP,PBPBPB,BPBBBB,6,PBP
BPPBBP,PBPBPBPB,BBBBBP,8,PBP
PPPPBB,BPBPBP,BBPPPB,6,BPB
PPPPBB,BPBPBPBP,PPBBBB,8,BPB
BPBBPP,PBPBPB,PPBBBB,6,PBP
PBPPBB,BPBPBPBP,PPPBPP,8,BPB
PBBPBB,BPBPBP,PBPPPP,6,BPB
BPPBBB,BPBPBP,BBBPPP,6,BPB
PPPBPP,PBPBPB,PPPBPB,6,PBP
PPBPPB,BPBPBP,PBPPBB,6,BPB
PBBPPB,BPBPBP,PPPPPB,6,BPB
PBBPBP,PBPBPB,PPBPPB,6,PBP
BBPBBB,BPBPBP,PPBBPB,6,BPB
BBBBBP,PBPBPB,BPPPBB,6,PBP
PBBBPP,PBPBPB,BBBPPB,6,PBP
BPBBPB,BPBPBP,BBPBBP,6,BPB
BPPBBP,PBPBPB,PPBBBB,6,PBP
PBPPBP,PBPBPBPB,BBBPBB,8,PBP
PBBBBP,PBPBPB,BBPPBB,6,PBP
PBBBBB,BPBPBP,BBBPPB,6,BPB
BPPBBB,BPBPBPBP,BBPPPB,8,BPB
BPPPPP,PBPBPBPB,PPPPPP,8,PBP
PPBPBB,BPBPBPBP,BBPPPB,8,BPB
BBPBPP,PBPBPBPB,PPBBBP,8,PBP
BBBPBB,BPBPBP,PBPPBP,6,BPB
BBPPPP,PBPBPB,PPPPBB,6,PBP
PPPPBP,PBPBPBPBPBPB,BBBBPP,12,PBP
BPPBPB,BPBPBP,PPBPPP,6,BPB
BPPBPP,PBPBPB,BPBPBB,6,PBP
BBBBBP,PBPBPBPB,BBPBPP,8,PBP
PPBPBB,BPBPBP,BBPPBB,6,BPB
BBPBBP,PBPBPB,PPBPPP,6,PBP
PPBBBB,BPBPBPBP,PPPPBP,8,BPB
BBBPBP,PBPBPBPB,BBPPBP,8,PBP
PBPBPB,BPBPBP,PBBBPB,6,BPB
BBPBBB,BPBPBP,PPPPPP,6,BPB
PBBPBB,BPBPBPBP,PPPBBB,8,BPB
PPPPPB,BPBPBP,BBPBBB,6,BPB
BBPPBB,BPBPBPBP,PPPBBB,8,BPB
PPPPBB,BPBPBPBP,PBPPPP,8,BPB
BBPPBB,BPBPBPBP,PBPBBP,8,BPB
BPPBPB,BPBPBPBP,PBBPPB,8,BPB
PPBBBB,BPBPBPBP,PBBBBP,8,BPB
BBPBPP,PBPBPBPB,PPBBBP,8,PBP
PPBPPB,BPBPBP,BBPPBP,6,BPB
PPPBPP,PBPBPBPB,PPPBPP,8,PBP
BBBPPP,PBPBPBPB,BBBBPB,8,PBP
BBBPPP,PBPBPB,BBPPPP,6,PBP
PPBBBB,BPBPBPBP,BBBPPB,8,BPB
BBPBBB,BPBPBP,BBBBPP,6,BPB
BPBBBP,PBPBPBPB,BPPBPB,8,PBP
BBBPBP,PBPBPB,PPPBBB,6,PBP
BPPBBP,PBPBPBPB,BPPBPP,8,PBP
PBPBBP,PBPBPB,PPBBBB,6,PBP
PBPPPB,BPBPBP,BBPPPB,6,BPB
PBBBPP,PBPBPB,PPPBPP,6,PBP
BPPPBB,BPBPBP,PBPPPB,6,BPB
BBPBBB,BPBPBP,BBPPPP,6,BPB
BBPPPP,PBPBPB,BBBPBP,6,PBP
PBBPBB,BPBPBP,PPPPPB,6,BPB
PBBPBB,BPBPBP,BBPPBP,6,BPB
BPBBBB,BPBPBP,PBPBPP,6,BPB
BBBPPP,PBPBPB,BPPPBB,6,PBP
BPPPBB,BPBPBP,BBBBPP,6,BPB
BBBBPB,BPBPBP,PBPBPP,6,BPB
BBBPPP,PBPBPBPB,PPBBBP,8,PBP
PBBPPP,PBPBPB,BBPPBB,6,PBP
BPPPBP,PBPBPB,BBBPBP,6,PBP
PBPBBB,BPBPBP,PPPBBP,6,BPB
PBPBPP,PBPBPB,BBPBPB,6,PBP
PPBBBP,PBPBPB,BBBPPP,6,PBP
BBBBPP,PBPBPBPB,PPBPPB,8,PBP
BBBBBP,PBPBPB,BBPPBP,6,PBP
BPBBBP,PBPBPB,PPBBPB,6,PBP
PPBPPB,BPBPBP,PBBBPP,6,BPB
PPPBBP,PBPBPB,BPPBPB,6,PBP
BPPBPB,BPBPBPBP,PPPPPP,8,BPB
PPBBBP,PBPBPB,BBBPPP,6,PBP
BPBBBB,BPBPBP,PPPBPB,6,BPB
BPBPPP,PBPBPB,BBPPBP,6,PBP
BPBBBP,PBPBPB,BBBPBP,6,PBP
PBPBBB,BPBPBP,PBBPPP,6,BPB
BBBPBP,PBPBPB,BBBBBP,6,PBP
PBPBBP,PBPBPB,BBPBBP,6,PBP
BBBPBP,PBPBPB,BBPBBB,6,PBP
BPBBPP,PBPBPB,PPPBPB,6,PBP
PBPBPP,PBPBPB,BBPBPB,6,PBP
BPBPBB,BPBPBP,BBBPBB,6,BPB
BPBBBP,PBPBPB,BPPBPP,6,PBP
PBBBBB,BPBPBP,PBBBPP,6,BPB
BPBBBB,BPBPBP,PPBPBP,6,BPB
BBBPPP,PBPBPB,PPPBPP,6,PBP
BBBBBP,PBPBPB,BBPBPB,6,PBP
BPPBBB,BPBPBP,PPPBBB,6,BPB
PPBBBB,BPBPBP,PPBPBP,6,BPB
PBPBPP,PBPBPB,BBBPPP,6,PBP
PBBPBP,PBPBPBPBPBPB,PPPBPP,12,PBP
PPBPBB,BPBPBPBP,PPBBPP,8,BPB
PPPPPP,PBPBPB,BPPPBP,6,PBP
BPBBPP,PBPBPBPB,PPBPBB,8,PBP
BPBPPP,PBPBPB,PPPBBB,6,PBP
PBPPBB,BPBPBP,PBPBBP,6,BPB
BBPBPP,PBPBPB,BPPBBP,6,PBP
BPPPPB,BPBPBP,PBPPPP,6,BPB
PPBPPP,PBPBPB,BBBBBP,6,PBP
BPPPBP,PBPBPB,BBPPPP,6,PBP
PBBPBB,BPBPBP,PBBBPP,6,BPB
BBPPPB,BPBPBP,BBBBBB,6,BPB
BBBBPP,PBPBPBPB,PPPPPP,8,PBP
PPBPBB,BPBPBPBP,PBBBPB,8,BPB
BBBPBP,PBPBPB,BPPPBB,6,PBP
PPPPBP,PBPBPB,BPBBPB,6,PBP
BPPBBP,PBPBPB,BBPBBB,6,PBP
PBPPBB,BPBPBP,BBPPBB,6,BPB
BPBBPP,PBPBPBPB,BPBBPB,8,PBP
BBBPPP,PBPBPB,BBBPPB,6,PBP
PBPBBB,BPBPBP,PPPBPB,6,BPB
BPBPBB,BPBPBP,PBPBPP,6,BPB
BPPPPB,BPBPBPBP,BBPPPP,8,BPB
BBBPPP,PBPBPBPB,PPBPPB,8,PBP
PPPBPP,PBPBPB,PPPBPB,6,PBP
PPPBBB,BPBPBP,BBBBBB,6,BPB
PBPBPP,PBPBPB,BBBPBP,6,PBP
PBPBBB,BPBPBPBPBP,PBPBBP,10,BPB
BBBBPB,BPBPBPBP,BBBBBP,8,BPB
BBPPBB,BPBPBP,PPPPBP,6,BPB
PPBPBB,BPBPBP,BBPPPP,6,BPB
PPBPPP,PBPBPB,BPBPBP,6,PBP
PBPBPB,BPBPBP,PPPBPB,6,BPB
BPBPPP,PBPBPB,BPBBPB,6,PBP
PBBBPP,PBPBPBPB,PPPBPP,8,PBP
PPPBBP,PBPBPB,BPBBPP,6,PBP
BPPBPB,BPBPBP,PPPBPP,6,BPB
BBBBPP,PBPBPB,BPPPPB,6,PBP
BBPBBB,BPBPBP,PBPBBP,6,BPB
PPBPBB,BPBPBP,PPPPBP,6,BPB
BPBPBB,BPBPBP,BBBPBB,6,BPB
BBBBBB,BPBPBP,PPPPBP,6,BPB
BPPPPP,PBPBPBPB,PPPPBB,8,PBP
BBPPPP,PBPBPB,BPBBBB,6,PBP
PPBPPP,PBPBPB,PPPPPP,6,PBP
PPPPPP,PBPBPB,BPBPPB,6,PBP
PBBPBP,PBPBPB,PPBPBB,6,PBP
PBBBBB,BPBPBPBPBP,PPBPPB,10,BPB
PPBBPB,BPBPBPBP,PBBBPP,8,BPB
PBBPPB,BPBPBPBP,BBBPPP,8,BPB
PBBBPB,BPBPBP,PBPBBB,6,BPB
BPPBPB,BPBPBPBP,BBBBPB,8,BPB
BBPBPB,BPBPBP,PPPBBP,6,BPB
BBPPPB,BPBPBP,PPPPBB,6,BPB
BPPBBP,PBPBPB,PPPBPP,6,PBP
BBPBBB,BPBPBP,PPPPPP,6,BPB
BBBPBP,PBPBPB,BPPBPB,6,PBP
PBPPBB,BPBPBP,BBBBPB,6,BPB
BBBBBP,PBPBPB,BPPPBB,6,PBP
BPBPBB,BPBPBP,PPPBPP,6,BPB
BPPBBP,PBPBPB,BBBBPB,6,PBP
BPPPBB,BPBPBPBP,PBBPPP,8,BPB
PPPPPP,PBPBPB,BBPPBP,6,PBP
PBPPPB,BPBPBPBPBP,PBBPPP,10,BPB
BBPPPB,BPBPBP,BBPPPB,6,BPB
BPPBPP,PBPBPB,PPPBPP,6,PBP
PBBPBP,PBPBPBPBPB,BBBPPP,10,PBP
BPPPPP,PBPBPB,BPPBPB,6,PBP
PPBBPB,BPBPBP,PPPBPB,6,BPB
BBBBBP,PBPBPBPB,BPPBPB,8,PBP
PBPBBP,PBPBPB,BPPPBP,6,PBP
PPBBBB,BPBPBP,PBPBPB,6,BPB
PPPBBP,PBPBPBPB,BPPPPB,8,PBP
PBPBBB,BPBPBP,BBBBBB,6,BPB
BBPPPP,PBPBPBPB,BBBBPP,8,PBP
BBPBPP,PBPBPB,PPBBPB,6,PBP
PBPPPB,BPBPBPBP,PBBPBP,8,BPB
BPBPPB,BPBPBPBP,BBBBPP,8,BPB
PBBPPB,BPBPBP,BBBBBP,6,BPB
PPPPBP,PBPBPBPBPB,BBPBPP,10,PBP
BPBPBB,BPBPBP,PPPPBB,6,BPB
BPPPPB,BPBPBP,BBPBBB,6,BPB
PBBBPB,BPBPBP,BBBPPP,6,BPB
PPPPBB,BPBPBP,BBPBPP,6,BPB
PBPBPP,PBPBPBPB,PPPPBB,8,PBP
BBPPPB,BPBPBP,PPBBPP,6,BPB
BBPPBB,BPBPBPBP,PBBBPB,8,BPB
PBPPBB,BPBPBP,PPPBBB,6,BPB
PPBPBP,PBPBPBPB,BPPPBB,8,PBP
BBPPPB,BPBPBP,PBPPBP,6,BPB
BBPBPP,PBPBPB,PPBPPB,6,PBP
BBPPBP,PBPBPB,BBBPBP,6,PBP
PBPBBB,BPBPBPBP,BBPBPB,8,BPB
PBPPPP,PBPBPB,BPPPBP,6,PBP
BPBBPP,PBPBPB,PPBBBP,6,PBP
BPBPPP,PBPBPB,PPPBPB,6,PBP
PBPBPP,PBPBPBPB,BBBPBP,8,PBP
PPBBBP,PBPBPB,BPPBBB,6,PBP
BPBPPP,PBPBPBPBPBPB,BBPPPP,12,PBP
PPBBPP,PBPBPB,BBBBBB,6,PBP
BBBBBB,BPBPBP,PBBBPB,6,BPB
BBPBPB,BPBPBP,PPPPPP,6,BPB
PPPPPP,PBPBPB,BBBBPP,6,PBP
PPPBBB,BPBPBP,PPPPPB,6,BPB
PPPPBB,BPBPBP,BBBPBP,6,BPB
BPPBPP,PBPBPB,BBBBBB,6,PBP
BBBPBP,PBPBPBPB,PPBPBB,8,PBP
BPPBPB,BPBPBP,BBPPPB,6,BPB
BPBBPB,BPBPBP,BBPPPB,6,BPB
PPPPPP,PBPBPB,BBBBBB,6,PBP
PBPBPP,PBPBPB,BPBBBP,6,PBP
BBPBBB,BPBPBP,PBBBPP,6,BPB
BBBPBB,BPBPBPBP,PBBBPB,8,BPB
BPPPPP,PBPBPB,BPBBPB,6,PBP
PBPBPB,BPBPBP,PBBBBB,6,BPB
BBBBPP,PBPBPB,BPPPBB,6,PBP
PPPBBB,BPBPBP,BBPBPB,6,BPB
PBPBBP,PBPBPB,BPBBBB,6,PBP
PBPPBP,PBPBPB,PPBPBP,6,PBP
PPBBBP,PBPBPB,BBBBPP,6,PBP
BBPPBP,PBPBPB,PPPPBB,6,PBP
BBBBPB,BPBPBP,PPBPPB,6,BPB
BPPBBP,PBPBPB,BPBBBB,6,PBP
PPBPBB,BPBPBPBP,BBBPBP,8,BPB
BBPPBB,BPBPBP,BBPBPP,6,BPB
PPBPBB,BPBPBPBPBP,PPPPPB,10,BPB
BBBPPB,BPBPBP,BBPPBP,6,BPB
PBBPPP,PBPBPB,BPPBBB,6,PBP
PPPPPB,BPBPBP,PPPBBP,6,BPB
BBBPBB,BPBPBP,PBPPBP,6,BPB
BPPPBP,PBPBPB,BBPPPB,6,PBP
BPPBBP,PBPBPB,PPPPBB,6,PBP
BPPBPB,BPBPBPBPBP,PPBPPB,10,BPB
BBPBPB,BPBPBPBPBPBP,BBBPPP,12,BPB
PPBBPB,BPBPBP,BBPPBP,6,BPB
BPBBPB,BPBPBPBPBPBP,BBBBBP,12,BPB
PPBBBB,BPBPBPBP,PPPPBB,8,BPB
PBPPBB,BPBPBP,BBBPPP,6,BPB
PPPBPB,BPBPBPBP,BBBBBB,8,BPB
PPPBBB,BPBPBPBP,PBPPBB,8,BPB
BBBPPP,PBPBPBPBPB,BBPBBB,10,PBP
BPPPBB,BPBPBP,BBPPPB,6,BPB
BPBBBP,PBPBPB,PPBPBP,6,PBP
BBPBPP,PBPBPB,BPBPPB,6,PBP
BPBPPP,PBPBPB,PPPBPP,6,PBP
BBPBBB,BPBPBP,PBBPPP,6,BPB
BBBBPB,BPBPBP,BBBBPB,6,BPB
PPPPPP,PBPBPB,BPBPBB,6,PBP
PPBBPB,BPBPBPBP,PPBBPB,8,BPB
PBPPPB,BPBPBP,BBPBBB,6,BPB
BBBBBB,BPBPBPBPBPBP,PBBPPP,12,BPB
BPPPBB,BPBPBP,PPPBPP,6,BPB
PBPPBB,BPBPBP,PPPPPB,6,BPB
BPPPBP,PBPBPB,BPPPPB,6,PBP
BPBBPB,BPBPBP,PPPBBB,6,BPB
PBBBPB,BPBPBP,PPPPBB,6,BPB
BPBPBB,BPBPBP,PBBPPB,6,BPB
BPPBBP,PBPBPB,BPBBBP,6,PBP
PPBPPB,BPBPBP,PBBBPB,6,BPB
PPPPPP,PBPBPB,PPBBBP,6,PBP
PPBPPP,PBPBPB,BPPBPB,6,PBP
PPBBPB,BPBPBP,PPBBPP,6,BPB
PBBBPB,BPBPBP,PBPPPP,6,BPB
BBPPBP,PBPBPBPB,BBBPPP,8,PBP
BBBPPB,BPBPBP,BBBBBP,6,BPB
PPPPPB,BPBPBPBP,PPBBPB,8,BPB
BBPBBP,PBPBPB,PPBPBP,6,PBP
BPBPBP,PBPBPB,BPBPPB,6,PBP
PBPPBP,PBPBPB,PPPPPP,6,PBP
BBPPPP,PBPBPB,BBBBBB,6,PBP
PBBPPB,BPBPBPBP,PBPBPB,8,BPB
BPBPBP,PBPBPBPB,PPPBBP,8,PBP
PPPPPP,PBPBPB,BBPPPB,6,PBP
BPPBBP,PBPBPBPB,PPPPPB,8,PBP
BPBBPB,BPBPBPBP,BBPBBP,8,BPB
PBBPPP,PBPBPB,BPBBBB,6,PBP
BBPBBB,BPBPBP,PPPPBB,6,BPB
PPBBPB,BPBPBP,BBPBBP,6,BPB
PBBPPB,BPBPBP,BBBPBP,6,BPB
BPBPBB,BPBPBP,PBBBPP,6,BPB
PBPPBP,PBPBPB,BPBBBB,6,PBP
BBPPPP,PBPBPB,BBBBBP,6,PBP
PPBBPP,PBPBPB,PPBBBP,6,PBP
BBBBPB,BPBPBP,BBBBPP,6,BPB
BPPPPB,BPBPBP,BBBPBP,6,BPB
BPBPBB,BPBPBP,PBPBBP,6,BPB
PBPBBP,PBPBPB,BPPPPB,6,PBP
BPPBBP,PBPBPBPBPB,BBPBBB,10,PBP
PPPBPB,BPBPBP,BBPPBP,6,BPB
BPBBBB,BPBPBP,PBBPBB,6,BPB
BBPBPP,PBPBPBPB,BPBBPB,8,PBP
PPPBPB,BPBPBP,PPBBBP,6,BPB
PPPBBP,PBPBPB,BPBBPB,6,PBP
BPBBPB,BPBPBP,PBBBPB,6,BPB
PBPPPB,BPBPBP,BBPPPP,6,BPB
PBBPBB,BPBPBP,PBPPPP,6,BPB
PPPBPP,PBPBPB,BPBBBB,6,PBP
BPPPBB,BPBPBP,BBPBBP,6,BPB
PPPBBB,BPBPBPBP,PBBPPP,8,BPB
BPPPPP,PBPBPBPBPBPB,PPPBPB,12,PBP
BPPPBP,PBPBPB,BPPBPB,6,PBP
BPPBBB,BPBPBP,PBPBPB,6,BPB
BPBPBP,PBPBPB,PPBPPB,6,PBP
PBPPPP,PBPBPBPB,BPPPBB,8,PBP
PBBPBB,BPBPBP,PBPPBP,6,BPB
PPBBPB,BPBPBP,PPPPPB,6,BPB
PBBBBP,PBPBPB,PPPBPB,6,PBP
PBPBPP,PBPBPB,PPPPBP,6,PBP
BPBBBB,BPBPBPBP,BBPBBB,8,BPB
BPBBPP,PBPBPB,BBPBPP,6,PBP
BBBPBB,BPBPBP,PBPBPP,6,BPB
BBBBPB,BPBPBP,BBBBBP,6,BPB
PBBBBB,BPBPBP,BBPPBP,6,BPB
BBBPPP,PBPBPBPBPB,BBPPBB,10,PBP
BPBBPB,BPBPBP,PBPBPB,6,BPB
BPBPBP,PBPBPB,BBBPBP,6,PBP
PPBPBB,BPBPBP,BBBPPP,6,BPB
PBBPBB,BPBPBP,PPBBPB,6,BPB
PBPPPB,BPBPBP,BBPBPP,6,BPB
PPPBPB,BPBPBP,BBPBPP,6,BPB
PPBPPB,BPBPBP,PBPBPB,6,BPB
BPBPBP,PBPBPBPBPBPBPB,PPPBBB,14,PBP
PBBBBP,PBPBPB,BPBBBP,6,PBP
PBPBBP,PBPBPBPB,BBBPBP,8,PBP
BBPBPP,PBPBPB,PPPBPB,6,PBP
PPBBPB,BPBPBP,PPPPBB,6,BPB
PPBPPB,BPBPBPBP,PPPBPP,8,BPB
PBPPPB,BPBPBP,PBBBBP,6,BPB
PPBPBB,BPBPBPBP,PPBPBP,8,BPB
PBPBPP,PBPBPB,PPBBPP,6,PBP
BPPBPB,BPBPBP,PPPBBP,6,BPB
PBBPBB,BPBPBP,BBBPBB,6,BPB
BBBBBP,PBPBPB,BBPPPP,6,PBP
PPBBPB,BPBPBPBP,PBBBPB,8,BPB
PBBBBB,BPBPBP,PBBPPB,6,BPB
BBPPPB,BPBPBPBPBP,BBBBBP,10,BPB
PPBPBB,BPBPBP,BBPBPB,6,BPB
PBPBPB,BPBPBPBP,PBBPPB,8,BPB
BPBPPP,PBPBPB,BPBBBP,6,PBP
PBBPBB,BPBPBP,BBPPPB,6,BPB
BPBBPP,PBPBPB,PPBBBB,6,PBP
PBPPPP,PBPBPB,BPPBPB,6,PBP
PPPBPB,BPBPBP,PPPBBP,6,BPB
BBBPPB,BPBPBP,PBPPBB,6,BPB
BBBBPP,PBPBPBPB,PPPPPP,8,PBP
PBBPPP,PBPBPB,PPPPBP,6,PBP
BPPBBB,BPBPBPBP,BBBPPB,8,BPB
BBPBPP,PBPBPB,PPPPPP,6,PBP
BBPBPB,BPBPBP,PPBBBP,6,BPB
BBBPPB,BPBPBP,PBBBBP,6,BPB
PBPBPP,PBPBPB,PPPBBP,6,PBP
BPPPBB,BPBPBP,PPPPPP,6,BPB
BBPPBP,PBPBPB,BPBBBB,6,PBP
PBPBPP,PBPBPB,BPBBPP,6,PBP
PPBPBB,BPBPBPBP,BBPBBB,8,BPB
PBPPPB,BPBPBP,BBBPPB,6,BPB
BPBBPP,PBPBPB,PPBPPP,6,PBP
BPBBBP,PBPBPBPB,PPBBBB,8,PBP
PPBBBB,BPBPBP,PBPBPB,6,BPB
BPBPBP,PBPBPB,BBBPBP,6,PBP
PPBBBP,PBPBPB,BBPBBP,6,PBP
BPPBPP,PBPBPB,BPPPBB,6,PBP
PPBBPB,BPBPBP,PPBBBP,6,BPB
PPBPBP,PBPBPB,BPBBBP,6,PBP
PBBBPP,PBPBPB,BBBPPP,6,PBP
PPPPPB,BPBPBP,BBBBBB,6,BPB
PPPPBB,BPBPBP,PBBBBB,6,BPB
PBBPBP,PBPBPB,PPBPBB,6,PBP
BBPBBP,PBPBPB,BBPBBB,6,PBP
BPPBBB,BPBPBP,PBPPPP,6,BPB
PPPPPP,PBPBPB,BPPPPP,6,PBP
PBBPBB,BPBPBPBP,BBBBBB,8,BPB
PBBPBP,PBPBPB,PPBBBB,6,PBP
BPPPPP,PBPBPB,BPPBBB,6,PBP
BBBBBB,BPBPBP,PBPPBB,6,BPB
PPPBBP,PBPBPBPBPB,BPPBPP,10,PBP
PBBBPP,PBPBPB,BBBPBP,6,PBP
PBPBBB,BPBPBP,PPPPPP,6,BPB
BBBBPB,BPBPBP,PPPPBP,6,BPB
PBBBBP,PBPBPB,BBPBBB,6,PBP
BPBPPB,BPBPBP,PPBBPP,6,BPB
PBBBBB,BPBPBP,BBPBPB,6,BPB
PBPPBB,BPBPBPBP,PBBBPP,8,BPB
PBPBBB,BPBPBP,PBBPPP,6,BPB
BPPPPB,BPBPBP,PPBBBP,6,BPB
BBBPBB,BPBPBP,PPBBPB,6,BPB
BPBPPB,BPBPBP,PPBPPB,6,BPB
BPPPBP,PBPBPB,PPPPPB,6,PBP
BPPPBP,PBPBPB,BPBPPB,6,PBP
BPBPPB,BPBPBPBP,PBBPPP,8,BPB
PPBBPP,PBPBPB,PPBBBB,6,PBP
BBPBBP,PBPBPBPB,BBPPBB,8,PBP
BBBBBB,BPBPBP,BBPBPP,6,BPB
BBPBBB,BPBPBP,PBPPPB,6,BPB
PBBPBP,PBPBPB,BPPPPP,6,PBP
PPPPBP,PBPBPB,BPBBPB,6,PBP
BPBBPP,PBPBPB,BPBBBB,6,PBP
PBBBPP,PBPBPB,BBBBPP,6,PBP
PPPBPP,PBPBPB,BPPBBP,6,PBP
BPBBBP,PBPBPB,BPPPPP,6,PBP
BPBPBB,BPBPBP,BBPPBP,6,BPB
BBBPBB,BPBPBP,BBPPBB,6,BPB
PPPPBP,PBPBPB,PPPBPB,6,PBP
BBBPBP,PBPBPBPB,PPPBBP,8,PBP
PPBPPP,PBPBPB,PPPBPP,6,PBP
PBPPBB,BPBPBP,PPPBBB,6,BPB
PPBPBP,PBPBPBPB,BBPPBB,8,PBP
BBPPBP,PBPBPB,BBBBPP,6,PBP
PBBPBB,BPBPBPBP,PBBBBP,8,BPB
PPPBPB,BPBPBP,BBPPBP,6,BPB
BPPPPP,PBPBPB,PPBBPP,6,PBP
PPBPBB,BPBPBPBPBP,BBBBPB,10,BPB
BBBPBB,BPBPBP,PPBBBB,6,BPB
PPPPBP,PBPBPB,BPBPPB,6,PBP
BPPPBB,BPBPBPBP,PBBPPB,8,BPB
BBPBPB,BPBPBPBPBPBP,BBBPBP,12,BPB
BBBPBB,BPBPBPBP,BBBBBB,8,BPB
BBBBBP,PBPBPB,PPPPPP,6,PBP
BPPBPP,PBPBPB,BBPPBP,6,PBP
PBPPPP,PBPBPB,BBBBBB,6,PBP
BBPPPP,PBPBPB,BPPPBB,6,PBP
BPBBPP,PBPBPB,BPBBBP,6,PBP
BBBPPB,BPBPBP,BBPBPB,6,BPB
PBPBPB,BPBPBP,PPPPBB,6,BPB
PBPPBP,PBPBPBPB,PPPPPB,8,PBP
BBPPPB,BPBPBP,PBBBBB,6,BPB
PPPBPP,PBPBPB,BBPPPP,6,PBP
BBBPPP,PBPBPB,BPBPBP,6,PBP
PBPBPB,BPBPBP,BBBBPP,6,BPB
PBPPPB,BPBPBP,BBPBBP,6,BPB
BPPBBP,PBPBPBPB,BPBBBB,8,PBP
PBPPPB,BPBPBP,PPBBPB,6,BPB
BPPPBB,BPBPBP,PPPBPP,6,BPB
PPBPBP,PBPBPB,BBPBPB,6,PBP
PPPBBP,PBPBPB,BBBBBP,6,PBP
PBPBBB,BPBPBPBP,PPPBPP,8,BPB
PBBPPB,BPBPBP,BBBPBP,6,BPB
BBPBPP,PBPBPB,BBPBBB,6,PBP
BPBPBB,BPBPBP,PBBPPP,6,BPB
PBPPBP,PBPBPB,PPBPPP,6,PBP
BBPPBP,PBPBPBPB,BBBBBB,8,PBP
PBPBBP,PBPBPBPB,BBPBPB,8,PBP
PBPPPB,BPBPBPBP,BBBBPP,8,BPB
PBPPBP,PBPBPB,BBBBBP,6,PBP
PPPBPP,PBPBPB,BPPPPP,6,PBP
PBBPPP,PBPBPBPB,BBBBPB,8,PBP
BPBBPP,PBPBPBPB,PPBBBB,8,PBP
PBBPBP,PBPBPB,PPBBBB,6,PBP
PPPPPP,PBPBPBPBPB,PPPBBP,10,PBP
PPBPPB,BPBPBP,PPBBPB,6,BPB
PPPPBB,BPBPBP,PPPPPB,6,BPB
