before,pp_322_5hit,after,length
BBPBBP,PPBBBPPBBP,PPPPBB,10
BPPBBP,BBPPPBBPPB,PPBBBP,10
BBPPPP,BBPPPBBPPB,BBBBPP,10
BPBPBP,BBPPPBBPPB,PPPBPB,10
PPBBBP,PPBBBPPBBP,BPBPBB,10
PBBPBP,PPBBBPPBBP,BBBPPP,10
BBBPPP,BBPPPBBPPB,BBBBPP,10
PPPPBB,BBPPPBBPPB,BPBBPB,10
BBBBPP,BBPPPBBPPB,PBPBBB,10
PPBPPB,PPBBBPPBBP,BBPBBB,10
BPBBPB,BBPPPBBPPB,BPPBBP,10
BPPBPP,BBPPPBBPPB,PPBBBP,10
BBPPPP,BBPPPBBPPB,BPPPPB,10
PBPBBP,BBPPPBBPPB,BBPBPP,10
BPBBPB,BBPPPBBPPB,PPPBPB,10
BPBBPP,BBPPPBBPPB,BPPBPP,10
PBBPPP,BBPPPBBPPB,PPBPBP,10
BBPBPB,PPBBBPPBBP,PPBPBB,10
BPPBPB,PPBBBPPBBP,BPBPBP,10
PPBBPB,BBPPPBBPPB,BPPBBB,10
PBPBPP,BBPPPBBPPB,PBBBPB,10
BPPPPB,BBPPPBBPPB,PBBPBB,10
PBBBBB,BBPPPBBPPB,BBPBPB,10
BPBPBP,BBPPPBBPPB,PPBBPB,10
BBPPPP,PPBBBPPBBP,PPBPPP,10
PBBBPB,BBPPPBBPPB,BPPBBB,10
BBBPPP,PPBBBPPBBP,PBBBPB,10
PBPBPB,BBPPPBBPPB,BPPPPP,10
PPBPBB,PPBBBPPBBP,BPBPPB,10
BBBPPB,BBPPPBBPPB,PBPPPB,10
BBPBPP,BBPPPBBPPB,PPBBPB,10
PPBBBP,BBPPPBBPPB,PPBPBP,10
PPPPPB,PPBBBPPBBP,BPPPPP,10
PBPPPP,PPBBBPPBBP,BPPPPP,10
PBPBPB,PPBBBPPBBP,BBBBPP,10
PBBBBP,BBPPPBBPPB,PBPPPB,10
PBPBPB,PPBBBPPBBP,BPPBBB,10
BPPBBB,PPBBBPPBBP,PPBPBP,10
PPBPBP,PPBBBPPBBP,BBPPPP,10
PBPPPB,BBPPPBBPPB,PPBBBB,10
BPBPBB,PPBBBPPBBP,PBBBBB,10
BBBBPB,PPBBBPPBBP,PPPPBB,10
PBPBPB,BBPPPBBPPB,BPBBPP,10
BBPPPP,PPBBBPPBBP,BPPPPP,10
BPBBPP,BBPPPBBPPB,PBPBPB,10
BBPPBB,PPBBBPPBBP,BPPBPP,10
BPPPPP,PPBBBPPBBP,BPPPBB,10
PBPBPB,BBPPPBBPPB,BPBPPB,10
BPBPBP,BBPPPBBPPB,PPBPBP,10
PPBBPP,PPBBBPPBBP,PBBBPP,10
BPBPPP,BBPPPBBPPB,PBPBBB,10
PBPBBP,PPBBBPPBBP,BBPPPB,10
PBBPBP,PPBBBPPBBP,BBBBBB,10
PBBBBB,BBPPPBBPPB,PBBPPB,10
BPBBBP,BBPPPBBPPB,BPPPPP,10
PBBBPB,PPBBBPPBBP,BPBPPP,10
BBPPPP,BBPPPBBPPB,PPBBPP,10
PBPBBP,BBPPPBBPPB,BPBPPP,10
BBBBPP,BBPPPBBPPB,PPBBPB,10
BPPBPP,PPBBBPPBBP,BPBBBB,10
BBBPBP,BBPPPBBPPB,PPBBPP,10
BBPPBP,PPBBBPPBBP,BPBBBB,10
BPBPBP,BBPPPBBPPB,PBBBBP,10
BBBPPB,BBPPPBBPPB,BPPPBB,10
PPBPBP,PPBBBPPBBP,BBBBPB,10
BBBPBB,BBPPPBBPPB,PBBBBP,10
PPBBBB,BBPPPBBPPB,BPPPBB,10
BPBBBB,PPBBBPPBBP,BBPPBP,10
PBPPBB,PPBBBPPBBP,PPPPBB,10
BBPBPB,BBPPPBBPPB,PBBBBP,10
PPPBBP,PPBBBPPBBP,PPPPPB,10
BBBBPP,PPBBBPPBBP,BBBBPB,10
PPBBPP,BBPPPBBPPB,BPPBBP,10
BBBPPP,PPBBBPPBBP,PPBPPP,10
PBBPBP,PPBBBPPBBP,BBPPPB,10
PPPBBP,PPBBBPPBBP,PPBPPB,10
BBPPPB,BBPPPBBPPB,BBBPBB,10
PBBBBB,PPBBBPPBBP,BPPBBP,10
PBBPBP,PPBBBPPBBP,BPBBPB,10
PPPBBB,PPBBBPPBBP,PBPPBB,10
PPPBBP,PPBBBPPBBP,PPBPBP,10
BPBBPB,BBPPPBBPPB,PPPBBP,10
PBPPPB,BBPPPBBPPB,PPPBPB,10
PBPBBP,BBPPPBBPPB,BPBBBP,10
PPPBBP,PPBBBPPBBP,PPPPPP,10
PBPPPB,PPBBBPPBBP,BPPBPP,10
BBBBBP,PPBBBPPBBP,BPPPBB,10
PBBBBP,PPBBBPPBBP,PBBPBB,10
BPBBPP,BBPPPBBPPB,BBPBBB,10
BBPPBB,BBPPPBBPPB,BPPPBP,10
BPPBBB,BBPPPBBPPB,BPBPPB,10
PBBPPB,PPBBBPPBBP,PPPPPB,10
BBPBBB,PPBBBPPBBP,PPPPPP,10
BPPPPB,PPBBBPPBBP,BPPBBB,10
PBPPPP,PPBBBPPBBP,PBPBBP,10
BPPPPP,PPBBBPPBBP,PPPPBB,10
PPBBPP,BBPPPBBPPB,BBPBBB,10
PBBBPB,BBPPPBBPPB,BBPPBP,10
PPBPBB,BBPPPBBPPB,BPPPBB,10
BBBPPP,PPBBBPPBBP,BPBBPB,10
BPBPPP,BBPPPBBPPB,BPPPPB,10
PPBBBB,BBPPPBBPPB,BPBBBP,10
PBBPBP,PPBBBPPBBP,BBPPBP,10
BBPBBP,PPBBBPPBBP,BPBPPP,10
BPBPPP,PPBBBPPBBP,PBPPPP,10
BBBPBB,BBPPPBBPPB,PPBBBP,10
PBBPBB,BBPPPBBPPB,PBBBPB,10
BBBBPP,PPBBBPPBBP,BBPBBP,10
PBPBBB,PPBBBPPBBP,PPBBBP,10
BPPPPP,PPBBBPPBBP,BPPBBP,10
BBPPPB,BBPPPBBPPB,BPBPPP,10
BPPBPP,BBPPPBBPPB,BBBBBP,10
BBBBBB,PPBBBPPBBP,BPPPPP,10
BPBBBP,PPBBBPPBBP,BPPBBP,10
BBPBPB,PPBBBPPBBP,BPPBPP,10
PPBBBB,BBPPPBBPPB,PBBPBP,10
PPBBPP,BBPPPBBPPB,PPPPPB,10
BBPBBB,PPBBBPPBBP,BBBBPP,10
BPPPPB,PPBBBPPBBP,BBPPPP,10
PBBBPP,BBPPPBBPPB,BBPBBP,10
PPBPPP,PPBBBPPBBP,BBPBBP,10
BPBBPB,BBPPPBBPPB,BBPBPB,10
BPPPBB,BBPPPBBPPB,BPBBBP,10
BPPBBP,BBPPPBBPPB,PBBBPB,10
PPBPPP,PPBBBPPBBP,BPPBBB,10
PBBPPB,PPBBBPPBBP,PPPPBP,10
PPPPBB,PPBBBPPBBP,BPBBPB,10
BBPBPB,PPBBBPPBBP,PBPPBB,10
PBPBBP,PPBBBPPBBP,PPBPBB,10
BPBBBP,BBPPPBBPPB,BBPPBB,10
BPBBBB,PPBBBPPBBP,PPBBBB,10
BBBBBP,PPBBBPPBBP,BBBBPP,10
PPPBPP,PPBBBPPBBP,PBPPBB,10
PPBPPB,PPBBBPPBBP,BPBPPP,10
PBBPBB,BBPPPBBPPB,PBPBPP,10
BPPBBP,BBPPPBBPPB,PBBPPP,10
PPPBBB,PPBBBPPBBP,BPBBPB,10
BPBBPB,PPBBBPPBBP,BBPPPB,10
PPBBBP,BBPPPBBPPB,BBBBBB,10
PPPBBB,PPBBBPPBBP,BBBBBB,10
BBBPBP,PPBBBPPBBP,PBBBPB,10
PPBPPB,PPBBBPPBBP,PPPPBP,10
PPPPBP,PPBBBPPBBP,PBBPBP,10
BPBBBP,BBPPPBBPPB,BPPPBB,10
BPBPBP,PPBBBPPBBP,PBPPPB,10
BBBPPB,BBPPPBBPPB,PBBBPP,10
BBBPBP,PPBBBPPBBP,PBBPPB,10
BBBPBB,PPBBBPPBBP,BBPPBP,10
BBBPPB,BBPPPBBPPB,PPPBPB,10
BBBPBB,BBPPPBBPPB,BBPBBP,10
PBPBBP,PPBBBPPBBP,PBPBBB,10
PBPPBP,BBPPPBBPPB,PPPBBP,10
PBPBBP,BBPPPBBPPB,PBBPBB,10
BPPBPB,PPBBBPPBBP,PPBPBP,10
BBBPBB,BBPPPBBPPB,BPPBBB,10
BPBBPP,PPBBBPPBBP,BBPBBP,10
BPPBBB,PPBBBPPBBP,BPBPBB,10
PBPBPB,BBPPPBBPPB,PPBPPB,10
BPPBBB,PPBBBPPBBP,BBBBBB,10
PBBBBP,BBPPPBBPPB,BPBPBB,10
BPBPPP,BBPPPBBPPB,BPBBBB,10
BPBBPP,PPBBBPPBBP,BPPPPP,10
BPPPBP,BBPPPBBPPB,PBPPPB,10
BBBBPB,PPBBBPPBBP,BPPBPB,10
PBPBBB,PPBBBPPBBP,BBPBBP,10
PPBBBB,BBPPPBBPPB,PBBBBP,10
BPBBBP,BBPPPBBPPB,PPBBPP,10
BPBBPB,BBPPPBBPPB,PBBBPP,10
BPBPPP,PPBBBPPBBP,PPBPPP,10
PBPPPB,BBPPPBBPPB,PBBBBP,10
PBBBPP,PPBBBPPBBP,BBPPPB,10
PPPPPP,PPBBBPPBBP,PBPBBB,10
BBPPBP,BBPPPBBPPB,PBBPPB,10
PPBBPP,PPBBBPPBBP,PBBPPP,10
BPPPBP,BBPPPBBPPB,PBBPPB,10
BPPPBP,PPBBBPPBBP,BPBPBB,10
BBBBPB,BBPPPBBPPB,PBPBBP,10
PPPPBP,BBPPPBBPPB,BBBPBB,10
BBPPPP,PPBBBPPBBP,BPBPBP,10
PBPBBP,BBPPPBBPPB,BPBPBB,10
PPPPBB,PPBBBPPBBP,BPBPBB,10
BBPPPB,BBPPPBBPPB,BPBPBB,10
BPBBPP,BBPPPBBPPB,PBBPPP,10
BPPPBB,BBPPPBBPPB,PBPBBP,10
BBPBBP,BBPPPBBPPB,BBPBPB,10
PBPBPB,BBPPPBBPPB,PPPBPP,10
PPBPBP,BBPPPBBPPB,PBPBBP,10
PBPBBP,BBPPPBBPPB,PBBPBP,10
BPPBBP,BBPPPBBPPB,BPPPBB,10
BBBPPP,PPBBBPPBBP,PBBPBP,10
PBPPPP,PPBBBPPBBP,PPPPPP,10
BPBPBB,PPBBBPPBBP,PBBBBP,10
PBPPBP,PPBBBPPBBP,PBPBPB,10
PPBBBB,PPBBBPPBBP,BPBBPP,10
PPBPBB,BBPPPBBPPB,PPPPPP,10
BBBPBP,BBPPPBBPPB,BPBPPB,10
BBPBBB,PPBBBPPBBP,PPBBBP,10
BPBBPB,BBPPPBBPPB,BBPPPP,10
BPPPBB,PPBBBPPBBP,BPPBPB,10
BPBBBP,PPBBBPPBBP,BBPBPP,10
BBBPBB,BBPPPBBPPB,PPPBBB,10
PPBBBB,PPBBBPPBBP,BPPBBB,10
BBPBBP,BBPPPBBPPB,BPPPBP,10
PBPBBB,BBPPPBBPPB,BPBBBB,10
BBBPPB,PPBBBPPBBP,BBPBBB,10
BPPPBP,BBPPPBBPPB,BBPBPB,10
PPBPPP,PPBBBPPBBP,PPPPBB,10
BPPPBP,PPBBBPPBBP,PBPPBB,10
BBPBBB,BBPPPBBPPB,BBBPPP,10
PPPPPP,PPBBBPPBBP,BPBPPP,10
BBPPBB,BBPPPBBPPB,BBBBBP,10
PBBBBB,BBPPPBBPPB,PBBBBP,10
BBPBPP,BBPPPBBPPB,PPPBBP,10
BPPBBB,PPBBBPPBBP,BBBPPP,10
PPBBPP,PPBBBPPBBP,BPBBBB,10
PBBBBB,BBPPPBBPPB,BPBBPP,10
PBPBPB,PPBBBPPBBP,BBPBPB,10
PBBPBP,PPBBBPPBBP,BPBBPP,10
BPPBBB,PPBBBPPBBP,BBBBPP,10
BBPBPB,BBPPPBBPPB,BBBBPB,10
PBPPPB,PPBBBPPBBP,BBBBPP,10
PBBPBP,BBPPPBBPPB,PPPBBP,10
PBPBBB,PPBBBPPBBP,PPBPPB,10
BBBPBB,BBPPPBBPPB,BBBPPB,10
BBBBPP,BBPPPBBPPB,BBPPBB,10
PPPPPP,PPBBBPPBBP,PPBBBP,10
BBPBBP,BBPPPBBPPB,PBBBBB,10
BPBBPP,BBPPPBBPPB,PBBBPB,10
PBPBPB,BBPPPBBPPB,BPBBBB,10
BPPPPB,PPBBBPPBBP,PPPBPP,10
PPPBBB,BBPPPBBPPB,BBBPBP,10
BPPPPP,BBPPPBBPPB,BPPPBP,10
BPPBPP,BBPPPBBPPB,PBPBBP,10
PPPBBP,BBPPPBBPPB,BPPBBB,10
BBPPBB,PPBBBPPBBP,BBBPBB,10
PPBPBB,BBPPPBBPPB,PPPBBB,10
BBBBBP,PPBBBPPBBP,PBPPPP,10
PBPPBB,PPBBBPPBBP,PBPBBP,10
PPBPPP,BBPPPBBPPB,BBPPBB,10
PPPBPP,BBPPPBBPPB,PBPPBB,10
BPBPPP,PPBBBPPBBP,PPBPBP,10
PPPBPB,BBPPPBBPPB,BBBPBB,10
PPBPPP,BBPPPBBPPB,BBPBPP,10
BPBBBP,PPBBBPPBBP,BBPPPP,10
PPPPPP,PPBBBPPBBP,BBBPBP,10
BPPBPB,BBPPPBBPPB,BPPBPP,10
PPBBBB,PPBBBPPBBP,PBBPPP,10
BBPBPP,BBPPPBBPPB,BBPBBP,10
PBBBPP,PPBBBPPBBP,BPPBBB,10
BBBBBB,PPBBBPPBBP,PBPBBB,10
PPBPBB,PPBBBPPBBP,BBBPBP,10
BBPPBP,BBPPPBBPPB,PPBBPP,10
PPPBPB,PPBBBPPBBP,BPBBBP,10
BBPBPB,BBPPPBBPPB,PBBPBB,10
PPBBBP,BBPPPBBPPB,BBPPPP,10
BBBBPP,BBPPPBBPPB,PPBPBB,10
PBPBBB,BBPPPBBPPB,PPPBBB,10
PBPBPB,BBPPPBBPPB,PPBPBB,10
BPBPPB,PPBBBPPBBP,PBBBPB,10
PBPBBP,PPBBBPPBBP,BBPPBP,10
PBPPPP,BBPPPBBPPB,PPPPPB,10
BPPBPP,BBPPPBBPPB,BPBBPB,10
BPPPPP,PPBBBPPBBP,BBBBPB,10
PBBPPB,BBPPPBBPPB,BBBPBP,10
BBPPPP,BBPPPBBPPB,PPPBPB,10
BBBBBP,BBPPPBBPPB,PPPPBB,10
BBPPPP,BBPPPBBPPB,BBPPBB,10
PPBBBB,PPBBBPPBBP,PBBPPP,10
PBPBBB,BBPPPBBPPB,BPPBPP,10
BBPPBP,BBPPPBBPPB,BBBPBB,10
PBPBPP,PPBBBPPBBP,PPPPPP,10
PPBBPP,PPBBBPPBBP,BPBPBB,10
BPBPPB,BBPPPBBPPB,PBPPPP,10
PBBPBP,BBPPPBBPPB,BPBBBP,10
PPBBPB,BBPPPBBPPB,BBPBBP,10
PPPBBP,PPBBBPPBBP,PPBPPB,10
BBBBPB,BBPPPBBPPB,PPPPBP,10
PPBBPP,PPBBBPPBBP,PPPPPB,10
BPPPPB,PPBBBPPBBP,PPBBBP,10
PBPBBP,PPBBBPPBBP,BPPPPB,10
PPBBBB,BBPPPBBPPB,BPPBPP,10
PPBBBB,BBPPPBBPPB,PPPPPB,10
BPBBPB,PPBBBPPBBP,BBBBBB,10
BPPPBB,BBPPPBBPPB,BBBBPP,10
PBPBBB,PPBBBPPBBP,BPPBBB,10
BPPPPB,PPBBBPPBBP,PBBPPB,10
PBPBPP,BBPPPBBPPB,PBBPPB,10
PPBBPP,PPBBBPPBBP,BPBBPP,10
BPPBPP,PPBBBPPBBP,BPBBPB,10
BPBPPB,PPBBBPPBBP,PBBPBP,10
PBBPPP,PPBBBPPBBP,BBPBBB,10
BBPBBB,BBPPPBBPPB,PPPPBP,10
BBBPBB,PPBBBPPBBP,PBBBPB,10
BPBBBB,BBPPPBBPPB,BBPBPB,10
PBPPBB,BBPPPBBPPB,BBBPPP,10
BBPBBB,BBPPPBBPPB,PPBPPB,10
BBPBPB,BBPPPBBPPB,BBBBPP,10
BBBBBP,PPBBBPPBBP,PPPBBB,10
BPPBPB,PPBBBPPBBP,PBPPBP,10
BBPBBP,BBPPPBBPPB,BBBPPB,10
PPBBBB,PPBBBPPBBP,PBBPPB,10
BBPBPB,BBPPPBBPPB,BBPPBP,10
PPBBBP,PPBBBPPBBP,BPPPBP,10
PBPBBB,PPBBBPPBBP,PPPBPB,10
PPPBBB,PPBBBPPBBP,BBBPBB,10
BBPPBB,BBPPPBBPPB,PBPBBP,10
PPBBBP,BBPPPBBPPB,BPPPPP,10
PBPPBB,BBPPPBBPPB,PBPBPP,10
PPBPPP,BBPPPBBPPB,BBPPBB,10
BBBPBB,PPBBBPPBBP,BBBBBP,10
PPBBPB,PPBBBPPBBP,BPBBBB,10
BBPPPP,PPBBBPPBBP,PBBPPB,10
PBPPBB,BBPPPBBPPB,BPPBBP,10
PPPPBP,PPBBBPPBBP,PPBBBP,10
BPBBPB,PPBBBPPBBP,PBPPPB,10
PPBBPB,PPBBBPPBBP,PPBBPB,10
BPBBBP,PPBBBPPBBP,PPBBBB,10
PPBPPB,BBPPPBBPPB,PBPPBB,10
PPPPBB,PPBBBPPBBP,BPBPPP,10
PBPPBB,BBPPPBBPPB,PPPBPP,10
PPPBPB,BBPPPBBPPB,PPPBBB,10
BBBPPB,PPBBBPPBBP,PBPPPB,10
BPPBBP,PPBBBPPBBP,BBPBPB,10
BPBPPB,BBPPPBBPPB,BPPBPP,10
PBPPPB,BBPPPBBPPB,PBPBBB,10
BBBPPB,BBPPPBBPPB,BPBPBB,10
PBBBBB,BBPPPBBPPB,BBPBBP,10
BPBBPP,BBPPPBBPPB,PBBPBB,10
BBBPPB,BBPPPBBPPB,BPBBBB,10
PBBBBP,BBPPPBBPPB,BPBPPB,10
PPPBBB,BBPPPBBPPB,PPBBBP,10
PPPPBP,BBPPPBBPPB,BPBPPP,10
BPBBPP,PPBBBPPBBP,BBPBBP,10
PBPBPB,BBPPPBBPPB,BPPBBB,10
BPBPBP,PPBBBPPBBP,PBBBBB,10
BBPPBP,BBPPPBBPPB,BPPPBP,10
BPPPPP,BBPPPBBPPB,PPBBPP,10
BBBPBB,PPBBBPPBBP,PPPBPP,10
BBBPBP,PPBBBPPBBP,BBBBBP,10
PPBBBP,PPBBBPPBBP,BBPPBP,10
PBBBBP,BBPPPBBPPB,PPPPPB,10
BBPBBP,PPBBBPPBBP,PBBPPB,10
PBPBPP,PPBBBPPBBP,BPBBPP,10
PBBPPB,BBPPPBBPPB,PBPBPP,10
PPBBPB,BBPPPBBPPB,PPPPBB,10
PPBPBB,BBPPPBBPPB,PBPPBB,10
PBPBBB,BBPPPBBPPB,PPBPBB,10
PPBPBB,BBPPPBBPPB,BPBBPP,10
BPPBBP,PPBBBPPBBP,PPPPBB,10
BBPBBP,PPBBBPPBBP,BPBPBP,10
PBPPPP,PPBBBPPBBP,BPPPBP,10
BPPBBB,BBPPPBBPPB,PPBPPB,10
BPPBBP,BBPPPBBPPB,BPPBPB,10
PBBPBP,BBPPPBBPPB,PPPBPB,10
BPBPBP,PPBBBPPBBP,BBPBPB,10
BPPBBP,BBPPPBBPPB,BBBBPB,10
PBPPBB,BBPPPBBPPB,PPPBBB,10
BPBPBP,PPBBBPPBBP,BBPPBP,10
PPPBBP,PPBBBPPBBP,BBBBPP,10
PPBBBP,BBPPPBBPPB,BBPBPB,10
PBBPBB,BBPPPBBPPB,PPPBPP,10
PBPPPP,PPBBBPPBBP,PPBBBB,10
PPPBBB,PPBBBPPBBP,PBPPPP,10
BPBPPB,BBPPPBBPPB,PBBPBP,10
PBBBPP,BBPPPBBPPB,PPBPPB,10
PPPBBB,BBPPPBBPPB,PBPPBB,10
PBBBPB,BBPPPBBPPB,BPPPPP,10
BBBPBP,BBPPPBBPPB,PBPPPP,10
PPBBPB,PPBBBPPBBP,PBBBPB,10
PPBPBB,BBPPPBBPPB,PPPPPP,10
BPBPPB,PPBBBPPBBP,PBBPPP,10
BPPBPB,BBPPPBBPPB,PBBPBB,10
BPBBBB,PPBBBPPBBP,PPPBPB,10
PBBPBP,PPBBBPPBBP,PPPPBP,10
BBBBBB,BBPPPBBPPB,BBBPBB,10
PPBBBB,PPBBBPPBBP,BPPBPB,10
BPBBBB,PPBBBPPBBP,BPBPBB,10
PBBPPB,BBPPPBBPPB,PPPBBB,10
BPBBBP,PPBBBPPBBP,BBBBBP,10
PBPBPB,PPBBBPPBBP,BBPPPB,10
PBPPPP,PPBBBPPBBP,PPBBBB,10
PBBPPB,BBPPPBBPPB,BPPBPB,10
PBPPPB,BBPPPBBPPB,BPBBBP,10
BBBBBP,BBPPPBBPPB,PPBBBP,10
PBBPBP,PPBBBPPBBP,BBBPPB,10
BBBBBB,BBPPPBBPPB,PBBBBB,10
PBPBPP,PPBBBPPBBP,BBPPPP,10
PBPPBP,BBPPPBBPPB,BBBBPB,10
BPPPBB,BBPPPBBPPB,PPPBBB,10
BBPPBP,BBPPPBBPPB,BPPBPP,10
BBPPPB,BBPPPBBPPB,BPPBPP,10
PPBPPP,BBPPPBBPPB,BBBBPB,10
BBBPBP,BBPPPBBPPB,BPPPBB,10
BPBPPB,BBPPPBBPPB,BPBPPP,10
PBBBPB,BBPPPBBPPB,PBPBBB,10
PBBPPP,PPBBBPPBBP,PPBPPB,10
PBBBBP,PPBBBPPBBP,BBPPPB,10
BPPPBP,BBPPPBBPPB,BBPBBB,10
BPBPPP,BBPPPBBPPB,PPBBBB,10
BPPPBB,BBPPPBBPPB,PBBPBP,10
BBPPBB,BBPPPBBPPB,PPPPBP,10
BPBBBB,PPBBBPPBBP,PBBPPB,10
PPPPPP,BBPPPBBPPB,BPBBPB,10
BPBBBP,PPBBBPPBBP,BPBPBP,10
PBPBBB,BBPPPBBPPB,BBBBBB,10
PPBPPP,PPBBBPPBBP,BBBBPB,10
PPBPPP,PPBBBPPBBP,BBBBPB,10
PPPPBP,BBPPPBBPPB,PBPBBP,10
BBPBPP,BBPPPBBPPB,BPPBBB,10
BPPPBP,PPBBBPPBBP,PPPPBB,10
BBBPPP,BBPPPBBPPB,BPPPPB,10
BBPPPB,BBPPPBBPPB,BBPBPB,10
BPPPPB,BBPPPBBPPB,PPPPPP,10
PPPBPP,BBPPPBBPPB,BBBPPP,10
BPPBBP,PPBBBPPBBP,PPBPPB,10
BBBPBB,PPBBBPPBBP,PPBBBB,10
BPBPPB,PPBBBPPBBP,BPBPPP,10
PPBPBB,PPBBBPPBBP,PBPBPB,10
BPPBPP,PPBBBPPBBP,PBBBPB,10
BBPBPP,PPBBBPPBBP,PBBBBP,10
BPBPPP,BBPPPBBPPB,PPBPPP,10
BPBBPP,PPBBBPPBBP,PPBBPP,10
BPBPPP,PPBBBPPBBP,BPPPPB,10
PBPPPP,PPBBBPPBBP,PBBPBB,10
PPPPBP,BBPPPBBPPB,BBBPPB,10
BBPPPP,PPBBBPPBBP,BBPBPP,10
PBPBBB,PPBBBPPBBP,PPPPPP,10
BPPPBP,BBPPPBBPPB,BPBBBP,10
PBBPBB,PPBBBPPBBP,BBPPPB,10
PBBPPB,PPBBBPPBBP,BPPPBP,10
PPBBBB,PPBBBPPBBP,BBPPPP,10
PBBBBB,PPBBBPPBBP,BPBBPP,10
BBBBBB,BBPPPBBPPB,BPPBPB,10
BBBPBP,BBPPPBBPPB,BBBPBP,10
PBBPBB,PPBBBPPBBP,BPPBBB,10
BBPPPP,BBPPPBBPPB,PPBBBB,10
BBPBBP,PPBBBPPBBP,BBPBBP,10
PBPPPB,BBPPPBBPPB,BBPBBP,10
PBBBBP,PPBBBPPBBP,BBPPBB,10
PBPPPP,BBPPPBBPPB,PBPPBP,10
PPPPBB,PPBBBPPBBP,PPPBPB,10
PPPPBP,BBPPPBBPPB,PBBPBB,10
BBBBBB,BBPPPBBPPB,BBPPPP,10
BBPPBB,PPBBBPPBBP,PPPBBP,10
BPPBBB,BBPPPBBPPB,BBBBPB,10
PPBPBB,BBPPPBBPPB,BPBPBP,10
BPPPPB,BBPPPBBPPB,BBBPBP,10
PBBPPP,PPBBBPPBBP,BBBBBP,10
PPPBPB,BBPPPBBPPB,BPPBPP,10
PBBBBB,BBPPPBBPPB,PBPBBP,10
BPPBBB,BBPPPBBPPB,BPPPPP,10
PBBBPB,PPBBBPPBBP,BPPPBP,10
PPBPPP,BBPPPBBPPB,PBBPBP,10
PBPBPP,PPBBBPPBBP,PPBPBP,10
BBBBPB,PPBBBPPBBP,BPPBPP,10
PPBPBB,PPBBBPPBBP,PBBPBP,10
BBBPPP,BBPPPBBPPB,PPBBBP,10
PBBPPB,PPBBBPPBBP,PBPBPB,10
PBBPPB,BBPPPBBPPB,BPBPPP,10
BPBPBB,BBPPPBBPPB,PPBPPB,10
BPBBBB,BBPPPBBPPB,BBPBPP,10
BPPPPP,BBPPPBBPPB,BPPPBB,10
PPPBBB,PPBBBPPBBP,PBBBPB,10
PBPBPP,BBPPPBBPPB,PPPBPB,10
BPPBBP,BBPPPBBPPB,PBBPBP,10
BBPPBB,BBPPPBBPPB,BBBPPB,10
PPPPBP,PPBBBPPBBP,BPPPPB,10
PBPPPP,BBPPPBBPPB,BBBPBB,10
PPBPBP,PPBBBPPBBP,PBPBPB,10
PBPBBP,PPBBBPPBBP,PPBPBP,10
BBBPPB,PPBBBPPBBP,PPBBBP,10
BPPBBP,PPBBBPPBBP,BPPBPB,10
PPPPPB,BBPPPBBPPB,BPBPPB,10
PBBBPB,BBPPPBBPPB,PPBPPB,10
PPPPBP,PPBBBPPBBP,BPBBBB,10
BPBBBP,PPBBBPPBBP,PBBPPP,10
PBPPBP,BBPPPBBPPB,BBPPPB,10
BPPPPB,BBPPPBBPPB,BBPPBP,10
PPPPPB,BBPPPBBPPB,BBBBPP,10
BBPBBB,BBPPPBBPPB,PPBPPP,10
BBBBBP,BBPPPBBPPB,PPPBPB,10
BBBBBP,BBPPPBBPPB,BBPBBB,10
PPPBBB,BBPPPBBPPB,BBBPPB,10
BPPBBP,PPBBBPPBBP,PBBPBP,10
PBBBPP,PPBBBPPBBP,BPPPBP,10
PBPPPB,BBPPPBBPPB,BPBPPB,10
PPPBBB,BBPPPBBPPB,BPBPBB,10
PPPPBP,BBPPPBBPPB,PBPPPB,10
BPPPBP,PPBBBPPBBP,BPBPBB,10
PBPBBB,BBPPPBBPPB,BBBBPB,10
PBBBPB,PPBBBPPBBP,PBPBPP,10
BBBPBB,PPBBBPPBBP,PBBBPP,10
PBBBPB,BBPPPBBPPB,PPPPBP,10
BPPBBP,BBPPPBBPPB,PPPPPP,10
BPPBBP,BBPPPBBPPB,PPPPPP,10
PPPBBB,BBPPPBBPPB,BPPBPP,10
BPBPPB,PPBBBPPBBP,BBPPBP,10
BPPPPB,PPBBBPPBBP,BPBPBP,10
PBBPPP,BBPPPBBPPB,BPBBPP,10
PPPPPB,PPBBBPPBBP,BBBPPP,10
PPBPBP,BBPPPBBPPB,BPPBBB,10
BBPPPP,BBPPPBBPPB,BPPPBB,10
PBPBPP,BBPPPBBPPB,PPPPPB,10
BPPPPB,BBPPPBBPPB,PBBBPB,10
BPPPPB,BBPPPBBPPB,PBBBPB,10
PPBBBB,BBPPPBBPPB,BBBPBB,10
PPPPBB,BBPPPBBPPB,BPBPBP,10
PPPPBB,BBPPPBBPPB,BPBPBP,10
BBPBBP,PPBBBPPBBP,PBPPPP,10
BBPBBP,PPBBBPPBBP,PBPPPP,10
BBPPBP,PPBBBPPBBP,PBPPBB,10
PBBPBP,PPBBBPPBBP,BBPBPP,10
BPBPBB,BBPPPBBPPB,PPBPBP,10
BPPPPB,PPBBBPPBBP,BBPPPB,10
BBPBBP,PPBBBPPBBP,BPBBPB,10
BBBPPB,PPBBBPPBBP,BPBBBP,10
PPBPBP,BBPPPBBPPB,PBBBBB,10
