before,dragon,after,length,color
BBPBPB,PPPPPPPP,BPBPBB,8,P
PPBPPB,PPPPPP,BPPBBB,6,P
PPPBPP,BBBBB,PBBPPB,5,B
BPBBPP,BBBBB,PBBPPP,5,B
BBPPBB,PPPPP,BPBPPB,5,P
BBPBPB,PPPPP,BBBPPB,5,P
PBBPPB,PPPPPPP,BPPBBB,7,P
BBBPBP,BBBBBBBBB,PPPPBP,9,B
PBPBPP,BBBBBB,PBBPPB,6,B
PPPBBP,BBBBBB,PBBBPB,6,B
BPPBPP,BBBBB,PPPPBB,5,B
PBBBPP,BBBBB,PBBBBB,5,B
BBBBBP,BBBBB,PPBPPB,5,B
BPPBPB,PPPPP,BBPPBB,5,P
BBPPPP,BBBBBB,PPBBPP,6,B
BBPPBB,PPPPP,BBBPPP,5,P
PPPBBB,PPPPPPPPPPP,BBBPPP,11,P
BPBBPP,BBBBBB,PPBPPB,6,B
PBPPPB,PPPPPP,BPPPPB,6,P
PBPPPP,BBBBBBBB,PBBBPP,8,B
PBBPBP,BBBBB,PPPBBB,5,B
BBPBPB,PPPPPPPP,BBPPBP,8,P
PPBBPB,PPPPPP,BBPBPP,6,P
BPBPBP,BBBBBBB,PBPPBP,7,B
BPBPPB,PPPPPP,BPPBPP,6,P
BPPPPB,PPPPP,BBPBBP,5,P
BBPBBB,PPPPP,BBBPBP,5,P
PPPBBP,BBBBB,PPBBBB,5,B
BBBPBP,BBBBBB,PPBPBB,6,B
PPBBPP,BBBBB,PBBPPB,5,B
BBPBBP,BBBBBBBB,PBBPPP,8,B
PBBBPP,BBBBB,PPBPPP,5,B
PPBPBB,PPPPP,BBPBBP,5,P
PBPPPB,PPPPPP,BPPPBB,6,P
BPBPPB,PPPPPPP,BPPPPP,7,P
PPPPPB,PPPPP,BBBPBP,5,P
BBBPBB,PPPPP,BPPPBP,5,P
BPBPBP,BBBBBBBB,PPPPPB,8,B
BBBBBB,PPPPP,BBPPBB,5,P
BPPBPB,PPPPP,BPBBPB,5,P
BPPPBP,BBBBB,PBPPBP,5,B
BPBPPB,PPPPPP,BPBPBB,6,P
PPBBBP,BBBBB,PBBPBP,5,B
PBBPPP,BBBBBB,PBBPBP,6,B
PPPPBP,BBBBB,PBBBBP,5,B
BPPBBB,PPPPPP,BBBPPP,6,P
BBBBBB,PPPPP,BBPPPB,5,P
BBBPPB,PPPPPP,BPPBBB,6,P
BBPPBP,BBBBBBB,PPPBBB,7,B
PBPPBP,BBBBB,PBBPBP,5,B
BBPBPB,PPPPPPPPP,BPBBPB,9,P
BPPBBP,BBBBBB,PBPBBP,6,B
BPBBPP,BBBBBB,PBBBBB,6,B
BBBBBP,BBBBB,PBPBPB,5,B
BBPPPB,PPPPP,BPPPPB,5,P
PPBBPP,BBBBB,PPPPBB,5,B
PBBPBP,BBBBBB,PPPPBP,6,B
BBPPPB,PPPPPPPPP,BPBBPP,9,P
PBBBBB,PPPPPPPPP,BPBPBP,9,P
PPPBBP,BBBBBBB,PPBPPB,7,B
PBBPPB,PPPPPP,BPPPPP,6,P
PPPPPB,PPPPP,BPPBBP,5,P
PPBBPB,PPPPP,BBBBBP,5,P
BPPPPP,BBBBB,PBBPPB,5,B
PPPPBB,PPPPPP,BBBBPP,6,P
BPBPBB,PPPPP,BPBPBP,5,P
PPPBBB,PPPPP,BBPBBP,5,P
BBBPPP,BBBBBBBBBB,PBPPBP,10,B
PBBBPB,PPPPPPP,BBPPBB,7,P
PPBBBP,BBBBB,PPBBPP,5,B
BPPBBP,BBBBBBBB,PPBBPP,8,B
BPBBPP,BBBBB,PPPBBB,5,B
BBBPPP,BBBBBB,PBBBPP,6,B
PPPBPP,BBBBBB,PPPBBB,6,B
BPBBPP,BBBBB,PBPPPP,5,B
PPBPBP,BBBBBB,PBPBPP,6,B
BPPBPB,PPPPP,BPBPBP,5,P
BBBBBP,BBBBB,PBBBBB,5,B
BBBBBP,BBBBB,PBPBPB,5,B
BPBBPP,BBBBBB,PBBBBB,6,B
BBBBBP,BBBBBB,PPPBPP,6,B
BBPPPB,PPPPPPP,BBBPPP,7,P
PPPBBB,PPPPPP,BBBPBP,6,P
PPPBBB,PPPPPPP,BPBBPB,7,P
PBPBBP,BBBBB,PBPBBB,5,B
PPBBPP,BBBBBBB,PPPPPB,7,B
BBBBBB,PPPPP,BPPPPB,5,P
PPBBBB,PPPPPP,BPPPPB,6,P
BPPBPP,BBBBB,PBBPPP,5,B
PBPPPP,BBBBB,PPBPPP,5,B
BBPBPP,BBBBB,PPBPBB,5,B
BPBPBP,BBBBB,PPPBPP,5,B
BPBBBB,PPPPP,BBBBBP,5,P
BPPPPP,BBBBB,PPBBPB,5,B
BPPBPP,BBBBB,PBPBBP,5,B
BBBPBP,BBBBBBBB,PBPPPP,8,B
BBBBPB,PPPPPP,BBPBBP,6,P
PPBBPB,PPPPP,BBBBPP,5,P
BPPPPB,PPPPP,BPBPBB,5,P
PBPBBP,BBBBB,PPPBBB,5,B
BBBPPP,BBBBBBBB,PPPPBB,8,B
PBBPBP,BBBBB,PPBBBB,5,B
PBBBBP,BBBBB,PPPBBP,5,B
PBBPPP,BBBBB,PPPBPP,5,B
PPPBBP,BBBBBB,PBPPBB,6,B
PPPPBB,PPPPP,BPBPPP,5,P
BPBPBB,PPPPPP,BPPBPP,6,P
BPPBBB,PPPPP,BPBPBP,5,P
PBPPBB,PPPPP,BPBPBP,5,P
BPBPPP,BBBBB,PPPPBB,5,B
BBPPPP,BBBBBB,PPBBPB,6,B
BBBBPP,BBBBB,PPPPBB,5,B
PPBPBB,PPPPP,BPBBPB,5,P
BPBBBB,PPPPP,BPBPBB,5,P
BPPPPB,PPPPPP,BBPBBP,6,P
PBBBBP,BBBBBBBBBB,PPBBBP,10,B
BPPBBB,PPPPPP,BBBBPB,6,P
BPPPPB,PPPPP,BPBPPB,5,P
BBPPBP,BBBBB,PPBPPP,5,B
PPBPBB,PPPPP,BPPBBP,5,P
PBBBBP,BBBBB,PPPPPB,5,B
PBBBBB,PPPPP,BBBPPB,5,P
PPPBPP,BBBBBB,PPBBPB,6,B
PPBBPP,BBBBBB,PPPPPB,6,B
PBPBPB,PPPPPPP,BBPBBB,7,P
BBBPBP,BBBBBB,PPBBPB,6,B
BPBBBB,PPPPP,BBBBBP,5,P
BPPPPP,BBBBB,PPBPPB,5,B
BPBBBB,PPPPPP,BPBBBB,6,P
PPPPBP,BBBBBBB,PPBBPP,7,B
BPBPBP,BBBBBBBB,PPPBPB,8,B
BPPBPB,PPPPPPP,BPPPPB,7,P
BBBBPB,PPPPP,BPBPBB,5,P
PPPBPB,PPPPP,BPPPBB,5,P
PPBBBP,BBBBBB,PPBPBP,6,B
PBBBPP,BBBBBB,PPBPBB,6,B
BPPBPB,PPPPP,BPPBPP,5,P
BPBPBP,BBBBBBB,PBPBPP,7,B
BPBBPB,PPPPP,BPPBBB,5,P
PPBPBB,PPPPP,BPPPPB,5,P
BBPPPP,BBBBBBBBB,PPPBBP,9,B
PPBBBB,PPPPP,BBPBPB,5,P
BBBBPB,PPPPPPPPP,BBPPPB,9,P
BBPBBP,BBBBBB,PPBBPB,6,B
BPPBPP,BBBBB,PPPBPP,5,B
PPBPPP,BBBBBBB,PPPBBB,7,B
BBBPBB,PPPPPPP,BBBPPB,7,P
PBPPBP,BBBBB,PBPBBP,5,B
BPBBBP,BBBBBBB,PBBPBB,7,B
BBPBBB,PPPPP,BPBPBB,5,P
BBPPBB,PPPPP,BBPBPP,5,P
PPBBBB,PPPPPP,BPBBBP,6,P
PPBPBB,PPPPPPPPP,BPBBBP,9,P
BBPBPB,PPPPPP,BBBPBP,6,P
BPBPPP,BBBBBB,PPBBBP,6,B
PPPBPB,PPPPPP,BBBPBB,6,P
PPBBPP,BBBBBB,PBBPPB,6,B
BBPPPP,BBBBBB,PBPBPP,6,B
PPPBPP,BBBBB,PBPPBB,5,B
BPBPPP,BBBBBB,PPBPBB,6,B
PPBBPB,PPPPP,BBBPPB,5,P
PBPBPB,PPPPP,BPPPPP,5,P
PPPPPB,PPPPPPP,BBBPBP,7,P
PPPPBB,PPPPPPP,BPPPPB,7,P
PBPBBB,PPPPP,BPPPBB,5,P
PBPPBP,BBBBB,PPPBBP,5,B
PPPBBP,BBBBBB,PBBPBB,6,B
BBPBBP,BBBBBB,PPBPPB,6,B
PBPBPB,PPPPPP,BBBPBB,6,P
PPPBPP,BBBBB,PBPBPP,5,B
BPBPBP,BBBBB,PPPPBP,5,B
BPPPBB,PPPPPP,BPPBBB,6,P
PBPBBP,BBBBBBB,PBPPPB,7,B
BPBBPB,PPPPP,BPPPBP,5,P
PBBPBB,PPPPPPP,BBPBBB,7,P
BPBPBB,PPPPP,BPPBPB,5,P
PBBBPP,BBBBBB,PPPBBP,6,B
PPBBBP,BBBBB,PBPPBB,5,B
BPPBBP,BBBBB,PPBBBP,5,B
BBPBPP,BBBBB,PBPBPB,5,B
BPPBBP,BBBBB,PBBBPP,5,B
BBBBPP,BBBBBB,PPPPBP,6,B
PBPBBB,PPPPP,BBBBPP,5,P
BBPPPB,PPPPP,BBBBBP,5,P
BPPPPP,BBBBB,PPPBBB,5,B
PPPBBP,BBBBBB,PPBBBP,6,B
PPBBPB,PPPPPPPP,BBBBPP,8,P
PBBBBB,PPPPPP,BBPBBB,6,P
PPPPPB,PPPPPPPPPPPP,BPBPPP,12,P
PPBBBB,PPPPP,BBPPPB,5,P
PBBPPP,BBBBB,PBBPPB,5,B
BPPPPP,BBBBB,PBBPBB,5,B
BBPBBP,BBBBBB,PBBBBB,6,B
BBPBBB,PPPPP,BBPPBP,5,P
BPBPPB,PPPPPP,BPBBPP,6,P
PBPPPB,PPPPP,BPBPPB,5,P
PPBPBB,PPPPPP,BBPBBB,6,P
PBPPPB,PPPPPP,BBBBPB,6,P
BBPPPP,BBBBBB,PBPBPB,6,B
BPBBBP,BBBBBB,PPBPPP,6,B
PBPPBP,BBBBB,PBBBBP,5,B
BPPBPP,BBBBBB,PBBBBP,6,B
BPBBBB,PPPPP,BBBBPB,5,P
PPBPBB,PPPPPPPP,BBBBBB,8,P
PPPPPP,BBBBBBBB,PPPPPB,8,B
BBBBBB,PPPPP,BBBPPB,5,P
BBBPBB,PPPPP,BPPBPB,5,P
PPBPPB,PPPPPP,BBBBBB,6,P
PPPPPP,BBBBBBB,PBPBPB,7,B
PBBPPP,BBBBBB,PPPBPB,6,B
BPBBPP,BBBBBB,PPPBBP,6,B
BPBPPP,BBBBB,PPPPBB,5,B
PBBBPP,BBBBB,PBPBPP,5,B
BBPPBP,BBBBB,PBBPPB,5,B
BPBBPP,BBBBBB,PPPBBP,6,B
BBPBPP,BBBBBB,PBPBBP,6,B
BPPPBB,PPPPPP,BPBBBP,6,P
PPBPPP,BBBBBBB,PBPBBB,7,B
PBBBBP,BBBBB,PPBPPB,5,B
PPBBPB,PPPPPPPPP,BPBPPB,9,P
PBBPPB,PPPPP,BBPBBB,5,P
BBPPPP,BBBBB,PBBPPP,5,B
BBBPBB,PPPPPPPPP,BBPPBB,9,P
PPBBPP,BBBBB,PBPPPP,5,B
BBBBPB,PPPPPP,BPPPBP,6,P
PPBPPB,PPPPPPPPPP,BPPPPP,10,P
PPPPPB,PPPPPPP,BPPBBB,7,P
PPBBBB,PPPPP,BPPBPP,5,P
BBBPBB,PPPPPP,BBPBPP,6,P
PBPPPB,PPPPP,BPPBPB,5,P
BPPBBB,PPPPP,BBPPPB,5,P
BBPPPB,PPPPPP,BPBPPP,6,P
PPBBPB,PPPPP,BBPPPB,5,P
BBBBBB,PPPPP,BBBBPP,5,P
PPBBBP,BBBBBBBB,PBPPBB,8,B
BPBPBB,PPPPPPP,BPPPBB,7,P
BBBPBP,BBBBBB,PBPBBP,6,B
PBBPPB,PPPPPPP,BPBBPP,7,P
BPPPBP,BBBBB,PPBPBB,5,B
PBPBBB,PPPPPPPP,BPPBPB,8,P
PPBBBB,PPPPP,BBBPPP,5,P
BPPPBP,BBBBBBB,PPBBBB,7,B
PPBPBB,PPPPPPPPP,BPBPPB,9,P
BBPBBP,BBBBB,PPPPPB,5,B
PBBBBB,PPPPP,BPPBPB,5,P
BPBPBP,BBBBBBBB,PPPPPP,8,B
BBBBBB,PPPPPPP,BBBPBP,7,P
BBPPBP,BBBBB,PBBPPP,5,B
BPPBBB,PPPPPP,BBPBBB,6,P
PPPBBP,BBBBBBB,PBPBPB,7,B
PBPPBP,BBBBB,PPBBPB,5,B
PPPPPP,BBBBB,PBPPPP,5,B
BBPBPB,PPPPPPP,BBPPBB,7,P
BPBPPP,BBBBB,PBPPBP,5,B
PBBPPB,PPPPP,BBBPPB,5,P
BBBBBP,BBBBB,PPBPPP,5,B
PBBPPB,PPPPPPPPP,BBBPBB,9,P
BPBBBB,PPPPP,BPPPBB,5,P
PPBPBB,PPPPP,BBPPBB,5,P
BBBBBP,BBBBB,PPPPBP,5,B
PPPBPP,BBBBBB,PPPPBB,6,B
BBBPBP,BBBBBBB,PPPPPB,7,B
PBBBBP,BBBBB,PPBBPB,5,B
BPBBBP,BBBBBB,PPPBPB,6,B
PPBPPP,BBBBB,PBBBBP,5,B
BPPBPP,BBBBBBB,PPBBPP,7,B
BPBBBB,PPPPPPP,BBPBBB,7,P
PBBPPB,PPPPP,BBBBPP,5,P
BPBBPP,BBBBBB,PPBPPP,6,B
BBPPPB,PPPPP,BBBPPB,5,P
BBPBPP,BBBBB,PBPBBP,5,B
PBBPPP,BBBBB,PBBPBP,5,B
BPPPBB,PPPPPP,BBPBPP,6,P
PPBPBB,PPPPP,BPPPBB,5,P
PPBPPP,BBBBB,PBPBBB,5,B
BBBPPP,BBBBB,PBBBPB,5,B
PPPBPB,PPPPP,BBBPPB,5,P
PBBBBP,BBBBBBB,PPPBBB,7,B
PBBPBB,PPPPP,BBBBBB,5,P
BPPPPP,BBBBBB,PPBBBP,6,B
PPPBBP,BBBBB,PPBPBP,5,B
BPBBBB,PPPPPPPP,BPPPBB,8,P
PBPBBP,BBBBB,PBBBBP,5,B
PBPPBB,PPPPP,BPBBPP,5,P
BPPBPP,BBBBBB,PBBPBB,6,B
BPBBBP,BBBBB,PBBPPP,5,B
BBBPBB,PPPPP,BBPBBB,5,P
BBPBBB,PPPPP,BBPBBP,5,P
BPBBBB,PPPPPP,BPPPBP,6,P
BBBPPP,BBBBBB,PBBBBP,6,B
BPBPPP,BBBBB,PBBPPB,5,B
BPBPPP,BBBBB,PPPBPP,5,B
PPBPPP,BBBBB,PPPPPP,5,B
PBBBBB,PPPPPPPP,BPBBBP,8,P
PBPBBB,PPPPP,BBPBPB,5,P
BPBPBP,BBBBBB,PPBBPB,6,B
PPBBPB,PPPPP,BBBBPP,5,P
PPPBPP,BBBBB,PPPPBB,5,B
BBPPPP,BBBBB,PPPBBP,5,B
PBBPBB,PPPPP,BBBPBP,5,P
BPBBBP,BBBBB,PPBPBB,5,B
PPPPBP,BBBBBBB,PBPBBP,7,B
BPPBPP,BBBBBB,PPPPBP,6,B
BPBBBB,PPPPP,BPBPPP,5,P
BBPPBB,PPPPP,BPBPBP,5,P
BPPPPB,PPPPP,BBBPBB,5,P
PPBBBP,BBBBBB,PBBPPP,6,B
PPPBBP,BBBBB,PBPPBB,5,B
PBBPBB,PPPPPP,BBBPPP,6,P
PPPBBB,PPPPP,BPBPPB,5,P
PBPBBB,PPPPPP,BPPBPB,6,P
PPBPBB,PPPPPPP,BPPBBB,7,P
PBBBPB,PPPPPPP,BBPBBB,7,P
PPPBBP,BBBBBBB,PPPPPP,7,B
BPPBPB,PPPPP,BBPPBB,5,P
PPBBPP,BBBBBB,PBPBBB,6,B
BPPBBP,BBBBBB,PPPPBP,6,B
PBBPBB,PPPPP,BBBPPP,5,P
BPBBBP,BBBBBBBBBB,PPPPBP,10,B
BPBPBB,PPPPP,BBBBPP,5,P
BPBPPB,PPPPP,BPBPPB,5,P
PBPBBP,BBBBBBB,PBBPBB,7,B
BBPBBP,BBBBB,PBBBPB,5,B
PPBBBB,PPPPPP,BPPBPB,6,P
BBPPPP,BBBBB,PBPPBB,5,B
BBPBPP,BBBBBB,PPBBPP,6,B
BPBPBP,BBBBB,PPPPBB,5,B
BBPPPP,BBBBB,PBBPBP,5,B
BPPBBP,BBBBBB,PPPPBP,6,B
PPBPBP,BBBBB,PPPBBP,5,B
PBBBPB,PPPPPP,BPBPPP,6,P
PPBBPP,BBBBB,PBBBBP,5,B
PBBPPP,BBBBB,PBPBPP,5,B
PBPPBP,BBBBB,PBBPBP,5,B
PBBBPP,BBBBB,PBBPBB,5,B
BPPBPP,BBBBBBB,PBBPPP,7,B
PPPPBP,BBBBB,PPBBPB,5,B
BBPPBB,PPPPPPP,BBBBBB,7,P
PPPPPP,BBBBBB,PPPBBB,6,B
PBPPBB,PPPPPP,BBPPBP,6,P
BBBBBP,BBBBB,PPBPPP,5,B
BBBPPB,PPPPP,BBBPBP,5,P
PBPBBP,BBBBBBB,PPPBPB,7,B
PBPBPP,BBBBBB,PBBBBB,6,B
BBBBBP,BBBBBBBB,PPPBBB,8,B
BBPBBP,BBBBB,PBPPBP,5,B
PBBPBP,BBBBB,PBPBBP,5,B
BPBPBB,PPPPP,BBPBPP,5,P
PBBPPB,PPPPPP,BPPBBP,6,P
PBBBPP,BBBBBBB,PPBPBB,7,B
PBPPBB,PPPPP,BPPBBP,5,P
PPBBPB,PPPPP,BPBBBP,5,P
BBPBBB,PPPPPP,BBPPBP,6,P
PBPPBP,BBBBBBBBBBB,PPBBPB,11,B
BPPBPB,PPPPPPP,BPBBPP,7,P
BPBBPP,BBBBBB,PBPBBB,6,B
PBBPPP,BBBBB,PPBPPP,5,B
BBBPPB,PPPPPPP,BPPBPB,7,P
PPBPBB,PPPPP,BBPBPP,5,P
PPPBBP,BBBBBB,PBBBPB,6,B
BBBPBB,PPPPPPP,BBBBPB,7,P
BPBBPB,PPPPPPPPPP,BPPPPP,10,P
PPBBBB,PPPPPPPP,BBPBBP,8,P
BBBPPP,BBBBB,PBBBBP,5,B
PBBPBP,BBBBB,PPPBPP,5,B
BBBPPP,BBBBB,PBPPBB,5,B
BPPBBB,PPPPPPP,BBPBBP,7,P
PBBPBB,PPPPP,BBBPBP,5,P
PPBBPP,BBBBB,PBBPPB,5,B
BBPBPP,BBBBB,PBBPBP,5,B
PBBBPP,BBBBB,PBPBBP,5,B
BPBBBP,BBBBBB,PBPPPB,6,B
BBPBPB,PPPPP,BBPBBB,5,P
PPBBBB,PPPPPPP,BBBPPP,7,P
BBPBBB,PPPPPP,BPBPPP,6,P
PBPBBP,BBBBBBB,PPPPPB,7,B
BBBBBB,PPPPP,BPPBBP,5,P
PBBPBB,PPPPP,BBPPPB,5,P
BBPPBP,BBBBB,PPPBBP,5,B
BBBPPP,BBBBBB,PBPPPB,6,B
PPBBBP,BBBBB,PPPPPP,5,B
PBBBBB,PPPPPP,BBPBBB,6,P
PPBPBP,BBBBBB,PPBPBB,6,B
PBPBPB,PPPPP,BBBPPP,5,P
PPPBBP,BBBBBB,PBPBPB,6,B
PPPPPB,PPPPP,BPBBPB,5,P
PPBBBP,BBBBB,PBPBBB,5,B
PBPPPP,BBBBBB,PBBBBP,6,B
BBPBPB,PPPPP,BBPPBB,5,P
PBBPPB,PPPPP,BPPPBB,5,P
PBBPBP,BBBBBBBB,PBBBPB,8,B
BPBPPP,BBBBB,PBBPBP,5,B
BPPBBB,PPPPPP,BPPPPP,6,P
PPPPPB,PPPPPP,BPPBBP,6,P
BPPPBB,PPPPPPP,BBBBBB,7,P
PBBPBP,BBBBB,PBPPPP,5,B
PBPPPP,BBBBBB,PPBPPB,6,B
PBPPPB,PPPPP,BBBBPP,5,P
BBBBPP,BBBBBBBBB,PPPPBB,9,B
PPBPBP,BBBBBB,PPPPBP,6,B
BBPBPB,PPPPP,BPPPPB,5,P
PBBBBP,BBBBB,PBPBPB,5,B
PBPPPB,PPPPPP,BBPBPB,6,P
BBBBPP,BBBBBBB,PPPPPP,7,B
BBBBBB,PPPPPPP,BBPPBB,7,P
BPPPBB,PPPPPP,BBPPBB,6,P
PPPBBP,BBBBB,PPPPBP,5,B
BPPPPB,PPPPPPP,BBPBBP,7,P
PBBPPB,PPPPP,BBPPPP,5,P
BPBPPP,BBBBBB,PBBPPB,6,B
BBPBBB,PPPPPP,BBBBPB,6,P
PPPBPP,BBBBBB,PPPPPB,6,B
BBBBBB,PPPPP,BPBPBB,5,P
BPPBPB,PPPPPP,BBPPPB,6,P
BPPPBP,BBBBB,PBPPPP,5,B
BBPPPB,PPPPP,BPBBBP,5,P
PBBPPP,BBBBB,PPBPPP,5,B
PPBPBB,PPPPPP,BPBBBP,6,P
BPBBBP,BBBBB,PBPBPB,5,B
PBBPBP,BBBBB,PPPPPP,5,B
PBBBBB,PPPPPP,BBPBBP,6,P
PBBBBP,BBBBB,PPBPBP,5,B
PBBBPP,BBBBB,PBPPPP,5,B
BBBBPP,BBBBB,PPPPBB,5,B
BPPPBP,BBBBBB,PPPPPB,6,B
BBBBBB,PPPPP,BPBPBP,5,P
PBPBPB,PPPPP,BPPPPP,5,P
BPPBBB,PPPPP,BPPPBB,5,P
PPPBBB,PPPPP,BPBBPB,5,P
PBPBBB,PPPPPPP,BBBPPP,7,P
PPBBPP,BBBBB,PBBPPP,5,B
BBBPPB,PPPPPP,BPPPBB,6,P
BPBBBP,BBBBBBBB,PBPBPP,8,B
BPPPBP,BBBBBB,PPBBBB,6,B
PBBPBP,BBBBB,PBPPPP,5,B
PBPPPP,BBBBB,PBPBPP,5,B
PBPPBP,BBBBB,PPBBPP,5,B
PBPBPP,BBBBB,PPPPBB,5,B
BBPBBP,BBBBB,PBPPPP,5,B
BBBBPB,PPPPPP,BPPPPP,6,P
BPPBPB,PPPPP,BPPPBP,5,P
BBBPBB,PPPPPPPP,BPPPBB,8,P
PBBBBP,BBBBB,PBPBPB,5,B
BBPBPB,PPPPP,BPBBPP,5,P
BPPBPP,BBBBBB,PBBPPB,6,B
BBPBPB,PPPPPP,BPPPBB,6,P
PBPPBB,PPPPPP,BBBBPP,6,P
PPBBBB,PPPPP,BBBBPB,5,P
PBBBPB,PPPPPP,BPBPBB,6,P
PPBBBP,BBBBBBBBB,PBBPPP,9,B
BBBPPB,PPPPPP,BPBBPB,6,P
PBBBPP,BBBBB,PPBBBB,5,B
BBBPPB,PPPPPPP,BBBBPP,7,P
BBPBPB,PPPPP,BBBPBB,5,P
BPBPPP,BBBBB,PBBPPB,5,B
BPBPBB,PPPPPP,BPPBBB,6,P
PBPPPP,BBBBBBB,PPPPPB,7,B
BBPBBP,BBBBBBB,PPPPBP,7,B
BBPBBP,BBBBB,PPBPBP,5,B
BBBPPP,BBBBBB,PBPPPB,6,B
BPBBBB,PPPPP,BBPBPB,5,P
PPBBBP,BBBBBB,PPBBPP,6,B
BBPPPP,BBBBB,PPPPPB,5,B
PBBBBB,PPPPP,BPPPBP,5,P
BBBPPP,BBBBB,PPPPBB,5,B
PBBBBP,BBBBB,PBPPBP,5,B
PBPPBP,BBBBBB,PPBPPB,6,B
BPPBBB,PPPPPP,BBBBPB,6,P
PPBPPP,BBBBB,PBPPPB,5,B
PBPBPP,BBBBB,PPPBPB,5,B
BBPBPB,PPPPPPPPP,BBPPPB,9,P
PBBPBB,PPPPP,BBPPBB,5,P
BPBPBP,BBBBB,PBPPPB,5,B
BBBPPB,PPPPP,BPPPPP,5,P
PPPPPB,PPPPP,BBBBBP,5,P
BPPPPP,BBBBB,PPPPPB,5,B
PBBBBB,PPPPP,BBBPPP,5,P
PPPBBB,PPPPPP,BBPBPP,6,P
PPPBPP,BBBBBB,PBPPBP,6,B
BPPPBP,BBBBB,PPBPBP,5,B
PBPPPB,PPPPP,BBPBBP,5,P
BBPBPB,PPPPPPP,BBPBBB,7,P
PPPPBP,BBBBB,PBBBBP,5,B
BBBPBB,PPPPP,BBPPBP,5,P
PBPPPP,BBBBBB,PBBPPB,6,B
BBPBPP,BBBBB,PPPPPB,5,B
PBBBBB,PPPPP,BPPBBB,5,P
PBPBPB,PPPPPPPPP,BPBPPB,9,P
PBPBBB,PPPPP,BPBPBB,5,P
BBPBPB,PPPPP,BBPPBP,5,P
BBBBPB,PPPPP,BPBBPP,5,P
PPPPPB,PPPPP,BBPBPP,5,P
BPBPBB,PPPPP,BBBPPP,5,P
BPBBBP,BBBBB,PPBPBB,5,B
PPPBBP,BBBBB,PPBPBB,5,B
BBPPBP,BBBBBB,PBBBPP,6,B
PBPPPP,BBBBB,PPPPBP,5,B
BPPBPB,PPPPPP,BBBBBP,6,P
PPPPPP,BBBBB,PPPPPP,5,B
PBBBBB,PPPPPP,BBPPBP,6,P
PBPPPB,PPPPP,BBPPPP,5,P
BBBBPB,PPPPP,BPPPPB,5,P
PBPPPP,BBBBB,PPBBBP,5,B
PBBBPB,PPPPPP,BBBPBB,6,P
PBPPPP,BBBBBB,PPBPPP,6,B
BPBBBP,BBBBB,PBBPBB,5,B
BBPBBP,BBBBB,PBPPPB,5,B
BPBBPB,PPPPP,BBBBPP,5,P
PPBPPP,BBBBB,PPBPBB,5,B
BBPPBP,BBBBBBBB,PBPPPP,8,B
PPPBPP,BBBBBB,PPPBPB,6,B
BBPBBP,BBBBBB,PPPPBB,6,B
PPPBPP,BBBBB,PPBBPP,5,B
PBPBBB,PPPPP,BBPBBB,5,P
BBPBPB,PPPPPP,BBPPPP,6,P
PPPPBB,PPPPP,BBBPBP,5,P
BPBPPP,BBBBB,PBPPPB,5,B
BPBPBP,BBBBB,PPPBBB,5,B
BBBBPP,BBBBBB,PBPPBB,6,B
BBPBBB,PPPPPP,BBPPBB,6,P
PBPBBB,PPPPPPP,BPBPBB,7,P
BPBBPP,BBBBBB,PPPPPP,6,B
BPBPBB,PPPPPPP,BBPBBB,7,P
PPPBBP,BBBBBBBB,PBPBPP,8,B
BPBPBP,BBBBB,PPPBPP,5,B
PPBPPB,PPPPP,BBPBPB,5,P
PBBBPB,PPPPP,BBPPBP,5,P
PBPBPB,PPPPPP,BBBPBB,6,P
BBPPBP,BBBBBBBB,PPBPPP,8,B
BBBPPP,BBBBBBB,PPBBPB,7,B
BPBBPB,PPPPP,BPBPPP,5,P
PBPPPB,PPPPP,BPBBBB,5,P
PPPBBB,PPPPPP,BBPPPP,6,P
PPPPBB,PPPPPPP,BBPPPB,7,P
BPBBPP,BBBBB,PBPPPB,5,B
BBBBPB,PPPPPP,BBPBBP,6,P
BBPPBB,PPPPPP,BPPPPB,6,P
PPPBBP,BBBBB,PBPPPP,5,B
PBPBPB,PPPPPP,BBPPPP,6,P
PBPBBP,BBBBBBB,PPBBBP,7,B
PBPPBP,BBBBB,PBPPPB,5,B
BPPBBP,BBBBBB,PPBBPP,6,B
PPPBBP,BBBBB,PPPBPP,5,B
BBPPPB,PPPPPP,BPPBPB,6,P
PPBPBP,BBBBB,PBPBPB,5,B
PBBPBB,PPPPP,BPBBPP,5,P
PPBBPP,BBBBBBBBB,PBPPPP,9,B
BPPPBP,BBBBB,PBBPBB,5,B
BPPBPP,BBBBB,PBPPPB,5,B
BBPBBP,BBBBBBB,PPPBBB,7,B
BBBPPP,BBBBBB,PPPPPB,6,B
BBBBBB,PPPPP,BPPPBB,5,P
PPBPBP,BBBBB,PPPBBP,5,B
BPPBPB,PPPPP,BBPBBP,5,P
BPBBPP,BBBBB,PPBBBB,5,B
BBBBPP,BBBBBB,PPBBPB,6,B
BBPPPB,PPPPP,BBPPBB,5,P
PPBBBP,BBBBB,PBPBPB,5,B
BBBBPP,BBBBB,PBBBBP,5,B
BBPPBP,BBBBBBB,PBBPBB,7,B
PPBBPP,BBBBB,PBBBBB,5,B
BBBBBP,BBBBBBB,PPPPBB,7,B
PBPPBB,PPPPP,BBPPPP,5,P
