before,pingpong_tikhu,after,repeat,length
PPPBBB,BBPPBBPP,BBPBBP,2,8
PBPBBB,BBPPBBPP,BPPPPB,2,8
PBPPPB,BBPPBBPP,PPBPPP,2,8
BPPPBP,BBPPBBPP,BBBBBP,2,8
BBBPPP,PPBBPPBB,PBPBPB,2,8
PPBPPB,PPBBPPBB,PBBPPP,2,8
PBBBPB,PPBBPPBBPPBB,BPPPBB,3,12
BBBPBP,BBPPBBPP,BBPBPB,2,8
PBPBPB,PPBBPPBB,PBPPPB,2,8
BBBBBP,PPBBPPBB,BBBBBB,2,8
PPBBBP,PPBBPPBB,BBPBPB,2,8
BPPPBP,BBPPBBPP,BPPBPP,2,8
BPBBPB,BBPPBBPP,BPBPPP,2,8
PBBBBB,BBPPBBPP,BPPBPP,2,8
BPBPBP,BBPPBBPP,BBPBBP,2,8
BBBPBB,BBPPBBPP,PBPBBP,2,8
BBPPBB,BBPPBBPP,PPPPBP,2,8
PPPBPB,PPBBPPBB,BBBPBB,2,8
BBBBBB,BBPPBBPP,PPBBBB,2,8
BBBBPB,BBPPBBPP,BPBBPB,2,8
PBPPPP,PPBBPPBB,PBBBBP,2,8
BBBPPB,BBPPBBPP,BPPBBB,2,8
PPPPBP,BBPPBBPP,PBBPBB,2,8
PBPBPB,PPBBPPBB,BPPBPB,2,8
PPPBPB,PPBBPPBB,PPPBBB,2,8
PPPPBB,BBPPBBPP,PBPBPB,2,8
BBBBBP,BBPPBBPP,BBPBPP,2,8
BPBBPP,PPBBPPBB,BPPPBP,2,8
PPPBBP,BBPPBBPPBBPP,PPBBPP,3,12
BBPBBP,PPBBPPBBPPBB,PBPPBB,3,12
PBPBBP,PPBBPPBB,PBBPPP,2,8
PBBBPB,BBPPBBPP,PBBBPB,2,8
BPBPBP,BBPPBBPP,BPPBBP,2,8
BBBBBP,BBPPBBPP,BPPPPP,2,8
BBBPPB,PPBBPPBB,BPPPPP,2,8
PBPBPP,PPBBPPBB,BPBBBB,2,8
BBBPBB,BBPPBBPP,BPBPPP,2,8
BPBBPP,PPBBPPBBPPBB,BBBPPB,3,12
BPPBPB,BBPPBBPP,BBPBPB,2,8
BPBPPP,PPBBPPBB,PBBPPP,2,8
BBBBPP,PPBBPPBB,PPPPPB,2,8
PPBPPB,BBPPBBPP,BPPBBB,2,8
PPPPPB,PPBBPPBB,PPBPPP,2,8
PBPPPB,PPBBPPBB,BPBBBB,2,8
BBBBBP,BBPPBBPP,PPPPPP,2,8
BPPBBB,BBPPBBPP,PPPBPP,2,8
BPBPPP,PPBBPPBB,BBPPBP,2,8
PBPBBP,BBPPBBPP,PBPBBP,2,8
PBBBPP,PPBBPPBB,PBPPPP,2,8
BBBBPB,BBPPBBPP,PPPBBB,2,8
BBBPBP,BBPPBBPP,PPPBBB,2,8
BBPPBB,BBPPBBPP,BPPBBB,2,8
PPPBPB,PPBBPPBB,BBBPPB,2,8
PPBPPB,BBPPBBPP,BPPPPB,2,8
PBPPBP,BBPPBBPP,BBBBPP,2,8
PBBPBB,BBPPBBPP,PBBBPP,2,8
PBPPPB,PPBBPPBBPPBB,BBBBPB,3,12
PPBBBP,PPBBPPBB,PBBPBB,2,8
PPBBPB,BBPPBBPP,PBBBBP,2,8
PPPBPB,PPBBPPBB,PBPBPP,2,8
PBBPBP,BBPPBBPP,BPPBBP,2,8
BPBPBP,BBPPBBPP,PPPPBB,2,8
PPPPPB,BBPPBBPP,BBBBPP,2,8
PPBPBB,BBPPBBPP,BPBBPP,2,8
PBPPPB,BBPPBBPP,BBPBPP,2,8
BPPBPP,PPBBPPBB,PBPPBP,2,8
BBPPPB,PPBBPPBB,PPPPPB,2,8
BPBBPB,PPBBPPBBPPBB,BBBBBP,3,12
BPPPPP,PPBBPPBB,PPPPBP,2,8
BPPBBB,BBPPBBPP,BPPPBP,2,8
PPBBBB,BBPPBBPP,PPPPBP,2,8
PPPBPB,BBPPBBPP,BPBPPB,2,8
PPPBBP,BBPPBBPP,BPBPBP,2,8
BPPBPB,BBPPBBPP,BPPBPB,2,8
PBBBBP,PPBBPPBB,BBPPPB,2,8
BBBPPB,BBPPBBPP,BPBBBP,2,8
PPBPPB,BBPPBBPP,BBBBBP,2,8
PBPBBB,BBPPBBPPBBPP,PPBBBP,3,12
PPBPBB,BBPPBBPP,PBBPBB,2,8
BBBPBP,PPBBPPBB,PPPPPB,2,8
BPBPPP,PPBBPPBB,PBPBBB,2,8
BBPPBP,PPBBPPBB,PBPPPB,2,8
PBBPBP,PPBBPPBB,BPPBBP,2,8
PBBPBP,PPBBPPBB,BPPBBP,2,8
PPBBPB,BBPPBBPP,PBBBBP,2,8
PBBBPB,PPBBPPBB,PBPBPB,2,8
BBBPBB,BBPPBBPPBBPP,PBPBPP,3,12
BPPPBB,BBPPBBPP,PBBBPB,2,8
BBBBPP,PPBBPPBB,BPBPBB,2,8
BBPBPB,BBPPBBPP,PBBPPP,2,8
PPPPBB,BBPPBBPP,BPPBBB,2,8
BBPPPP,PPBBPPBBPPBB,PBBBPB,3,12
BBPPBP,PPBBPPBB,BBPBBP,2,8
PPBPPB,PPBBPPBB,BPPBBP,2,8
BPPBBP,BBPPBBPP,PBPPBB,2,8
BBBBBP,PPBBPPBBPPBB,BBBBBP,3,12
BBBPPB,PPBBPPBB,BBPBBB,2,8
BPBBPP,PPBBPPBB,BBPBBP,2,8
BBBPPB,PPBBPPBB,BPPBPP,2,8
BPPBPB,PPBBPPBB,BBPPPB,2,8
BPPBBP,PPBBPPBB,BBBPBB,2,8
BPBBBP,PPBBPPBB,BPPPPB,2,8
BBBBPB,PPBBPPBB,BBBPBB,2,8
BBBBPB,PPBBPPBB,BPBBBB,2,8
BBPBBP,PPBBPPBB,BPBBPB,2,8
BBPBBP,BBPPBBPP,BPPPPB,2,8
PBBBPB,PPBBPPBBPPBB,PPPPBP,3,12
BPBPPB,PPBBPPBB,BPBBBB,2,8
BBBPPB,BBPPBBPP,PPPBPP,2,8
PPBPPB,BBPPBBPP,PBPPPB,2,8
BBBPBP,BBPPBBPP,BPBBBP,2,8
BPPBBB,BBPPBBPP,BPPBBP,2,8
PPPPBP,BBPPBBPP,BPBPPB,2,8
BPBPBP,BBPPBBPPBBPP,PPBPPP,3,12
PBPBPP,PPBBPPBB,PBPBBP,2,8
PPPPBB,BBPPBBPP,PPBPPP,2,8
PPBBBP,BBPPBBPP,BPPPPB,2,8
PBPBBP,BBPPBBPP,PBBPBB,2,8
BBPBBP,PPBBPPBB,PPPPBB,2,8
BBBPBB,BBPPBBPP,BBBPBP,2,8
BPBBBP,BBPPBBPP,BPBPBB,2,8
BPBBPB,BBPPBBPP,PPPBBP,2,8
PPBPPB,BBPPBBPP,PBBBPB,2,8
BBBBPB,BBPPBBPP,PPBBBB,2,8
BBBBBB,BBPPBBPP,PBPPBP,2,8
BBPPPB,PPBBPPBB,PBPPBP,2,8
PPBBPB,BBPPBBPP,BPPBBB,2,8
BBPPBP,BBPPBBPP,PPBPBB,2,8
PBBBBB,BBPPBBPP,PPBPBB,2,8
PPBPBB,BBPPBBPP,PBBBBB,2,8
BBBPPB,PPBBPPBB,PBBBBP,2,8
BBBPPB,PPBBPPBB,PPPBBB,2,8
PBPBBP,BBPPBBPPBBPP,BPBPBP,3,12
BPPBBP,PPBBPPBB,PPPPBB,2,8
PBBBPP,PPBBPPBB,PBBPBP,2,8
BBPPBB,BBPPBBPP,PPPPBP,2,8
BPPPBB,BBPPBBPP,BPPPPP,2,8
BBPPPB,PPBBPPBB,PBBBBP,2,8
PPPBBP,BBPPBBPP,BPPPBB,2,8
BPPBPB,PPBBPPBB,PBBBBP,2,8
PPBBBP,BBPPBBPP,BBPBPP,2,8
PBBBPB,BBPPBBPP,BPPBPB,2,8
PBPPBP,PPBBPPBB,PBPPPP,2,8
BBBBPP,PPBBPPBB,PBPBBP,2,8
BBPPBP,PPBBPPBB,BPPPPP,2,8
PBPPBP,PPBBPPBB,PBPPBB,2,8
BBPBBB,BBPPBBPP,BPBBPP,2,8
BBBPPB,PPBBPPBB,BPPPPB,2,8
BBPPBB,BBPPBBPP,BPPBBP,2,8
BBBBBP,BBPPBBPP,PPPPPP,2,8
PPBBBP,PPBBPPBB,PPBPPP,2,8
PPPPPB,BBPPBBPP,BPPBPB,2,8
BBPPBB,BBPPBBPP,PPBPPP,2,8
PPPPPB,BBPPBBPP,BBBBPP,2,8
PBBPBB,BBPPBBPP,PPBPBP,2,8
BBBPBB,BBPPBBPP,BBBBPB,2,8
PBPBPP,PPBBPPBB,BPPBBP,2,8
PBPBBB,BBPPBBPP,BBBBBP,2,8
PBPPBP,BBPPBBPP,BPPPPP,2,8
BPBPPB,BBPPBBPP,BBBBBB,2,8
BPBPBP,PPBBPPBB,BPBPPP,2,8
PBBBPB,BBPPBBPP,BPBPPB,2,8
BBBPBP,BBPPBBPP,BBBPBP,2,8
PPBPBP,PPBBPPBB,PPPBPP,2,8
PPBBPB,BBPPBBPP,PPPPBB,2,8
PBBPBB,BBPPBBPP,PBPBPB,2,8
PPBPBB,BBPPBBPP,BBBPBP,2,8
BPPPBB,BBPPBBPP,PBBBPB,2,8
PPPBBB,BBPPBBPP,PPBPBP,2,8
PBPPPP,PPBBPPBB,PPBPPB,2,8
BPPPBB,BBPPBBPP,BBPBBP,2,8
BPPPBP,PPBBPPBB,BPBBPB,2,8
PPBPPP,PPBBPPBB,BPBBBP,2,8
PPBPBP,PPBBPPBB,PPBPPP,2,8
PBBBPP,PPBBPPBB,BBBPPB,2,8
BBBBPP,PPBBPPBB,PPBPBP,2,8
BBBPBP,PPBBPPBB,PBPPPP,2,8
BBBBBP,BBPPBBPP,BPBBBP,2,8
PPBPBP,PPBBPPBB,PBBBBB,2,8
PPPPBP,BBPPBBPP,BBBPPB,2,8
PBPPPP,PPBBPPBB,BBBPPB,2,8
BPPBBB,BBPPBBPP,PPBBPP,2,8
PBBBPP,PPBBPPBBPPBB,PPPBPB,3,12
BPPPBP,BBPPBBPP,BPPBBP,2,8
PBBPPB,PPBBPPBB,BPBBBB,2,8
PBBBPB,BBPPBBPP,PBPBBP,2,8
PBBPPB,PPBBPPBB,PPBPPP,2,8
BBBBPP,PPBBPPBB,PBPPPP,2,8
BBPBPB,PPBBPPBB,BBPBPB,2,8
PPPBBP,PPBBPPBB,PBBBBB,2,8
PPBBBP,PPBBPPBBPPBB,PBBBBP,3,12
PPPBBP,BBPPBBPP,BBBBBB,2,8
BPBBPB,BBPPBBPP,PBPPPP,2,8
PPPPPP,PPBBPPBB,PBPBPP,2,8
PBPBPB,PPBBPPBB,PBPPBP,2,8
PPPBPP,PPBBPPBB,PBBPPB,2,8
BPPBPP,PPBBPPBB,BPPPBP,2,8
PPPPPB,PPBBPPBB,BPBBPB,2,8
BBBPPP,PPBBPPBB,PPPBBP,2,8
PBPPBP,PPBBPPBB,PPBPBP,2,8
PPPPBB,BBPPBBPP,PBBPBB,2,8
PPPBBB,BBPPBBPP,PPPBPB,2,8
PPBBPB,PPBBPPBB,BBBPPB,2,8
BBPBBB,BBPPBBPP,PBBPBB,2,8
PPPBBP,BBPPBBPP,PPBBBP,2,8
PBPPPP,PPBBPPBB,BPPPBB,2,8
PPPBBP,BBPPBBPP,PBPPBP,2,8
BPBPPB,PPBBPPBB,PBPPBP,2,8
PPPPPP,PPBBPPBB,BBPBBB,2,8
BPPPBB,BBPPBBPP,PBPBPB,2,8
BPBPPP,PPBBPPBB,BBBBBP,2,8
PBBPBB,BBPPBBPP,PPBBPP,2,8
PPBPBP,BBPPBBPP,BPPBBB,2,8
BBPBBB,BBPPBBPP,BPBBBB,2,8
BPBPPP,PPBBPPBB,BPBBBB,2,8
PBBPBB,BBPPBBPP,PBPBBP,2,8
BBBBPB,BBPPBBPP,BPBPPB,2,8
BPPBPB,PPBBPPBBPPBBPPBB,BBPBBB,4,16
PBBBPP,PPBBPPBB,BPBBPP,2,8
BBPPBB,BBPPBBPP,BBPBPP,2,8
PBPBPB,BBPPBBPP,BBPBBB,2,8
BPPBPB,PPBBPPBB,BBPBPB,2,8
BPBPBP,BBPPBBPP,PPBPPP,2,8
PBPPPP,PPBBPPBB,PPBPPP,2,8
BBBPBP,PPBBPPBB,PBPBBP,2,8
BBBPBP,PPBBPPBB,PPPBBB,2,8
BPPPPP,PPBBPPBB,BPPPBB,2,8
PPBBBP,PPBBPPBB,PPBPPB,2,8
PPPPBP,BBPPBBPP,PPBBPB,2,8
BBBPPB,BBPPBBPP,PPBPPB,2,8
PBBPBP,BBPPBBPP,BPBPBP,2,8
PPBPBP,PPBBPPBB,PPBPPP,2,8
BBBBBP,BBPPBBPP,BPBPPB,2,8
BPBPPB,PPBBPPBB,PBBPPP,2,8
BPPPBB,BBPPBBPP,BBBPPB,2,8
PBBPPB,BBPPBBPP,PPPBBP,2,8
PBBPPP,PPBBPPBB,BPBPBB,2,8
BPPPPB,BBPPBBPP,PPPBPP,2,8
PBBPBB,BBPPBBPP,BBBBPB,2,8
PBBBPP,PPBBPPBB,BPBBPP,2,8
BBPBPP,PPBBPPBB,BBBPPB,2,8
PBPPBP,PPBBPPBB,BBPBPP,2,8
PBPBBB,BBPPBBPP,PBBPBP,2,8
PPBBBP,BBPPBBPP,BPPPPB,2,8
PBPPPB,PPBBPPBB,BBBBBB,2,8
PBBPBB,BBPPBBPP,BPBPPP,2,8
PBBPPP,PPBBPPBB,BBPPBB,2,8
PBBPBP,BBPPBBPP,BBBBBB,2,8
PPBBBP,PPBBPPBB,PPPPBP,2,8
BPPPBB,BBPPBBPP,BPPPBP,2,8
BPBBPB,PPBBPPBB,PPPBBP,2,8
BPPBBP,PPBBPPBB,PPPPBP,2,8
PBPPPB,BBPPBBPP,PPBPPP,2,8
PBPBBP,BBPPBBPP,BBPBBB,2,8
BBPBPP,PPBBPPBB,PBBPPB,2,8
PBBPPB,PPBBPPBB,PBPPBB,2,8
BBBPPB,PPBBPPBB,PBPBBP,2,8
BBBBPB,BBPPBBPP,BPPBPB,2,8
PPPBBP,BBPPBBPP,PPPBBB,2,8
PPBPPB,BBPPBBPP,BBBPPP,2,8
BBPBBB,BBPPBBPP,PPBBBP,2,8
PBPBBB,BBPPBBPP,PPBPPB,2,8
BBBPPP,PPBBPPBB,PBPBPB,2,8
PPBBPB,BBPPBBPPBBPP,BBBPPB,3,12
PBBPPB,BBPPBBPP,BPBBPP,2,8
BPPPBP,BBPPBBPP,BBPBBB,2,8
BPBPPB,BBPPBBPP,PPPBPB,2,8
PPBBPB,PPBBPPBB,BPBPBB,2,8
PPBPBP,BBPPBBPP,PBPBBP,2,8
PBBPBP,BBPPBBPP,BBPBBP,2,8
PPPPBP,PPBBPPBB,BPPPPP,2,8
BPBPPP,PPBBPPBB,BBBBBB,2,8
PBPBBP,PPBBPPBB,BPPBBB,2,8
PPBBBP,BBPPBBPP,BPBPPP,2,8
BPPPBP,PPBBPPBB,BBPPPB,2,8
BPPPBP,BBPPBBPP,BPPPBB,2,8
PBPBBP,BBPPBBPP,PBPBPP,2,8
BBBPPB,PPBBPPBB,BBPPPP,2,8
PBPBBB,BBPPBBPP,BBPBBP,2,8
BPPBPB,BBPPBBPP,PBPBBB,2,8
PBBBPB,PPBBPPBB,BBPPPB,2,8
PBBBPP,PPBBPPBB,PBBPBP,2,8
PPPBBP,PPBBPPBB,BBBBBB,2,8
BBPBPP,PPBBPPBB,PBBPBB,2,8
BBBPBP,PPBBPPBB,BBPBBB,2,8
PBPBBP,PPBBPPBB,PBPBBB,2,8
BPBBBB,BBPPBBPP,PPBBBP,2,8
PPPPPB,PPBBPPBB,PPPPPB,2,8
BPPBBP,BBPPBBPP,PBPPBP,2,8
PPPBPB,BBPPBBPP,PBPPPB,2,8
BPBPBB,BBPPBBPP,PPPBPB,2,8
PBBBBB,BBPPBBPP,PBPBBP,2,8
BPBBPB,PPBBPPBB,BPBPPB,2,8
BBBPBP,PPBBPPBB,PBBPPP,2,8
PBPPBP,PPBBPPBB,BBPPBP,2,8
BPBPBP,PPBBPPBB,BPBBPB,2,8
BBBBPP,PPBBPPBB,BBBPPP,2,8
BPPBBP,PPBBPPBB,BBPPBP,2,8
PBPBBP,BBPPBBPP,PBBBPB,2,8
BBBPBP,BBPPBBPP,BBBPBP,2,8
PPPBPP,PPBBPPBB,BBPPBB,2,8
BBPPBB,BBPPBBPP,BPPBBB,2,8
BBPPBP,PPBBPPBB,BPPPPB,2,8
PPBPPP,PPBBPPBBPPBB,BPBBBB,3,12
BBPBBP,BBPPBBPP,BBBPBP,2,8
PBBPPB,PPBBPPBB,BPBPBP,2,8
BPBPBB,BBPPBBPP,BPBBPP,2,8
BBBBPB,PPBBPPBB,PPPBPP,2,8
BPPBPP,PPBBPPBB,BBBPBP,2,8
PBPBBP,BBPPBBPP,BPPPBB,2,8
PBBBBP,PPBBPPBB,BPPPPB,2,8
PPPBBB,BBPPBBPP,PBBPBB,2,8
BPBPPB,PPBBPPBB,BBBBBP,2,8
BBBPPB,BBPPBBPP,PBPBPB,2,8
BPPBBP,BBPPBBPP,PPBBBB,2,8
PPPBBB,BBPPBBPP,PPPBBB,2,8
BBBBPB,PPBBPPBB,PBBBBB,2,8
BPBBPB,PPBBPPBB,BBBPBP,2,8
BPBBBP,PPBBPPBB,BBPBPP,2,8
BPBPPP,PPBBPPBB,PPPPBB,2,8
BBBBPB,PPBBPPBB,BBPBPB,2,8
BBPPBP,PPBBPPBB,PPBPBB,2,8
BPBBPP,PPBBPPBB,PBBBPP,2,8
BBBBPB,BBPPBBPP,BPBBBB,2,8
BBBBBP,PPBBPPBB,BPBBPB,2,8
PPPBBP,PPBBPPBB,BPBBPP,2,8
PBPPBP,PPBBPPBB,BBPBBP,2,8
PBBBBB,BBPPBBPP,BPBPBB,2,8
PBBPPP,PPBBPPBB,PPBPPP,2,8
PPPPPP,PPBBPPBB,BBPPPP,2,8
BPPPBP,PPBBPPBB,BBBBBP,2,8
BBBBPB,PPBBPPBB,PPPPPP,2,8
PBBBPP,PPBBPPBB,PBBPBP,2,8
PBPPBP,BBPPBBPP,PPPBBP,2,8
BBPPPP,PPBBPPBB,BPBBPP,2,8
BBBBBB,BBPPBBPPBBPP,BPBPPP,3,12
PPPBBP,BBPPBBPP,BPPPBB,2,8
PPBBPB,BBPPBBPP,PPPPBP,2,8
BBPPPP,PPBBPPBB,BBPPBB,2,8
BPPBPB,PPBBPPBB,PPPBBP,2,8
PPBBPP,PPBBPPBB,BBBPBP,2,8
BBBPPB,PPBBPPBB,BPPPBP,2,8
BBPPPB,PPBBPPBB,BBBBBB,2,8
BPPPPB,PPBBPPBB,PPPBBP,2,8
BBBPPP,PPBBPPBB,PBBPBP,2,8
BPPPBP,PPBBPPBB,BPBPPP,2,8
PBPBPB,PPBBPPBB,BPBBPP,2,8
PBPBBP,BBPPBBPP,PBPBBB,2,8
BBPBBB,BBPPBBPP,PPBPBB,2,8
PBBBBP,PPBBPPBB,PPPBBP,2,8
BPBBBP,PPBBPPBB,PBBBPP,2,8
PPPBBP,PPBBPPBB,BPPBPP,2,8
BPPPBB,BBPPBBPP,PPPBPB,2,8
PPBPBB,BBPPBBPP,BBBPBP,2,8
BBPBBP,PPBBPPBB,PPBPPP,2,8
BBPBPB,PPBBPPBB,BPBBPB,2,8
PBPBBB,BBPPBBPP,PPPPBB,2,8
BPBBPB,PPBBPPBB,PPPPBP,2,8
PPBPBP,PPBBPPBB,PBPBBB,2,8
PPBBPP,PPBBPPBB,PBPBPP,2,8
PBBBPB,BBPPBBPPBBPP,PPPBPB,3,12
PPBBBP,BBPPBBPP,BPBPPB,2,8
PBBBBP,PPBBPPBB,PBBPBP,2,8
BPBPPB,PPBBPPBB,PBPBBB,2,8
BPBBBP,BBPPBBPP,PPPBBB,2,8
BBPBPB,BBPPBBPP,BPPPBP,2,8
BBPBBP,BBPPBBPP,BPBBBP,2,8
BPPBPB,BBPPBBPP,BBBBBP,2,8
PBPBPB,BBPPBBPP,PBPPPB,2,8
PPPBPP,PPBBPPBB,BBBBPB,2,8
PPBBPB,BBPPBBPP,PPBPBP,2,8
PPPBPB,PPBBPPBB,PPPBBP,2,8
BPBPBB,BBPPBBPP,PBBPBB,2,8
PBPBPP,PPBBPPBB,BPPPBP,2,8
PBPBBP,BBPPBBPP,BPBBPB,2,8
BBPPBP,BBPPBBPP,BBBPBP,2,8
PBPBBB,BBPPBBPP,BPPBBB,2,8
PBBBPP,PPBBPPBB,PPPBBP,2,8
PPPPBP,BBPPBBPP,PBBPPP,2,8
BBBBBP,PPBBPPBBPPBB,PBBPPP,3,12
BPBPPP,PPBBPPBB,PPPPBP,2,8
PPPPBB,BBPPBBPP,PBBPPP,2,8
PBPPPP,PPBBPPBBPPBB,BBBPPP,3,12
PPBPPB,PPBBPPBBPPBB,PPPBBB,3,12
BPPPBB,BBPPBBPP,PPPPBP,2,8
PBBBPB,BBPPBBPP,BBBBBP,2,8
PPBBBB,BBPPBBPP,PPPPPB,2,8
PPBBBP,BBPPBBPP,BBBBBB,2,8
PPPPPP,PPBBPPBB,PPPBPP,2,8
PBPPPB,BBPPBBPP,PPPPPB,2,8
PBPBBB,BBPPBBPP,PPBBPB,2,8
BPPBBB,BBPPBBPP,PPPPBB,2,8
PBBPBB,BBPPBBPP,PBPBPB,2,8
BPPBPB,BBPPBBPP,PBPPBP,2,8
BPBPBP,BBPPBBPP,PBBBPB,2,8
PPBBBB,BBPPBBPP,BPPBBB,2,8
PBPPBP,PPBBPPBB,PBBBBP,2,8
BPPBBP,BBPPBBPP,PPPPBP,2,8
PPBBPB,PPBBPPBBPPBB,PBBPBB,3,12
BPPBPP,PPBBPPBB,PBBBBP,2,8
BBPBBP,PPBBPPBB,PPBPPB,2,8
PPBBBB,BBPPBBPP,BBBPPB,2,8
PBBBPB,PPBBPPBB,BPPPPB,2,8
PPPPBP,BBPPBBPP,PBPBPP,2,8
PPPPBP,PPBBPPBB,BBPBPP,2,8
PPBPBP,PPBBPPBB,BPPBPB,2,8
BPPBPP,PPBBPPBB,PBBBBB,2,8
BBPBPB,PPBBPPBB,PPBPPB,2,8
PBBPPB,PPBBPPBB,PPBPPB,2,8
PPPPPB,PPBBPPBB,BBBBBP,2,8
BBPBBP,BBPPBBPP,BBBBBP,2,8
BPBBBP,BBPPBBPP,BBPBPB,2,8
PPBPBB,BBPPBBPP,PBBBBB,2,8
BBPPPB,PPBBPPBB,BPPBPP,2,8
PPPBPP,PPBBPPBB,BPPPPP,2,8
PPBBBP,PPBBPPBB,BBBBPB,2,8
PPPBBP,BBPPBBPP,BPPPPB,2,8
PPBPPB,PPBBPPBB,BPBBPB,2,8
PPPBPP,PPBBPPBB,BBBPPP,2,8
BPPPBP,PPBBPPBB,BPBBPP,2,8
BBPPBP,BBPPBBPP,PPBPPB,2,8
BPBBPB,BBPPBBPP,BPPBBP,2,8
PPBPBP,BBPPBBPP,PBPBBB,2,8
PPPPPP,PPBBPPBB,BPBPPB,2,8
PBBBPB,PPBBPPBB,PBPBPP,2,8
BPBBPB,BBPPBBPP,PBBPPP,2,8
BBBBBP,BBPPBBPP,BBPBPP,2,8
BBPBBB,BBPPBBPP,PPPBBP,2,8
BBBPPB,PPBBPPBB,BPBPPP,2,8
PPBPPB,BBPPBBPP,PBPBPB,2,8
BPPPPB,PPBBPPBB,PBBPBB,2,8
BPPPBB,BBPPBBPP,PPPBPP,2,8
PPBBPB,BBPPBBPP,PPPPBB,2,8
PPBBBP,BBPPBBPP,PPPBPB,2,8
BBBBPP,PPBBPPBB,BBPPPB,2,8
PBBBBP,PPBBPPBB,BPBBBB,2,8
PBPBPB,PPBBPPBBPPBB,BPPBBP,3,12
BBPBPB,PPBBPPBB,BPBPBB,2,8
BBBBBP,BBPPBBPP,PPBPPP,2,8
BPPBPB,BBPPBBPP,PPBPBP,2,8
BPBBPB,PPBBPPBB,PBPPPB,2,8
BPBPPP,PPBBPPBB,PPPBPP,2,8
BPBPBP,PPBBPPBB,PBBBBP,2,8
BBPBBP,PPBBPPBB,BPBPBB,2,8
PBPBBP,PPBBPPBB,BPBBBP,2,8
BPBBPB,BBPPBBPP,BPPBBB,2,8
BPPBPB,PPBBPPBB,PPBPBP,2,8
BBPPPB,BBPPBBPP,PBPBPP,2,8
PBBBPP,PPBBPPBB,PPPBBB,2,8
BPPPBP,PPBBPPBB,BPPBBB,2,8
BBPBBP,PPBBPPBB,BBPBPB,2,8
BBPPBP,BBPPBBPP,BPPPPP,2,8
PBBBBP,PPBBPPBB,BBPPBP,2,8
BPBPPB,PPBBPPBB,PBBPBB,2,8
BPPPPP,PPBBPPBB,BPBBBP,2,8
PBBPPP,PPBBPPBB,PPPBPP,2,8
PBBBBP,BBPPBBPP,BPBBBB,2,8
BPBPPP,PPBBPPBB,PBBBBB,2,8
BPBBBB,BBPPBBPP,BPPPPB,2,8
PBPBPP,PPBBPPBB,BBPPPB,2,8
BPBPPB,PPBBPPBB,BBBBBP,2,8
BPBPPB,BBPPBBPP,PBPPBP,2,8
BBBBPB,BBPPBBPP,BPBPPB,2,8
PBPBPP,PPBBPPBB,BPBPBB,2,8
BPBBBB,BBPPBBPP,PBBPPB,2,8
PBPBPB,BBPPBBPP,PBBBPB,2,8
BBPPPB,PPBBPPBB,BBBBBP,2,8
BBPBPB,BBPPBBPP,BPBPBB,2,8
BPPBBB,PPBBPPBB,BBPBBB,2,8
BBPBPB,PPBBPPBB,PBBPPB,2,8
PBBBPP,PPBBPPBB,PBPPPB,2,8
PBBPBP,PPBBPPBB,BBBBBP,2,8
BBBBBB,BBPPBBPP,PPBBBB,2,8
PPPBPB,BBPPBBPP,BPPPPP,2,8
PPPBPP,PPBBPPBB,BPPPBB,2,8
BBBBBP,PPBBPPBB,PBBBBB,2,8
BBPPPB,PPBBPPBBPPBB,BPBPPB,3,12
PBBBBB,BBPPBBPP,BBBPPB,2,8
BPPBBB,BBPPBBPP,BPPBPB,2,8
PPBBPB,PPBBPPBB,PBBBPB,2,8
BBBPPB,PPBBPPBB,BBBPBB,2,8
BPPPPB,BBPPBBPP,PBBBPP,2,8
PBBBPP,PPBBPPBB,BBPPBP,2,8
PBBPPP,PPBBPPBB,PBBPPP,2,8
PBPBPB,BBPPBBPP,BBBBPB,2,8
BPPPPB,BBPPBBPP,PBPPPP,2,8
PPBPBP,BBPPBBPP,BPPPBB,2,8
PPPBPB,PPBBPPBB,BBPPPP,2,8
BBBPPP,PPBBPPBB,BPBBPP,2,8
BPBPBP,PPBBPPBB,PPBPBP,2,8
BPBBBP,PPBBPPBB,BBPBBB,2,8
BPPPBB,BBPPBBPP,BPBBPB,2,8
PPPBBP,PPBBPPBB,PBPPBB,2,8
BPPBPB,BBPPBBPP,PBPBBB,2,8
PPPBPP,PPBBPPBB,BPBBPB,2,8
BPPBPP,PPBBPPBB,PBBPBP,2,8
BPBPPP,PPBBPPBB,BBBBBB,2,8
PBBBBP,PPBBPPBB,BPPBPB,2,8
BBBPPP,PPBBPPBB,BPPPPP,2,8
BBPBBP,PPBBPPBB,PBPPPP,2,8
PBPPPP,PPBBPPBB,BPBBPB,2,8
BBPPPB,BBPPBBPP,PPBPBB,2,8
PBBPBP,PPBBPPBBPPBB,BPPBPB,3,12
BPBBBP,PPBBPPBB,BBBBPB,2,8
BBBBBB,BBPPBBPP,PPBBBB,2,8
PPBPBP,PPBBPPBB,BPBPBB,2,8
PBPBPB,BBPPBBPP,PBPPPB,2,8
BPPPBB,BBPPBBPP,PBBPBB,2,8
BBPBBB,BBPPBBPP,PBPPPB,2,8
PBBPBP,BBPPBBPP,PPBPBB,2,8
PBBBBP,BBPPBBPP,PBBPPP,2,8
PPPPPP,PPBBPPBB,PPPBBP,2,8
BBPPPB,BBPPBBPP,BBBPPB,2,8
