before,chainok_13,after,pattern
PBBBBB,PBBBP,BBBPBP,1-3-1
BPPBPP,BBBPBBB,PPPPBP,3-1-3
BPPBPP,BPPPB,PPPPPB,1-3-1
PPBBPB,PBBBP,BBBBBB,1-3-1
PBPBPP,BPPPB,PBPBPB,1-3-1
PPPBPP,BBBPBBB,PPBBPP,3-1-3
BPPBBP,BPPPB,PPPBPB,1-3-1
BBBBBP,BPPPB,PBPPBB,1-3-1
BBBBBP,BPPPB,PPPBBB,1-3-1
BBPBPB,PBBBP,BBBBBP,1-3-1
PPBPBP,BPPPB,PPBBPB,1-3-1
PBBPBB,PBBBP,BPPBPP,1-3-1
BBBBBP,BPPPB,PPPPPP,1-3-1
PBPPPP,BPPPB,PBPPPB,1-3-1
PPPPPP,BPPPB,PBPPBP,1-3-1
BBPBPP,BPPPB,PBBPPP,1-3-1
BPPPBP,BPPPB,PPPPPB,1-3-1
BBPPPB,PBBBP,BBPPBP,1-3-1
PPPBPB,PBBBP,BPPBBB,1-3-1
PPBBBB,PBBBP,BPBPBB,1-3-1
BBPPBP,BPPPB,PPPPPP,1-3-1
BPPBPP,BPPPB,PBPBPP,1-3-1
BPPPBP,BPPPB,PBBBPP,1-3-1
BBBBBB,PPPBPPP,BBPBPP,3-1-3
BPBBPP,BPPPB,PPBBPB,1-3-1
PBBPBP,BPPPB,PPBBBB,1-3-1
PPBPBB,PBBBP,BBBBBB,1-3-1
BPBPBB,PBBBP,BBPPPP,1-3-1
BPBBBB,PBBBP,BPPBBP,1-3-1
BPPPBB,PBBBP,BPPBPP,1-3-1
BBPBPP,BPPPB,PPPPBB,1-3-1
PPPBBB,PPPBPPP,BPPBPP,3-1-3
PBBBBP,BPPPB,PPPBPP,1-3-1
PBPPPB,PPPBPPP,BPPPPB,3-1-3
BBPBBP,BPPPB,PBPBBB,1-3-1
BPBPBB,PBBBP,BBPBBB,1-3-1
BBPBPP,BPPPB,PBPPBP,1-3-1
PPBBPP,BPPPB,PPPPPP,1-3-1
BPPPBB,PBBBP,BPBBPB,1-3-1
BPBPBB,PPPBPPP,BPBBBB,3-1-3
BBPPBB,PBBBP,BPBBBB,1-3-1
BBPPBB,PBBBP,BPBBBB,1-3-1
BBBBPP,BPPPB,PPBBBB,1-3-1
BPBBBB,PBBBP,BBBBBP,1-3-1
BBPPBB,PBBBP,BPPBPP,1-3-1
BBBPBP,BPPPB,PBBPBB,1-3-1
BPPBPB,PBBBP,BBBPPB,1-3-1
BBBBBP,BPPPB,PPBPPB,1-3-1
PPBBPB,PBBBP,BBBBPB,1-3-1
PPBPPB,PBBBP,BPPPBP,1-3-1
BPBBBP,BPPPB,PBPPBP,1-3-1
PPBPPB,PBBBP,BPPPBP,1-3-1
BPBBBP,BPPPB,PBPPBP,1-3-1
PPPPBB,PBBBP,BPBBBP,1-3-1
PBBBPB,PBBBP,BBBPPB,1-3-1
PBBPBP,BPPPB,PBPBPB,1-3-1
PBPBPB,PBBBP,BPBBBP,1-3-1
PBBPBP,BPPPB,PBPBPB,1-3-1
PBPBPB,PBBBP,BPBBBP,1-3-1
BPPPBB,PBBBP,BPBBPP,1-3-1
PBPPPB,PBBBP,BPBBBP,1-3-1
PBBBPB,PBBBP,BBPPBP,1-3-1
BBPBPP,BPPPB,PBPBBB,1-3-1
PPPBPB,PBBBP,BPPPPB,1-3-1
PPBBPP,BPPPB,PBPBBP,1-3-1
BBBBPB,PBBBP,BBBBBP,1-3-1
PPBPBB,PBBBP,BPPPPP,1-3-1
PBPBPB,PBBBP,BBBBBP,1-3-1
BBBPBP,BPPPB,PPPBBB,1-3-1
PPBBBB,PBBBP,BBPBPP,1-3-1
BBPPBP,BPPPB,PBBPPP,1-3-1
BBBBPB,PBBBP,BPBBBB,1-3-1
PBBBPP,BPPPB,PPBBBB,1-3-1
PBBBBB,PBBBP,BPBPBB,1-3-1
BPBBBB,PBBBP,BPBBBB,1-3-1
BBBPPB,PBBBP,BPPPPB,1-3-1
BPBPPP,BBBPBBB,PBPPBB,3-1-3
BPBPPP,BBBPBBB,PBPPBB,3-1-3
BBBPBP,BPPPB,PPBBPB,1-3-1
BBPPPP,BPPPB,PBBPPP,1-3-1
BBBPBB,PBBBP,BPBPBB,1-3-1
BBBPBB,PBBBP,BPBPPP,1-3-1
BBBPBP,BPPPB,PBBPPP,1-3-1
BPBBPP,BPPPB,PPPBPB,1-3-1
BBBPPB,PBBBP,BBPBBB,1-3-1
BBPBPB,PBBBP,BBPBBP,1-3-1
BBBPPB,PBBBP,BPBBBP,1-3-1
PBBBPB,PBBBP,BPBBPP,1-3-1
PPBPPB,PBBBP,BBBBPP,1-3-1
PBBPBB,PBBBP,BPPPPP,1-3-1
PBBBBB,PPPBPPP,BBBBPB,3-1-3
PPBBBP,BPPPB,PPPPPP,1-3-1
PPPPBB,PBBBP,BPPPBP,1-3-1
BPBBBP,BPPPB,PBPPBB,1-3-1
BBBBBB,PBBBP,BBBBBB,1-3-1
BBPBBB,PPPBPPP,BPBBBB,3-1-3
PBPPBP,BPPPB,PBBPBP,1-3-1
PBBBBP,BPPPB,PBPPPP,1-3-1
PPPPPB,PBBBP,BPBPPP,1-3-1
BBBPBP,BPPPB,PBBPPB,1-3-1
BPPBPB,PBBBP,BPBBPB,1-3-1
PBPBBP,BPPPB,PBPBBB,1-3-1
PBPBPB,PBBBP,BBPPPP,1-3-1
BPBBPP,BPPPB,PBPPBP,1-3-1
BPBPBP,BPPPB,PPPBPP,1-3-1
PBPPPB,PPPBPPP,BBBPPP,3-1-3
PPPBBP,BPPPB,PPPBBB,1-3-1
PBBPBP,BPPPB,PPBBPP,1-3-1
PBPPPP,BPPPB,PBBPBB,1-3-1
PPBPBB,PBBBP,BBPBBB,1-3-1
BBPPBP,BPPPB,PPPBBP,1-3-1
BPBBPP,BPPPB,PBPBPP,1-3-1
BBPPBB,PPPBPPP,BBBPPB,3-1-3
BBBPPB,PBBBP,BBBPBB,1-3-1
BPPPPB,PBBBP,BBBBPB,1-3-1
BPPBPP,BPPPB,PBPPPB,1-3-1
BPPPBP,BPPPB,PBPBPB,1-3-1
BBPBBP,BPPPB,PPPPBB,1-3-1
PPPPBP,BPPPB,PBBPBP,1-3-1
PBPBBP,BPPPB,PPBBPP,1-3-1
BBBPPB,PBBBP,BPBPPB,1-3-1
BBBPPB,PBBBP,BPBPPB,1-3-1
BBBBPP,BPPPB,PBPPPB,1-3-1
BPPPBP,BPPPB,PPBPPB,1-3-1
BBPPBP,BPPPB,PBBPBP,1-3-1
BBPPBP,BPPPB,PPPPPP,1-3-1
PPPPPP,BPPPB,PBPBBB,1-3-1
BPPPBB,PPPBPPP,BPPBPP,3-1-3
PPBBBB,PBBBP,BPPBBB,1-3-1
PPPBBP,BPPPB,PPPBPP,1-3-1
BPPBBP,BPPPB,PPBPPB,1-3-1
BPPPPP,BPPPB,PBPBPP,1-3-1
PPPBPB,PBBBP,BPPBBB,1-3-1
PPPBPB,PBBBP,BPPBBB,1-3-1
PBBBPP,BPPPB,PPPPPP,1-3-1
BBPPPP,BPPPB,PBPBBP,1-3-1
PBPBBP,BPPPB,PPPBBB,1-3-1
BPBBBB,PBBBP,BBPPBP,1-3-1
PBBPPP,BBBPBBB,PPBPBB,3-1-3
PPBPPB,PBBBP,BBPPBP,1-3-1
BPPBPP,BPPPB,PPBBPP,1-3-1
PPBBPP,BPPPB,PPPPPP,1-3-1
BBPPBP,BPPPB,PBPPBP,1-3-1
BBBPPB,PBBBP,BBPPBB,1-3-1
PPBBBP,BPPPB,PBBPBB,1-3-1
PBPPPB,PBBBP,BPBPPB,1-3-1
BPPBBP,BPPPB,PBBBBB,1-3-1
PBBBBB,PPPBPPP,BPBPPB,3-1-3
PBBPBB,PBBBP,BPPPBB,1-3-1
PBBPBB,PBBBP,BPPPBB,1-3-1
PBPBPP,BPPPB,PPBBBB,1-3-1
PBBBBB,PBBBP,BBBBPP,1-3-1
PPBPPB,PBBBP,BPPBBP,1-3-1
PBBBBP,BPPPB,PBBPBP,1-3-1
BPBPBP,BPPPB,PPPBPB,1-3-1
BPPBBP,BPPPB,PPBBBB,1-3-1
PBPBPB,PBBBP,BBPPBP,1-3-1
BBBPBP,BPPPB,PBPPPB,1-3-1
BBBPBP,BPPPB,PBPPPB,1-3-1
BBBPBP,BPPPB,PBPPPB,1-3-1
BPBPBB,PBBBP,BPBBBP,1-3-1
PPPPBB,PBBBP,BPPBPB,1-3-1
PPPPBB,PBBBP,BPPBPB,1-3-1
BPPPPB,PBBBP,BPPPBP,1-3-1
BPBBBP,BPPPB,PPPBBB,1-3-1
BPBBBB,PBBBP,BBPBBP,1-3-1
BBPBPP,BBBPBBB,PBPPPB,3-1-3
BPBPBP,BPPPB,PBBBPB,1-3-1
PBPPPB,PBBBP,BPBBPB,1-3-1
BBBBPP,BPPPB,PBPBBB,1-3-1
PPPPPB,PBBBP,BBBPBP,1-3-1
BBPPBP,BPPPB,PBPPPP,1-3-1
BBPPBP,BPPPB,PBPPPP,1-3-1
PBPBPP,BPPPB,PPBPPP,1-3-1
PBPBPP,BPPPB,PPBPPP,1-3-1
PPBPBB,PBBBP,BBPPPP,1-3-1
PBPPPP,BPPPB,PBPPPP,1-3-1
PBPPPP,BPPPB,PBPPPP,1-3-1
PBBPBB,PBBBP,BBPPPB,1-3-1
PBPPBP,BPPPB,PPPPBB,1-3-1
PBPPBB,PBBBP,BPBBPB,1-3-1
BPPPPP,BPPPB,PBBBPB,1-3-1
PBPPPB,PBBBP,BPPBBP,1-3-1
BPPBBP,BPPPB,PBPBPP,1-3-1
BPPPPB,PBBBP,BBPPPB,1-3-1
BBPBBP,BPPPB,PBPPPP,1-3-1
PPPPPP,BPPPB,PPBBPB,1-3-1
PBBBPP,BPPPB,PPPBBB,1-3-1
PBPBBP,BPPPB,PPBBPB,1-3-1
PPPPPP,BPPPB,PPPPBB,1-3-1
PPPPPP,BPPPB,PPPPBB,1-3-1
BPPPPB,PBBBP,BPBPPB,1-3-1
PBBPBP,BPPPB,PPPPPP,1-3-1
PPBBBP,BPPPB,PPBBBP,1-3-1
PPBBBB,PBBBP,BBBBBP,1-3-1
PBBBBP,BPPPB,PPPPPP,1-3-1
BPPPBB,PBBBP,BPPPPB,1-3-1
BBPPBP,BPPPB,PPPBPP,1-3-1
BBPPPB,PBBBP,BPPPBB,1-3-1
PPPPBP,BPPPB,PBBBPP,1-3-1
PPPBPB,PBBBP,BBPPPP,1-3-1
BBPPPB,PBBBP,BBPPPB,1-3-1
BPBPBB,PBBBP,BPPBBP,1-3-1
BPBPBB,PBBBP,BPPBBP,1-3-1
PBPPBP,BPPPB,PBBPBB,1-3-1
PPBBBP,BPPPB,PBBPPB,1-3-1
PPBBBP,BPPPB,PBBPPB,1-3-1
PBBPBB,PBBBP,BPPPPP,1-3-1
BPPBBP,BPPPB,PPBBBB,1-3-1
PBPBBP,BPPPB,PPPPBB,1-3-1
BBBPBP,BPPPB,PBBBBP,1-3-1
BBPBBP,BPPPB,PPBBBB,1-3-1
PPBBBB,PBBBP,BPPPPB,1-3-1
PPPPBB,PBBBP,BBBPBP,1-3-1
PPBPPB,PBBBP,BPPPPB,1-3-1
PPBPPB,PBBBP,BPPPPB,1-3-1
PPBPPB,PBBBP,BPPPPB,1-3-1
BBBPBB,PBBBP,BPPBPB,1-3-1
BBBPBB,PBBBP,BPPBPB,1-3-1
BBPPBB,PBBBP,BPPBBP,1-3-1
PBBPBP,BPPPB,PPBPPB,1-3-1
BPBBBB,PBBBP,BBPPPP,1-3-1
BBPPPP,BPPPB,PBBPBP,1-3-1
BPPBPB,PBBBP,BPPBBP,1-3-1
PPPPPP,BPPPB,PBBBBB,1-3-1
PPBBPP,BPPPB,PPPPPP,1-3-1
BBPPBB,PPPBPPP,BBBBPB,3-1-3
BBPBBB,PPPBPPP,BBPPPB,3-1-3
PBBBBP,BPPPB,PBBPBP,1-3-1
BBBBBP,BPPPB,PBBBPB,1-3-1
PBPPPB,PBBBP,BBPBPB,1-3-1
BPBPBB,PBBBP,BBBBPP,1-3-1
BPPPBB,PPPBPPP,BPPBPB,3-1-3
BPPPBB,PPPBPPP,BPPBPB,3-1-3
BPBBPB,PBBBP,BPPBBP,1-3-1
PBPPPP,BPPPB,PBPPBB,1-3-1
BPBBPB,PBBBP,BPBBBP,1-3-1
PBBBPP,BBBPBBB,PPPPPB,3-1-3
BBBBBP,BPPPB,PPPBBB,1-3-1
PPBBPB,PBBBP,BBBBPB,1-3-1
PPBBPB,PBBBP,BBBBPB,1-3-1
PPBBPB,PBBBP,BBBBPB,1-3-1
BBPBPB,PBBBP,BBBBBP,1-3-1
PBBBBB,PPPBPPP,BPBBBP,3-1-3
BBBBPP,BPPPB,PBBPPB,1-3-1
BBBBBB,PBBBP,BPPPBB,1-3-1
BBBBBB,PBBBP,BPPPBB,1-3-1
PBBPBB,PBBBP,BBPPPP,1-3-1
BBBBBP,BPPPB,PPPPBP,1-3-1
BPPBPB,PBBBP,BBBBPB,1-3-1
PBBPPB,PBBBP,BPPPPP,1-3-1
PBBPPB,PBBBP,BPPPPP,1-3-1
BPPPPB,PBBBP,BBBBPB,1-3-1
BPBPBP,BPPPB,PBBPPB,1-3-1
BBPPPP,BPPPB,PBPBBB,1-3-1
BPBPPB,PBBBP,BBPBBB,1-3-1
PBPPBP,BPPPB,PBPBPB,1-3-1
BBBBBP,BPPPB,PBBBBP,1-3-1
PPBPBB,PBBBP,BPBPPB,1-3-1
PPPBPB,PBBBP,BPBBPB,1-3-1
PPBBBB,PPPBPPP,BPPBPB,3-1-3
BPBBBB,PBBBP,BBPBBP,1-3-1
PPBBBB,PPPBPPP,BPPBPB,3-1-3
BPBBBB,PBBBP,BBPBBP,1-3-1
BBPPPP,BPPPB,PPPBPB,1-3-1
PPPBPB,PBBBP,BPBPBB,1-3-1
BBPBPB,PBBBP,BBPBPP,1-3-1
PPBPPB,PBBBP,BBBPBP,1-3-1
BBBBBB,PBBBP,BBBPBP,1-3-1
BBBBBB,PBBBP,BBBPBP,1-3-1
PBBBPB,PBBBP,BBPBBP,1-3-1
BBPPPP,BPPPB,PPBBPP,1-3-1
PPBBPB,PBBBP,BBBBPP,1-3-1
BBBPBB,PBBBP,BPBPBB,1-3-1
BPBBPP,BPPPB,PPBPPP,1-3-1
BPBBPP,BPPPB,PPBPPP,1-3-1
BPPPPP,BPPPB,PPBPBP,1-3-1
PBBBBP,BPPPB,PPBBBB,1-3-1
BPPPPP,BPPPB,PPBPBP,1-3-1
PBBBBP,BPPPB,PPBBBB,1-3-1
BPPPPP,BPPPB,PPBPBP,1-3-1
PBBBBP,BPPPB,PPBBBB,1-3-1
BPPPPP,BPPPB,PPBPBP,1-3-1
PBBBBP,BPPPB,PPBBBB,1-3-1
PBBBPP,BBBPBBB,PPBPBP,3-1-3
BBPPBP,BPPPB,PPBPPB,1-3-1
PBBBPP,BBBPBBB,PPBPBP,3-1-3
BBPPBP,BPPPB,PPBPPB,1-3-1
PBBBPP,BBBPBBB,PPBPBP,3-1-3
BBPPBP,BPPPB,PPBPPB,1-3-1
PBBBPP,BBBPBBB,PPBPBP,3-1-3
BBPPBP,BPPPB,PPBPPB,1-3-1
PBBBPP,BPPPB,PBBBPB,1-3-1
PBPPPB,PBBBP,BPBPPB,1-3-1
PBBPPP,BBBPBBB,PPPBBB,3-1-3
PBBPPP,BBBPBBB,PPPBBB,3-1-3
BPPBPP,BPPPB,PBBBPP,1-3-1
BPPBPP,BPPPB,PBBBPP,1-3-1
PBBPBB,PPPBPPP,BBBBPB,3-1-3
PPPBPB,PBBBP,BPBPBB,1-3-1
PBPBBP,BPPPB,PPBBBB,1-3-1
BBBBPB,PBBBP,BBBPBB,1-3-1
BBBBPB,PBBBP,BBBPBB,1-3-1
BBBPPP,BBBPBBB,PBPBPB,3-1-3
BBBPPP,BBBPBBB,PBPBPB,3-1-3
PBBBPP,BPPPB,PPBPPB,1-3-1
PBBBPP,BPPPB,PPBPBP,1-3-1
PBBBPP,BPPPB,PPBBPP,1-3-1
BBBBBP,BPPPB,PPBPPP,1-3-1
PPBPBP,BPPPB,PBBBPP,1-3-1
BBBPBB,PBBBP,BBBBPP,1-3-1
BBPPPP,BPPPB,PPPPBP,1-3-1
PPPPBP,BPPPB,PPPBBP,1-3-1
BBBBPP,BPPPB,PPPPPB,1-3-1
BPBBPB,PBBBP,BPBBBB,1-3-1
BPPBBP,BPPPB,PBPPPP,1-3-1
BPPBBP,BPPPB,PBPPPP,1-3-1
BPPBBP,BPPPB,PBPPPP,1-3-1
BPPBBP,BPPPB,PPBBPB,1-3-1
PPBPPB,PBBBP,BPBBPP,1-3-1
PPPPPP,BPPPB,PPBPPP,1-3-1
PPPBPB,PBBBP,BBBPBB,1-3-1
BPPPBB,PBBBP,BBBBBB,1-3-1
BPPPBB,PBBBP,BBBBBB,1-3-1
BPPPBB,PBBBP,BBBBBB,1-3-1
PBBPBP,BPPPB,PBBBPP,1-3-1
PBBPBP,BPPPB,PBBBPP,1-3-1
PBBPBP,BPPPB,PBBBPP,1-3-1
PBPPBB,PBBBP,BPPBBP,1-3-1
PBBBPP,BPPPB,PPBBBP,1-3-1
PBBBPP,BPPPB,PPBBBP,1-3-1
PPBPBB,PPPBPPP,BBBBBP,3-1-3
BPPPPP,BPPPB,PPBBBB,1-3-1
PPBBPP,BPPPB,PPBPPB,1-3-1
PBPBBP,BPPPB,PBBPBP,1-3-1
PPPBBP,BPPPB,PBBBPB,1-3-1
PBPPPB,PBBBP,BBPPPP,1-3-1
BBBBBB,PBBBP,BBPPPP,1-3-1
BBBBBB,PBBBP,BBPPPP,1-3-1
BPBBBB,PBBBP,BBPBBB,1-3-1
BPBBPB,PBBBP,BPPBPB,1-3-1
BBPPBP,BPPPB,PBBBBB,1-3-1
PPPBPP,BBBPBBB,PBPBPB,3-1-3
PPBBPP,BBBPBBB,PBBBBP,3-1-3
BPBBBB,PBBBP,BBPPBB,1-3-1
PPBBPP,BBBPBBB,PBBBBP,3-1-3
BPBBBB,PBBBP,BBPPBB,1-3-1
PBPPBB,PBBBP,BBPBPP,1-3-1
PBBBBP,BPPPB,PPPPBB,1-3-1
PPPPBB,PBBBP,BPPPPB,1-3-1
PBBBBP,BPPPB,PPPPBB,1-3-1
PPPPBB,PBBBP,BPPPPB,1-3-1
BPPPBB,PBBBP,BBBBBP,1-3-1
PPBBBP,BPPPB,PBPPPB,1-3-1
PPBBBP,BPPPB,PBPPPB,1-3-1
PPBBBP,BPPPB,PBPPPB,1-3-1
PPBBBB,PBBBP,BBBPPB,1-3-1
BBBPPB,PBBBP,BBBPBB,1-3-1
BPBBBP,BBBPBBB,PPBPBP,3-1-3
PBPBPP,BPPPB,PBPPBP,1-3-1
BPBPPB,PBBBP,BPPBPP,1-3-1
BPBBPP,BPPPB,PBBBPP,1-3-1
BBPPPP,BPPPB,PBPBBP,1-3-1
PPPBPB,PBBBP,BPPBPB,1-3-1
PPBPPB,PBBBP,BBBPPP,1-3-1
BPPBPP,BPPPB,PBBPPB,1-3-1
BPPPBB,PBBBP,BBPBBB,1-3-1
BBBPBB,PBBBP,BPBPPB,1-3-1
BBPPPB,PBBBP,BBBPPP,1-3-1
PBBPBB,PBBBP,BPBBBP,1-3-1
PBBPBB,PBBBP,BPBBBP,1-3-1
PBBBBB,PBBBP,BBPPBB,1-3-1
BPBPBB,PBBBP,BBBPBP,1-3-1
BPBPBP,BPPPB,PBBBBP,1-3-1
BPPPBB,PBBBP,BBPPBP,1-3-1
PBPPPB,PBBBP,BPBBBP,1-3-1
PBBBPB,PBBBP,BBPPBB,1-3-1
PBPPPB,PBBBP,BPBBBP,1-3-1
PBBBPB,PBBBP,BBPPBB,1-3-1
PBPPPB,PBBBP,BPBBBP,1-3-1
PBBBPB,PBBBP,BBPPBB,1-3-1
PBBPBB,PBBBP,BPBBBB,1-3-1
BPPPBB,PBBBP,BPBBBP,1-3-1
BPPPBB,PBBBP,BPBBBP,1-3-1
PBPPBB,PBBBP,BPBPPB,1-3-1
BPBBPP,BPPPB,PPPPPP,1-3-1
BBBPPB,PBBBP,BBBPBP,1-3-1
BPBBBP,BPPPB,PBBBBP,1-3-1
PBPBBP,BPPPB,PPPPBP,1-3-1
BPPPBB,PBBBP,BPPBBP,1-3-1
BPBBBB,PBBBP,BPPBBB,1-3-1
BPPBPB,PBBBP,BPPPBB,1-3-1
PPPPPB,PBBBP,BBBPPB,1-3-1
PBBPBP,BPPPB,PPBPBP,1-3-1
PBBPBP,BPPPB,PPBPBP,1-3-1
BPPBBP,BPPPB,PBBPPP,1-3-1
BBPPPB,PBBBP,BBBBPP,1-3-1
BPPBPB,PBBBP,BBBBPP,1-3-1
BPBPPB,PBBBP,BPPPBB,1-3-1
BBBPBB,PBBBP,BPPPPB,1-3-1
BPPPPB,PBBBP,BPPPPB,1-3-1
BPPPPP,BPPPB,PBBBPP,1-3-1
BBPPPB,PBBBP,BBPPBB,1-3-1
PPBBBP,BPPPB,PBBPBB,1-3-1
PPPBPP,BPPPB,PPPBPB,1-3-1
PPPBPP,BPPPB,PPPBPB,1-3-1
PPBBBB,PBBBP,BBPBBP,1-3-1
PBPPPP,BPPPB,PBBBPP,1-3-1
PPPPBB,PBBBP,BBBPBB,1-3-1
BPBBPB,PBBBP,BPPBBB,1-3-1
PPPBPB,PBBBP,BPPBBB,1-3-1
BBBBBP,BPPPB,PBPPBP,1-3-1
PBPBPP,BPPPB,PBBBPP,1-3-1
PBPBPB,PBBBP,BPPBPB,1-3-1
PBPBPB,PBBBP,BPPBBP,1-3-1
BBPPBB,PBBBP,BBBBPP,1-3-1
BBPPPP,BBBPBBB,PPPPBB,3-1-3
BBBBPB,PBBBP,BPPPBB,1-3-1
BBBBPP,BPPPB,PBBPPB,1-3-1
PBPPBB,PBBBP,BBBPPP,1-3-1
PBBBPP,BPPPB,PPBBBP,1-3-1
BPPPBP,BPPPB,PBPPPP,1-3-1
PPPPPB,PBBBP,BPPBPB,1-3-1
PBPPBP,BPPPB,PPPPBP,1-3-1
BBPBPP,BPPPB,PBPPBB,1-3-1
BBPPBP,BPPPB,PPPPBP,1-3-1
BBBPPB,PBBBP,BPBBPB,1-3-1
BBPPBB,PBBBP,BBPPPP,1-3-1
BBBBBB,PBBBP,BPBPPP,1-3-1
PBPPPP,BPPPB,PBPBPP,1-3-1
BBPPBB,PBBBP,BBPBBP,1-3-1
BBPPBP,BPPPB,PBBPBP,1-3-1
PPBBPB,PBBBP,BBBPBB,1-3-1
PPBPBB,PBBBP,BBPBPP,1-3-1
PPPBPP,BPPPB,PPPBBB,1-3-1
BBBPPB,PBBBP,BBPBBB,1-3-1
BBBPBB,PBBBP,BBPBPP,1-3-1
BPBBPB,PBBBP,BBBBPB,1-3-1
PPBPPB,PBBBP,BPBBPB,1-3-1
BBPPPP,BPPPB,PPBBPP,1-3-1
PPBBBP,BPPPB,PPPBBB,1-3-1
PPBPPP,BBBPBBB,PBBPBB,3-1-3
BPPPPB,PBBBP,BBBBBB,1-3-1
PPBBBB,PPPBPPP,BPPPPP,3-1-3
BPBPPB,PBBBP,BPPPBP,1-3-1
BPBBBP,BPPPB,PBBBBB,1-3-1
BPPPBP,BPPPB,PBBBBP,1-3-1
PBPPPP,BPPPB,PPBBBB,1-3-1
BPPBPB,PBBBP,BBPPPB,1-3-1
BPPPBP,BPPPB,PBPPPP,1-3-1
BBBPPB,PBBBP,BPPBPP,1-3-1
BBBBPP,BPPPB,PPPBBP,1-3-1
BBBBPP,BPPPB,PPPBBB,1-3-1
BBBPBP,BPPPB,PPBPBB,1-3-1
BPBBBB,PPPBPPP,BBBBBP,3-1-3
BPBPPB,PBBBP,BBPPPB,1-3-1
PBPPBB,PBBBP,BPPPPP,1-3-1
BPPPPP,BPPPB,PBPPPB,1-3-1
BPPPBP,BPPPB,PPBBPB,1-3-1
PBBBPB,PBBBP,BBPPBP,1-3-1
PBPBPB,PBBBP,BBBBPB,1-3-1
BBBPBB,PBBBP,BBPPBP,1-3-1
PBBBPP,BPPPB,PBBPBB,1-3-1
PBPBBP,BPPPB,PPPBPP,1-3-1
PBBPBP,BPPPB,PPBBPP,1-3-1
BBPBPB,PBBBP,BPPBBP,1-3-1
BBPPPB,PBBBP,BBBPPB,1-3-1
PPBPPP,BBBPBBB,PBPBBP,3-1-3
PBBPPB,PBBBP,BPBPPP,1-3-1
PPPBPP,BBBPBBB,PBBPBB,3-1-3
PBBPPB,PBBBP,BBPPBP,1-3-1
PPPPBB,PBBBP,BPPBBB,1-3-1
BBPPPB,PBBBP,BBBBPB,1-3-1
PBBBPB,PBBBP,BPPBPP,1-3-1
PBPBPP,BPPPB,PPBPPP,1-3-1
BPBPBB,PPPBPPP,BPBBPB,3-1-3
PPBBPP,BPPPB,PBBPPP,1-3-1
BBPPPP,BBBPBBB,PBPPBP,3-1-3
PPBBPB,PBBBP,BBBPBP,1-3-1
BPBBPP,BPPPB,PPBPBB,1-3-1
BBBPPB,PBBBP,BBBPBP,1-3-1
BBPBPB,PBBBP,BPBPBB,1-3-1
BBPPPP,BPPPB,PPPPBB,1-3-1
PBBBBB,PPPBPPP,BBPBPB,3-1-3
PPBBPB,PBBBP,BPBBPB,1-3-1
BBBBPP,BPPPB,PBPBPB,1-3-1
BPBBBB,PBBBP,BBBBPP,1-3-1
BPPBBP,BPPPB,PBPPBP,1-3-1
BPPPBB,PBBBP,BPPPPB,1-3-1
BBPPBP,BPPPB,PPBBBP,1-3-1
BPBBPB,PBBBP,BBBBBP,1-3-1
BBPPBP,BPPPB,PPPBBP,1-3-1
BPBPBP,BPPPB,PBBPPP,1-3-1
PBBPBP,BPPPB,PBBPBP,1-3-1
BPBBPP,BBBPBBB,PPPPBB,3-1-3
BPPPPB,PBBBP,BBBBPB,1-3-1
BBPBPB,PBBBP,BBPPPB,1-3-1
BBBPBB,PPPBPPP,BBBBBB,3-1-3
BPBBBB,PBBBP,BBBPBB,1-3-1
BPBBBP,BBBPBBB,PPBBPP,3-1-3
PPPBPB,PBBBP,BPPPBB,1-3-1
BPBBPB,PBBBP,BPPPPB,1-3-1
BBPPBP,BPPPB,PBPPBB,1-3-1
PBPBBP,BPPPB,PPBPPB,1-3-1
PBBBBB,PBBBP,BBPPBB,1-3-1
PBBBBB,PBBBP,BPPBPB,1-3-1
BPBPBB,PBBBP,BBBPPB,1-3-1
BPBPPB,PBBBP,BPPBBP,1-3-1
BPPPBB,PBBBP,BPPBBB,1-3-1
BBBPBP,BPPPB,PPBBPB,1-3-1
PBPPBB,PBBBP,BPBPPB,1-3-1
BBPPBP,BPPPB,PPPPBP,1-3-1
PBPPPP,BPPPB,PPBBPP,1-3-1
BBPPBB,PBBBP,BPPPBP,1-3-1
BPBBBP,BPPPB,PBBBPB,1-3-1
PBPPPB,PBBBP,BPPPPP,1-3-1
BPPPPB,PBBBP,BPPPPP,1-3-1
PPPBBP,BPPPB,PBPBPP,1-3-1
PPBBBB,PBBBP,BPPBBB,1-3-1
PBPBPB,PBBBP,BBPPBB,1-3-1
BPBBPP,BPPPB,PBPPBP,1-3-1
PPPBBP,BPPPB,PPPPBB,1-3-1
PPBBPP,BPPPB,PPPPPP,1-3-1
PBBBPP,BPPPB,PBBBBB,1-3-1
PPBPPB,PBBBP,BPPBBB,1-3-1
BBPPBP,BPPPB,PPBBBB,1-3-1
PPBPPB,PBBBP,BBPPPB,1-3-1
PBBBBP,BPPPB,PBPBBP,1-3-1
BBBBPP,BBBPBBB,PPBBPB,3-1-3
BBPBPP,BBBPBBB,PPBBBP,3-1-3
PPPPBP,BPPPB,PPBPPP,1-3-1
PPPBPP,BPPPB,PPPBBP,1-3-1
PBPBBP,BPPPB,PBPPBP,1-3-1
