before,three_cut,after,pattern
BBPBPB,BBBPBBBP,PPPBPB,3-1-3-1
PBBPPB,BBBPBBBP,BPPPPB,3-1-3-1
BPPBBB,PPPBBBBB,PBBPBP,3-1-3-1
PPPBPB,BBBPBBBP,PPPPPB,3-1-3-1
PBBBPB,PPPBBBBB,BPPBBB,3-1-3-1
PBBPPP,PPPBBBBB,BBBPPP,3-1-3-1
BBBBBP,PPPBPPPB,BBPPBP,3-1-3-1
BPPPBB,PPPBPPPB,PPPPBB,3-1-3-1
PBPPPP,PPPBBBBB,BBPBBB,3-1-3-1
PBBBPB,BBBPBBBP,BBBBBB,3-1-3-1
BPBBPP,PPPBPPPB,PPBPBP,3-1-3-1
BPPBBB,BBBPBBBP,PBPBBB,3-1-3-1
PPBPBB,BBBPBBBP,BBBBPP,3-1-3-1
PPBPPP,BBBPPPPP,BBPBBB,3-1-3-1
BBPBBP,BBBPPPPP,PBPPBB,3-1-3-1
BBPPBP,PPPBBBBB,PBPBPP,3-1-3-1
PPBBPB,BBBPBBBP,PBPBBB,3-1-3-1
PBBBBB,PPPBBBBB,PBPPBB,3-1-3-1
PBBPPP,BBBPBBBP,BPPPPB,3-1-3-1
PBPBBP,BBBPPPPP,PBBBBB,3-1-3-1
BBBBBP,PPPBBBBB,BPBBBP,3-1-3-1
BBPBBP,BBBPBBBP,BBPPBB,3-1-3-1
PPPPBP,BBBPPPPP,BPBPPP,3-1-3-1
PBPBPP,PPPBBBBB,PBBBPP,3-1-3-1
PPPPBP,PPPBBBBB,PBPBPP,3-1-3-1
PBPPBB,PPPBPPPB,PPBPPP,3-1-3-1
BPPPBP,BBBPBBBP,BPPPBB,3-1-3-1
PBPBPB,PPPBBBBB,BPBBPP,3-1-3-1
BBPPBP,BBBPBBBP,PPBPPP,3-1-3-1
BPBPBB,BBBPBBBP,BBBPPB,3-1-3-1
BPBPPP,PPPBBBBB,BBPBPP,3-1-3-1
PBPPPP,PPPBBBBB,PPBPPB,3-1-3-1
BPBBBB,BBBPBBBP,PPBPPB,3-1-3-1
PPBPBP,BBBPPPPP,BBBBPB,3-1-3-1
PPBPBB,BBBPBBBP,PPPBPB,3-1-3-1
BBPBBB,BBBPBBBP,BBBBPB,3-1-3-1
BBBBPP,BBBPPPPP,BBPPBB,3-1-3-1
BBBBBP,PPPBBBBB,BBPBPB,3-1-3-1
PBPPBP,BBBPPPPP,BBBBBB,3-1-3-1
BPPBBP,BBBPBBBP,BBBPBB,3-1-3-1
BBPPPP,PPPBPPPB,BBPPBB,3-1-3-1
PPBPBP,BBBPBBBP,BPPBBP,3-1-3-1
PBPPBB,PPPBBBBB,BPPBBP,3-1-3-1
PPPBPP,PPPBBBBB,PBBPPB,3-1-3-1
PBPBPP,PPPBBBBB,BBBPPB,3-1-3-1
PBBPBP,PPPBBBBB,BPBPPP,3-1-3-1
BPPBBP,BBBPBBBP,PPPBBP,3-1-3-1
PBPBBP,PPPBPPPB,BPBBPP,3-1-3-1
PBBPBP,PPPBPPPB,BPPPBP,3-1-3-1
BPPBPB,BBBPPPPP,PPPBBB,3-1-3-1
PPBBPB,BBBPPPPP,BPBBPP,3-1-3-1
BBPBPP,PPPBBBBB,PPBBPB,3-1-3-1
PBPBBB,BBBPBBBP,PPPBBP,3-1-3-1
PBBBPP,BBBPPPPP,BBBPPP,3-1-3-1
BPBBBB,BBBPPPPP,PPBPPB,3-1-3-1
BPPBBB,BBBPBBBP,PPBPBB,3-1-3-1
BPBPPB,BBBPPPPP,PPPBBP,3-1-3-1
PBPBPB,PPPBPPPB,PPBPPB,3-1-3-1
BPPBPB,PPPBPPPB,BBPPBP,3-1-3-1
PBBPPB,PPPBBBBB,BPBBPP,3-1-3-1
BBPBBP,PPPBPPPB,PPPPBB,3-1-3-1
BPBPBP,BBBPBBBP,BBBBBP,3-1-3-1
PPBBPP,BBBPBBBP,PBPBBB,3-1-3-1
PBPBPB,BBBPBBBP,BPBBPP,3-1-3-1
PPPBBP,BBBPPPPP,BPBPBB,3-1-3-1
BPPBPB,PPPBPPPB,BPPBPP,3-1-3-1
BPBBBP,PPPBPPPB,PPBPBB,3-1-3-1
PBBBPB,BBBPPPPP,BPBBBP,3-1-3-1
BBPBPP,BBBPPPPP,PPPPBB,3-1-3-1
BPBPPB,PPPBBBBB,PBPPBP,3-1-3-1
PBPBBB,BBBPBBBP,PPPBPB,3-1-3-1
PBPBPB,BBBPBBBP,BPBBBB,3-1-3-1
BPPBBP,BBBPBBBP,PPPPPP,3-1-3-1
PPPPPP,PPPBBBBB,PBPBBB,3-1-3-1
BPPPPP,PPPBBBBB,BBPBBB,3-1-3-1
PPBBPB,PPPBBBBB,PBPBBP,3-1-3-1
BPBPBB,BBBPBBBP,BPPPBB,3-1-3-1
BBPPPP,BBBPPPPP,BPBBPP,3-1-3-1
BPBPPP,PPPBBBBB,BBBPBP,3-1-3-1
BBPBPB,BBBPBBBP,PPBBBB,3-1-3-1
BBBPBP,PPPBBBBB,PPPPBP,3-1-3-1
BPPPBP,PPPBBBBB,BPPBPB,3-1-3-1
PPBPPB,PPPBPPPB,BPPBPB,3-1-3-1
BPPBBB,BBBPBBBP,PPBPBB,3-1-3-1
PPPBPP,PPPBPPPB,PPBBPP,3-1-3-1
BPPBPB,BBBPBBBP,PBBPBP,3-1-3-1
PPBPBB,BBBPBBBP,BBBBPP,3-1-3-1
PBBBPB,BBBPPPPP,BPBPBP,3-1-3-1
BBBBPB,PPPBBBBB,PBBBPP,3-1-3-1
BPBBBB,BBBPBBBP,PBBBBP,3-1-3-1
BBPPBP,PPPBBBBB,PBPPPP,3-1-3-1
PBBPPP,PPPBPPPB,PPPPBP,3-1-3-1
BPPBPP,BBBPBBBP,BBPBPB,3-1-3-1
BBBBPB,BBBPPPPP,BBPPBB,3-1-3-1
BPPBPP,PPPBPPPB,BBPPBB,3-1-3-1
BBPBPP,PPPBPPPB,BPBBBB,3-1-3-1
PBBBPB,PPPBBBBB,BPPPPB,3-1-3-1
PBPBPP,BBBPBBBP,PPBBPP,3-1-3-1
BPPBPP,BBBPBBBP,PBBBBB,3-1-3-1
BPBBPB,BBBPPPPP,BPBBPP,3-1-3-1
BBBPPB,PPPBPPPB,PBBBPP,3-1-3-1
PBBPBP,PPPBPPPB,PPPPPP,3-1-3-1
BPBPBB,BBBPPPPP,BBBBBB,3-1-3-1
BBPBPP,BBBPPPPP,BBBBPB,3-1-3-1
PPBPBB,BBBPPPPP,PPBBBP,3-1-3-1
PPBBBP,PPPBPPPB,BBBPBP,3-1-3-1
PBBPPP,PPPBBBBB,PBBPBB,3-1-3-1
BPPBBP,BBBPPPPP,PBPPPB,3-1-3-1
BBBPPP,BBBPPPPP,BBBBBB,3-1-3-1
BPBPBB,PPPBBBBB,PBBPBP,3-1-3-1
BPPBBB,PPPBBBBB,PPBBBB,3-1-3-1
PBBBBB,BBBPBBBP,BBBPBP,3-1-3-1
PPBPBB,BBBPBBBP,PBBBPB,3-1-3-1
BBPPPB,BBBPPPPP,PPBPBP,3-1-3-1
PBPPBB,BBBPBBBP,BPBPBP,3-1-3-1
PBPBPP,BBBPBBBP,PBBPPP,3-1-3-1
PPPBPB,BBBPBBBP,PPBPPP,3-1-3-1
PBBPPP,PPPBPPPB,BBBPBP,3-1-3-1
BPBPBB,BBBPPPPP,BBBPBB,3-1-3-1
PPPBPB,PPPBBBBB,BPBBBB,3-1-3-1
BPBPBP,BBBPPPPP,BPBPPB,3-1-3-1
PPBPBB,PPPBPPPB,BPPPBB,3-1-3-1
PPBBBP,PPPBBBBB,PPPPBB,3-1-3-1
PPPPBB,PPPBPPPB,BPBBBP,3-1-3-1
PPPBBB,PPPBBBBB,PBBPBP,3-1-3-1
BPPBPP,BBBPBBBP,BBBBPP,3-1-3-1
PPBPPB,PPPBBBBB,BBBBPB,3-1-3-1
PBBPPB,PPPBBBBB,BPBBPB,3-1-3-1
BBBPBB,BBBPBBBP,BPBPPB,3-1-3-1
PPPPBB,PPPBBBBB,PBBPPB,3-1-3-1
BPBBPP,PPPBPPPB,BBPPPB,3-1-3-1
BPBPPB,BBBPPPPP,PBBPBP,3-1-3-1
BPBPBP,BBBPPPPP,BPPPBB,3-1-3-1
BPPPPP,BBBPPPPP,PBPBPP,3-1-3-1
BPPPPP,PPPBPPPB,PBPPBB,3-1-3-1
PPPPPB,BBBPBBBP,PPPBPB,3-1-3-1
PBBBBP,PPPBPPPB,PPPPPP,3-1-3-1
BPBPBP,BBBPBBBP,BPPPBB,3-1-3-1
PPPPBP,PPPBPPPB,BPPBBP,3-1-3-1
BPPPPB,BBBPBBBP,BPBBBP,3-1-3-1
BBPPBP,PPPBPPPB,BBBPBB,3-1-3-1
PBPPPB,BBBPBBBP,PBPBPB,3-1-3-1
BPPBBB,PPPBPPPB,PPPBPP,3-1-3-1
BBPBBB,PPPBBBBB,BPBBPB,3-1-3-1
BBBBBB,PPPBBBBB,PPBPBB,3-1-3-1
PBPPBP,BBBPBBBP,BPBBBB,3-1-3-1
BPBBBB,BBBPBBBP,PPBBBB,3-1-3-1
BBBPBB,BBBPPPPP,BBBBPB,3-1-3-1
PBBBPB,PPPBPPPB,PPBPBP,3-1-3-1
PPBBBP,PPPBBBBB,BPPBBP,3-1-3-1
BPPBPB,BBBPBBBP,BPPBPP,3-1-3-1
BPPBPP,BBBPBBBP,BPPBPB,3-1-3-1
BPPPPP,PPPBBBBB,BBPPBP,3-1-3-1
PBPBPP,BBBPBBBP,BBBPPB,3-1-3-1
PBPBBB,BBBPPPPP,PBBBPP,3-1-3-1
PBPPPP,PPPBBBBB,BPPBPB,3-1-3-1
PBPBBP,PPPBPPPB,PPPBBB,3-1-3-1
PPBPPP,BBBPBBBP,BBBPPP,3-1-3-1
BBBPBP,BBBPPPPP,BBPBPP,3-1-3-1
BPPPPB,BBBPBBBP,BBBPBB,3-1-3-1
BBPBPB,BBBPBBBP,PBBPBP,3-1-3-1
BPBPPP,PPPBBBBB,BBBBPP,3-1-3-1
PBPPBP,PPPBBBBB,BBPBBB,3-1-3-1
BBBBBP,PPPBPPPB,BBBPBB,3-1-3-1
BBPBBB,BBBPPPPP,PPBPBB,3-1-3-1
BBBPPP,BBBPBBBP,BBPPBB,3-1-3-1
PPPBBP,PPPBBBBB,PPPBBB,3-1-3-1
PBPBBB,BBBPPPPP,BPPPPB,3-1-3-1
PBBBBB,BBBPBBBP,PPPPBB,3-1-3-1
PPBBPP,BBBPBBBP,PBBPBB,3-1-3-1
PBPPBB,PPPBBBBB,PBPBBB,3-1-3-1
PPPPBB,PPPBBBBB,BBBPPP,3-1-3-1
BBBBBP,PPPBBBBB,PPBPBP,3-1-3-1
BPPPPB,BBBPPPPP,BPBPBB,3-1-3-1
PPPPBP,PPPBBBBB,BPBBBP,3-1-3-1
BPPBBB,PPPBPPPB,BPBBBB,3-1-3-1
BPBBBB,PPPBPPPB,BPBPPP,3-1-3-1
PBPBPP,BBBPPPPP,PPPBPB,3-1-3-1
PBBBBP,PPPBBBBB,BBPPBB,3-1-3-1
BBBBPB,BBBPBBBP,BBPPPB,3-1-3-1
PPBBPP,BBBPPPPP,BBPBPB,3-1-3-1
PBBBPP,BBBPPPPP,BBPBBB,3-1-3-1
BBBBPB,BBBPPPPP,PBBPPP,3-1-3-1
BBBBBB,PPPBBBBB,PPPBPP,3-1-3-1
BBBBBB,PPPBPPPB,PPPBPP,3-1-3-1
BBPPBP,PPPBBBBB,PBBBBP,3-1-3-1
BPBPPB,BBBPBBBP,BBPBPB,3-1-3-1
PBBBPP,BBBPPPPP,BPPPBP,3-1-3-1
PPPPPB,PPPBPPPB,PPPPPP,3-1-3-1
PPPBPP,PPPBPPPB,PBPBBP,3-1-3-1
BPBBPB,BBBPBBBP,PBBPPB,3-1-3-1
BBPBPB,PPPBBBBB,PBBBBP,3-1-3-1
BBBBPB,BBBPPPPP,BBBBPB,3-1-3-1
PPPBPP,PPPBPPPB,BBPPPP,3-1-3-1
PPPBPP,PPPBBBBB,PBBBBB,3-1-3-1
PBBPBB,PPPBBBBB,BBPPPP,3-1-3-1
PBBBPP,BBBPBBBP,BPPBPP,3-1-3-1
BBPBPB,BBBPPPPP,PBPPPP,3-1-3-1
BBPBBB,BBBPBBBP,PPPPBB,3-1-3-1
BPPBPB,BBBPBBBP,PPPPBB,3-1-3-1
PPBBPP,BBBPBBBP,BPBPPB,3-1-3-1
BPBPPP,PPPBBBBB,BPPBBB,3-1-3-1
PPBBBB,BBBPPPPP,BBBBPB,3-1-3-1
BBBPBP,PPPBPPPB,PPBPBB,3-1-3-1
BPPBBB,BBBPPPPP,PPBBPP,3-1-3-1
PBBBPP,BBBPPPPP,BBPPPB,3-1-3-1
BBPBBB,PPPBBBBB,PPPPBB,3-1-3-1
BPBBPB,PPPBBBBB,PPBBBB,3-1-3-1
BBBPPB,PPPBPPPB,BBPBPB,3-1-3-1
BBPPPP,BBBPBBBP,BBBPBB,3-1-3-1
BBBBPB,PPPBBBBB,BPBBPB,3-1-3-1
PPPPBB,PPPBPPPB,BBBPBP,3-1-3-1
BBPBPP,PPPBPPPB,PBBBBB,3-1-3-1
PBPPPP,PPPBBBBB,BBPPBP,3-1-3-1
PPBPPP,PPPBBBBB,BBPPBB,3-1-3-1
PPPBBP,BBBPBBBP,PBBPPP,3-1-3-1
PPBPBP,BBBPPPPP,PPBBPP,3-1-3-1
PBPPBP,PPPBBBBB,PPPBBP,3-1-3-1
BBPBBP,PPPBBBBB,BBBBBB,3-1-3-1
BBBPBB,BBBPBBBP,PPBBPB,3-1-3-1
BPPPPB,BBBPPPPP,PBPPPB,3-1-3-1
BPBPBB,BBBPPPPP,PPBBPP,3-1-3-1
PBBPBB,BBBPPPPP,BPBBPB,3-1-3-1
PBPPBP,BBBPPPPP,PBPPPP,3-1-3-1
BPBPPP,BBBPBBBP,BBBBPP,3-1-3-1
BPPBPP,BBBPPPPP,PBBPPP,3-1-3-1
PBPBPP,PPPBPPPB,BPPPPP,3-1-3-1
BBPBPP,BBBPPPPP,BPPBBB,3-1-3-1
PBPPBB,PPPBPPPB,PPPBPP,3-1-3-1
BBBBPB,BBBPBBBP,PBPBBP,3-1-3-1
PPBBPP,PPPBBBBB,PPBBPB,3-1-3-1
PBPPPP,PPPBBBBB,BPPBBP,3-1-3-1
PPPPBP,PPPBBBBB,BPBPPB,3-1-3-1
BPBBBP,PPPBBBBB,PBBBBB,3-1-3-1
PPBBBP,PPPBBBBB,BBBPPP,3-1-3-1
BBBPBP,BBBPPPPP,PBBBPB,3-1-3-1
PBBPBB,PPPBPPPB,PPBBPB,3-1-3-1
PBPPPP,PPPBBBBB,BBBPBP,3-1-3-1
BPPBBB,PPPBBBBB,PPBPPP,3-1-3-1
PPPBPB,PPPBPPPB,BBBPBB,3-1-3-1
BPPPBP,PPPBPPPB,PBPPPB,3-1-3-1
BPBPPP,BBBPBBBP,PBPPBB,3-1-3-1
BPBPBB,PPPBBBBB,PBBPPB,3-1-3-1
BPPPBB,PPPBPPPB,BBBBBB,3-1-3-1
PBPBBP,BBBPBBBP,PBPBPP,3-1-3-1
PBPBPB,BBBPPPPP,BBPBPB,3-1-3-1
PBPPPP,PPPBPPPB,BBBBPB,3-1-3-1
BBPPBB,PPPBPPPB,BBPBPB,3-1-3-1
BPPBBB,PPPBBBBB,BPBBPB,3-1-3-1
PPPBPP,PPPBPPPB,PBPPBP,3-1-3-1
BBPPBP,PPPBBBBB,PBBBBP,3-1-3-1
PPBPPB,BBBPPPPP,PPBPBP,3-1-3-1
BPPBBB,BBBPBBBP,BBPPBB,3-1-3-1
BPBBPP,BBBPBBBP,PBBPPP,3-1-3-1
BBPBPB,BBBPBBBP,BPBBBP,3-1-3-1
PBBPPB,BBBPBBBP,PPPPPP,3-1-3-1
PBPPBB,PPPBPPPB,PBPPBB,3-1-3-1
PBBPPP,PPPBPPPB,PBBPPB,3-1-3-1
BBPPPP,BBBPBBBP,BBBBBB,3-1-3-1
BBPBBB,BBBPPPPP,BPPBPP,3-1-3-1
BPPPPP,PPPBPPPB,PBPPBB,3-1-3-1
PBBPPB,BBBPBBBP,PPPPBP,3-1-3-1
BPPPPB,BBBPBBBP,BPBPPP,3-1-3-1
PPBPPB,PPPBBBBB,PBPBBB,3-1-3-1
PBPBBB,BBBPPPPP,PPBPBB,3-1-3-1
PBBPPB,BBBPBBBP,BBBPPP,3-1-3-1
PPBPBP,PPPBBBBB,BPPPBP,3-1-3-1
BBBBBB,PPPBPPPB,PBPPBB,3-1-3-1
PPPPBB,PPPBPPPB,PPPPBB,3-1-3-1
PPPPBB,PPPBBBBB,BBPBPP,3-1-3-1
PBBPPP,PPPBPPPB,BBPPBB,3-1-3-1
PBPPPP,BBBPPPPP,PPBPBB,3-1-3-1
PPBBPP,BBBPBBBP,PPBPPB,3-1-3-1
BPPBPB,BBBPBBBP,BPBPBB,3-1-3-1
BBBBPB,PPPBBBBB,BPBBPB,3-1-3-1
BBPBBP,BBBPBBBP,PPBPBP,3-1-3-1
PBPBBP,PPPBPPPB,BBBBPP,3-1-3-1
PBBPPB,PPPBBBBB,BBBBPB,3-1-3-1
BBBBBB,BBBPBBBP,PBPPBB,3-1-3-1
BPPPBP,BBBPBBBP,PPPPPP,3-1-3-1
PBPBPP,BBBPBBBP,BPPBPB,3-1-3-1
PBBPBP,BBBPPPPP,PBBPBB,3-1-3-1
PBBPBP,PPPBPPPB,BBPBPB,3-1-3-1
PBPPBP,BBBPBBBP,PPPBPB,3-1-3-1
PBPBBP,BBBPBBBP,PBBPBB,3-1-3-1
BBBPBP,PPPBBBBB,PPPBBP,3-1-3-1
PPBBBB,PPPBPPPB,PPBPBB,3-1-3-1
PPPPBB,PPPBBBBB,PPPPPP,3-1-3-1
PBBBPB,BBBPPPPP,PPBPBB,3-1-3-1
PPBBPB,PPPBPPPB,BBPPPP,3-1-3-1
PPBBBP,PPPBBBBB,BPPBPB,3-1-3-1
PPBBPB,PPPBBBBB,BBBBBP,3-1-3-1
BPBBPP,PPPBPPPB,BPPPPP,3-1-3-1
PBPBPB,BBBPBBBP,BBBPBP,3-1-3-1
PPPBPB,PPPBBBBB,BBPBPP,3-1-3-1
PPPBBP,BBBPPPPP,PPBBBB,3-1-3-1
PBBBBB,BBBPPPPP,PPPBPB,3-1-3-1
PBPPBP,PPPBPPPB,BPPBBB,3-1-3-1
PBPBPP,PPPBBBBB,PPBBPP,3-1-3-1
PBPPBB,PPPBPPPB,PBBBBB,3-1-3-1
PBPPBB,BBBPBBBP,BPBPBP,3-1-3-1
PPBBPB,BBBPPPPP,BBPBBP,3-1-3-1
PBPBBP,BBBPPPPP,BBPPPB,3-1-3-1
PPBPBB,BBBPPPPP,PPPBBB,3-1-3-1
PBBBPP,BBBPBBBP,BBBPPP,3-1-3-1
BPBBBP,PPPBPPPB,PBPPBB,3-1-3-1
PPPBBB,PPPBBBBB,BPBPPP,3-1-3-1
BBBPPB,PPPBPPPB,PBPBBB,3-1-3-1
BBPPPP,BBBPBBBP,BBBBPP,3-1-3-1
BPPPBP,BBBPBBBP,BBBBBB,3-1-3-1
BBBBPB,BBBPBBBP,BPPPBB,3-1-3-1
PPBPBP,BBBPBBBP,PBBPBP,3-1-3-1
PPBPPP,BBBPBBBP,BBBBPP,3-1-3-1
PBPPPP,BBBPBBBP,PBBPBP,3-1-3-1
BBPBBP,BBBPPPPP,BPBBBP,3-1-3-1
BBPPPP,PPPBPPPB,PPBPPP,3-1-3-1
PPBBPB,PPPBPPPB,BBPPBB,3-1-3-1
PBBBPP,BBBPBBBP,PPPPPB,3-1-3-1
BBBBPB,PPPBPPPB,PPPPBP,3-1-3-1
BPPPBP,PPPBPPPB,PBPPPP,3-1-3-1
BBBPBP,PPPBBBBB,BBBPPB,3-1-3-1
BBPPBB,PPPBPPPB,PBBPBB,3-1-3-1
BPBBPB,BBBPBBBP,PPPBBP,3-1-3-1
PBPPPP,BBBPPPPP,PBBPPB,3-1-3-1
BPPPPB,BBBPBBBP,PPBPPB,3-1-3-1
PPBPBP,PPPBPPPB,PBPBBP,3-1-3-1
PBBPBP,BBBPBBBP,PBBPPP,3-1-3-1
PBBPPP,BBBPBBBP,PBPBBP,3-1-3-1
PPBBPB,BBBPPPPP,PBPBPP,3-1-3-1
PBBPBP,BBBPBBBP,BBBBBP,3-1-3-1
PPPBBB,PPPBPPPB,PBBBBP,3-1-3-1
PPPBPB,BBBPBBBP,BBPBPB,3-1-3-1
PBBPPB,PPPBPPPB,BPPBBB,3-1-3-1
PPBPPB,PPPBBBBB,BBBBBB,3-1-3-1
BBPBBP,BBBPPPPP,BPPBBP,3-1-3-1
PBBBPB,PPPBBBBB,PPPPPB,3-1-3-1
PPBBBB,BBBPPPPP,PBBPPP,3-1-3-1
PPBPBB,BBBPPPPP,PPPPBP,3-1-3-1
BPBBBB,BBBPBBBP,BBBPPB,3-1-3-1
BBPBPB,BBBPBBBP,PBPPPB,3-1-3-1
BPBPPP,PPPBBBBB,BBBBBB,3-1-3-1
BBBBPP,BBBPBBBP,BBPBBB,3-1-3-1
BBBBBP,BBBPBBBP,BBPBPP,3-1-3-1
PPBPPP,PPPBBBBB,BPBPPB,3-1-3-1
PPBBBP,PPPBPPPB,BBPBPP,3-1-3-1
BBBBPB,BBBPPPPP,BPBBPP,3-1-3-1
BBPPPP,BBBPPPPP,PBBBPB,3-1-3-1
PBPPBB,BBBPBBBP,BPPPBP,3-1-3-1
BBBPBP,PPPBPPPB,PPBPBB,3-1-3-1
BPBBBB,BBBPBBBP,BBBPPP,3-1-3-1
BBPPBP,BBBPBBBP,PPPPPP,3-1-3-1
PBPBPB,PPPBPPPB,PBBBBB,3-1-3-1
BPPPPB,BBBPBBBP,PPBPPB,3-1-3-1
BPBBBP,PPPBPPPB,PBBPPB,3-1-3-1
PPBPBB,PPPBPPPB,BBPBPP,3-1-3-1
PPBPBB,BBBPPPPP,BPBBPB,3-1-3-1
PBBPBP,PPPBPPPB,BBBBPP,3-1-3-1
BPBBBP,PPPBBBBB,BPBPBB,3-1-3-1
PBPBBB,PPPBBBBB,BPPBPB,3-1-3-1
BBBBPB,BBBPBBBP,BBPBBB,3-1-3-1
BPPBPP,BBBPPPPP,BPPBBP,3-1-3-1
BPPBBP,BBBPPPPP,PPBPBB,3-1-3-1
BBPPPP,PPPBBBBB,BPPBPB,3-1-3-1
BBPBPB,BBBPPPPP,BPBBBB,3-1-3-1
BPBBPP,BBBPBBBP,PBPPPP,3-1-3-1
PPPBPP,PPPBPPPB,BPBPBB,3-1-3-1
BBPBPB,PPPBBBBB,BBBPPB,3-1-3-1
BBBBBP,PPPBPPPB,BPBBBB,3-1-3-1
PPPPBP,PPPBBBBB,BPBPPP,3-1-3-1
BBPBPB,BBBPPPPP,PPBPPB,3-1-3-1
BBPBBB,BBBPBBBP,BBBPPP,3-1-3-1
PPPBBP,PPPBPPPB,PPPPPP,3-1-3-1
PPPPBP,BBBPPPPP,PBPPBP,3-1-3-1
BPBPPB,BBBPBBBP,PPPBBP,3-1-3-1
BBPBPB,PPPBBBBB,BBPBPP,3-1-3-1
PBPPPP,PPPBPPPB,PBPPPP,3-1-3-1
BPPBPB,PPPBBBBB,BBPBBP,3-1-3-1
BPPPPP,PPPBPPPB,BBBBBP,3-1-3-1
PPBBPP,PPPBBBBB,BBBBPP,3-1-3-1
BPBPBB,BBBPPPPP,BBBBBB,3-1-3-1
BBPPBB,BBBPBBBP,PPPBPP,3-1-3-1
PBPPBB,PPPBBBBB,PPBPPB,3-1-3-1
PPPBPB,PPPBBBBB,PPPBPB,3-1-3-1
PBPBBB,BBBPBBBP,PPPPBB,3-1-3-1
BPBPBB,BBBPBBBP,PBBBPP,3-1-3-1
PPBBBP,PPPBPPPB,PPPPBP,3-1-3-1
BPBBPB,PPPBPPPB,PPBBBP,3-1-3-1
PPBPBP,BBBPPPPP,PPBPPP,3-1-3-1
PBPBBP,BBBPPPPP,BPBPBB,3-1-3-1
BBPBBP,PPPBBBBB,PPBBPP,3-1-3-1
BBPBPP,BBBPBBBP,PPBPBP,3-1-3-1
BBPBBB,BBBPBBBP,BBPPBB,3-1-3-1
BBPBBB,PPPBPPPB,PPBBBP,3-1-3-1
PPBBBB,PPPBBBBB,BBPBBP,3-1-3-1
BPPPPB,BBBPPPPP,PBPBBB,3-1-3-1
BBBBBB,PPPBPPPB,PPBPPB,3-1-3-1
PBBPPB,BBBPBBBP,PBPPPP,3-1-3-1
PPPPBP,BBBPBBBP,PBPPPB,3-1-3-1
BPPPBP,BBBPBBBP,PBPPPB,3-1-3-1
BBBPBP,PPPBPPPB,BPBBBB,3-1-3-1
PPBBPB,PPPBPPPB,PPBPBP,3-1-3-1
BPBBPB,BBBPPPPP,BBBPBB,3-1-3-1
BPBPBB,PPPBBBBB,BBBBPB,3-1-3-1
BBBBBB,BBBPBBBP,PBBPPP,3-1-3-1
BBPBBP,BBBPBBBP,BPPBPP,3-1-3-1
BPPBPP,PPPBBBBB,BBPPPB,3-1-3-1
BPBPBB,PPPBBBBB,PPPPBP,3-1-3-1
PPPBBP,BBBPPPPP,PBPPBP,3-1-3-1
PBBBPB,BBBPBBBP,PPPPPP,3-1-3-1
PBPBPP,BBBPBBBP,PPPPBP,3-1-3-1
BPBBPP,BBBPPPPP,PPBBPB,3-1-3-1
BBBPPB,PPPBPPPB,BBBBPP,3-1-3-1
BPPPBB,BBBPPPPP,PBPBPB,3-1-3-1
BBPBBB,BBBPBBBP,BPPBBB,3-1-3-1
PBBBBB,BBBPPPPP,PPPPBP,3-1-3-1
BBPPPP,BBBPBBBP,PPBPBP,3-1-3-1
PPBPPB,BBBPBBBP,BBPPBP,3-1-3-1
PPBPPB,BBBPBBBP,PPBBBP,3-1-3-1
PBBPBB,PPPBPPPB,PBBPBB,3-1-3-1
BPBPPB,BBBPPPPP,PPPBPB,3-1-3-1
PPBPPB,PPPBPPPB,BPBPBP,3-1-3-1
BBPPBP,BBBPPPPP,PPBPBP,3-1-3-1
BPPBBB,BBBPPPPP,BPBPPP,3-1-3-1
PPBPBP,PPPBPPPB,BBPPPB,3-1-3-1
PPPBBB,PPPBBBBB,PPPPPP,3-1-3-1
PPBPPB,BBBPBBBP,BPBBBB,3-1-3-1
BBPPPP,BBBPPPPP,BPBBBP,3-1-3-1
BPPBBB,PPPBPPPB,PPBBBP,3-1-3-1
BPPPBB,PPPBBBBB,BBPPPB,3-1-3-1
BPPBBB,PPPBBBBB,PBBPBB,3-1-3-1
PPBBBB,PPPBPPPB,BPPPBB,3-1-3-1
PPBBBB,PPPBPPPB,BBPBPB,3-1-3-1
PPPBBB,PPPBBBBB,BPBPBP,3-1-3-1
PBPBBP,BBBPPPPP,BPPBBB,3-1-3-1
BPBPPB,BBBPPPPP,PPPBPP,3-1-3-1
BPPPPP,PPPBPPPB,BPBPPP,3-1-3-1
PBBBPB,BBBPBBBP,PPBPBP,3-1-3-1
BBBPPP,BBBPBBBP,BBBBBB,3-1-3-1
BPBBBP,PPPBBBBB,BBPPBB,3-1-3-1
BPBBBP,PPPBBBBB,PBPBBB,3-1-3-1
PPBPBP,PPPBBBBB,BBPPPB,3-1-3-1
PPBPBB,PPPBPPPB,PBPBBB,3-1-3-1
PBBBBB,BBBPBBBP,PBBBPB,3-1-3-1
BPPPBP,BBBPBBBP,PPPBPP,3-1-3-1
PBBBBB,BBBPBBBP,BPBBPB,3-1-3-1
BBBBPP,BBBPPPPP,BBPBBP,3-1-3-1
BPPPPB,BBBPBBBP,PBBPPP,3-1-3-1
PPBPBB,BBBPPPPP,PBBBPP,3-1-3-1
PPPPPP,PPPBPPPB,BBPBPP,3-1-3-1
PBBPPP,BBBPBBBP,BPBBPB,3-1-3-1
BBPBBP,BBBPBBBP,PPBPPB,3-1-3-1
