before,wait_double,after,length,double_color
BPBPPB,BPBPBB,PBPPPB,6,B
BBPBBP,BPBPBB,BBPBBP,6,B
PPPBPP,BPBPBB,BPBPPP,6,B
PPBBBP,BPBPBB,PBPBBB,6,B
PBBPBB,BPBPBB,BPPPBB,6,B
BBPPBB,PBPBPP,BBPBPB,6,P
BPPBBP,BPBPBB,BBPBBB,6,B
PPPPPP,PBPBPP,BBPBPB,6,P
BPBPPB,BPBPBB,BBPBBB,6,B
PBBBBP,PBPBPP,BBBPBP,6,P
BPPBBB,PBPBPP,PBBPPP,6,P
PPBBBP,BPBPBB,BBBBBB,6,B
PPBBBB,BPBPBB,PBPPBP,6,B
PBBBBB,BPBPBB,PPBBPP,6,B
PBBPBB,BPBPBB,PPPBPP,6,B
PPBBBB,BPBPBB,BPBBBP,6,B
PPPPBP,PBPBPP,PPPBBP,6,P
PPBBPP,PBPBPP,BPPBPP,6,P
PBBPBP,PBPBPP,PBBPPB,6,P
PBBPBB,PBPBPP,PPBPPB,6,P
BPPBPP,BPBPBB,BPBBBB,6,B
BPBBPB,BPBPBB,PBPPPB,6,B
BBBPPB,PBPBPP,BBBPBB,6,P
BPBBBB,PBPBPP,BPBPBB,6,P
PBPBPP,BPBPBB,BBBPBP,6,B
PBBBBB,PBPBPP,PBPPBP,6,P
BPBBPB,BPBPBB,BBBBBB,6,B
BPPPBB,PBPBPP,PPBPPB,6,P
PPBPPB,BPBPBB,BPBPPP,6,B
PPPPBB,PBPBPP,BPPBPP,6,P
PBBBPP,PBPBPP,BBPBPP,6,P
PBBPPP,PBPBPP,BPBBPB,6,P
BBBBBB,BPBPBB,PBPBBB,6,B
BPBPPB,PBPBPP,BPBPPP,6,P
PBBBBB,PBPBPP,BBBBBB,6,P
BBBPPP,BPBPBB,BBPPBB,6,B
BPPBBB,PBPBPP,BBBBBB,6,P
BPPBBB,PBPBPP,BPPBBP,6,P
BPPBPP,PBPBPP,PPBPBB,6,P
BBPPBB,PBPBPP,BBPBPB,6,P
BPBPPB,BPBPBB,PBBPPB,6,B
BPBBPP,BPBPBB,PBPBBB,6,B
PBBBPB,PBPBPP,PBPBBB,6,P
BPBBBB,BPBPBB,BBPPPP,6,B
BBPPPP,BPBPBB,BPPPBP,6,B
BBBBBB,BPBPBB,PBPBPP,6,B
BPBPBB,PBPBPP,BPBBPB,6,P
BBBBBP,PBPBPP,PBBBPP,6,P
PBBPPB,BPBPBB,PPPBBP,6,B
BBPPPB,BPBPBB,PPPBBP,6,B
PPBPBP,BPBPBB,PPBBBP,6,B
PPBPPP,PBPBPP,PPBPBP,6,P
BPBBBP,PBPBPP,PPBPPP,6,P
PBBPPP,PBPBPP,PPPPBP,6,P
PPPPBP,BPBPBB,PBBPBP,6,B
BBPBBP,BPBPBB,PBPBPB,6,B
PBPBBP,BPBPBB,BBPPPB,6,B
PBPBBP,PBPBPP,PBBPBP,6,P
PPPPBP,PBPBPP,BPBPBB,6,P
PBPBPP,BPBPBB,BPBPBP,6,B
PBPBBB,PBPBPP,PPPBBP,6,P
PBPBBP,PBPBPP,BBPBPP,6,P
BBBPPB,BPBPBB,BBBPPB,6,B
PPPPPB,BPBPBB,BPPPPB,6,B
PBPPBP,BPBPBB,PPBBPP,6,B
BPBBBP,BPBPBB,BBPBBP,6,B
PBPPBB,PBPBPP,PPBBBP,6,P
PBBBPB,PBPBPP,PPPPPB,6,P
PBPPBB,PBPBPP,PPBBBP,6,P
BPBBPB,BPBPBB,PBBPBP,6,B
BBPPPB,BPBPBB,PBPBPP,6,B
BBBBPP,BPBPBB,PPBBPB,6,B
PBBBPP,BPBPBB,PPPBPP,6,B
BPPPBP,PBPBPP,PPPBPB,6,P
PBBBBP,BPBPBB,PPBPPB,6,B
BBPPBB,PBPBPP,PPPBBB,6,P
PPBBPP,PBPBPP,BPPBPP,6,P
PPBPBP,BPBPBB,BBBPPP,6,B
PPPBBP,BPBPBB,BPBPPP,6,B
BBPBPP,BPBPBB,BBPPPP,6,B
PPPBBB,BPBPBB,BBPBBB,6,B
BBBPBP,BPBPBB,BBPPPP,6,B
PBBBBB,BPBPBB,PPBBBP,6,B
BBPBBP,BPBPBB,PBBBPP,6,B
PPPPBP,BPBPBB,BBPPPB,6,B
BBPPPB,PBPBPP,BPBPPB,6,P
PPBBPB,BPBPBB,BBBPBP,6,B
BBBBBP,BPBPBB,PBPPPB,6,B
PPPBPP,PBPBPP,PBPBPB,6,P
BPPPBP,BPBPBB,PBBPBP,6,B
BPPPBP,PBPBPP,PPPPPB,6,P
PPPBPP,BPBPBB,BPBBBP,6,B
PBBBPB,BPBPBB,PBPBBP,6,B
BBPBBP,BPBPBB,PPBPPB,6,B
BBBPBP,BPBPBB,BBBPPB,6,B
PPBPPP,PBPBPP,BPPPBP,6,P
BPPBPP,PBPBPP,PBBPPB,6,P
PBPPBP,PBPBPP,PPPPPB,6,P
PBPPPB,BPBPBB,PBPBPB,6,B
BPBBPB,PBPBPP,PBBPBB,6,P
BBPPPB,BPBPBB,PBBPBP,6,B
PPBBBP,PBPBPP,PBBPBP,6,P
PPPBBB,BPBPBB,BBPPBB,6,B
BBPPBB,PBPBPP,PPBPPB,6,P
PPPBBP,PBPBPP,BBBPPB,6,P
PPBBPB,PBPBPP,BPPBBB,6,P
BBPBBP,PBPBPP,PBBBPP,6,P
PBBPBB,BPBPBB,PBBBBB,6,B
BPPBPP,BPBPBB,PBBBBP,6,B
PBBBBB,BPBPBB,BBBBBP,6,B
BBBBPB,PBPBPP,BBPPPB,6,P
BBBPBP,BPBPBB,PBPBPP,6,B
BPBPBB,PBPBPP,PPBBBB,6,P
PBPPBP,PBPBPP,BBPBPP,6,P
PBBBBB,PBPBPP,BBPPPP,6,P
PPPBPB,PBPBPP,BPPPPP,6,P
PBPPPB,BPBPBB,PPBBBB,6,B
BPPBPP,PBPBPP,BBPPPP,6,P
PPPBPB,BPBPBB,BBPBPB,6,B
PBPBBB,BPBPBB,PBBPBB,6,B
PPPBPP,BPBPBB,PBBPBP,6,B
PBPPBB,PBPBPP,PBBBPP,6,P
PPPPPP,PBPBPP,PBPBPP,6,P
PBPBPP,PBPBPP,BPPPPP,6,P
PPBPPB,PBPBPP,PPPPPB,6,P
BBBBPB,BPBPBB,BPPPPB,6,B
BBBPPP,PBPBPP,PBPBPP,6,P
PBPBPP,PBPBPP,PBBPBP,6,P
PPPBBP,BPBPBB,BPBBBP,6,B
BPBBPB,BPBPBB,PPPPPP,6,B
BPBBPB,BPBPBB,PPPPPB,6,B
BPBPPP,PBPBPP,BBBBPB,6,P
PBBPBP,PBPBPP,PPBBBB,6,P
BPPPPP,PBPBPP,PBBPPB,6,P
PPPBBP,PBPBPP,PPBPPP,6,P
BBBBBP,BPBPBB,BPBPPP,6,B
BBBPPB,BPBPBB,BPBPBB,6,B
BPBPBB,BPBPBB,BPPBPP,6,B
BPPPPB,BPBPBB,BPBPPP,6,B
BPPPBB,BPBPBB,BPPPBB,6,B
PBBPBB,BPBPBB,BBBBBB,6,B
PBBBPB,PBPBPP,BBBPPB,6,P
PPBBBB,BPBPBB,BPPPPP,6,B
BBBPBP,PBPBPP,BBPPBB,6,P
PBBBPB,PBPBPP,BPBBBB,6,P
PBBBPB,PBPBPP,BPPPPP,6,P
BPPBBB,PBPBPP,PBBBPB,6,P
PPBPPB,PBPBPP,BPPPBP,6,P
BPPPBB,PBPBPP,BBBPPB,6,P
PBBBBB,BPBPBB,BBPBBP,6,B
BBBBPB,BPBPBB,BPPBPB,6,B
BPPBPB,PBPBPP,BPBBPP,6,P
BPPBPP,PBPBPP,PBBBBP,6,P
BBPPBB,PBPBPP,PPBBPP,6,P
PBBPBP,BPBPBB,PPBBBP,6,B
PPBPBP,BPBPBB,PPPPPB,6,B
PPBBPP,PBPBPP,BPBBBB,6,P
PPPBBB,BPBPBB,PPPBBB,6,B
BPPPBB,BPBPBB,BPPPBP,6,B
PBBPBB,PBPBPP,PPBBBB,6,P
PPPBBB,PBPBPP,BPBPBB,6,P
PBPBPP,BPBPBB,PBPBPB,6,B
BPBBPB,PBPBPP,BBPPBB,6,P
PBBBPP,PBPBPP,BPBPBB,6,P
PPBPPP,BPBPBB,BPBBPP,6,B
PBPPBB,PBPBPP,BBPBBB,6,P
BPBPBP,BPBPBB,PPBBPB,6,B
BBBBPB,BPBPBB,BBBBPB,6,B
BPPBBB,BPBPBB,PPPPPP,6,B
BPPBBP,BPBPBB,PPPPPP,6,B
PPPPPP,BPBPBB,BBPPPB,6,B
PPBBBB,BPBPBB,PBPPBP,6,B
BBPPPP,PBPBPP,BBPBPB,6,P
BPBPPB,BPBPBB,BBBBPP,6,B
BBPPPP,BPBPBB,PBBBPB,6,B
PPPBPB,PBPBPP,BPPBPP,6,P
PPBBBB,BPBPBB,PBBBPB,6,B
BBBBPB,BPBPBB,BBBPBP,6,B
PBBBBB,PBPBPP,PBPBBP,6,P
PPPBPB,BPBPBB,BPBBBB,6,B
PBBPBP,BPBPBB,BPPPPP,6,B
BPPPPP,BPBPBB,PPPBBP,6,B
BPPBPB,PBPBPP,BBBPBP,6,P
BPPBBB,PBPBPP,BBBPPP,6,P
BPPBPB,PBPBPP,PPPPPB,6,P
PPBPPP,PBPBPP,BBBPBB,6,P
PBPPBP,BPBPBB,BPBBPB,6,B
BBBPPB,BPBPBB,BBPBPP,6,B
PPPBPP,PBPBPP,BBPPPP,6,P
BPPBPP,BPBPBB,PBPBPB,6,B
BPBBPB,PBPBPP,BPBBPP,6,P
PPBBPB,BPBPBB,BPBBBP,6,B
PBBPPP,PBPBPP,PBBBPP,6,P
PPBBBB,PBPBPP,PPPPBB,6,P
PPPBBP,PBPBPP,BBPBPB,6,P
BPBPPB,BPBPBB,PBBPPB,6,B
PBBBBP,BPBPBB,PBPPPP,6,B
PPPBBP,BPBPBB,PPPPPP,6,B
PPBBPP,PBPBPP,BBPPBB,6,P
PBPBBP,BPBPBB,BPPPBP,6,B
PPBPPP,PBPBPP,PPPPPP,6,P
PPPBBP,PBPBPP,PBBBBB,6,P
BBBPBB,PBPBPP,BPBPPP,6,P
PBBBBP,PBPBPP,BBBPBP,6,P
BPPBBB,PBPBPP,PBPPPB,6,P
BPBBPP,BPBPBB,BBPPBB,6,B
PPPPPB,BPBPBB,BBPBBP,6,B
BBPPPP,PBPBPP,PBPPBB,6,P
BBBBBP,PBPBPP,PBPPBP,6,P
BPPBBP,BPBPBB,PBBPBB,6,B
BPPPPB,BPBPBB,BBPPPB,6,B
PBBBPP,BPBPBB,PBPPPB,6,B
BBBPBB,PBPBPP,BBBPPB,6,P
BPPBPP,PBPBPP,PBBPBB,6,P
BBPBBB,BPBPBB,PBBBBP,6,B
PBPPPB,BPBPBB,PBBBBP,6,B
BPBBBP,BPBPBB,PBBPPB,6,B
BPPBBB,PBPBPP,PPPBPB,6,P
PBPBBB,BPBPBB,PBBBBB,6,B
PPBBBP,PBPBPP,BBPBBP,6,P
PBBBBB,BPBPBB,PPBBPP,6,B
PBBPPP,BPBPBB,BPBPPP,6,B
BBPBPP,PBPBPP,PBBBBP,6,P
PBBPPP,BPBPBB,PBPPBP,6,B
PBBBBB,BPBPBB,BPBPPB,6,B
PPPPPP,PBPBPP,BPBPPB,6,P
PBPBPP,BPBPBB,BBBBBB,6,B
BBBBBP,BPBPBB,PPPBBB,6,B
BPBBBP,BPBPBB,BPPPBP,6,B
BBBBPP,BPBPBB,PBBPPP,6,B
PBPBBP,PBPBPP,PBBPPB,6,P
BBPPBB,BPBPBB,PBBBPB,6,B
PPBPBP,BPBPBB,PPBPPB,6,B
PPBPPB,BPBPBB,PPBPBB,6,B
PBPPBB,BPBPBB,PBBPBP,6,B
PBBPBB,PBPBPP,BBPPPB,6,P
BBPBBB,PBPBPP,BBPPBB,6,P
PBBPPB,PBPBPP,BBBPBB,6,P
PPPPPP,BPBPBB,BPBPPB,6,B
PPBPPB,BPBPBB,BPPPPB,6,B
PBBBBP,PBPBPP,BBPPPB,6,P
PPBBPP,PBPBPP,PPBPBB,6,P
PBPPPP,PBPBPP,PBBBPB,6,P
BPPPBB,BPBPBB,PPPBPB,6,B
PPBPPB,PBPBPP,BBPPPP,6,P
PBBBPP,BPBPBB,BPBBBP,6,B
BPPPPP,PBPBPP,PBPPPP,6,P
BBBPBB,BPBPBB,PPPBBB,6,B
PPPPPB,PBPBPP,BPBPBB,6,P
PPPPBP,BPBPBB,PPPPBP,6,B
PPBBBP,PBPBPP,BPBPPB,6,P
BPPBBP,PBPBPP,BPPPPB,6,P
PPBPPP,PBPBPP,BBBBBB,6,P
PPPPPB,PBPBPP,PPBPBB,6,P
PPBBBP,BPBPBB,BPBBBB,6,B
BPBBPP,BPBPBB,BPPBBB,6,B
BBBBPB,PBPBPP,BBPBBB,6,P
BBBBPP,PBPBPP,PBBPPP,6,P
PPBBPB,PBPBPP,PPBBBP,6,P
PBBBPB,PBPBPP,BBPBBB,6,P
PBPPPB,PBPBPP,PBBPBB,6,P
BBPPBB,BPBPBB,BBBPBP,6,B
PPBBPB,PBPBPP,PBBBPP,6,P
PBBBPP,BPBPBB,BBBPPP,6,B
BPPPPP,PBPBPP,PBBBBB,6,P
PBBPBP,BPBPBB,BBPPBB,6,B
BBBPPP,BPBPBB,BBPBPP,6,B
BBPBPP,BPBPBB,PBPPPB,6,B
PPBBBP,PBPBPP,BPPPPB,6,P
PBPPBP,BPBPBB,BBBBBB,6,B
PPPBPB,PBPBPP,BBBPBP,6,P
BBPBBB,PBPBPP,BPPPPB,6,P
PPBPBB,PBPBPP,PPPBPP,6,P
PPBBBP,BPBPBB,BBBBPP,6,B
PPBBPB,BPBPBB,PBBBPB,6,B
PPBPBB,PBPBPP,BBBBBB,6,P
PBBPPP,PBPBPP,PBPBPB,6,P
BPBPPP,BPBPBB,BPBBPP,6,B
BBPPPP,PBPBPP,PBPBPP,6,P
PBPBPP,PBPBPP,PPPBBP,6,P
BBBBPB,PBPBPP,BPBBPP,6,P
BPBBPP,PBPBPP,BBPBPB,6,P
BPPBBP,BPBPBB,PPBPBP,6,B
PBPBBP,PBPBPP,PBBBBP,6,P
BPPPPP,PBPBPP,PPPPPP,6,P
BBBPBP,BPBPBB,PPPPBB,6,B
BBPBBP,PBPBPP,BBPPBB,6,P
BPPPBP,BPBPBB,PPPPPB,6,B
PPPBBP,BPBPBB,BPBPBB,6,B
BPBPBB,BPBPBB,PBBBPB,6,B
PBPPPB,PBPBPP,PBBPBB,6,P
PPBBBP,BPBPBB,PBPBBB,6,B
PBPBBB,PBPBPP,BPBBPB,6,P
PBBPBP,BPBPBB,BPPPBB,6,B
PPBBPP,BPBPBB,BBBBBB,6,B
PPPPPB,PBPBPP,BBPBBB,6,P
PBBBPP,BPBPBB,BPPBPP,6,B
BBPBBP,PBPBPP,BPPBBB,6,P
BPPBPP,PBPBPP,BPBBPP,6,P
PBBPBB,BPBPBB,PBBBPB,6,B
BBBBBB,PBPBPP,PPPPBB,6,P
PBBPBP,PBPBPP,PBPBPB,6,P
BPBPPP,BPBPBB,PBBBBP,6,B
PBPBPB,PBPBPP,BBPBPP,6,P
BBPBBB,PBPBPP,BBBPBB,6,P
BBBBBB,PBPBPP,PBPBBB,6,P
PBBBPB,BPBPBB,BBBBPB,6,B
BPBBPP,BPBPBB,BBPBBB,6,B
PBBBBP,PBPBPP,PBPBPB,6,P
PPBPBP,BPBPBB,PPBBBB,6,B
PPPPPP,BPBPBB,BPPPBP,6,B
PBBBPP,PBPBPP,BBBPBB,6,P
PPBBPB,PBPBPP,BBPPBB,6,P
PBPPBP,BPBPBB,PBPPPP,6,B
BPBBPB,BPBPBB,PPBPBB,6,B
BBBPPP,BPBPBB,BBBBBB,6,B
PBBPBB,BPBPBB,PBBPBB,6,B
BBPPPP,BPBPBB,PPPBPP,6,B
PPBBPB,BPBPBB,PPPPBP,6,B
BBBBPP,PBPBPP,PPBPPB,6,P
PPBBBP,PBPBPP,BBBBBP,6,P
PBPPPB,BPBPBB,PPBPBB,6,B
BBPBBB,BPBPBB,PBPPPB,6,B
BPPPPB,BPBPBB,PPPPBB,6,B
PPBBPB,BPBPBB,PBBBBB,6,B
PBPPBB,BPBPBB,PBBPPB,6,B
PPBBBB,BPBPBB,PBBPPP,6,B
BPPBPP,BPBPBB,PBPPBB,6,B
PBPPBB,PBPBPP,BBPPBB,6,P
BBPPBB,BPBPBB,BPBBPP,6,B
PBPPBB,PBPBPP,PBBPPP,6,P
PBPPBP,BPBPBB,BPBBBP,6,B
PPPPPP,BPBPBB,PPBPBB,6,B
PBBPBP,PBPBPP,PBPPBP,6,P
PPBPPB,PBPBPP,PPPBPB,6,P
BBPBBB,PBPBPP,PBBPPB,6,P
BBBPBB,BPBPBB,BPPBPP,6,B
BPBPPP,BPBPBB,BPPPPB,6,B
PPBBPP,BPBPBB,PBBPBP,6,B
BBBBBB,BPBPBB,PBPBPP,6,B
BPBPBB,PBPBPP,BBBPPP,6,P
BBPPBP,PBPBPP,PPBBBB,6,P
BBBPBB,BPBPBB,PBPBBB,6,B
PPPPBB,PBPBPP,PBBPBB,6,P
BBBPBB,PBPBPP,BBBBPP,6,P
BPBPBP,BPBPBB,PPPPBP,6,B
PBBPPP,PBPBPP,PBBBPB,6,P
PPBPPB,PBPBPP,PBBPPP,6,P
BPPBPP,PBPBPP,PBBBPB,6,P
BPPPPB,PBPBPP,BPBBPP,6,P
PBPBPB,PBPBPP,BBBBBP,6,P
BPPBPP,PBPBPP,BPBBPP,6,P
BBBPPP,PBPBPP,BPPPBP,6,P
BPPPBB,BPBPBB,BBPPPB,6,B
PBBPBB,PBPBPP,PPPBBB,6,P
PBBBPP,PBPBPP,PPBPBB,6,P
BPBBPP,BPBPBB,BPPBPB,6,B
PPBBPB,PBPBPP,BPBBPB,6,P
BPBBPB,BPBPBB,BBPPPP,6,B
PPBBPB,BPBPBB,BPPPPP,6,B
BPPBBP,PBPBPP,PBBBBP,6,P
BBPPBP,PBPBPP,BPPBPP,6,P
PBBPBP,BPBPBB,BBBPPB,6,B
BPPPPP,PBPBPP,BBPPPB,6,P
BBPPBB,BPBPBB,BPBPBP,6,B
BPBBBP,BPBPBB,BPPPBP,6,B
BPPBBP,BPBPBB,BBBBBP,6,B
BBPPPB,BPBPBB,BPPPPP,6,B
PPBBPP,PBPBPP,BPBPPP,6,P
PPPPPB,PBPBPP,BPPBBB,6,P
BBBBBP,PBPBPP,BBPPBB,6,P
BPPPBB,PBPBPP,PPBPBP,6,P
BPBPPP,PBPBPP,PBPPPB,6,P
BPBBPB,PBPBPP,BBBBPB,6,P
BBBBBB,BPBPBB,BBPBBP,6,B
BPBBPB,BPBPBB,PBBPBP,6,B
PPPPBB,BPBPBB,PBPBBB,6,B
BPBBBB,BPBPBB,PBPPPP,6,B
PPBPPP,BPBPBB,PPPPPB,6,B
BBPPPP,PBPBPP,BPBBBB,6,P
BPBPPP,BPBPBB,BBBBBB,6,B
BPBBBB,PBPBPP,BBPPPB,6,P
BBPPPB,PBPBPP,PPPPPP,6,P
PBBBBP,BPBPBB,BPPPBP,6,B
BBPPBB,BPBPBB,PBPBBB,6,B
PBPBPP,BPBPBB,BBBBPP,6,B
PPPPBP,BPBPBB,PPBBPP,6,B
BPBPBP,BPBPBB,PBPBBP,6,B
BPBBBB,PBPBPP,PBBBPB,6,P
PBBBPB,BPBPBB,BPPBBP,6,B
PBBPBP,PBPBPP,PBBBBB,6,P
BBBBBP,BPBPBB,PBPBPP,6,B
BPBPBB,PBPBPP,BBPBPB,6,P
BPBPPB,BPBPBB,PPBBBP,6,B
BBBBBP,BPBPBB,BPBPBB,6,B
BPBPBB,BPBPBB,PPPBBP,6,B
BPBBPB,PBPBPP,PPBBPB,6,P
BPBPPB,PBPBPP,PPBPPB,6,P
BBBBPB,PBPBPP,BBPBBP,6,P
BBBBPB,PBPBPP,BBPBBB,6,P
BPBPPP,BPBPBB,BPPPPB,6,B
PBBPBB,PBPBPP,BPPPPB,6,P
BBPBBB,BPBPBB,BBBPBP,6,B
BPPPPP,PBPBPP,PPPBPP,6,P
BBBBBP,PBPBPP,BPBPPP,6,P
BPBBBP,PBPBPP,PBBBPB,6,P
PPPBBP,PBPBPP,PPBBPP,6,P
BBBBPP,PBPBPP,PBBPBP,6,P
PBPPPB,BPBPBB,PPPBBP,6,B
BPBBBP,BPBPBB,BBBPPP,6,B
PPBPBB,BPBPBB,PBBBPP,6,B
BBBPPP,PBPBPP,PBBBBB,6,P
PPPPBP,PBPBPP,BPBBPB,6,P
BBPBBB,BPBPBB,PPBBBP,6,B
BPBPPP,BPBPBB,BPBBPB,6,B
BBBBPB,BPBPBB,BPBPBB,6,B
BPPPPB,PBPBPP,PPBBPB,6,P
PPPBBP,BPBPBB,BPPBBB,6,B
BBPPBP,BPBPBB,PPBPPB,6,B
BBPPBP,PBPBPP,BBBPBB,6,P
BBBBBB,BPBPBB,BBBPPP,6,B
BPBBPP,PBPBPP,BBBBBB,6,P
BBBBBB,PBPBPP,BBPBPP,6,P
BPBBBP,PBPBPP,BPPBPP,6,P
PBPPPP,PBPBPP,PPBBBP,6,P
PBBPPP,BPBPBB,PPPPBP,6,B
PBBPPB,BPBPBB,BBBBPB,6,B
BBBBBB,PBPBPP,PPPBBB,6,P
PPBBBP,BPBPBB,BPPBBP,6,B
PPPPPP,BPBPBB,PBBPPB,6,B
BBBPBP,BPBPBB,BPPPPB,6,B
PBPPBP,BPBPBB,BBBPPP,6,B
PPPPPP,BPBPBB,BPPBPP,6,B
PBBBBB,PBPBPP,PPPBPP,6,P
PBBBPP,BPBPBB,PPBBBB,6,B
BPPBBB,BPBPBB,BBBBPB,6,B
PBBBBB,BPBPBB,PBBPBP,6,B
BBPBBP,BPBPBB,BBBBPP,6,B
PBBBPP,BPBPBB,BBPBBB,6,B
BBBPBB,PBPBPP,BBPBBB,6,P
PBBPBP,BPBPBB,PPBPPB,6,B
PBBBBP,BPBPBB,PBBBBB,6,B
PBBBBB,PBPBPP,PPPBBB,6,P
PBPPPP,BPBPBB,PBPBPP,6,B
BPBPBB,PBPBPP,PBPBPP,6,P
PBPBPP,PBPBPP,BBBPPB,6,P
PBBPBB,BPBPBB,PPPPBB,6,B
BPBBBB,PBPBPP,BBBPPP,6,P
PPBBPB,BPBPBB,PBBPBB,6,B
PBBPPB,PBPBPP,PBBPBP,6,P
BPPBBB,BPBPBB,PBBPBB,6,B
PBBPPB,PBPBPP,BBPBBP,6,P
PPBPPP,PBPBPP,BBPBPB,6,P
BPBPPB,BPBPBB,BBBPBP,6,B
BPBBBB,BPBPBB,PPBPBB,6,B
BPPBPB,BPBPBB,BBBPBB,6,B
BPBBBP,BPBPBB,PBPBBP,6,B
BPPBPB,PBPBPP,BPPBPB,6,P
PPPBPB,BPBPBB,PPPBBB,6,B
PBBBPB,PBPBPP,BPBBPP,6,P
PPBPBP,BPBPBB,BBBBPB,6,B
BBPPPB,PBPBPP,BBPBPP,6,P
PBPPBB,BPBPBB,PBBBBB,6,B
BBBBPB,PBPBPP,PPPBPP,6,P
BBBPBB,BPBPBB,BBPPPP,6,B
BBBPPB,BPBPBB,PBPPPP,6,B
BBBPBP,BPBPBB,PPBBBB,6,B
BBBBBP,PBPBPP,BBBBBB,6,P
BBBBBB,BPBPBB,PPBPBB,6,B
BBPPPB,BPBPBB,BPBBPP,6,B
BPPBPB,PBPBPP,PBPBPP,6,P
PBPBPP,PBPBPP,PBPPPP,6,P
PPPBBP,BPBPBB,PPPBPB,6,B
BBPPPB,PBPBPP,PBBPBP,6,P
PBBPBP,BPBPBB,BPPPBB,6,B
PPPBBB,BPBPBB,BBBBPB,6,B
PBBBBB,BPBPBB,PBPPBP,6,B
PPBBBP,PBPBPP,PBBPPB,6,P
PBBBBP,BPBPBB,PPBBBB,6,B
BBPPBB,PBPBPP,BBBBPP,6,P
BBBBPP,BPBPBB,BBBPBB,6,B
PBPPPP,BPBPBB,BPBBBP,6,B
PPPBBP,BPBPBB,PPBBBP,6,B
PPBPPB,BPBPBB,PPPPPB,6,B
BPPBPP,BPBPBB,BPPPBP,6,B
PBBBPP,PBPBPP,PPBPBP,6,P
BPBPPP,PBPBPP,PPBBBB,6,P
BBPBPP,BPBPBB,BBBBPP,6,B
PPPPPB,BPBPBB,PBPBPB,6,B
BBPBPB,PBPBPP,BPPPBP,6,P
BBBPPB,PBPBPP,BBBPBP,6,P
PPBPPB,PBPBPP,PPPBPP,6,P
PPPBPB,PBPBPP,BPBBBP,6,P
PBBBBB,BPBPBB,PPPBBB,6,B
BPPBPP,BPBPBB,BBBBPP,6,B
PBBBBP,PBPBPP,PBBBPP,6,P
PPBBPB,PBPBPP,BPBBPB,6,P
BBBBBP,BPBPBB,BBBPPP,6,B
PPPPBB,BPBPBB,BBPBBB,6,B
BBBBPP,BPBPBB,BPBPPP,6,B
BPBBBB,PBPBPP,PBBBPP,6,P
BPPBPP,PBPBPP,PPBBBP,6,P
BBBPBP,PBPBPP,PPBBPP,6,P
BBBBBP,PBPBPP,BPPBBB,6,P
PPBPBB,BPBPBB,BPBPPP,6,B
PBPPBP,PBPBPP,PPBPBB,6,P
BPBBPP,BPBPBB,PBPBPP,6,B
BPBPBB,PBPBPP,PBBBBP,6,P
PPPBBB,BPBPBB,BPBBBB,6,B
BPBBBB,BPBPBB,BPBBPP,6,B
PPPPBB,BPBPBB,BPBBBB,6,B
BBPBPP,PBPBPP,BPBPBP,6,P
PPPPBP,BPBPBB,BBBPPP,6,B
BPBBBB,BPBPBB,BBBBBP,6,B
BBBBBB,BPBPBB,PBBPPB,6,B
BBBPBB,BPBPBB,PBPPPP,6,B
BBPBBB,BPBPBB,BBBBBB,6,B
PBPPBP,PBPBPP,BBBBBP,6,P
BBBBPP,BPBPBB,PPBBPB,6,B
PPPBBP,BPBPBB,BPPPPP,6,B
PBBPBB,PBPBPP,BBPBBB,6,P
BBBBPB,BPBPBB,PBPPBB,6,B
PPPBBP,PBPBPP,PPBBBB,6,P
BBBBBB,PBPBPP,BBPPPP,6,P
PBBPPP,BPBPBB,PPBBPB,6,B
PBBPPB,BPBPBB,BPPPPB,6,B
PBPPPB,PBPBPP,PBPPPP,6,P
PBPPPB,PBPBPP,BPBBPP,6,P
PBPBBB,BPBPBB,BPPBPP,6,B
PPBBBB,PBPBPP,PPPBPP,6,P
PPBBBB,BPBPBB,PBPPBP,6,B
PBBBBB,BPBPBB,BBBBPB,6,B
PPBPPB,PBPBPP,PBPBPP,6,P
PBPBPP,PBPBPP,BPPBBB,6,P
BBBPBB,PBPBPP,BPBPBP,6,P
BPBPPB,PBPBPP,PBBBBP,6,P
PPPBBB,BPBPBB,PPPPPB,6,B
PPBBPB,PBPBPP,PBPPBB,6,P
BPBPBB,BPBPBB,BBPPBB,6,B
BBBPBB,BPBPBB,BBPBPB,6,B
PBPBBB,BPBPBB,BPBBBB,6,B
BBPPPP,PBPBPP,BBPBBP,6,P
BBPBBB,BPBPBB,BBPBBB,6,B
PPBPPB,BPBPBB,PBBBPB,6,B
PBBBBP,PBPBPP,BBBPBP,6,P
PBBPBB,BPBPBB,PBPPBB,6,B
BPBBPP,BPBPBB,BPBBPP,6,B
BBBBBB,PBPBPP,BPBBBB,6,P
BBBBBP,BPBPBB,BBPPBP,6,B
BBBBPP,BPBPBB,BPBPPB,6,B
BPPBBP,BPBPBB,BBPBBP,6,B
PPPBBP,BPBPBB,PBPBBB,6,B
BBBBPB,BPBPBB,PBPPPP,6,B
BPBPBP,BPBPBB,PPBPPB,6,B
BBBPPB,BPBPBB,BPBPPB,6,B
PPBBBB,BPBPBB,BBBPBB,6,B
BBPPBB,BPBPBB,BBBPPB,6,B
BPBPBP,BPBPBB,PPPPBB,6,B
BPBBPP,PBPBPP,PBPBBP,6,P
