ก่อนเกิด,ช่วงเกิด,หลังเกิด
PPT,PPBBBTTBBB,TTB
BTB,TTBBBPPBBB,TBT
TPP,TTPPPBBTTT,PTB
BTP,BBBPPTTTBB,TBB
TBP,BBPPPBBTTT,PPB
TTP,TTPPPTTPPP,TTT
TPB,PPPTTBBBTT,PPB
TPB,PPBBBTTPPP,BTT
TPB,PPPTTBBBTT,BT
BTP,TTTPPBBBPP,BPT
BBP,TTTPPBBBTT,PTT
TBT,BBPPPBBPPP,BBP
TTT,BBBPPTTTPP,TBB
TPP,BBTTTBBTTT,PBP
TPB,TTPPPBBTTT,PPT
BPP,TTBBBTTPPP,BTB
PTP,TTTBBTTTPP,TBP
BTT,BBPPPBBPPP,TTP
TTB,TTBBBPPBBB,PTT
PBT,PPPTTBBBPP,TBT
BPT,PPPTTBBBPP,
PTB,TTPPPBBTTT,PTT
BPB,PPBBBTTPPP,TBB
BTT,PPBBBTTPPP,TPP
,BBBPPBBBTT,PBP
PTB,TTPPPTTBBB,TTP
BBP,BBPPPTTBBB,PTP
TBT,PPTTTPPTTT,PBP
BTT,PPTTTPPBBB,PTT
TTB,TTBBBTTPPP,BBP
BTP,BBBTTBBBTT,PBP
PTP,TTBBBPPBBB,PPT
BPB,TTTPPBBBPP,T
TTP,BBTTTBBTTT,PTB
TTB,TTTPPBBBPP,BPP
,BBTTTBBTTT,BBT
TBP,BBPPPTTPPP,TPP
TTP,TTTBBTTTPP,BBB
TTB,TTTBBTTTBB,TPB
TBP,BBBTTBBBTT,PTB
TTT,BBBTTBBBTT,BTP
BTB,TTBBBTTBBB,TPT
TBP,TTBBBPPTTT,PBT
TBP,BBTTTPPTTT,PBT
BPB,PPBBBTTPPP,TBP
TPT,BBBPPBBBPP,TTB
P,TTBBBPPTTT,PTT
BPB,PPTTTBBPPP,TTB
BBP,BBBTTBBBTT,P
TBP,TTTBBTTTPP,BPT
PTT,BBTTTBBPPP,BBB
PPB,PPPTTPPPTT,BBP
BTB,TTTPPTTTBB,PPB
TTP,TTBBBTTPPP,BTP
PPB,PPPBBTTTPP,
BBP,BBBPPTTTPP,BTP
PBB,TTPPPBBPPP,BTB
BBP,TTPPPTTBBB,TTT
BTT,BBTTTBBTTT,BTT
TBB,TTPPPTTPPP,TBT
BBT,PPPTTBBBTT,PBP
BPB,TTBBBTTPPP,BPT
PTP,TTTPPTTTBB,PTT
BTP,BBBPPBBBPP,TTB
TBT,BBTTTPPBBB,PBP
PTT,BBTTTBBTTT,BTT
TTB,PPBBBTTPPP,TBP
TPT,PPPTTBBBPP,BBB
BTP,TTTPPBBBTT,PPB
PPB,TTTPPTTTBB,TTT
PPT,BBTTTBBPPP,TBT
TBB,TTPPPTTPPP,TTT
TTB,TTTPPBBBPP,BPB
BPT,BBBPPTTTPP,BTB
BPB,PPPBBTTTBB,TBP
PBT,BBPPPBBPPP,TP
,PPPTTPPPBB,PPP
TBT,BBPPPBBTTT,BPB
PPB,TTPPPTTPPP,BBB
PBT,PPPTTPPPTT,PBB
TPB,TTBBBPPTTT,PPP
PBT,PPPBBPPPTT,BPP
PTP,TTPPPBBTTT,BTT
TTP,TTBBBTTPPP,TTB
BPP,TTPPPBBTTT,PBP
BBP,TTTBBPPPBB,TBT
BTT,BBPPPTTPPP,BTB
PBT,BBBPPTTTBB,PPB
PTT,PPBBBPPTTT,PPP
BTP,TTTPPTTTPP,TBT
PTT,PPTTTBBTTT,BTT
BPB,TTTBBTTTBB,TPT
PBT,BBBTTPPPTT,BPB
TBP,TTBBBTTBBB,PPP
TBP,BBBPPBBBPP,BTT
TTP,BBBTTPPPTT,PBB
BTB,PPBBBTTBBB,TPP
PPP,BBTTTBBPPP,BPT
BBB,TTTPPBBBPP,BBP
PBP,BBTTTBBTTT,PPB
,TTTBBTTTPP,TTB
TPT,BBBPPBBBTT,BBP
PPP,TTTBBPPPTT,PTB
BT,PPTTTBBTTT,BPB
PBP,TTPPPBBPPP,BPB
BTT,BBTTTPPTTT,BPB
BTB,PPPTTBBBTT,BPP
PBT,PPPBBTTTBB,PTB
TPT,BBPPPBBPPP,BPB
TBT,PPPTTPPPTT,PTB
TTP,BBPPPBBTTT,BTB
TPB,PPPBBPPPBB,PBP
BTP,BBBPPTTTBB,TPB
TTP,BBBPPTTTPP,BPP
TPB,PPPBBTTTBB,PTT
BTB,TTTPPBBBTT,BBB
BBT,BBBPPTTTPP,
TBB,TTPPPBBTTT,PPT
BTB,PPPTTBBBTT,PPT
BBB,PPPBBPPPBB,TBT
TBT,BBBTTBBBTT,PTT
TBP,TTTPPTTTBB,TPB
BTT,PPTTTPPBBB,TPP
BPP,TTPPPBBTTT,PPP
BBB,PPBBBPPBBB,PBT
TBB,PPTTTPPTTT,PPP
TBP,BBPPPTTPPP,TBB
TBT,PPTTTBBTTT,BBP
BBB,TTTPPTTTPP,BPT
BPT,BBPPPBBPPP,BBB
TBP,TTBBBPPTTT,PTT
TBB,PPBBBPPBBB,TTP
BPT,BBBPPTTTPP,TTP
TPP,BBPPPTTPPP,BBT
PPB,TTTBBTTTPP,TTT
BBT,PPTTTBBPPP,TPB
BPB,PPBBBTTPPP,BPT
TTP,BBPPPTTPPP,BPP
BPP,TTPPPBBTTT,BPP
BTB,TTPPPTTBBB,PTB
BBP,TTPPPTTBBB,TPP
TBT,PPPTTBBBPP,TTP
BP,BBBTTPPPTT,BTT
PBP,TTPPPTTBBB,TPP
TPB,TTPPPTTPPP,TPB
TBP,BBBPPTTTPP,TBP
BTB,TTPPPTTBBB,PTP
BPB,TTTPPTTTPP,BPB
BBP,BBBTTPPPBB,TTP
PBT,BBPPPTTPPP,BBP
BPP,TTBBBPPTTT,BTT
TPB,TTBBBPPBBB,PTP
,BBBPPTTTBB,TBT
TPP,TTPPPTTBBB,TPP
PPT,BBBPPTTTBB,TTT
BPB,PPPTTPPPBB,TPB
BBT,PPTTTBBTTT,BBT
BBT,BBTTTPPBBB,PPP
TBT,PPBBBPPBBB,TPP
PPT,PPBBBPPBBB,TBT
BPP,BBPPPTTPPP,TTB
,TTBBBPPTTT,BPB
PPT,BBBPPTTTPP,BPT
BBT,PPPBBTTTBB,PTT
TPP,TTPPPTTBBB,TTB
TPT,PPPTTBBBTT,BPP
TTP,TTTPPBBBPP,BTT
PPT,BBBPPTTTBB,
TBT,PPBBBTTBBB,TBB
PTP,BBBPPTTTBB,PPT
PBB,PPBBBPPTTT,PBP
PPB,PPTTTPPTTT,PPT
PTP,TTTBBTTTBB,TTB
BTT,BBPPPTTBBB,TTT
TTB,PPTTTBBTTT,PBB
BBP,TTPPPTTBBB,PBB
,PPPBBPPPTT,PTP
PBP,TTTBBTTTPP,TTP
PPB,PPTTTBBTTT,PPT
PTP,TTTBBPPPBB,PTT
TBP,TTTBBTTTBB,PTT
PBT,PPPBBTTTPP,TPT
,PPPBBPPPTT,BTB
BPP,BBPPPBBTTT,BTP
PBB,TTPPPBBTTT,BTB
PTT,BBTTTBBTTT,BPP
BTT,BBPPPTTBBB,TPB
PPB,TTPPPTTPPP,BPP
TTB,PPPTTPPPTT,PBT
PTB,TTBBBTTPPP,BPT
PTP,BBTTTBBPPP,BBP
PP,TTBBBTTBBB,TPT
BTT,PPBBBTTBBB,TBT
TTP,TTPPPTTPPP,TPT
BPT,PPBBBTTBBB,PTP
TPT,BBBTTBBBTT,BPP
,BBBPPTTTPP,BPP
BBP,TTTBBTTTPP,TPP
TBP,BBBTTBBBPP,TBT
BTB,PPBBBTTPPP,TT
PPP,TTTPPTTTPP,BPP
PBP,TTPPPBBTTT,BTP
TPB,TTBBBTTPPP,BBT
PTB,TTPPPTTPPP,TBB
TPP,BBTTTPPTTT,PBB
PBP,BBPPPTTBBB,PBP
BBP,TTTBBPPPTT,BPB
PP,BBTTTPPTTT,BTP
TTB,TTTPPTTTBB,PTT
PBP,BBTTTBBTTT,BBB
BTB,PPBBBTTPPP,BBB
BPT,BBBPPBBBPP,TTB
TBT,PPBBBPPTTT,
TTB,TTTPPTTTPP,TPT
,BBTTTBBTTT,PBT
TBT,PPTTTPPBBB,PTP
,PPPBBPPPBB,TBP
TBT,PPTTTPPTTT,PTP
PPP,TTTBBTTTBB,PBB
BTP,TTPPPTTPPP,BPT
TPT,PPPTTBBBPP,
BTB,PPTTTPPTTT,PTB
BTP,TTBBBTTPPP,TBP
BTP,TTBBBPPBBB,PBB
BTP,BBBPPTTTPP,BPT
BBP,TTPPPBBTTT,PPT
BBT,BBBPPBBBPP,BPP
BTP,TTPPPTTBBB,TBB
PBP,TTPPPTTBBB,PTB
PBT,BBTTTPPTTT,PPP
BBT,BBPPPTTBBB,PTT
TPT,PPBBBTTPPP,TPT
TPP,BBPPPBBTTT,BPT
TPT,PPPTTPPPTT,
TTP,BBBTTBBBTT,BBB
BTP,TTTBBPPPTT,PPT
TTP,TTPPPBBPPP,TTB
PPT,BBBTTPPPBB,PBT
TTB,PPPTTBBBPP,TBB
PTB,PPPBBPPPTT,PBP
PPT,PPPTTPPPTT,PBT
PBT,BBBPPBBBPP,TTP
PBT,BBBTTBBBTT,BBP
BBT,PPPBBPPPTT,BTP
BPT,PPPTTPPPTT,PTB
,BBPPPBBTTT,BTT
T,BBPPPTTPPP,TTT
P,BBTTTPPBBB,TTT
TPB,PPPBBTTTBB,PBB
BPP,BBPPPTTBBB,TPB
TPT,BBBPPBBBTT,PBT
PB,TTTBBTTTPP,BTP
TPB,TTPPPBBPPP,BTP
BPT,BBBTTPPPBB,TBT
TTT,BBBPPTTTBB,PTB
BTT,BBPPPTTBBB,PBT
TPB,PPPBBPPPBB,TTT
TBB,TTPPPTTBBB,TBP
PTP,TTBBBTTPPP,TBB
PBP,TTPPPBBPPP,BBT
TBT,PPPBBPPPTT,PBT
TBP,BBBPPBBBPP,TPT
TTB,TTTPPTTTBB,TTT
PBT,PPPTTPPPBB,TBB
BTB,TTTPPBBBTT,BPP
TBP,TTBBBTTBBB,PTP
PBP,TTTBBPPPTT,PPT
TTT,PPPBBTTTPP,
PTP,BBTTTBBPPP,BPP
PBT,PPTTTPPBBB,PBT
BTP,TTPPPBBTTT,PBB
PBP,BBBPPBBBTT,PTB
TTB,PPTTTBBTTT,PPP
TBP,TTPPPBBPPP,BPB
PPP,BBBPPBBBPP,TBT
TPB,PPPTTPPPBB,PBB
,BBTTTBBTTT,PTT
TBP,BBTTTBBPPP,TBT
PP,TTPPPBBTTT,PPP
BBT,PPPTTBBBPP,TBB
,PPTTTPPBBB,PTP
BPT,BBPPPBBPPP,BPP
BTB,PPPTTPPPBB,TBB
TBT,PPTTTBBPPP,BBP
PBT,BBBPPTTTPP,BBB
BBB,PPBBBTTBBB,PPB
PTB,PPPBBPPPTT,PTP
PTB,PPBBBPPTTT,PPP
TP,BBTTTBBTTT,PPB
PTP,TTPPPTTBBB,PPP
PPP,TTBBBPPTTT,BBT
PPT,PPPBBTTTBB,TPP
TTT,BBPPPTTPPP,BPP
TTT,PPPTTBBBTT,PPP
BPP,BBPPPBBTTT,PPP
BTP,BBPPPTTPPP,TTT
PBP,TTBBBPPBBB,PPP
TPT,PPTTTBBTTT,BTT
PPB,PPPTTPPPTT,PTB
PTB,TTPPPBBPPP,BTP
BBT,PPPBBPPPBB,PPP
TT,PPTTTPPBBB,TPT
PTP,TTPPPBBTTT,PBB
TBB,TTBBBTTBBB,PBT
PTP,TTPPPBBTTT,PTB
TTP,TTTBBTTTPP,BPB
TBT,BBBPPBBBTT,PBB
BTB,TTPPPBBPPP,T
BPT,BBTTTPPBBB,TBP
BBT,BBBTTBBBTT,PP
,PPBBBTTPPP,BPT
TTB,PPPBBPPPBB,PPT
BBB,PPPBBPPPTT,BPP
BPT,BBPPPBBPPP,TTP
TPP,BBPPPBBTTT,PBB
PBB,TTBBBTTPPP,TPP
BPT,PPTTTBBPPP,BBB
PT,PPTTTPPBBB,PBT
BBT,BBBPPBBBPP,BBB
TBP,TTBBBPPBBB,TPB
TBP,BBPPPTTBBB,TPT
BTP,BBBTTPPPTT,PPT
,PPTTTBBPPP,TTP
BPP,TTPPPTTPPP,TPP
PPB,TTPPPBBPPP,BPT
PPB,TTTBBPPPTT,PPP
BPT,PPBBBTTBBB,TBB
TBP,BBTTTPPBBB,TTP
BBP,TTTBBTTTBB,PPT
TTT,PPPTTPPPBB,PBT
TPT,BBBPPBBBTT,PTB
PBP,BBBTTPPPTT,PTT
PTB,PPBBBPPBBB,PBP
TTB,TTPPPTTPPP,TPT
PPB,TTTBBTTTPP,TBP
TBP,TTTPPBBBTT,BPB
BTP,BBBTTBBBPP,TPB
PBT,PPPTTBBBPP,TPT
BPT,BBPPPTTPPP,
TPB,PPPBBTTTPP,TBB
PTP,TTTBBPPPTT,BTP
TTB,TTTBBTTTBB,TBP
TPB,TTTBBPPPBB,TPB
PTB,PPPBBTTTBB,PBT
BPB,TTTBBTTTBB,TBB
PBT,PPBBBTTBBB,TTB
PBT,BBBPPTTTPP,TPT
BTB,TTBBBPPBBB,TBB
B,TTTBBTTTPP,BPP
PTP,TTTBBPPPBB,PBP
TTB,PPTTTPPBBB,TTT
BBP,BBTTTBBPPP,TTP
BBT,BBBTTBBBPP,BBT
PPB,TTTBBPPPTT,PB
T,PPPTTPPPBB,TTB
PTP,TTTBBPPPTT,BBT
PBP,BBTTTPPBBB,TPP
BPT,BBBTTBBBPP,BPT
PTB,TTBBBPPTTT,BTB
PTB,PPPBBTTTPP,TPB
PPB,PPTTTBBPPP,TTP
PPT,BBBPPBBBPP,BPT
TBT,BBBPPTTTPP,BBP
TPT,PPPBBTTTBB,P
PTB,TTBBBPPTTT,BTP
PBP,BBPPPBBPPP,BT
TTP,TTPPPBBTTT,PBP
TTT,PPBBBPPTTT,BPB
TTB,PPTTTBBPPP,TPT
TTP,TTBBBTTPPP,TT
,TTTPPBBBTT,BBT
TTT,PPPTTBBBTT,BTP
TBT,PPPBBPPPTT,BBB
BP,TTPPPTTPPP,BBP
TPB,TTPPPBBPPP,
PPT,BBBTTPPPTT,BBB
TPT,PPPTTPPPBB,PBB
BTB,TTTBBPPPTT,BBB
TPT,PPPBBTTTPP,BBT
PBT,PPBBBTTPPP,BBP
TBT,BBBPPBBBTT,BTP
PBT,PPBBBTTPPP,TP
PBP,BBPPPBBTTT,BTB
TBB,PPBBBTTPPP,TPB
BPT,BBTTTBBPPP,TTT
TBP,BBBPPTTTPP,TPT
PPB,PPBBBPPBBB,PTB
BTB,PPBBBPPTTT,PTB
BBP,TTPPPBBPPP,TPP
BTP,TTTPPBBBTT,BBB
TTT,PPPBBTTTPP,TTB
TPT,BBBPPBBBTT,BBT
TPP,BBPPPBBPPP,TBP
PTB,PPPTTPPPBB,PTP
PPP,TTPPPBBPPP,BPB
TTB,PPBBBPPBBB,TPB
BTT,BBTTTPPBBB,TBP
BBT,PPTTTBBTTT,PTT
TPB,PPPBBTTTBB,TPP
PTT,PPBBBTTBBB,PTB
PPT,BBTTTPPBBB,TPP
TTP,BBPPPTTBBB,PTT
TPB,PPBBBTTBBB,PTB
BTB,TTTPPTTTBB,PBP
PTB,TTPPPBBTTT,PTB
BTP,TTPPPTTBBB,TTT
PPT,BBBTTPPPTT,PBP
PBT,PPPBBPPPBB,PTT
BTB,TTTBBPPPBB,TBT
BBP,BBBTTPPPTT,BTB
BTP,TTPPPBBTTT,BPP
BPB,TTTBBTTTPP,TBB
BPB,TTPPPTTPPP,TPP
PBB,TTPPPTTPPP,TTB
BBB,PPPBBTTTPP,TTP
TBP,TTTPPBBBPP,TBT
,PPTTTPPBBB,TTT
PPB,TTBBBTTBBB,PTP
BPB,PPPTTPPPBB,TTB
BTB,PPPBBPPPTT,PTB
TPB,TTTBBPPPBB,TPT
TTB,TTTPPBBBTT,BBT
TBP,TTPPPTTPPP,BTT
PBP,TTBBBPPTTT,BTP
BTP,BBTTTBBPPP,TTP
TPT,BBPPPBBPPP,BBT
BTP,TTBBBPPBBB,TTP
TBT,BBBTTPPPBB,TBB
TPB,PPPBBPPPBB,TBT
PTP,BBBPPBBBTT,BTP
BPT,PPBBBTTBBB,PPT
BPT,PPPTTBBBPP,TBP
TBP,TTTPPBBBTT,PPP
TBT,BBBPPTTTBB,PTT
TTT,PPPBBTTTPP,TBB
PPT,PPPBBPPPTT,BBP
PBP,TTBBBPPTTT,PT
BBT,BBBTTPPPBB,TBB
BTB,TTTBBPPPTT,BTP
P,TTTBBPPPTT,BBP
T,PPTTTBBPPP,BBB
PBB,PPTTTPPBBB,TBP
PPT,PPPTTBBBPP,TBB
,PPPBBPPPTT,BPB
TPB,PPPBBTTTBB,TBB
PPP,TTTBBPPPTT,PPP
TTP,TTTBBTTTBB,PPP
TTB,PPBBBPPTTT,PTT
TTP,TTTBBTTTPP,BTB
BPT,BBPPPBBPPP,BBT
PPB,PPPTTBBBTT,PTP
TTT,PPTTTPPTTT,PTB
BTB,TTPPPBBPPP,TBP
BBB,PPPBBPPPBB,TT
PPP,BBPPPBBPPP,TPT
PBB,TTPPPBBPPP,BBB
TBB,PPTTTBBPPP,T
TB,TTTPPTTTPP,TBP
BPT,BBTTTBBTTT,BBB
PTB,PPBBBTTPPP,BTT
BTP,BBBTTBBBTT,PPT
PPT,PPBBBTTBBB,PPT
TPP,BBTTTPPTTT,BPP
PTB,TTTPPBBBTT,PBB
TBT,BBTTTBBPPP,TBT
,PPBBBPPBBB,TPT
TTT,BBBPPTTTBB,P
TTT,BBBPPBBBPP,TTB
TBP,TTBBBTTPPP,BPP
B,PPPTTBBBPP,BBP
PBT,PPPTTPPPTT,BTP
BBP,TTPPPBBPPP,BPP
PBP,TTTPPBBBPP,BTB
PPB,PPBBBPPBBB,TTT
BPP,BBPPPTTPPP,TPT
BTP,TTTBBPPPBB,PTB
BTB,PPBBBPPTTT,BTP
TPB,PPPBBTTTBB,PTB
BTT,BBPPPTTBBB,PPB
BTB,TTTBBTTTBB,PBP
PTB,TTBBBTTBBB,TBB
PPP,BBBTTBBBPP,BTT
PTB,PPBBBTTPPP,TPP
PPP,BBBPPTTTBB,PTB
BBT,PPBBBPPBBB,TTP
TBB,PPBBBTTPPP,BPT
PPB,TTPPPTTPPP,TTP
BBB,TTTPPTTTBB,PBT
BPT,PPBBBTTBBB,TTB
TBP,TTTBBPPPTT,PBB
BTP,TTPPPBBPPP,TBB
TTP,TTTPPTTTBB,PPT
PPB,TTTBBPPPTT,BPB
TBT,PPPBBTTTBB,PPB
PBP,TTBBBTTPPP,BPB
TBT,BBPPPBBTTT,PBP
TPT,BBPPPTTBBB,TTT
BTP,TTTPPBBBPP,BTP
TTP,BBBPPTTTPP,BTT
,PPPBBPPPTT,PBP
BTB,TTTPPBBBTT,PTT
BTP,TTPPPBBTTT,BBP
PTP,BBBTTBBBTT,PPP
PPT,PPPBBPPPTT,BBT
TBB,PPTTTBBPPP,BBB
BPB,TTTPPTTTPP,BTB
TPP,BBPPPBBTTT,PBT
BPP,TTBBBTTBBB,TTB
TPT,BBBTTPPPBB,TTT
PTB,PPPTTPPPTT,BPB
TPB,TTBBBPPTTT,PTP
PTB,TTTBBPPPBB,TBT
TTB,TTPPPBBTTT,BBP
P,BBBTTPPPBB,TPB
BPB,TTPPPBBTTT,PBB
TTT,PPTTTBBTTT,PTB
PPP,TTTPPBBBTT,PTT
TTT,PPPTTPPPBB,PTB
TBT,BBBTTBBBPP,TTT
PTP,BBBPPBBBTT,BBT
TTP,BBBPPBBBPP,TTB
TBT,BBPPPTTPPP,TTP
TPT,PPPTTPPPTT,BPB
PPB,TTPPPBBPPP,BTT
TTT,BBBTTPPPTT,BTB
PTB,TTTBBTTTPP,BBT
TPB,PPTTTPPBBB,TBT
PPB,TTPPPTTBBB,TPT
TBP,TTTPPBBBTT,PPB
BTP,BBPPPBBPPP,TPT
TTP,TTTBBTTTBB,PBP
TBP,TTTPPTTTBB,PPT
PTT,PPBBBPPBBB,TBT
TBT,BBBTTBBBTT,BBB
TTT,BBBPPTTTPP,BBT
TBT,PPPBBTTTBB,TTT
PBP,BBTTTPPTTT,PT
PTP,BBBPPTTTPP,TBB
TBT,BBBTTBBBPP,BBP
TBT,BBBTTPPPBB,PTP
BTB,TTTBBPPPBB,TTT
PTT,BBTTTBBTTT,BBP
PBB,PPTTTPPBBB,PTT
TTP,BBPPPBBTTT,BBP
TTB,TTBBBTTBBB,PTB
TPB,TTBBBTTPPP,BTP
PBP,BBBPPTTTBB,PBB
TPB,TTTBBTTTBB,PBP
BTP,TTTPPTTTBB,PTP
PTB,PPBBBPPTTT,BTB
TBT,BBBTTBBBPP,TTB
BTT,PPBBBPPBBB,TPT
PTT,PPBBBTTBBB,PPT
TBB,PPBBBTTBBB,PPB
PBT,BBTTTBBPPP,BBP
TBT,PPTTTBBTTT,PPP
TTB,TTTPPBBBTT,BTP
PPB,PPPTTBBBPP,BTB
PTB,PPPTTPPPTT,BTP
BTP,BBPPPBBTTT,PBT
TTB,TTTPPBBBPP,BBP
TTP,TTTBBTTTBB,PBB
TTT,PPPBBTTTBB,TTT
TBP,BBPPPTTBBB,PTT
BBB,PPPTTPPPBB,PBP
TBP,BBBTTBBBTT,PTP
,PPPTTBBBPP,TPT
PTB,TTBBBPPBBB,TPB
PBP,BBTTTBBPPP,BBP
BTB,PPPTTBBBTT,PPB
BBP,BBTTTBBPPP,TTT
TTB,TTBBBTTBBB,PTT
PBP,TTBBBPPBBB,TBP
PBP,TTTBBTTTBB,PBT
BPT,PPPTTPPPBB,TBB
BPT,BBBTTBBBPP,TTT
TPT,PPPBBTTTBB,PTB
BP,TTTBBTTTBB,PTP
,BBTTTBBTTT,PTP
TBB,PPBBBTTPPP,BBB
BBP,BBBTTBBBPP,BBB
TTB,TTTPPBBBPP,BTT
BPP,TTBBBPPBBB,TPT
BPP,BBPPPTTBBB,PPT
PBT,PPPBBPPPTT,BBB
PPP,TTTBBPPPBB,T
BBT,PPPTTBBBPP,TPT
BTP,BBPPPTTPPP,TPP
PTB,TTTBBPPPTT,BBB
BTT,PPBBBTTPPP,TPT
TBT,PPPTTBBBPP,TPT
TBT,PPBBBPPBBB,TPB
T,PPPTTBBBTT,BBB
BBT,BBBPPBBBPP,TTB
TPT,BBBPPBBBTT,PP
BBP,BBTTTPPBBB,PPT
PTP,BBPPPBBPPP,BBT
TTP,BBBTTPPPTT,PPT
BPP,BBTTTPPTTT,P
TPB,TTTBBPPPBB,PPT
TTP,TTTPPTTTPP,TTT
BPP,BBTTTPPTTT,PPP
PTT,BBTTTPPBBB,TTP
TTB,TTTBBPPPTT,PBB
BTT,BBPPPBBTTT,BPP
BPB,PPPTTBBBPP,B
TTP,TTBBBTTBBB,PPB
PPB,PPPTTBBBTT,BPB
BPP,TTBBBPPBBB,TTT
PBT,PPBBBPPBBB,TTB
TTP,BBBPPTTTBB,PPP
TTP,BBTTTBBPPP,BBT
BBT,BBBTTBBBTT,BBP
TPT,PPPBBTTTPP,TPT
PBT,PPBBBTTBBB,TPP
BTT,BBTTTPPBBB,PPT
BPB,PPPBBPPPBB,PPP
BPT,PPPTTBBBPP,TPP
PPP,TTTPPTTTBB,PTP
TTB,TTTBBPPPBB,TPT
TTB,TTTPPBBBTT,PTT
PTT,PPTTTPPTTT,PPP
BTB,TTTPPTTTBB,PBT
BPB,PPBBBPPBBB,TBP
TTP,BBTTTPPTTT,B
BTP,TTTBBTTTBB,TTP
,PPTTTPPTTT,BBT
TPT,PPBBBTTPPP,TTT
BPT,BBPPPTTBBB,TBB
BPT,PPBBBTTPPP,TBT
P,BBBTTPPPBB,TPP
TBP,BBBPPTTTBB,PPP
PBT,PPBBBTTBBB,PTP
TPP,BBTTTBBTTT,PTT
PBB,TTBBBPPTTT,BT
TTP,BBTTTPPBBB,
TTB,PPPTTPPPTT,PTB
BBB,TTTPPBBBPP,BPT
PTB,PPTTTPPBBB,PBB
PBP,BBTTTBBPPP,BTB
BPB,PPBBBTTPPP,BBB
TBP,BBTTTBBTTT,BTT
TTB,TTTPPTTTPP,BBP
BPT,BBBTTBBBPP,TPB
BBB,TTTPPTTTBB,TPT
BTB,TTPPPBBTTT,
PPP,BBTTTBBTTT,PTB
TTB,PPPBBTTTPP,TPB
T,BBPPPBBTTT,BPT
PBT,BBBTTPPPBB,PBB
TPB,TTTBBPPPBB,PBT
PPT,PPPTTPPPBB,PPP
BTT,PPTTTBBTTT,PPB
PPB,TTTPPTTTPP,BTP
PTB,TTTPPTTTBB,PTP
T,PPTTTPPTTT,BPP
BBB,PPBBBTTPPP,BBB
TPT,BBTTTBBTTT,BPT
BTB,PPPBBTTTBB,TTB
PPB,PPPBBTTTPP,BBT
BPB,PPTTTBBTTT,PPT
TTT,PPBBBPPTTT,PTP
PPB,TTTBBPPPTT,PPB
BBP,TTPPPTTPPP,
BPT,BBBPPBBBTT,PBT
PBT,PPBBBPPTTT,BTP
TPB,PPPBBTTTBB,PP
TPT,PPBBBPPTTT,PBP
PTP,TTTPPBBBTT,BTP
PBT,BBBPPBBBPP,TTT
TTB,TTBBBTTPPP,BTB
BPT,BBPPPBBPPP,TBB
TPB,TTTBBPPPTT,PTP
BTP,TTTPPTTTPP,BPP
BPB,PPPBBTTTPP,TBB
BTP,BBTTTBBTTT,PPT
PBT,BBBTTBBBTT,BPB
BBB,TTTBBPPPTT,PBT
TPB,PPBBBPPBBB,TBB
BTP,BBBPPTTTBB,TPT
TBB,TTBBBPPBBB,PPP
BTB,TTTBBTTTBB,TBP
TTP,TTBBBTTPPP,TBP
BBB,TTTPPBBBTT,PBP
TTP,TTTPPBBBTT,PBP
PPP,BBBTTPPPTT,BPP
PBB,TTPPPTTBBB,PPT
TBP,BBTTTBBPPP,TPP
PBP,BBBPPTTTPP,TTT
BTP,TTTPPTTTBB,PTB
TTT,PPBBBPPTTT,BBT
TTP,BBTTTPPTTT,PPB
BBT,PPBBBPPBBB,PT
TBT,PPPTTBBBTT,BBP
PTP,BBBTTBBBTT,PBB
PTB,TTTBBTTTBB,TBT
PBP,TTTBBTTTBB,PBB
BT,PPPTTPPPBB,PBT
BPB,TTBBBPPTTT,BTT
BBP,BBBPPBBBTT,PBB
BPT,BBBPPBBBTT,BBB
BBP,BBBPPTTTPP,TTT
PPP,BBBPPTTTBB,PTT
TPT,PPPBBTTTPP,BTP
TPT,BBBPPBBBTT,BBB
,PPPTTPPPBB,TBP
PBP,BBPPPBBPPP,BTB
TBP,BBPPPBBPPP,TTP
PTT,BBTTTPPBBB,PBT
PTB,PPPTTBBBTT,BBB
PT,PPTTTPPBBB,PPT
BBP,BBBPPTTTPP,TBT
TBP,BBBPPTTTBB,TPB
BBT,BBBPPTTTBB,TPB
BPP,TTBBBTTBBB,PTP
PB,PPTTTPPBBB,TTP
PPB,PPBBBTTBBB,TBP
BBB,TTTPPBBBTT,BTB
TTB,TTBBBPPTTT,BBT
TPB,TTTBBPPPBB,TTP
PPT,PPTTTBBPPP,BTT
PTB,TTPPPTTBBB,TPT
TBT,BBPPPTTPPP,BBP
PTB,PPTTTPPTTT,PPT
TBT,BBPPPTTPPP,BPT
BPT,PPPTTPPPTT,BTP
PTB,TTPPPTTBBB,TPP
BPB,PPBBBTTBBB,TTP
BBT,PPTTTPPBBB,TTB
BPT,PPPTTPPPTT,PBT
PBT,PPPBBPPPTT,PTT
PPB,TTBBBTTPPP,TPP
TTB,TTTPPBBBPP,TTP
BTP,TTBBBTTPPP,TTT
TTP,BBPPPBBPPP,TPP
TBT,BBPPPTTBBB,PTT
BPT,PPPTTPPPTT,PTP
BBB,PPPBBPPPBB,TTB
TTB,PPPBBPPPBB,TPP
PPB,TTBBBPPBBB,PBP
BTP,TTTBBPPPTT,BPT
BTP,TTPPPTTBBB,PPB
BTP,TTPPPBBTTT,PPP
TPP,BBPPPBBPPP,TTB
TPT,PPTTTPPTTT,BPT
