before,pingpong_L,after,length
BPBBBP,PBPBB,BBPPPP,5
BPPPPP,BPBPP,PPBPBP,5
BPPPPB,PBPBB,BPPBPB,5
PBBBPP,BPBPP,BPPPPP,5
BBBBPB,BPBPP,BPBBBB,5
PPPPPB,BPBPP,BBBPPB,5
BBBPPP,BPBPP,PPPBBB,5
PPPBBP,PBPBB,PBPPBB,5
PPBPBP,BPBPP,BPPPPP,5
BBPPPP,BPBPP,BBPPPP,5
PBBBPB,BPBPP,PPBPBP,5
BBPPBB,PBPBB,PPBBBP,5
BBPPBB,BPBPP,PPPPBP,5
PPPBPB,PBPBB,BBBPBB,5
PPPPBB,PBPBB,BPBBPP,5
PPPBPP,BPBPP,PBBPBB,5
BPPPBP,BPBPP,BPPPPB,5
BPPBBB,BPBPP,PBBPBB,5
PPPPPP,BPBPP,PPBBPP,5
PPBBPP,PBPBB,PBBBBP,5
BBBBPB,PBPBB,PPPBPB,5
BPBBPP,PBPBB,PPPPBP,5
BBPPPP,BPBPP,PBPBBB,5
PBPBPP,PBPBB,BBPBPB,5
BPBBBB,PBPBB,BBBBBP,5
PBBPPB,PBPBB,BBPPBP,5
BBPBPB,PBPBB,PPPPPP,5
PPPBPP,PBPBB,BPPPBB,5
BPPPBB,BPBPP,BBPPPP,5
PPBPPP,PBPBB,BPBBBB,5
BPPPPB,BPBPP,PBPPBB,5
PBBBPP,PBPBB,BPPBPP,5
BBPBBB,PBPBB,PPPPBP,5
PBBPPP,PBPBB,PBBPPP,5
BBPPPB,PBPBB,PPPBPP,5
PPBPPP,BPBPP,BPPBBB,5
BBPBPB,PBPBB,BPBPBP,5
BBPBPB,PBPBB,PBBPPP,5
PPPBPP,PBPBB,PBPBPP,5
PBPBBP,BPBPP,BBPPPB,5
PPPPBP,PBPBB,PBBPPB,5
PBBBPB,PBPBB,BPBPPP,5
PPBBBB,BPBPP,PBBPBP,5
PBPPPB,BPBPP,PBPPPP,5
BPBBBB,BPBPP,PBPPBB,5
PBPBBP,BPBPP,PPPPBP,5
PPPPPP,BPBPP,PBPPPB,5
BPPPPB,PBPBB,PPPBPB,5
PBBPPP,BPBPP,PBBPPB,5
PBBBBP,PBPBB,PPPBBP,5
BPPBBP,BPBPP,PPBBPB,5
BBPPBP,BPBPP,BBPBPB,5
PBPPBB,PBPBB,PBBBBP,5
PPPPPB,PBPBB,PBBBBP,5
BBBBPB,BPBPP,PPBBPB,5
PPPPBB,PBPBB,BPBBPP,5
BPPPBB,PBPBB,PPBPBP,5
PBPPBP,BPBPP,PPPPBP,5
BPPPPP,PBPBB,PPPBBB,5
PPPBBB,BPBPP,PPBBBP,5
PPPPPB,PBPBB,PPPBPP,5
BBBPBP,BPBPP,PPBBPP,5
BBPBBB,BPBPP,BPPPPB,5
PBPPPB,BPBPP,BBBPBB,5
PPBPPP,BPBPP,PPPBBB,5
PBBBBB,PBPBB,PBPBPB,5
PBBPBP,BPBPP,PBBPPB,5
BBBBBP,BPBPP,PBPPBP,5
BPPPBP,PBPBB,PBBBBB,5
PBPPPP,BPBPP,PPBBBP,5
PPPBBB,PBPBB,PBPPBB,5
PBBBPB,PBPBB,PBPPBP,5
PBBPBP,PBPBB,PBBBBB,5
PPPBBP,PBPBB,PPBPPB,5
PBBBPB,PBPBB,PPBPPP,5
BBPPBB,BPBPP,PPPBPB,5
PBPPPP,PBPBB,BPPBBP,5
BBPPBP,BPBPP,BPPPBP,5
BBBPPB,PBPBB,BBBBBB,5
PPPPBB,PBPBB,PPPPBB,5
PBPPBB,PBPBB,PPBBPB,5
BBPPPB,PBPBB,BBPBBB,5
BBBBPB,BPBPP,PPBPPB,5
BPPBBB,PBPBB,BBBPBP,5
BPBBBB,BPBPP,PPPPBP,5
PBPPBP,PBPBB,PPBBPB,5
BBPPBB,PBPBB,PBBPPB,5
BPPBBB,BPBPP,PBPPBB,5
PBBBPB,PBPBB,PPPBPB,5
BPBBPP,PBPBB,PBBBBB,5
BBPBBP,PBPBB,PPPBPB,5
PBBPPP,BPBPP,BBBPBB,5
BBPPBP,BPBPP,PBBBBB,5
PPPPPB,BPBPP,BBBBBB,5
BBPBBP,PBPBB,BPBPPB,5
PPBPBB,BPBPP,BBBBBB,5
PBBPBB,BPBPP,BPBPPB,5
BBPBPP,BPBPP,BPPBBB,5
PPPPBB,BPBPP,BBPBPB,5
PBPPBB,PBPBB,PBPBBB,5
BPBPBB,PBPBB,BPPBBP,5
BBBPBP,BPBPP,PPPPPP,5
BBBPBB,BPBPP,BBPBBP,5
BBBBBB,PBPBB,PBPBBB,5
BPBPBB,PBPBB,BPBPBP,5
PPPBBP,BPBPP,PPBBPP,5
BBBPBB,PBPBB,BBBBPB,5
PBBBBB,BPBPP,BPPPBP,5
PPPPPP,PBPBB,BBBPBP,5
BBBBPB,PBPBB,BBBBPP,5
BBPPPP,BPBPP,PBPPPP,5
BBPPPB,BPBPP,PPBBBB,5
BBPBPB,PBPBB,PPBBPB,5
PBBPPB,BPBPP,BBBPBB,5
BPPBBB,BPBPP,BBBBBB,5
PPPBBB,PBPBB,PPBBPB,5
BBBBPP,PBPBB,BPPPPB,5
PPPPPP,PBPBB,BBPPBP,5
BPPBPP,PBPBB,PPBBPP,5
BPPBPP,PBPBB,BBPPBB,5
BBPBBB,PBPBB,PPPPBP,5
BPPPPB,PBPBB,BBPBBB,5
BBPPBP,PBPBB,PBPBPP,5
BPPBPB,PBPBB,PBBPBP,5
PBBPBB,PBPBB,PBBBBB,5
BPBBBP,BPBPP,BPBPPB,5
PBPBPP,BPBPP,BPPBBP,5
BPBBBP,PBPBB,BPPPBB,5
PPBPBP,BPBPP,PPBPBB,5
PBBPPB,PBPBB,BBPPBP,5
BPPBPP,PBPBB,PPBBPB,5
BBPBBB,PBPBB,PPPBBB,5
BPPPBB,BPBPP,BBPPBP,5
BBPPBP,PBPBB,BBPPPB,5
BPPPPB,PBPBB,PBBPPB,5
BBPBBP,PBPBB,PBBBPP,5
BBBPPB,PBPBB,BPBBPP,5
BPPPPB,PBPBB,PBPBBP,5
BBBBBP,PBPBB,PBBPPB,5
BBBPBP,BPBPP,PPBPPB,5
PPBPPB,PBPBB,BBBPPP,5
BPPBPP,PBPBB,BBBPBP,5
BPBBBB,BPBPP,BBPPBB,5
PPBBPB,BPBPP,BPBBBB,5
BBBBPB,PBPBB,BPPPBP,5
PPBBPB,BPBPP,PPPBBP,5
PPPPBB,PBPBB,BPPBPB,5
PBBPBB,BPBPP,PPBBBP,5
PPPBBP,BPBPP,PBBPBP,5
PBPPPB,BPBPP,PPPPPP,5
BBPPBB,BPBPP,BBPPBP,5
PBBPPB,PBPBB,PPPBPB,5
BBPPPB,PBPBB,PPPBPB,5
PBBPPP,BPBPP,BPBPBB,5
PPBPPP,BPBPP,BBPBPP,5
BPBPPB,BPBPP,BBBBBP,5
PPBBBP,BPBPP,PBBBPB,5
PPBBPP,PBPBB,PBBBBB,5
PPBBBP,BPBPP,BBBBPP,5
PPPBBB,PBPBB,PPBBBP,5
BPPBBB,PBPBB,PPPPPP,5
PPPBBB,BPBPP,PBBBBB,5
PPBBBB,BPBPP,BBBBPB,5
BPBPPP,PBPBB,BBPPBB,5
BBPPBB,PBPBB,PPPPPP,5
PPPPPP,BPBPP,PPBPPB,5
BBBBPB,PBPBB,BBPBBP,5
PPPPPP,PBPBB,PPPBPP,5
BBPBBP,PBPBB,PPBBPP,5
PPPBPB,PBPBB,BBPBBP,5
BBPBBP,PBPBB,BBPPBP,5
BBBBPP,BPBPP,BPPPPB,5
PBPPPP,BPBPP,BBBBBP,5
PPBPBP,BPBPP,PBPPBP,5
BBPBBB,BPBPP,BPBBBB,5
PPPPBP,PBPBB,BPPPPP,5
PBPPPP,BPBPP,BBPPPP,5
BPBBPP,PBPBB,BPPPBB,5
BBPBBB,PBPBB,BBBBPP,5
BBBBPP,PBPBB,PPBBBB,5
PPBPBP,BPBPP,BBBPBP,5
BPPBBB,PBPBB,PBBBBB,5
BBBBBP,BPBPP,PPPPPP,5
PPPBBP,PBPBB,PPBBPB,5
PPPPBB,BPBPP,BBBBPP,5
PPPPBB,BPBPP,PBBBPP,5
PPPBPB,PBPBB,BPPPBB,5
BBBBPP,BPBPP,BBBBPB,5
BBBBPB,PBPBB,PPBPBP,5
PBPBPB,PBPBB,BPBBPP,5
BBBPPP,BPBPP,PPBPBB,5
PBBBPB,PBPBB,BPBPPB,5
BPBPBB,BPBPP,BPPPBP,5
BPPBPP,PBPBB,PBPBBP,5
PPBPBB,PBPBB,PBBBPB,5
PPPPBP,BPBPP,BBBBPB,5
BBBPPP,PBPBB,PPPBPB,5
BPBBPP,PBPBB,PBPPBP,5
BPBPPB,PBPBB,PBBPBB,5
BPPBBP,PBPBB,PBBBBP,5
BBBPBP,BPBPP,BBBBPB,5
PPBPPB,BPBPP,PBPBPP,5
BPBPPP,BPBPP,PPPBPP,5
PBBPPP,BPBPP,PBBPPB,5
BBBPBB,PBPBB,BPBBPB,5
BBBPBB,PBPBB,PPBBBB,5
PPBBBB,BPBPP,PPPPPB,5
BBPBPB,PBPBB,PBPBPP,5
PBPBBP,BPBPP,BBPPPP,5
BBPPPP,BPBPP,PPPPBP,5
PPPPPP,BPBPP,BBPPBP,5
BPPBBP,PBPBB,BBPPBP,5
PBBBBB,BPBPP,PBPBPP,5
BPBPPP,BPBPP,PPPBBB,5
PBPPPP,PBPBB,BBBPBB,5
BBBBPP,PBPBB,BPPBPP,5
PBBPPB,BPBPP,PPBBPP,5
BBBBPB,PBPBB,BPBBBB,5
BBPBBB,BPBPP,BBPBPB,5
BPPBBP,BPBPP,BBBPBP,5
PBBBPB,PBPBB,BBBPBB,5
BBPBBB,PBPBB,PBPBBP,5
BPBPBB,PBPBB,PPPBBB,5
BPPPPB,PBPBB,PPPPBB,5
BPPPBB,BPBPP,PPBBPP,5
PPPBBP,PBPBB,PPBPBP,5
PBBPBB,BPBPP,BBPBPB,5
BPPBBP,BPBPP,PPBPPB,5
PBPPBB,BPBPP,BPPBBP,5
BBBPPB,PBPBB,BBBBBB,5
BBBPPP,BPBPP,PPPBBB,5
BBBBBB,PBPBB,PBPBPP,5
PBPBBP,BPBPP,BPBPBB,5
BPBPPB,PBPBB,PBBPBB,5
PBBPBB,BPBPP,BBPBPP,5
BPBPPB,BPBPP,BPPPBP,5
PPBBBP,BPBPP,BBPPBP,5
BPPBBP,PBPBB,PPBPBB,5
PBPBBP,PBPBB,PBBPPB,5
BPBBPB,PBPBB,BPPPBP,5
BBBPPP,BPBPP,PBPPPB,5
PBBBPB,PBPBB,BBPPPP,5
BPPBBB,BPBPP,BPBPPP,5
BBPBPP,BPBPP,PPBPPP,5
PPPBPB,PBPBB,BBBPPB,5
BPPBPP,PBPBB,BBBPBB,5
BBPPPP,BPBPP,PBBPPP,5
BBPPPP,PBPBB,PPBPBP,5
BBPPPB,PBPBB,BBBPBP,5
PBBPBP,BPBPP,BBBPBB,5
BBBPBP,BPBPP,PBBBPP,5
BBPPPP,PBPBB,BPBPBP,5
PBBBPB,PBPBB,PPBBPP,5
BPPBBB,BPBPP,PBPPBB,5
PBBBPP,BPBPP,BPBPPP,5
PBPBPP,BPBPP,PBBBBP,5
BPBBPB,BPBPP,BPPPBP,5
BPPBPP,PBPBB,BPBBBB,5
BBBBPP,BPBPP,PPPPPP,5
PBBBPP,BPBPP,BBPPPP,5
PBBBBB,BPBPP,PPBBBP,5
PPBBBP,BPBPP,BPBBPP,5
PBBPPP,PBPBB,BPPBBB,5
BBPPBB,PBPBB,PBBPPB,5
BPBPBP,BPBPP,PPBBBB,5
BBBPBB,BPBPP,PBPPPB,5
BPPPBB,BPBPP,PBBPBB,5
BPPPPP,PBPBB,BPBBPB,5
PBBBPB,BPBPP,BBBPBP,5
PBPPBB,BPBPP,PPPPPB,5
PBBPBB,PBPBB,BBBBBP,5
BPPPBB,PBPBB,BBBBBB,5
PPPPPB,PBPBB,PPBPPB,5
BPPPBB,PBPBB,BPBBBB,5
BBBBPP,BPBPP,PPBBPB,5
PBPPPB,PBPBB,BPPBBP,5
BPPBBP,BPBPP,BPPBBB,5
PPPPPB,BPBPP,BBBPPB,5
BBPBBB,PBPBB,BPPBBB,5
PBPPBB,PBPBB,PPBBBB,5
PBPPPP,BPBPP,BPBBPP,5
PPBPBP,BPBPP,PBPBBB,5
PBPBPP,PBPBB,BBPPBP,5
BBPPBP,PBPBB,PPPPPP,5
BBPBBP,BPBPP,PBPPBB,5
PPBPPB,BPBPP,BPPBPB,5
PBBPBB,BPBPP,BBPBPP,5
BPBPPB,BPBPP,PPBPBB,5
PBBBBP,BPBPP,PPBPPP,5
BPBBPP,PBPBB,BBBPPB,5
PPBBPP,BPBPP,BPPBPP,5
BPPBPP,BPBPP,BPBBPB,5
BPBBPB,PBPBB,PBPBPP,5
PBPBBP,BPBPP,BPBPBB,5
BPBBBP,BPBPP,BBBPPP,5
BPBBBB,PBPBB,PBPBPP,5
PBPBBP,BPBPP,BPPBBB,5
BBBPBB,BPBPP,PPBPBP,5
BPPPPB,PBPBB,PBBPBP,5
BPBBPB,BPBPP,PBPBBP,5
BBPBPP,PBPBB,PPBPPB,5
BPPBPB,PBPBB,BBBPPB,5
BBPPPB,BPBPP,PPBPPP,5
PBBPPP,PBPBB,BPPBBP,5
BBBBBP,PBPBB,PBBPPB,5
BBBBBB,BPBPP,BBPPPB,5
PPBBPP,PBPBB,BBBPPB,5
BBPPBP,BPBPP,BBPPPP,5
PBPPPB,PBPBB,BBPPPP,5
PPBBPB,BPBPP,BPPBPB,5
PPPBPB,PBPBB,BBPPBB,5
BPPPBP,PBPBB,BBBBBB,5
BPPPPP,PBPBB,BBBPBB,5
PBBBBB,BPBPP,PBPPBB,5
BBPPBP,PBPBB,BBPPPP,5
BBBPPP,PBPBB,BPPBPB,5
PBBBPP,BPBPP,PPBPBB,5
BPBPPP,PBPBB,PBPPBP,5
BPPPBP,BPBPP,BBBPPP,5
PPPPPB,BPBPP,PPPBPB,5
PPPPBP,BPBPP,BPBPBP,5
PBPPBP,BPBPP,PPPBBB,5
PPPBPP,PBPBB,BPPBPB,5
BPBBBP,PBPBB,PPBPPP,5
PPBPPP,PBPBB,BBBBBP,5
BPPPPP,BPBPP,PPPPBB,5
PPPPBB,BPBPP,BBBBPP,5
PPBPPP,BPBPP,BBBPPP,5
BBPPPP,PBPBB,BPBBPB,5
BBBPBB,PBPBB,BBBPPP,5
PBPPBP,BPBPP,BBPBPB,5
BPPBBP,BPBPP,BPPPPB,5
BPPBPP,BPBPP,PBBBBB,5
BBPBBB,BPBPP,PPBPBB,5
BPBPBP,BPBPP,PPBBBB,5
BPPBPP,PBPBB,BBBBPB,5
BBPBBB,PBPBB,BBBBBB,5
PBPPBB,PBPBB,BBBBBP,5
PBBBPP,PBPBB,PBBBBP,5
BBPPBB,PBPBB,PPPPPB,5
BPPBBP,PBPBB,BPBBBB,5
BBBPPP,BPBPP,PPBBPP,5
BPBPBB,PBPBB,PBBBBB,5
PBBBBB,BPBPP,BPBPBB,5
BPBPPB,PBPBB,PBBPBB,5
PBBBBB,BPBPP,PPPBBP,5
BBPPPP,BPBPP,PPPBPP,5
BPBPPB,BPBPP,PPBPBP,5
BPPPPB,PBPBB,BPBBBP,5
BBBPBB,BPBPP,PPPBBP,5
PBPBPB,PBPBB,BBPBBB,5
BBBPBB,BPBPP,PPBBPB,5
BPPPPB,BPBPP,BPBPBP,5
BPPBPB,PBPBB,BBBPPP,5
PBBPPP,BPBPP,BBPBPB,5
PBBPBP,BPBPP,PPBPBB,5
BPBPPP,PBPBB,BBPBBB,5
BBBPBP,BPBPP,PBPPPP,5
BBBPBB,BPBPP,BBBPPP,5
PBBBPP,PBPBB,PPPPBB,5
PBBBBP,BPBPP,PPBPPB,5
PBBBPP,PBPBB,BPBBPB,5
PBBBPB,BPBPP,BPPBBB,5
BPBBBP,PBPBB,PBPPBP,5
PPBBPB,PBPBB,PPPBBP,5
BBPPPB,BPBPP,PPBBBB,5
BBBBBP,PBPBB,PBBBBP,5
BBPBBB,BPBPP,BBBBBP,5
BPBPBP,BPBPP,BBPPBP,5
PBBPBB,BPBPP,PPPBBB,5
PPPPBB,BPBPP,PPPPBP,5
BPPPPP,PBPBB,BBPPPB,5
BPPPBP,BPBPP,BPPBBB,5
BPPBBB,PBPBB,BBBPPP,5
BBPPBP,PBPBB,BBPBBB,5
BBBPPB,BPBPP,PPBPPB,5
PBPBBB,PBPBB,PBPPBP,5
BPBPPB,PBPBB,PPPPPP,5
BBBBBB,PBPBB,BPBBBP,5
BPPPBP,BPBPP,BBBBPP,5
PBPPBP,BPBPP,PBBBPB,5
BBPBBP,PBPBB,PBBPPB,5
PPPPBP,PBPBB,PPBBPP,5
PBBBBP,BPBPP,BBBBPP,5
BPBBPB,BPBPP,PPBPBP,5
PPPBPB,PBPBB,BBPBBB,5
BBPPPB,PBPBB,BBBBPP,5
BBBPPB,PBPBB,BPPPPP,5
PPBBPP,BPBPP,BBPBBP,5
BPPPBB,PBPBB,BPPPPP,5
PPBPPP,BPBPP,BPPPPP,5
PBPPPP,PBPBB,PBBPPP,5
PPBBPB,BPBPP,BBPPPP,5
PPPPBP,PBPBB,PBPBPP,5
PPPPBB,PBPBB,PBBPBB,5
PBBPBB,PBPBB,PPBBBB,5
PBPBPB,PBPBB,PBBBBP,5
PPBPPP,BPBPP,PBBPBB,5
BBPPPP,BPBPP,BBBBPB,5
PPBBPP,PBPBB,PPPPBB,5
PBBPPB,BPBPP,BBBBPP,5
BPPBBP,PBPBB,PPPPBB,5
PBPPPP,BPBPP,BBBBBP,5
BBBPPP,BPBPP,BPPBPB,5
BPBBPB,BPBPP,BPPPBB,5
PPPPBB,PBPBB,PPBPBP,5
PBPPBB,BPBPP,BPPBBB,5
PBBBBP,PBPBB,BPBBPB,5
BPBBPB,PBPBB,BBBBPB,5
PPBBBB,PBPBB,PBBBBP,5
PBPPBB,BPBPP,PPPBBP,5
PPPBBP,BPBPP,PBPPPP,5
PPPBBP,BPBPP,PBBBPP,5
PPPPBP,BPBPP,BBBBBB,5
BBBBPB,PBPBB,BPBPBB,5
PBPBBB,PBPBB,BBBPPB,5
BBBPBB,PBPBB,PPPPBB,5
BPPPPP,BPBPP,PBPBPB,5
PBPPPB,PBPBB,BBBBPB,5
BBPPBB,PBPBB,PBPPPP,5
PPBPBP,BPBPP,PPPPPP,5
PPBBBP,BPBPP,BBBBPP,5
PBPBPB,PBPBB,BBBBPB,5
BPPBPP,BPBPP,PBBPBB,5
BBPPBB,PBPBB,BBPBBB,5
PBBBBB,BPBPP,BBBBBP,5
BBPPPP,PBPBB,PBPPBB,5
PPPBBB,PBPBB,BPBPPB,5
BPBBBP,PBPBB,PBPBBB,5
PPBPBB,PBPBB,BPPPPP,5
PBBBBB,PBPBB,PBBBPB,5
BBBPBB,PBPBB,BPPPBP,5
PPBBPB,BPBPP,PBPPBB,5
BPPPBB,BPBPP,PPBBPB,5
PBBPBP,BPBPP,BPBBBP,5
BPPPPB,PBPBB,PBPBBB,5
BPBPBB,PBPBB,BPPBBB,5
BPPPPP,PBPBB,PPPBBB,5
PPBPPB,PBPBB,PPPPPP,5
PBPPPB,BPBPP,BBPPBB,5
PPPPPP,PBPBB,BBBBPB,5
BBBBPB,PBPBB,PPPBPB,5
BPBBPP,PBPBB,PPPPPP,5
PPPBBP,PBPBB,PPPPPP,5
PBPPPP,PBPBB,BBBPPP,5
PPPBBB,PBPBB,BPPBBP,5
PBBPBB,BPBPP,PPBPBB,5
PBBBPB,BPBPP,PBPPPB,5
PBPBBP,BPBPP,BBPBPP,5
BPBPPB,BPBPP,PPPBBP,5
BBBPPB,PBPBB,BBPBPP,5
BBBPPP,BPBPP,BBBPPB,5
PPBPPP,BPBPP,BPPBPB,5
PBPPBP,PBPBB,PBBPBP,5
BPBBBB,BPBPP,BBBBBB,5
BPBBBB,PBPBB,BBBBBP,5
PPPBPP,PBPBB,PBBPPP,5
PBBBPB,PBPBB,BPBBBP,5
BBBPBB,BPBPP,PPBBBP,5
PPPPBB,PBPBB,BPPBBB,5
BPBBPB,BPBPP,BBBPPP,5
BPPPBP,PBPBB,BPPBPB,5
BBBPPB,PBPBB,PBBBBB,5
BPBPPP,BPBPP,BPPPBB,5
PPPBBP,PBPBB,BPPBPP,5
BPBPBB,PBPBB,BBPPBB,5
BPBBBP,BPBPP,PPBBPB,5
BBPBBP,BPBPP,BBPPPP,5
PBBBBP,PBPBB,PPPBPB,5
PBBPPP,BPBPP,PBPBPP,5
BPBPPP,BPBPP,BPPPBP,5
BPPBBP,PBPBB,PPBPBB,5
PBPBBP,PBPBB,PPBBBP,5
BPBBBB,BPBPP,PPBPBB,5
BPBPPP,PBPBB,PBPPBB,5
BPPBBB,PBPBB,PBBPBP,5
PBBPBB,PBPBB,PPPBBB,5
PPPBBP,PBPBB,BBPPBB,5
BBBBPB,PBPBB,PPPPPB,5
PBPPBP,PBPBB,BBBPBP,5
BBBPBP,BPBPP,PBPBBP,5
PBPBPP,PBPBB,PBPBBB,5
PPBPBB,PBPBB,BPBBBP,5
BPBPPP,PBPBB,PPPPBP,5
PPPPBP,PBPBB,PPPBBB,5
BBPPBP,BPBPP,BBPPPB,5
BPPBBP,PBPBB,BBPPPB,5
BBBBPP,PBPBB,PBPBPB,5
BBPBPB,PBPBB,PBPPBB,5
BBBPPP,PBPBB,BBPPBP,5
PPBPBP,BPBPP,BBPBBB,5
PPPBPP,PBPBB,BBPPBP,5
PBBBBP,PBPBB,BPBBBP,5
BBPPPB,PBPBB,BPPPBB,5
PPBPPP,BPBPP,BBBBBB,5
BBBBBP,BPBPP,BPBPBP,5
PBPPBP,BPBPP,BBPBPB,5
PBPPBB,PBPBB,PBPBPP,5
PPBPBP,BPBPP,PBPPBB,5
BPPPPP,PBPBB,PPBPPP,5
BPPPPP,PBPBB,BPBPPP,5
PPBPBB,BPBPP,PBBBBP,5
BPBPBP,BPBPP,PBPBPB,5
PBPPPB,PBPBB,BBBBBB,5
BBBPPP,BPBPP,BBPPPB,5
PPBPPP,PBPBB,BBPPPP,5
PPPBBP,PBPBB,BPBPBP,5
BPBBBP,BPBPP,BBBPBP,5
PPBBBP,BPBPP,PPBPBB,5
BPBPPP,PBPBB,BPPPPB,5
BPPPBP,PBPBB,BPBBBP,5
PBBPPP,BPBPP,PBBPBB,5
PBPBBP,BPBPP,PPPBBB,5
PBBBBP,PBPBB,BBPPBP,5
BBBBPP,BPBPP,PPPPPP,5
BPPPPB,PBPBB,BPPBBB,5
PBBBPP,PBPBB,BPBPBB,5
PBPBBB,PBPBB,PPPBBB,5
PBBBPB,PBPBB,BPPPBP,5
PPBBPB,BPBPP,BPBBBB,5
BBBBBP,BPBPP,BBBPPP,5
PPPPBB,BPBPP,BBPBPP,5
BPBPPB,BPBPP,PPBBBP,5
PBBBBB,PBPBB,PPPPBP,5
PPBBBB,PBPBB,PBPPBP,5
BPPBPP,PBPBB,BBBBBB,5
PBPPPP,PBPBB,BPBPBP,5
PBBBPB,PBPBB,BPPBBB,5
BPPBBB,PBPBB,BBPBPP,5
PBPBBB,BPBPP,PBBBPB,5
PPBBBP,BPBPP,BBPPBP,5
PPBBPP,BPBPP,BPBBBB,5
BBBPPP,PBPBB,BPPPBB,5
PBPBBP,PBPBB,BPBPPB,5
PPBPBB,BPBPP,BBPPBB,5
BBBBBB,BPBPP,BPBPPB,5
BBPBPP,BPBPP,BBBBPP,5
PPPBPP,BPBPP,BPBBPP,5
BPBPPB,BPBPP,BBPBPP,5
BPBPPB,BPBPP,PBBPPP,5
PBBPPP,PBPBB,PBPPPB,5
PBPBPB,PBPBB,PPBBPB,5
BPBBBP,PBPBB,PPBBBB,5
BPPBBB,BPBPP,PBPBBB,5
BBPBPP,PBPBB,BBPPPP,5
PPBBBP,PBPBB,PBBPPP,5
PPBBPB,PBPBB,PPPPBB,5
PPPPPP,PBPBB,PPPPBB,5
PPPPBB,BPBPP,BBPBBP,5
PPBPPB,PBPBB,PPPBBB,5
PPBBBP,BPBPP,PBBBPB,5
BPBPPP,BPBPP,BBBPPP,5
PBBBPP,PBPBB,PBPPBB,5
BBPPBB,PBPBB,PPBBPP,5
BBPPBP,PBPBB,BPPBBP,5
PPPPPB,PBPBB,PPBPPP,5
PBPPPP,BPBPP,PBBBBB,5
BBPBBP,BPBPP,BPBPBP,5
PBPPBP,BPBPP,BPBPPB,5
PBPBPP,BPBPP,BPBBBP,5
PPPPBP,PBPBB,BPBPPB,5
PBBBPB,PBPBB,PBBPBP,5
PBBPBB,PBPBB,PPPPBB,5
PPBBPB,PBPBB,BPBBBP,5
PBBBPP,PBPBB,PBBPPP,5
PPPPBB,BPBPP,BPBBPB,5
BPPBPB,BPBPP,PBBBPB,5
BPPPBB,BPBPP,BPPBBB,5
BBBPBB,PBPBB,BPBBBB,5
BBBBBB,PBPBB,PPBPPP,5
PPBBBP,PBPBB,BBPBBP,5
PBBPBB,PBPBB,BPBPBP,5
BPBBBP,BPBPP,BPBBPP,5
BPBBPP,BPBPP,BBBPPB,5
PPBPPB,PBPBB,PPBPPB,5
BPPBBB,BPBPP,BBPBPB,5
BBPPBB,BPBPP,BBBPBP,5
PPBBBB,BPBPP,BPPPBP,5
PPBBPB,PBPBB,BPPBPP,5
PPBPPB,PBPBB,PPBBPB,5
PPBBPB,PBPBB,BPBPPP,5
BPBPBB,BPBPP,PPPBBP,5
PPBBPP,PBPBB,BBBPBP,5
PBBBBB,PBPBB,BBBPBB,5
BBPPBB,PBPBB,PBBBPP,5
PPPPPP,PBPBB,BPPBBB,5
PBBBBB,PBPBB,BBPBPP,5
PPPBBP,BPBPP,PBBBPP,5
PPPPPP,BPBPP,PPBBPP,5
PPBBPP,PBPBB,PPBBBB,5
BBBPPP,PBPBB,PBBBBB,5
BBBBPB,PBPBB,BPBBPB,5
BPBBPP,PBPBB,BPPPPB,5
PPBPBP,BPBPP,BPBPPB,5
PBPBPP,BPBPP,BBBPBB,5
BBBBPB,BPBPP,BBPPBP,5
BBPPPB,PBPBB,BBPPBP,5
PPPBBB,BPBPP,PPPPPB,5
PBBBBP,BPBPP,BPBPPB,5
PBPBPP,BPBPP,BBBPBB,5
PBPPBB,PBPBB,PPPPPB,5
PPBPPB,PBPBB,BBBBBP,5
BBBPBB,BPBPP,PBBPPP,5
BPPBBB,PBPBB,BBPPPB,5
PPBBBP,PBPBB,PBPPPP,5
PPPPPP,PBPBB,BPBPBP,5
BBBPBP,BPBPP,PBBBBB,5
PPBBBB,PBPBB,PBPPBB,5
PPBBBP,BPBPP,BPPPBB,5
PPBBBB,PBPBB,PPPBPP,5
PPBPPB,PBPBB,PBBPPP,5
BBBPPB,BPBPP,PPBBPB,5
PPPPBP,PBPBB,BBPBPP,5
PBPBBB,BPBPP,PBPBPB,5
PBPPPB,PBPBB,PBPBPP,5
PBPBBP,BPBPP,BBPBPB,5
PBPPBB,PBPBB,PPPBPB,5
BBPBBP,BPBPP,PPPBBP,5
PPPPBB,PBPBB,PBBBBB,5
BBBPBB,PBPBB,BPPPBB,5
PBPBPB,PBPBB,BPBBPP,5
PBBPPB,PBPBB,PPBBPB,5
BBPPBB,BPBPP,BBPBPP,5
BPBPPB,BPBPP,BBBPPP,5
PBPPPP,PBPBB,BBPBPP,5
PBPBBB,BPBPP,BPBBBB,5
BPBBBB,PBPBB,PPBBBP,5
BBPPBP,BPBPP,PPBPBP,5
PPPPBP,BPBPP,PPPPBB,5
BBBPPP,PBPBB,PPBBPB,5
PBBPPB,BPBPP,BPPBPP,5
PBBBPP,PBPBB,PBPBBP,5
BPPPPB,PBPBB,PPPPBB,5
BBPPBP,BPBPP,PPBPBB,5
BPBPPP,PBPBB,PBPBBB,5
