before,flip_trigger,after,length,flip_to
BBBPPP,PBPBBB,BBBBBP,6,B
BBBPBB,BPBPPP,BPPPBB,6,P
BPPBBB,BPBPPP,PPPPBB,6,P
BPBBBP,PBPBBB,PBPBPP,6,B
PPPPPP,BPBPPP,BBBPBP,6,P
PBBBBP,BPBPPP,PBBBBP,6,P
PBBBPP,PBPBBB,BBPPPP,6,B
BBBPPP,PBPBBB,PBBBBB,6,B
PPBBBB,PBPBBB,PBPBPP,6,B
BPBBBP,BPBPPP,PPPBBP,6,P
PPPPPB,BPBPPP,PPPBPP,6,P
PBBPBB,BPBPPP,BBBBPB,6,P
PPBBBP,PBPBBB,BPPBPB,6,B
BPPBPB,BPBPPP,PPPPBB,6,P
BBBPPB,BPBPPP,PPPPBB,6,P
PBPPBB,PBPBBB,PPPPPB,6,B
BPPBPB,BPBPPP,PPBBPB,6,P
BPBBPP,BPBPPP,PPPPPB,6,P
BPBBBP,PBPBBB,BPBPBB,6,B
PPPPPP,PBPBBB,BBPPPB,6,B
PPPPPP,PBPBBB,BBPBPB,6,B
PBBBBB,PBPBBB,PPBBBP,6,B
BBPPBB,PBPBBB,BPPPBB,6,B
BBBPPB,BPBPPP,PPBBBB,6,P
BBBPBP,PBPBBB,PPBPPP,6,B
PPBBPP,PBPBBB,PBPBPB,6,B
PBBBPB,PBPBBB,BBBBPP,6,B
BPBPBB,PBPBBB,PPBPBB,6,B
BPBBBP,PBPBBB,BPBBPB,6,B
BBBPBB,BPBPPP,PBPBPP,6,P
PBPPPP,BPBPPP,PPPPPB,6,P
BPPPBP,PBPBBB,BBBPBP,6,B
BBBBPB,PBPBBB,PBPPPP,6,B
BPBPBB,BPBPPP,PPBBPP,6,P
PBBBPB,PBPBBB,PPBPPB,6,B
BPBPBB,PBPBBB,PBBBBB,6,B
BBBBPB,PBPBBB,BPPPPB,6,B
BBPBPP,BPBPPP,PPPBBB,6,P
BBPPPB,BPBPPP,PBPBBB,6,P
BPBPPP,PBPBBB,BBPBBB,6,B
BBBBPB,PBPBBB,BPPBPB,6,B
BPPBPB,PBPBBB,PBPBPB,6,B
BBBPBP,BPBPPP,BPPPPB,6,P
BBBBPB,PBPBBB,BBBBPP,6,B
BPPPPB,BPBPPP,BBPPPP,6,P
BBBBBP,BPBPPP,PBPBPB,6,P
PBBBPB,BPBPPP,BPPPPP,6,P
PBBBPB,BPBPPP,BBPBBB,6,P
PBPBPP,BPBPPP,BBBBPB,6,P
BPPPPB,BPBPPP,PPBPBP,6,P
PPPPPB,PBPBBB,BBPBPB,6,B
PBBBBP,BPBPPP,PPPPPP,6,P
BBPPPB,PBPBBB,BBPBPP,6,B
BPPPPP,BPBPPP,PPPBPB,6,P
PPPPPP,BPBPPP,BPPPPP,6,P
BBPPBP,PBPBBB,BPPBBP,6,B
BPPBBP,BPBPPP,BPBBPP,6,P
BBPBBB,PBPBBB,BBPPBP,6,B
BBPPPP,BPBPPP,BBPBPB,6,P
BPBPBP,PBPBBB,PPPPPB,6,B
PBBPBP,PBPBBB,BBPBBP,6,B
PPBBPP,BPBPPP,BBBPBP,6,P
PPPBBB,PBPBBB,PBPPPB,6,B
PPPPPP,PBPBBB,BPPPBP,6,B
BBBBPP,PBPBBB,PBBBBB,6,B
BPBPBB,PBPBBB,BBBPBB,6,B
BPPBPP,BPBPPP,BBBPBB,6,P
BPBPPP,BPBPPP,BBPBBP,6,P
BBBBBB,BPBPPP,BBBBBB,6,P
BPPPPP,BPBPPP,PPPBPB,6,P
BPPPPP,PBPBBB,BPPBBP,6,B
BPPBPB,BPBPPP,PPBBPB,6,P
PPPPPB,BPBPPP,BPBBBP,6,P
BBPBPP,PBPBBB,PBBPBB,6,B
BPBBBB,PBPBBB,BPBBPP,6,B
BBBPBB,BPBPPP,PBPPPB,6,P
BBBPBB,BPBPPP,PPPBBP,6,P
PBBPBB,BPBPPP,BBBPPB,6,P
PBPPBP,PBPBBB,BBPBBB,6,B
PBBBBB,PBPBBB,PBPBBB,6,B
PBPBBB,PBPBBB,PBBPPP,6,B
BBPPPP,PBPBBB,BBPPBP,6,B
BBPPPB,PBPBBB,PPPPPP,6,B
PPPPBP,PBPBBB,BPPBPB,6,B
BBPBBB,BPBPPP,BPPPPP,6,P
PPBBPP,PBPBBB,BPPPPB,6,B
BPBBPP,BPBPPP,BBBPPP,6,P
BPBPBP,PBPBBB,PPBPBB,6,B
BPBBBP,PBPBBB,PPPPBB,6,B
PPBPPB,PBPBBB,PPBPBB,6,B
BPBBBP,BPBPPP,PBPBPP,6,P
PBPPPP,BPBPPP,PBPBBP,6,P
PBBPPP,PBPBBB,BBBPBB,6,B
BBBBPP,PBPBBB,PPBPBP,6,B
BPPBPB,PBPBBB,BPBPBB,6,B
PPPBBB,PBPBBB,PPBBBP,6,B
BBBPPB,PBPBBB,BBBBBP,6,B
PBPPBB,BPBPPP,BBPBBP,6,P
BPBPPB,PBPBBB,PPBPBB,6,B
PBBPBP,PBPBBB,BPBPPB,6,B
BBPBPP,BPBPPP,BPPBBB,6,P
PPBBBP,PBPBBB,BPBPPB,6,B
BBBBPP,BPBPPP,PBPBPB,6,P
PPBPBP,BPBPPP,PBBPBB,6,P
BBBPBB,BPBPPP,BPBPPB,6,P
BPBPBP,PBPBBB,BPPBBP,6,B
PPBPBP,BPBPPP,BBBBBB,6,P
BBBBBB,BPBPPP,PPBPBP,6,P
PBPBPB,BPBPPP,PPPPPP,6,P
BPPBBB,BPBPPP,PPPPBB,6,P
PBBBBP,PBPBBB,PBBPPP,6,B
PPPBPP,BPBPPP,PBBBPB,6,P
PBBBBB,PBPBBB,PBPBBB,6,B
PPBPPP,PBPBBB,BBPBPB,6,B
PBBBBB,BPBPPP,PBBBBB,6,P
BBPPPP,BPBPPP,PPPPBP,6,P
PBBBBP,BPBPPP,PPBPPP,6,P
PPBBBB,BPBPPP,PBBPBB,6,P
BPBBBP,PBPBBB,PBBPBB,6,B
BPPBPB,BPBPPP,PPBBPB,6,P
PPPPPB,BPBPPP,PBBBBP,6,P
BBBBBB,BPBPPP,PBBBPP,6,P
PBBPPP,PBPBBB,BBPBPB,6,B
BBBPPB,BPBPPP,BPPPPP,6,P
PPBBPP,BPBPPP,BBBPPB,6,P
PPPBBB,PBPBBB,PPPBBP,6,B
PPPBBP,PBPBBB,BBBPBB,6,B
BBBBPB,BPBPPP,BBBPBP,6,P
BPPPBB,BPBPPP,BBBBBB,6,P
PPBBBP,PBPBBB,BPPPPP,6,B
BBBBBB,PBPBBB,PPPBBP,6,B
PBPBBP,BPBPPP,BPPBPB,6,P
PPPBPP,BPBPPP,BPBPPP,6,P
BPBPPP,BPBPPP,BPBPBP,6,P
PPPBPB,PBPBBB,PPBBBP,6,B
PBBPBB,PBPBBB,PBPBPB,6,B
BBBPBP,BPBPPP,BBBBPP,6,P
BPPPPP,BPBPPP,BBBPPB,6,P
BPBPPP,BPBPPP,PBBBPP,6,P
PBBPBP,BPBPPP,BPPBBB,6,P
PPBBBB,PBPBBB,BBBBBB,6,B
BPPPBP,BPBPPP,BBBBBP,6,P
BPBBPB,BPBPPP,BBBBBP,6,P
PBBBPB,BPBPPP,BPPBBP,6,P
PPBPPB,BPBPPP,BBBPPB,6,P
BPBBBB,PBPBBB,BPBBPB,6,B
BBBBPB,BPBPPP,PPPBBB,6,P
PBBPBB,PBPBBB,PPBPBP,6,B
PBBBPP,BPBPPP,BPBBPP,6,P
PPBBPB,PBPBBB,BPBBBP,6,B
BPPBPP,BPBPPP,BBBPPP,6,P
BBBPPP,PBPBBB,BBPPPB,6,B
BBPPBB,BPBPPP,BBBBPB,6,P
BPBBPP,BPBPPP,BPPPBP,6,P
PPPBPP,PBPBBB,PPBPPB,6,B
BBPBPB,BPBPPP,PPBBPB,6,P
PBBPBB,PBPBBB,PPPPPP,6,B
PPBPPB,PBPBBB,BPPBPP,6,B
PPBBPP,PBPBBB,PPPBBP,6,B
PBBPPP,PBPBBB,PBPPPB,6,B
PPBPBB,BPBPPP,BBPBPB,6,P
PPPBPP,PBPBBB,BPBPBP,6,B
BBPPBP,PBPBBB,PBBPPB,6,B
BPBBPP,BPBPPP,BBBPPP,6,P
BPBBPB,BPBPPP,BBPPBP,6,P
PPBPBB,PBPBBB,PBPPPB,6,B
BPBPBB,BPBPPP,BPBPBB,6,P
BBBPPB,PBPBBB,PBBBPP,6,B
BBPPPB,PBPBBB,BPBBPB,6,B
PBBBBB,PBPBBB,BPBPBB,6,B
BPBBBB,PBPBBB,BPPPBB,6,B
PBBPBB,BPBPPP,PPBBPB,6,P
BPPBBP,PBPBBB,BBBBBB,6,B
BPPPBB,BPBPPP,PBBBPB,6,P
BBBBPB,PBPBBB,PPPPBP,6,B
PBPBBP,BPBPPP,PPBBPP,6,P
BPPBBP,PBPBBB,PPPBBP,6,B
PBPPBB,BPBPPP,PBBBBP,6,P
PPPBBB,PBPBBB,BPBPBP,6,B
BPPBPP,PBPBBB,PPPBBP,6,B
PBPPPP,BPBPPP,BPPBPP,6,P
BPPBPB,PBPBBB,PPPBBB,6,B
PPPBBP,BPBPPP,BBPPBP,6,P
BPBBBB,PBPBBB,BBPBPB,6,B
BBBBBP,BPBPPP,BBBPBB,6,P
BPPPPP,BPBPPP,BBPPPP,6,P
PBBPBP,PBPBBB,BPBPPB,6,B
PBPPBP,BPBPPP,PBBBBP,6,P
PPPPBP,BPBPPP,BPPBPB,6,P
BPPPBP,PBPBBB,BPPBBP,6,B
PBBBBB,BPBPPP,PPBBBP,6,P
BBPBPB,PBPBBB,PBBBPP,6,B
BPBPPB,PBPBBB,PPBBBP,6,B
BPPBBB,PBPBBB,BBBBPP,6,B
PPPBBB,PBPBBB,BBBPBB,6,B
BPBBPB,PBPBBB,PBBBPP,6,B
BPPPPB,PBPBBB,BBPBBP,6,B
BPBBPB,PBPBBB,PBBBBP,6,B
PBBBBP,PBPBBB,BPPBPB,6,B
PPPPPP,BPBPPP,BPPBBB,6,P
PPBBBB,BPBPPP,PBBPPB,6,P
PBPPBP,PBPBBB,BPBBPB,6,B
BBBPBB,PBPBBB,PBPPBP,6,B
PPPPBP,BPBPPP,PBPBBB,6,P
PBPPPP,PBPBBB,BBPPBB,6,B
BPPPBP,PBPBBB,PBBBPP,6,B
PPBPBP,PBPBBB,BBPPBP,6,B
BBBPPB,PBPBBB,PPPBPP,6,B
PPBBBP,PBPBBB,PBBBBB,6,B
BBBBBB,PBPBBB,BPBBPB,6,B
BBBPPP,PBPBBB,BBPPPP,6,B
PPPPPB,PBPBBB,BBPPPP,6,B
PPPPPB,PBPBBB,PPPBBB,6,B
BBPBPP,BPBPPP,BBBBPB,6,P
BBBBPB,PBPBBB,BPBPPB,6,B
PPPPBB,PBPBBB,PBBPPB,6,B
PBBPPP,PBPBBB,BBPBPB,6,B
BBBBPB,PBPBBB,PBBPBP,6,B
BBBPBB,PBPBBB,PBBPBB,6,B
PBPBPP,BPBPPP,BBPPBB,6,P
BBPPBB,PBPBBB,PBPPBB,6,B
BPBBPP,BPBPPP,PBBPPP,6,P
BPPBBP,BPBPPP,PBPBBB,6,P
PBBPBB,PBPBBB,BPPBBB,6,B
BBBBBP,BPBPPP,PPBPBP,6,P
PBBPPP,PBPBBB,PPBPBP,6,B
PBBPPP,BPBPPP,PBPBBP,6,P
BPBPBB,PBPBBB,PPPBPP,6,B
BPPBBB,PBPBBB,BBPPBP,6,B
BPPBPP,BPBPPP,PPBBBB,6,P
BPBPPB,PBPBBB,PBPPPB,6,B
BPBPBB,BPBPPP,BPBPPB,6,P
BPBPPB,BPBPPP,BBBBBP,6,P
BBBBBB,PBPBBB,BPBBBB,6,B
PBBPPP,BPBPPP,PBPPBP,6,P
PBBPBP,BPBPPP,BBPPPP,6,P
BBPBPB,PBPBBB,BBPPPP,6,B
PPPPPP,PBPBBB,PBBBPB,6,B
PBPPBP,PBPBBB,PBBPBP,6,B
BBPPPB,BPBPPP,BPBBBB,6,P
BBPBPP,PBPBBB,BPPBBB,6,B
BPBPPB,PBPBBB,PPBBBB,6,B
BPBPBB,PBPBBB,BPBPBP,6,B
BPBPBB,PBPBBB,BPBBBB,6,B
PBBBBB,PBPBBB,BPPBBP,6,B
BPBBPB,BPBPPP,BPBBBP,6,P
BBPBPP,PBPBBB,PPBPPP,6,B
PPPBBB,BPBPPP,BPPBPB,6,P
PPBPPB,PBPBBB,PBPBPP,6,B
PPPBPP,PBPBBB,BPPPBB,6,B
BPBBPB,PBPBBB,PBPBPP,6,B
BBPPBB,PBPBBB,PPPPPP,6,B
PBPBPP,BPBPPP,BPBPBP,6,P
BBBPPP,PBPBBB,BBPPPP,6,B
BBBPBP,PBPBBB,PPBPPP,6,B
PPPPPB,PBPBBB,PBPPPB,6,B
BPBPBB,BPBPPP,BBPBPP,6,P
PBPPPB,PBPBBB,PPPBBP,6,B
BBPPPB,BPBPPP,BPBBBP,6,P
BBPBPP,PBPBBB,PPPPBP,6,B
BBBPPP,BPBPPP,PBPBBB,6,P
PPPBBB,PBPBBB,PPPPPB,6,B
BBBBBB,PBPBBB,BBPBBP,6,B
BPBPBP,PBPBBB,BBPBPP,6,B
PBPPPP,BPBPPP,PBBPPB,6,P
PPPBBP,PBPBBB,BPBBBB,6,B
PPBBBB,PBPBBB,BPPPBP,6,B
BPPPPB,PBPBBB,BBPBPB,6,B
BBPBPB,PBPBBB,BPBBBB,6,B
PPPPPB,PBPBBB,BBPPPB,6,B
BPBPBB,PBPBBB,PBBPBP,6,B
BBBPBB,PBPBBB,PPPPBP,6,B
PPPBBP,PBPBBB,BPPPPB,6,B
PPPPBP,PBPBBB,PPPPPB,6,B
PPBBPB,BPBPPP,BPPPPB,6,P
BPBBPB,BPBPPP,BPPPPP,6,P
PBBPPP,PBPBBB,PBBBBP,6,B
BBPBBB,BPBPPP,BBBBBB,6,P
PBPBPB,PBPBBB,PBBPPB,6,B
PPPBBB,PBPBBB,BPBPPB,6,B
PPBBPP,BPBPPP,PBBBBB,6,P
PBBBBB,PBPBBB,PBBPPB,6,B
BPPBPP,BPBPPP,PPPPBB,6,P
PPPBBB,PBPBBB,BPBPBB,6,B
BPBPBB,PBPBBB,PPBBPP,6,B
BPPBBP,PBPBBB,PPBBPP,6,B
BBBBPP,BPBPPP,PPPPPP,6,P
BPPPPB,PBPBBB,BBBBPP,6,B
BBBBBB,PBPBBB,PBPPBB,6,B
PBBPBB,BPBPPP,BBPBBB,6,P
BBPPBB,PBPBBB,PBBPPP,6,B
BBPBBB,BPBPPP,BPBBBP,6,P
BBPBPP,PBPBBB,PBBPBP,6,B
PBPPBP,BPBPPP,BBBBPB,6,P
PPPBPB,PBPBBB,PPBBPB,6,B
BPBPBP,BPBPPP,BPPBBB,6,P
PBBPPB,PBPBBB,BPBBBB,6,B
PBBBBB,PBPBBB,PPBPPB,6,B
PPPBPB,PBPBBB,BPPBBP,6,B
PPBBPB,BPBPPP,PPBBBB,6,P
BPPPBB,BPBPPP,PPBBBP,6,P
BBPBPB,BPBPPP,PPPBPP,6,P
PPBBPP,BPBPPP,PBPPPB,6,P
BPPBPP,BPBPPP,PPBPBP,6,P
PBBBPB,BPBPPP,PBPBBP,6,P
BPBBBP,PBPBBB,BPPBPB,6,B
BBBPPB,PBPBBB,BPBPPP,6,B
PBPBBB,BPBPPP,PPPPPP,6,P
PBBPBB,PBPBBB,PPBBBB,6,B
BPPPPB,PBPBBB,PPBPBP,6,B
PBPPPB,BPBPPP,PPBPPP,6,P
BPPPBB,BPBPPP,BPBPPB,6,P
PBBBPB,PBPBBB,PBBBPB,6,B
BPBPPB,PBPBBB,BPPBBP,6,B
BBPPPP,PBPBBB,PPPPBB,6,B
PPPBBB,BPBPPP,PPBPBB,6,P
PBPPPP,PBPBBB,BPBPBB,6,B
BPBBBB,PBPBBB,PBPBBP,6,B
BPBBPP,BPBPPP,PBBPPB,6,P
PBBBPP,PBPBBB,BPPPPP,6,B
BPBBPB,BPBPPP,PPPBBB,6,P
PPPBPP,PBPBBB,PBBPPP,6,B
BPBBPP,PBPBBB,BPBBBB,6,B
PBPPBP,PBPBBB,BPBBBP,6,B
PPBPBB,PBPBBB,BPPBBP,6,B
BPBBPB,PBPBBB,BBBBPB,6,B
BBBBPB,PBPBBB,PBBBPB,6,B
PBPPBB,PBPBBB,PBBPPP,6,B
BPPPPB,PBPBBB,PPBBBB,6,B
PBBBBB,PBPBBB,BBPPPB,6,B
PPPBPB,BPBPPP,PPPBPB,6,P
PPPPPB,PBPBBB,BBPPBB,6,B
BPPPPB,BPBPPP,PPBPBB,6,P
BBBPBB,BPBPPP,BPPBPP,6,P
PPBPBB,PBPBBB,PPPPBB,6,B
BPPBPB,PBPBBB,BBBPPP,6,B
BBBPBB,PBPBBB,BBBPPP,6,B
PBPBBP,PBPBBB,PPBPPP,6,B
PBBPBP,BPBPPP,PPBBBB,6,P
PPPPPP,PBPBBB,PBBPPB,6,B
PPBBBB,PBPBBB,PPPBBP,6,B
BPBPBP,PBPBBB,PBPPBB,6,B
PBBPBB,PBPBBB,PBPPPP,6,B
BPBPBB,BPBPPP,PPPBBP,6,P
PPPBPP,PBPBBB,BBBBPB,6,B
BPBPBB,BPBPPP,BPBBPP,6,P
PPBBBB,BPBPPP,BBPPBP,6,P
PBBBPP,BPBPPP,PPBPPB,6,P
PPBBBP,BPBPPP,BPPBPB,6,P
PPBPPP,BPBPPP,BBPBBP,6,P
BPPBPP,BPBPPP,BPBBBB,6,P
PBPBPP,PBPBBB,BPPBPP,6,B
BPBBPP,BPBPPP,PPBBBB,6,P
BBPPBP,PBPBBB,BBPBPB,6,B
BBPPPP,PBPBBB,PBPBPB,6,B
BPBPPB,PBPBBB,PBBPBB,6,B
BPPBPP,PBPBBB,PBPBBP,6,B
PPBPBP,PBPBBB,PBBBBP,6,B
PBBPBP,BPBPPP,PPBPBB,6,P
PPPPBP,BPBPPP,PBPPPP,6,P
BPBBPB,PBPBBB,PPBPPB,6,B
PBPPBB,BPBPPP,PBPPPP,6,P
BBBBPB,BPBPPP,BPBBBB,6,P
BBPBPP,PBPBBB,BBPBBB,6,B
BPPBPB,BPBPPP,PPPBPP,6,P
PPPPPP,BPBPPP,PPBPBB,6,P
PBPPPP,PBPBBB,BBPBPP,6,B
BPBBBB,BPBPPP,BPBBPB,6,P
PBBBPB,PBPBBB,PPPBPB,6,B
PBBBPP,PBPBBB,BPBPPB,6,B
PBPPBP,PBPBBB,BPBBBB,6,B
PBPBBB,BPBPPP,PBBPPB,6,P
BBPBBP,BPBPPP,PPPPPP,6,P
PBBBPB,BPBPPP,BPPBPP,6,P
BPBBBP,PBPBBB,PBPBBB,6,B
BBBPBP,BPBPPP,BPBBBP,6,P
PBPBPP,PBPBBB,PBPPPP,6,B
PPBPBB,BPBPPP,PPPPPP,6,P
PBPBBP,PBPBBB,BPPPPB,6,B
PPPPBP,BPBPPP,PPBBPP,6,P
PPPPPP,BPBPPP,PPPBBP,6,P
BBPBPP,PBPBBB,PBBBPP,6,B
PBBBBP,PBPBBB,BBPPPB,6,B
BBBBPP,PBPBBB,PBPBBP,6,B
PBBBPP,PBPBBB,BPPPPP,6,B
PBBBBB,PBPBBB,BBPBBP,6,B
BPPBBP,BPBPPP,BPBBPB,6,P
BBPPPB,BPBPPP,BBPBBP,6,P
BBPBBP,PBPBBB,BPBBPP,6,B
BBPBBP,PBPBBB,PBPPBP,6,B
BBBBBB,BPBPPP,PPBBBB,6,P
PBPPBP,PBPBBB,PPPPBB,6,B
PBPPPB,PBPBBB,PPPPPP,6,B
PPPPPB,PBPBBB,BPBBPB,6,B
BBBPPP,BPBPPP,BPBPPP,6,P
BPBPPP,BPBPPP,PPPPPP,6,P
PBBBBP,PBPBBB,BPPBPB,6,B
PBPPBB,PBPBBB,PPPPBP,6,B
BBBPBB,PBPBBB,BBPPPB,6,B
BBBBBP,BPBPPP,BBBBBP,6,P
BBPBBP,BPBPPP,PPBPPP,6,P
PPPBBB,BPBPPP,BPBPBB,6,P
PBBPBB,PBPBBB,BPBBBB,6,B
PPBBBP,PBPBBB,BPBBPP,6,B
BBPBBP,PBPBBB,PBPBBP,6,B
BBBPPP,PBPBBB,PPPBBP,6,B
BPBBPB,BPBPPP,BBPPBP,6,P
PPBBPP,BPBPPP,PBBPPB,6,P
BBBBPB,PBPBBB,BBPPBB,6,B
BBBBPP,BPBPPP,PPPPBP,6,P
PPBPPP,BPBPPP,BPBPPP,6,P
BPBPPP,BPBPPP,PBBPBP,6,P
PPPPBB,PBPBBB,BBBBBB,6,B
PPPBPB,BPBPPP,BPPPBP,6,P
PPBBBB,BPBPPP,BBBBPP,6,P
PBPBPB,PBPBBB,BPBPPB,6,B
BPPPBP,PBPBBB,BBPBPB,6,B
PBBBBB,PBPBBB,PPBBPP,6,B
PBBPPB,BPBPPP,BPPBBB,6,P
PBBBPB,BPBPPP,PPBBBB,6,P
BBPBBB,PBPBBB,BBBBBP,6,B
PBPPBP,PBPBBB,PPBPPP,6,B
PBBPBP,BPBPPP,BPBPBB,6,P
PPPPPP,PBPBBB,BPBPPP,6,B
PBPBBB,BPBPPP,PPBPPB,6,P
PBPBBP,PBPBBB,PPBBPP,6,B
PPBPPB,PBPBBB,BBPPPB,6,B
BPBPBB,PBPBBB,PPPBPB,6,B
BBBBBB,BPBPPP,BBBBPP,6,P
BBPBBB,PBPBBB,BPPBBB,6,B
BPPBPB,BPBPPP,PBPPPB,6,P
PPPPBB,BPBPPP,PPBPPB,6,P
PPBBBP,BPBPPP,PPBBBB,6,P
PBPBBP,BPBPPP,BBPPPB,6,P
PPBBPP,PBPBBB,PBPPPP,6,B
PBPBBP,PBPBBB,BPBPPP,6,B
PBPBBB,BPBPPP,BBPBPP,6,P
BPBPBB,PBPBBB,BPPBPB,6,B
BBBBPP,BPBPPP,BBPBBP,6,P
BPPPBB,BPBPPP,PBPPBP,6,P
PPBPPB,BPBPPP,PPBBBP,6,P
PBBBBP,PBPBBB,PPPPBB,6,B
BBPBBP,PBPBBB,BBBPPP,6,B
PBPBPP,BPBPPP,PBPPBB,6,P
PBBBBB,PBPBBB,PPPPPP,6,B
BPPPBB,BPBPPP,PBBBPP,6,P
PPBBBB,PBPBBB,PPPPBB,6,B
BPBBPP,BPBPPP,PPBPPB,6,P
PPPBBP,PBPBBB,BBBBBP,6,B
PPPBBP,PBPBBB,BBBBBB,6,B
PBBPPP,BPBPPP,PBBBPP,6,P
BPPBBB,BPBPPP,BBPBPP,6,P
PBBBBP,PBPBBB,PBPPPP,6,B
PPBPBB,BPBPPP,PBBPPB,6,P
PPBBBB,BPBPPP,BBBPPB,6,P
BPPBBP,PBPBBB,PPPBBP,6,B
PBBBPB,PBPBBB,PBBPPB,6,B
PBBPPP,PBPBBB,PBPPPP,6,B
PPBPBB,BPBPPP,PBBPBB,6,P
PBPBPB,BPBPPP,BBBBPB,6,P
PPPBBB,BPBPPP,PBBPBP,6,P
BPPPPB,BPBPPP,PBPBBB,6,P
BPBPPP,PBPBBB,PBPBBB,6,B
PBPBBB,PBPBBB,PBPPBP,6,B
BBPPBB,PBPBBB,PPPPBB,6,B
BBPBPB,BPBPPP,PBBPPP,6,P
BBBBBB,BPBPPP,PPBPPP,6,P
BPPPBB,PBPBBB,PBPPPB,6,B
BPBPBB,BPBPPP,BBBBBP,6,P
PPPBBP,PBPBBB,PPBBBP,6,B
BBPPPB,PBPBBB,PPPPBP,6,B
PBBBPB,BPBPPP,BPBPPB,6,P
BPBPPB,PBPBBB,BBPBBP,6,B
PPBPBP,PBPBBB,PBPPBP,6,B
BBBPBP,PBPBBB,BBPPPP,6,B
PBBBBB,PBPBBB,PBPBPB,6,B
PPPPBB,BPBPPP,PBBBPP,6,P
PBBPPP,BPBPPP,PBPBBP,6,P
BPPBPB,PBPBBB,PPPPPP,6,B
PPBPPP,PBPBBB,PBBBPB,6,B
BPPPPB,PBPBBB,PBPPPP,6,B
BPBPBB,BPBPPP,PBPPBB,6,P
BPPPBP,PBPBBB,PBBPPP,6,B
PBBPPP,BPBPPP,BPPBPP,6,P
PBPPBB,PBPBBB,PPPBPP,6,B
BPPBBP,PBPBBB,PPBPBB,6,B
BPBBBP,PBPBBB,PPBBBP,6,B
PPPBPB,BPBPPP,PBBPPP,6,P
PBBBBP,PBPBBB,BPBBPP,6,B
BBBPPB,BPBPPP,PBPPBB,6,P
BBPBPP,BPBPPP,BPPBBP,6,P
PPBPPB,BPBPPP,BPPPPB,6,P
BPBPBP,PBPBBB,BPBBPP,6,B
PPPBBB,PBPBBB,BBBBPP,6,B
BBPBBP,PBPBBB,PBPBPB,6,B
BBBPBP,BPBPPP,BBBPBB,6,P
BBBBPP,PBPBBB,BPBPPB,6,B
BPBBBB,PBPBBB,PBPPPP,6,B
BPBPBB,BPBPPP,PPPPPB,6,P
BBBPPP,BPBPPP,BBPPPP,6,P
PBPBPB,BPBPPP,PPBBPB,6,P
BPBBPB,PBPBBB,BPPBPB,6,B
PBPBBP,PBPBBB,BBPPPB,6,B
BPPBBB,BPBPPP,PBBPPB,6,P
PBBBPP,PBPBBB,BBBPPP,6,B
BBPPBP,PBPBBB,BBPPBB,6,B
BPPBBB,BPBPPP,PBBPPB,6,P
PPPPBP,PBPBBB,BPPPBB,6,B
PBBBPB,BPBPPP,PPBBBB,6,P
PBBBBP,BPBPPP,BPPPPB,6,P
BBPPBP,PBPBBB,PBPPPP,6,B
PPBPBB,BPBPPP,PPPPBB,6,P
BPBPBP,BPBPPP,PBPBBP,6,P
BBBPBP,PBPBBB,PBPBBB,6,B
BBBPBB,PBPBBB,BPPPPP,6,B
PBBBBB,BPBPPP,PPPPPB,6,P
BBBBPP,BPBPPP,PPPPBP,6,P
PPBPPB,BPBPPP,BBBPPB,6,P
BPBBPP,PBPBBB,PBBBBB,6,B
PPBBPB,PBPBBB,BPPPBB,6,B
BPPBPP,PBPBBB,PPBBPB,6,B
BBBPPB,BPBPPP,PPBBBP,6,P
BPBPBP,BPBPPP,PBPBBB,6,P
BPBPPP,PBPBBB,BPPPBP,6,B
PPPBPP,PBPBBB,PPPBBP,6,B
BPPPBB,PBPBBB,BBPBBB,6,B
PBBPBB,BPBPPP,BPBBBP,6,P
BBPBPP,PBPBBB,PPBBPP,6,B
PPPPBP,BPBPPP,BBPBPB,6,P
PBBBBB,BPBPPP,PPBPBB,6,P
BPBBPP,BPBPPP,BBPPBB,6,P
BBPPPB,PBPBBB,BBPPBB,6,B
PPBPPP,BPBPPP,BBBPBP,6,P
BPPPBB,BPBPPP,BPBPBP,6,P
PBPPPP,BPBPPP,BPPBPP,6,P
PPBPBP,BPBPPP,PBPPPP,6,P
BPPPPP,BPBPPP,PBBPPB,6,P
BPPPBB,BPBPPP,PPBBBB,6,P
PPBPPP,BPBPPP,PBPBBB,6,P
BPBPPP,PBPBBB,BPBPBP,6,B
BBPBPP,BPBPPP,PPBBPP,6,P
BBPBBB,BPBPPP,PBBBBB,6,P
BBBPBP,PBPBBB,BPPBBP,6,B
PPBPPB,BPBPPP,PPBBPB,6,P
BBPPPP,PBPBBB,PPPPPP,6,B
PBBBBB,PBPBBB,PBBPPP,6,B
PPPPBB,PBPBBB,PBBPBB,6,B
BBPBBB,PBPBBB,BPPBBB,6,B
PPBPBP,PBPBBB,PBBPPB,6,B
PPBBPB,PBPBBB,BBPBBP,6,B
PBPBBP,BPBPPP,BPBBBB,6,P
PBPBPP,PBPBBB,BBPBPB,6,B
BPPBPP,PBPBBB,BPPBBP,6,B
BPBBPP,PBPBBB,BBBBPP,6,B
PPPBBP,PBPBBB,BPBPPP,6,B
PBPBBB,BPBPPP,BBBBPP,6,P
BBPBPB,BPBPPP,PBPPPP,6,P
PBBBBP,BPBPPP,BPBPPP,6,P
BPBPPP,BPBPPP,PBPBBB,6,P
