before,clash_cut,after,pattern
BPPPPB,PPBBPP,BPPPBP,2-2-2(t-cut)
BPBBPB,BBPPBB,PBPPBB,2-2-2(t-cut)
PPPPPP,PPBBPP,PBPBBB,2-2-2(t-cut)
BPBBBB,BBPPBB,BPBPBP,2-2-2(t-cut)
BPBBPB,BBPPBB,BBBPPB,2-2-2(t-cut)
BPBBPB,PPBBPP,BBBPBP,2-2-2(t-cut)
BBPBPP,BBPPBB,BPBPBB,2-2-2(t-cut)
BPBPBB,BBPPBB,BBPBPP,2-2-2(t-cut)
PPBBBB,BBPPBB,PPBBPB,2-2-2(t-cut)
BBBBBB,PPBBPP,BBPBBB,2-2-2(t-cut)
BBBBPP,BBPPBB,PBBBPB,2-2-2(t-cut)
BBPBBB,BBPPBB,PPBBBB,2-2-2(t-cut)
PBBBBB,PPBBPP,BBBBPB,2-2-2(t-cut)
BBBBPP,BBPPBB,BBPBBB,2-2-2(t-cut)
BBPBPP,PPBBPP,BBBBPP,2-2-2(t-cut)
PBPPPP,BBPPBB,BBPPPP,2-2-2(t-cut)
BBPPBB,PPBBPP,PPBPBP,2-2-2(t-cut)
PBPBPB,BBPPBB,BPPPBB,2-2-2(t-cut)
PBPBPP,PPBBPP,BBBBBB,2-2-2(t-cut)
PBPPPP,BBPPBB,BBBBBB,2-2-2(t-cut)
BBBBBB,BBPPBB,PPPBBB,2-2-2(t-cut)
BBBBBB,PPBBPP,PBBBPB,2-2-2(t-cut)
PBBBBB,BBPPBB,PPPPBP,2-2-2(t-cut)
BBBBBB,PPBBPP,PPBPPB,2-2-2(t-cut)
BPBPBB,BBPPBB,BPPBBB,2-2-2(t-cut)
BBBPPB,BBPPBB,BPPPPB,2-2-2(t-cut)
PBBBPP,PPBBPP,BBPPBB,2-2-2(t-cut)
BBPPPP,BBPPBB,PPBBBB,2-2-2(t-cut)
PPPPBB,PPBBPP,BBBBPP,2-2-2(t-cut)
PPBBPP,BBPPBB,BBPPBB,2-2-2(t-cut)
PPBBBB,BBPPBB,BPBPBB,2-2-2(t-cut)
PBBPBP,BBPPBB,BPBPPP,2-2-2(t-cut)
BBBBPB,PPBBPP,BPBPPB,2-2-2(t-cut)
PPPBPP,PPBBPP,BPBPBB,2-2-2(t-cut)
PBBBBP,PPBBPP,BPBBBP,2-2-2(t-cut)
BPBBPP,PPBBPP,BPPBPP,2-2-2(t-cut)
PPBPPB,BBPPBB,PBPPBP,2-2-2(t-cut)
PPBPBP,PPBBPP,BPPBBB,2-2-2(t-cut)
BBPPBP,BBPPBB,PBPPBB,2-2-2(t-cut)
BPBBBP,PPBBPP,PBBBPP,2-2-2(t-cut)
PPBPPB,BBPPBB,BBPBPP,2-2-2(t-cut)
PPPPPB,PPBBPP,BPPPPB,2-2-2(t-cut)
BBPPPB,BBPPBB,PBBBBP,2-2-2(t-cut)
BBBBPB,PPBBPP,PPBBBB,2-2-2(t-cut)
BPBPPB,BBPPBB,PPPPBP,2-2-2(t-cut)
BPPBBB,PPBBPP,PPBPBB,2-2-2(t-cut)
BBPPPB,PPBBPP,BBBBPB,2-2-2(t-cut)
PPPBPP,BBPPBB,BBPBBB,2-2-2(t-cut)
PBPBBB,PPBBPP,PBBBPB,2-2-2(t-cut)
BBBBPB,PPBBPP,BBBPBB,2-2-2(t-cut)
BBPBPP,BBPPBB,BPBBBB,2-2-2(t-cut)
BBPBBP,PPBBPP,PPBBPP,2-2-2(t-cut)
PPBBPP,PPBBPP,BBBPBB,2-2-2(t-cut)
BPPBPB,BBPPBB,PBBBBB,2-2-2(t-cut)
PBBBPB,PPBBPP,PPPPPB,2-2-2(t-cut)
BPBBBP,BBPPBB,PBPBBP,2-2-2(t-cut)
BBPBBP,BBPPBB,BPBPPB,2-2-2(t-cut)
BBBBPB,BBPPBB,BBPBPB,2-2-2(t-cut)
PPBPBP,BBPPBB,PPPPBB,2-2-2(t-cut)
BPBPBB,PPBBPP,PPBBBB,2-2-2(t-cut)
PPPPBB,BBPPBB,PPBPPB,2-2-2(t-cut)
PPBBBB,PPBBPP,BPPBBB,2-2-2(t-cut)
BBBBPB,PPBBPP,PBPPPB,2-2-2(t-cut)
BPBBPB,BBPPBB,BBPBPP,2-2-2(t-cut)
BBBPBP,PPBBPP,BBPBBP,2-2-2(t-cut)
BPBPPP,BBPPBB,PBBPBB,2-2-2(t-cut)
BBBBPB,PPBBPP,BBPBPP,2-2-2(t-cut)
BBPBPP,BBPPBB,PBPPPP,2-2-2(t-cut)
BBBBBP,BBPPBB,PPBPBB,2-2-2(t-cut)
BBBPBB,PPBBPP,BPBBBP,2-2-2(t-cut)
BPBPBP,PPBBPP,PBBBPB,2-2-2(t-cut)
PBBBPB,BBPPBB,BPBBBB,2-2-2(t-cut)
BPBBPP,PPBBPP,PPBPPP,2-2-2(t-cut)
PBBPPB,PPBBPP,PPBBBP,2-2-2(t-cut)
BBPPPB,PPBBPP,BPPBBB,2-2-2(t-cut)
PPBPBP,BBPPBB,PPPBPP,2-2-2(t-cut)
BPBPBB,PPBBPP,PBPPBP,2-2-2(t-cut)
PBPPBP,PPBBPP,PPPPBP,2-2-2(t-cut)
BPBPPB,BBPPBB,PBBBPB,2-2-2(t-cut)
BPBPPB,BBPPBB,PBPPBB,2-2-2(t-cut)
PPBBPB,PPBBPP,BBBPBP,2-2-2(t-cut)
BBPBPP,BBPPBB,BPBPPB,2-2-2(t-cut)
PBPBBP,BBPPBB,PBBPPB,2-2-2(t-cut)
BPBPPP,PPBBPP,BBBPBP,2-2-2(t-cut)
BPPPPP,BBPPBB,BPBPBP,2-2-2(t-cut)
PPBBBB,BBPPBB,BPPPPP,2-2-2(t-cut)
BPPBPB,BBPPBB,BPBPBB,2-2-2(t-cut)
BBPBPP,PPBBPP,PBBBPP,2-2-2(t-cut)
PBPBBP,PPBBPP,BBPPPB,2-2-2(t-cut)
PBBPPP,BBPPBB,PPPBBB,2-2-2(t-cut)
PBBBBP,BBPPBB,BBPPPB,2-2-2(t-cut)
PPBPPB,BBPPBB,BPBBPP,2-2-2(t-cut)
BPPPBP,BBPPBB,PPBBPB,2-2-2(t-cut)
PPBPBB,PPBBPP,BBPBBP,2-2-2(t-cut)
BPBBPP,BBPPBB,PBBPPP,2-2-2(t-cut)
PPPBPB,PPBBPP,PPPPPB,2-2-2(t-cut)
PBPPPB,BBPPBB,BPBBBB,2-2-2(t-cut)
BBBBPB,BBPPBB,PPBPBP,2-2-2(t-cut)
BBPBBB,PPBBPP,BPBPBB,2-2-2(t-cut)
PBBBBB,BBPPBB,BBBPPB,2-2-2(t-cut)
BBBBBB,BBPPBB,PBBPBB,2-2-2(t-cut)
BPBPBP,BBPPBB,PBBPBP,2-2-2(t-cut)
BBBBPB,PPBBPP,PBBBBB,2-2-2(t-cut)
PPBBBB,BBPPBB,PBBPPP,2-2-2(t-cut)
BBBBBP,BBPPBB,BBPPPP,2-2-2(t-cut)
BPBPBB,BBPPBB,PBPBBP,2-2-2(t-cut)
PBBBBP,PPBBPP,PPBPBB,2-2-2(t-cut)
BBBBBB,BBPPBB,PBPPPP,2-2-2(t-cut)
BBPPBP,BBPPBB,BPPPBP,2-2-2(t-cut)
PPPBPB,BBPPBB,BBPPBP,2-2-2(t-cut)
BBBBPP,PPBBPP,PBBPBP,2-2-2(t-cut)
PBPPPP,PPBBPP,BBBPBP,2-2-2(t-cut)
PPPPPP,BBPPBB,BPBPPB,2-2-2(t-cut)
PPBBPB,PPBBPP,BPPPBB,2-2-2(t-cut)
BBBPBP,BBPPBB,PPPPPP,2-2-2(t-cut)
BPBPBB,PPBBPP,PPPPBP,2-2-2(t-cut)
PPBPPP,PPBBPP,BBPPPB,2-2-2(t-cut)
BPPPPP,BBPPBB,PPPBBB,2-2-2(t-cut)
PPPPBB,PPBBPP,PBBBBP,2-2-2(t-cut)
PBPBPB,PPBBPP,BPBBPP,2-2-2(t-cut)
PBPBBP,PPBBPP,PBPPPB,2-2-2(t-cut)
BPBBBB,BBPPBB,BPPPBP,2-2-2(t-cut)
PPPPBP,PPBBPP,PBPPBP,2-2-2(t-cut)
PBBPBB,BBPPBB,PBBPPP,2-2-2(t-cut)
PPPBPB,PPBBPP,PPPPPB,2-2-2(t-cut)
BPPBBB,BBPPBB,BBPPBP,2-2-2(t-cut)
PBPBBB,BBPPBB,BBBBBB,2-2-2(t-cut)
BBBBBB,BBPPBB,BPBPBP,2-2-2(t-cut)
BPPPBB,BBPPBB,PBBBBP,2-2-2(t-cut)
PPPPPB,PPBBPP,PBPPBB,2-2-2(t-cut)
BBPPPB,PPBBPP,PPPPPP,2-2-2(t-cut)
PPPPPP,PPBBPP,PBBPPP,2-2-2(t-cut)
PPPBBB,BBPPBB,PBPPBP,2-2-2(t-cut)
PBPBBP,BBPPBB,BPPBBP,2-2-2(t-cut)
PBBPPB,BBPPBB,PBBPPB,2-2-2(t-cut)
BPPBBP,BBPPBB,BPBPPP,2-2-2(t-cut)
PBPBPP,PPBBPP,PBPBBB,2-2-2(t-cut)
PPPBPB,BBPPBB,BPPPPP,2-2-2(t-cut)
PPBBBP,PPBBPP,BBPPBP,2-2-2(t-cut)
BBBPPP,BBPPBB,PPBPBB,2-2-2(t-cut)
BPPPBB,PPBBPP,BPBBBB,2-2-2(t-cut)
PBPBBP,BBPPBB,PBPPPB,2-2-2(t-cut)
BBPBPB,BBPPBB,BBPBPB,2-2-2(t-cut)
PBPBPP,PPBBPP,BPBPBB,2-2-2(t-cut)
PBBBPP,PPBBPP,PBPPPP,2-2-2(t-cut)
PPBPPB,PPBBPP,BPBPPP,2-2-2(t-cut)
BPPBPB,PPBBPP,PBPPBB,2-2-2(t-cut)
PBBPBP,PPBBPP,BBBPPP,2-2-2(t-cut)
BPBPPP,BBPPBB,BPPPPB,2-2-2(t-cut)
PBPBBP,BBPPBB,PBPBBP,2-2-2(t-cut)
PBPPPP,PPBBPP,PBBPBB,2-2-2(t-cut)
PPPPBB,BBPPBB,PBBBPP,2-2-2(t-cut)
BPBPPB,BBPPBB,PBBBBP,2-2-2(t-cut)
PBPPPB,PPBBPP,BBPPBB,2-2-2(t-cut)
PPPBPP,BBPPBB,PPBBBP,2-2-2(t-cut)
PBPPBB,PPBBPP,BBBPBB,2-2-2(t-cut)
PPBBPP,BBPPBB,BPBBBP,2-2-2(t-cut)
PBPBPP,PPBBPP,PPBPBB,2-2-2(t-cut)
PBPBBP,PPBBPP,BPBBBB,2-2-2(t-cut)
PBPPPB,BBPPBB,BBPBBP,2-2-2(t-cut)
BBPBBP,BBPPBB,PPPPPB,2-2-2(t-cut)
PBBPBB,PPBBPP,PPPBPB,2-2-2(t-cut)
PBBBPP,PPBBPP,BBBBBP,2-2-2(t-cut)
BBPPPP,BBPPBB,BBBPPB,2-2-2(t-cut)
BPPBBB,BBPPBB,PBBBBB,2-2-2(t-cut)
BBBBBB,BBPPBB,PBBPBP,2-2-2(t-cut)
BPPPBP,PPBBPP,BPPBBP,2-2-2(t-cut)
PBBPPP,PPBBPP,PBBBPP,2-2-2(t-cut)
BBPPPB,BBPPBB,BBBBBP,2-2-2(t-cut)
BPPBPB,BBPPBB,BBPBPB,2-2-2(t-cut)
BBPBPB,BBPPBB,BBBBPB,2-2-2(t-cut)
PBBPPP,PPBBPP,BBBBBP,2-2-2(t-cut)
BPPPPP,BBPPBB,BBBPPB,2-2-2(t-cut)
BPBPPP,PPBBPP,PPBPBB,2-2-2(t-cut)
PBPBBB,BBPPBB,BBPBBP,2-2-2(t-cut)
BPBPPB,BBPPBB,BBPBBP,2-2-2(t-cut)
BBPBBP,BBPPBB,PBPBPB,2-2-2(t-cut)
BPBBBP,PPBBPP,BBPBBB,2-2-2(t-cut)
BBBPPP,BBPPBB,PBBBBB,2-2-2(t-cut)
PBPBPP,PPBBPP,PPPBBB,2-2-2(t-cut)
PPPPPB,BBPPBB,PPBBBB,2-2-2(t-cut)
PPPBBB,PPBBPP,BPPBBP,2-2-2(t-cut)
PBBPPB,PPBBPP,BPBPBP,2-2-2(t-cut)
BBPPBP,BBPPBB,PBPPBP,2-2-2(t-cut)
PPBBBB,BBPPBB,PPBPBP,2-2-2(t-cut)
BBBBBB,PPBBPP,BPBPBB,2-2-2(t-cut)
PBPBPB,PPBBPP,PPPPPB,2-2-2(t-cut)
PBPBPB,PPBBPP,PBPPBB,2-2-2(t-cut)
BPPBBB,PPBBPP,BPBBBP,2-2-2(t-cut)
PBPBBP,PPBBPP,PPBBBP,2-2-2(t-cut)
BPBPPP,PPBBPP,BBPBPB,2-2-2(t-cut)
BPPPPP,BBPPBB,PBPBBB,2-2-2(t-cut)
PBPPPB,PPBBPP,PBPBPP,2-2-2(t-cut)
BPPPBB,BBPPBB,PPBBBB,2-2-2(t-cut)
PPBBBB,PPBBPP,BBBBBP,2-2-2(t-cut)
BBBBPP,BBPPBB,BBBPPP,2-2-2(t-cut)
BBPBBB,BBPPBB,BPPPPB,2-2-2(t-cut)
PBBBPP,PPBBPP,PBPPBB,2-2-2(t-cut)
PBBBBB,BBPPBB,BPBBPB,2-2-2(t-cut)
PPPBPP,PPBBPP,BBBBBP,2-2-2(t-cut)
PBPPPP,BBPPBB,BBBPPB,2-2-2(t-cut)
PPBBPB,BBPPBB,BPPBPP,2-2-2(t-cut)
PBPBBP,BBPPBB,BPBBBB,2-2-2(t-cut)
BBPBPB,BBPPBB,PPBPBP,2-2-2(t-cut)
PBPBBB,PPBBPP,BPBPPB,2-2-2(t-cut)
BBPPBP,PPBBPP,PPPPPP,2-2-2(t-cut)
BPBPPP,PPBBPP,PPPBPP,2-2-2(t-cut)
BBBBPB,PPBBPP,PPBPBP,2-2-2(t-cut)
BBPPBP,PPBBPP,BBBBPB,2-2-2(t-cut)
PPBPPP,BBPPBB,BBPBPP,2-2-2(t-cut)
BPPPBP,PPBBPP,BPBPBP,2-2-2(t-cut)
PBBPBP,BBPPBB,BBBBPB,2-2-2(t-cut)
PBPPPB,PPBBPP,BPPBPP,2-2-2(t-cut)
BBBBPB,BBPPBB,PBPBPB,2-2-2(t-cut)
PBPPBP,PPBBPP,BPBBBB,2-2-2(t-cut)
BBBBPB,BBPPBB,BPBBBB,2-2-2(t-cut)
BBBBPB,BBPPBB,BBPPPB,2-2-2(t-cut)
PBPPBP,BBPPBB,PBBPBB,2-2-2(t-cut)
PPBBBP,BBPPBB,PBPBPB,2-2-2(t-cut)
BBBPBB,BBPPBB,PPPPPB,2-2-2(t-cut)
BPBBBB,PPBBPP,PPPBPB,2-2-2(t-cut)
BBPBBP,BBPPBB,PPBPPP,2-2-2(t-cut)
PBBPBB,PPBBPP,BPPPBP,2-2-2(t-cut)
BBPBBP,PPBBPP,BPBBPB,2-2-2(t-cut)
BPBBPB,PPBBPP,BBBBBP,2-2-2(t-cut)
BBPBPP,BBPPBB,BBBPBB,2-2-2(t-cut)
BPBBBB,BBPPBB,PBBPPP,2-2-2(t-cut)
PBBBPP,PPBBPP,PPPPBP,2-2-2(t-cut)
PBPPBP,BBPPBB,BBBPPB,2-2-2(t-cut)
BBPBPB,BBPPBB,PPPBBP,2-2-2(t-cut)
PBPBBB,PPBBPP,PBBPBB,2-2-2(t-cut)
PBPBPP,BBPPBB,PBBPBB,2-2-2(t-cut)
BPPPBB,BBPPBB,BPBBPB,2-2-2(t-cut)
PBPBBB,BBPPBB,PPBPBB,2-2-2(t-cut)
PBBBBB,PPBBPP,BPBBBP,2-2-2(t-cut)
BBBPPP,PPBBPP,BBBBBB,2-2-2(t-cut)
BPPPPP,BBPPBB,BBBBBB,2-2-2(t-cut)
PBPPBB,BBPPBB,PBBPBB,2-2-2(t-cut)
PBPPPP,PPBBPP,PBBPBP,2-2-2(t-cut)
BPBPBP,PPBBPP,BBPPPP,2-2-2(t-cut)
PBPPPB,BBPPBB,BBPBBB,2-2-2(t-cut)
PPBBBP,BBPPBB,PPPPPB,2-2-2(t-cut)
BBBPBB,PPBBPP,PPPBBP,2-2-2(t-cut)
PBBPPP,PPBBPP,PPBPPP,2-2-2(t-cut)
PPPPPP,PPBBPP,PPPPPP,2-2-2(t-cut)
BBBBBB,BBPPBB,BBBPPP,2-2-2(t-cut)
BPBPPB,BBPPBB,PBPPBP,2-2-2(t-cut)
BBPPBP,BBPPBB,PPBPBP,2-2-2(t-cut)
PPBPBB,PPBBPP,BPBPPP,2-2-2(t-cut)
PPBPBP,BBPPBB,BPBPPP,2-2-2(t-cut)
PBBBPP,PPBBPP,PBBBBB,2-2-2(t-cut)
PPBPPB,BBPPBB,PPBPPB,2-2-2(t-cut)
BPPBBB,PPBBPP,BPPBBP,2-2-2(t-cut)
PBBPPB,PPBBPP,PBPBPB,2-2-2(t-cut)
PPBPPB,BBPPBB,PPPPBP,2-2-2(t-cut)
BPPBBB,PPBBPP,PPBPPP,2-2-2(t-cut)
BPBBBP,PPBBPP,BPBPPP,2-2-2(t-cut)
PPBPBP,PPBBPP,PPBPBB,2-2-2(t-cut)
PBBBPB,BBPPBB,BBBPBP,2-2-2(t-cut)
PPPPPP,PPBBPP,BPBBBP,2-2-2(t-cut)
BBPPPP,PPBBPP,PBPBPP,2-2-2(t-cut)
PPPPBP,BBPPBB,BPBPBB,2-2-2(t-cut)
BPBBBP,BBPPBB,BBBPPB,2-2-2(t-cut)
PBBBBB,BBPPBB,PBBPBB,2-2-2(t-cut)
BPBPPB,PPBBPP,PPPBBB,2-2-2(t-cut)
BPBBBP,BBPPBB,BBPPPB,2-2-2(t-cut)
PBBBBP,PPBBPP,BPPBPP,2-2-2(t-cut)
PPBBBP,PPBBPP,BBBPBB,2-2-2(t-cut)
BBBPPP,BBPPBB,BPBBBB,2-2-2(t-cut)
PPBBBB,BBPPBB,BPPPPB,2-2-2(t-cut)
PBBBBP,PPBBPP,PBBBBP,2-2-2(t-cut)
BPPPBB,BBPPBB,BPBPPB,2-2-2(t-cut)
PBBPBB,BBPPBB,PBBBPP,2-2-2(t-cut)
PBPBBP,PPBBPP,PPPPPP,2-2-2(t-cut)
PBPPBP,BBPPBB,BBPBPP,2-2-2(t-cut)
BBBBPP,PPBBPP,PPPBPP,2-2-2(t-cut)
PPPBBB,BBPPBB,BBPPBB,2-2-2(t-cut)
BBBBPB,BBPPBB,BPBBPB,2-2-2(t-cut)
PBBBPB,BBPPBB,PPPBPB,2-2-2(t-cut)
BBPBBB,PPBBPP,PBPBPP,2-2-2(t-cut)
BBPPPB,BBPPBB,BPPPBB,2-2-2(t-cut)
PPBBBP,PPBBPP,BPPBBP,2-2-2(t-cut)
PPBBBP,PPBBPP,PBBPPB,2-2-2(t-cut)
BPPPBB,BBPPBB,PPPPBP,2-2-2(t-cut)
PPBBBB,PPBBPP,PPBPBB,2-2-2(t-cut)
BPBPPP,PPBBPP,BBPBBP,2-2-2(t-cut)
BPPPPP,BBPPBB,PBBPBP,2-2-2(t-cut)
PPBPPB,BBPPBB,PPPBBB,2-2-2(t-cut)
BPPBBB,PPBBPP,PBBBPP,2-2-2(t-cut)
PPPPBP,BBPPBB,PPPBPB,2-2-2(t-cut)
BPPPBP,PPBBPP,PBBBBP,2-2-2(t-cut)
BBBPBB,BBPPBB,BBPBPP,2-2-2(t-cut)
PBBBPB,PPBBPP,BBBBPB,2-2-2(t-cut)
BBPBPP,BBPPBB,BBPBBP,2-2-2(t-cut)
BBBPPB,PPBBPP,BPBPBB,2-2-2(t-cut)
BPPBPB,PPBBPP,BBBBPB,2-2-2(t-cut)
PBPBPP,BBPPBB,BBPBPP,2-2-2(t-cut)
BBPBPP,PPBBPP,PBPPPB,2-2-2(t-cut)
PPBBPB,BBPPBB,BBBBPB,2-2-2(t-cut)
BPPPPB,PPBBPP,PPBBBP,2-2-2(t-cut)
BBBBPB,BBPPBB,BPBPBP,2-2-2(t-cut)
PBBBBP,PPBBPP,PBPPBB,2-2-2(t-cut)
BBPPPB,PPBBPP,BPPBPP,2-2-2(t-cut)
PPBPBP,PPBBPP,PBPPPP,2-2-2(t-cut)
BPBPBB,BBPPBB,PBPBPB,2-2-2(t-cut)
PBPBBP,BBPPBB,PBBBPB,2-2-2(t-cut)
PPBPBP,BBPPBB,BBPPBP,2-2-2(t-cut)
PBPPPB,BBPPBB,BBBPPP,2-2-2(t-cut)
PPBBPB,BBPPBB,PPBPBP,2-2-2(t-cut)
BBPBBB,PPBBPP,BPBPBP,2-2-2(t-cut)
PPBPPP,PPBBPP,PBBBBB,2-2-2(t-cut)
BBPBPB,BBPPBB,PPPPBB,2-2-2(t-cut)
PBPBBB,PPBBPP,PPBBBP,2-2-2(t-cut)
BBBPBB,BBPPBB,PBBPPB,2-2-2(t-cut)
PBBPPP,PPBBPP,PPPPPB,2-2-2(t-cut)
BBBBPP,PPBBPP,BBPBBP,2-2-2(t-cut)
BBPPPP,BBPPBB,PBBPPP,2-2-2(t-cut)
BBBBBP,PPBBPP,PPPPBP,2-2-2(t-cut)
PBBBBP,PPBBPP,BBPBPP,2-2-2(t-cut)
BBBPPP,BBPPBB,PBPPBP,2-2-2(t-cut)
BPPBPP,BBPPBB,BPPPPB,2-2-2(t-cut)
BPPPPB,PPBBPP,BBBPBP,2-2-2(t-cut)
PPPBPP,BBPPBB,BPBPPB,2-2-2(t-cut)
PBBBPB,PPBBPP,BBPBPP,2-2-2(t-cut)
BBPBPP,BBPPBB,PBPPBP,2-2-2(t-cut)
PBPPBP,PPBBPP,PBPPPP,2-2-2(t-cut)
BPBBBP,BBPPBB,BBBBPB,2-2-2(t-cut)
BBBBPP,PPBBPP,BPBPBP,2-2-2(t-cut)
PPPBPB,PPBBPP,BBBBPP,2-2-2(t-cut)
PBPBPP,BBPPBB,BBPPBP,2-2-2(t-cut)
PBPBBB,BBPPBB,BBBPBP,2-2-2(t-cut)
BPBPPP,PPBBPP,BBBBBB,2-2-2(t-cut)
BPPPPP,BBPPBB,BBBBBB,2-2-2(t-cut)
BBBBPP,PPBBPP,BBBBPP,2-2-2(t-cut)
BBPPPP,BBPPBB,BBPPPP,2-2-2(t-cut)
BBBPPP,PPBBPP,PPBBBB,2-2-2(t-cut)
BPBPPB,PPBBPP,BBPBBP,2-2-2(t-cut)
BPPBPP,BBPPBB,PBBPPB,2-2-2(t-cut)
BBBPBP,PPBBPP,BBPPBP,2-2-2(t-cut)
BPBPPP,BBPPBB,PPBPPP,2-2-2(t-cut)
BPPPBB,PPBBPP,BPPPPB,2-2-2(t-cut)
PPPPBP,PPBBPP,BBPPPB,2-2-2(t-cut)
PPBPPP,BBPPBB,PPPBBB,2-2-2(t-cut)
BPPPBB,PPBBPP,PBBBPB,2-2-2(t-cut)
BPPBPB,PPBBPP,BBBBPP,2-2-2(t-cut)
PBPBPP,BBPPBB,BBPPBP,2-2-2(t-cut)
PPBBBP,PPBBPP,PPBBBB,2-2-2(t-cut)
PBPPBB,BBPPBB,BPPPBP,2-2-2(t-cut)
BBPBPB,PPBBPP,PPBPBP,2-2-2(t-cut)
PBBPBB,BBPPBB,BPBPBB,2-2-2(t-cut)
PBBPPB,PPBBPP,PBBBBP,2-2-2(t-cut)
BBBPBP,PPBBPP,BPPPBB,2-2-2(t-cut)
BPPBPB,PPBBPP,BBBPPB,2-2-2(t-cut)
PBPBPP,BBPPBB,BPPBBB,2-2-2(t-cut)
PBBPPB,BBPPBB,BBPBBP,2-2-2(t-cut)
PPPPPB,BBPPBB,PPPBPB,2-2-2(t-cut)
PPPBBB,PPBBPP,PBPBPP,2-2-2(t-cut)
PBPBPB,PPBBPP,PPBPPB,2-2-2(t-cut)
PBPPBP,BBPPBB,BPPPBP,2-2-2(t-cut)
PBBPPB,PPBBPP,BBPPBP,2-2-2(t-cut)
BPPBPP,BBPPBB,PPBPPB,2-2-2(t-cut)
PBPPBB,PPBBPP,BPPBPB,2-2-2(t-cut)
PPBPPP,PPBBPP,BBPBBB,2-2-2(t-cut)
BPPPPP,BBPPBB,PBBBPB,2-2-2(t-cut)
BPPPBP,BBPPBB,BPPBBB,2-2-2(t-cut)
PBBPPB,BBPPBB,BBBPPB,2-2-2(t-cut)
BPPBBB,BBPPBB,BPPPPB,2-2-2(t-cut)
PBPPBB,PPBBPP,PPBBBP,2-2-2(t-cut)
BBBPBP,PPBBPP,PPPBBB,2-2-2(t-cut)
PPPPPB,BBPPBB,PPPBBP,2-2-2(t-cut)
PPPBBB,PPBBPP,PBBPPP,2-2-2(t-cut)
BPPBBP,PPBBPP,PBBPPB,2-2-2(t-cut)
PPPBBP,PPBBPP,BPPPPB,2-2-2(t-cut)
PPBBBB,BBPPBB,PPBBBP,2-2-2(t-cut)
BBBBBB,PPBBPP,BBBPPB,2-2-2(t-cut)
BBBBPP,BBPPBB,BPPBPP,2-2-2(t-cut)
PPBBPB,BBPPBB,PBBPBB,2-2-2(t-cut)
BPBPPP,PPBBPP,BPPPBP,2-2-2(t-cut)
BBPBPB,PPBBPP,BPBPBB,2-2-2(t-cut)
PBBPBP,PPBBPP,PBPPBB,2-2-2(t-cut)
BPBPBP,PPBBPP,PPBPBB,2-2-2(t-cut)
BBBPPB,PPBBPP,PPPBBB,2-2-2(t-cut)
PPPPPB,BBPPBB,PPBBPP,2-2-2(t-cut)
PPPBBB,PPBBPP,BBPPPP,2-2-2(t-cut)
PBBBPP,BBPPBB,PPPPPP,2-2-2(t-cut)
BBPPBB,PPBBPP,PPPPPB,2-2-2(t-cut)
BPBBBP,PPBBPP,BPPBPB,2-2-2(t-cut)
BPBBPP,PPBBPP,BBBBBB,2-2-2(t-cut)
BBPPPP,BBPPBB,BBBBPP,2-2-2(t-cut)
PBBPBP,PPBBPP,PBPBBP,2-2-2(t-cut)
BBPBBB,BBPPBB,PBBBPP,2-2-2(t-cut)
PBPBPP,PPBBPP,PPBPBP,2-2-2(t-cut)
BBBBPB,BBPPBB,PBPBPB,2-2-2(t-cut)
PBPBBB,BBPPBB,BBBBBP,2-2-2(t-cut)
BBBBBP,PPBBPP,BPPBPB,2-2-2(t-cut)
PBPBBP,BBPPBB,PBPPBP,2-2-2(t-cut)
PPBPPB,PPBBPP,BBPBBP,2-2-2(t-cut)
BPPBPP,BBPPBB,PBBPBB,2-2-2(t-cut)
BBBBBB,BBPPBB,BPBBBB,2-2-2(t-cut)
BBPPBP,BBPPBB,PPBBPB,2-2-2(t-cut)
PPBPBB,PPBBPP,BBPBPB,2-2-2(t-cut)
BPBBPP,BBPPBB,PBPBBP,2-2-2(t-cut)
BBBPBB,BBPPBB,BBPBPP,2-2-2(t-cut)
BBPPPB,PPBBPP,PPPPBP,2-2-2(t-cut)
PBPBPP,PPBBPP,BPPPBB,2-2-2(t-cut)
BBBPBB,BBPPBB,BBBPPP,2-2-2(t-cut)
PPBBBB,BBPPBB,PBBBBP,2-2-2(t-cut)
BPPPPB,PPBBPP,BPBBBB,2-2-2(t-cut)
BBPBBB,BBPPBB,PBPPPP,2-2-2(t-cut)
PBPBBP,PPBBPP,PPBBPB,2-2-2(t-cut)
BPBBBP,BBPPBB,PPBBPB,2-2-2(t-cut)
BBBPBB,PPBBPP,BBPBPB,2-2-2(t-cut)
BPBBPP,BBPPBB,PBPBPB,2-2-2(t-cut)
BBBPBB,BBPPBB,PBPPBP,2-2-2(t-cut)
PPPPPB,PPBBPP,BPBPBP,2-2-2(t-cut)
PPPBPP,PPBBPP,PBPPBP,2-2-2(t-cut)
PPPBPP,PPBBPP,PPBBBB,2-2-2(t-cut)
BBBPPP,PPBBPP,BPPBPP,2-2-2(t-cut)
PBBBPP,PPBBPP,BBBPBB,2-2-2(t-cut)
BBPPPP,BBPPBB,BPBBBP,2-2-2(t-cut)
PBBBPB,BBPPBB,PBBBPP,2-2-2(t-cut)
BBPPBP,BBPPBB,BPPPBB,2-2-2(t-cut)
BBBBPB,PPBBPP,PBBBBB,2-2-2(t-cut)
