before,red_not_tidt,after,length
PPPBPP,BBBPBBPBPBB,PPBPPP,11
PPPPPP,BPBPBPBBBB,PPBPPB,10
PPPBPP,BBBPBBPBBBB,PPBPPP,11
BPPPPP,BPBPBBPBBPBPB,PPBBBP,13
PPPPPP,BBPBBBBBPBPBPBPBBB,PPPPPP,18
PPBPPP,BPBBPBPBPBBPBBBPBBBB,PPBBBP,20
PPPPPP,BBBBBPBPBB,PPBBBP,10
BBPPPP,BBBBPBBBBPBBBB,PPPBBP,14
PPBBPP,BPBBBPBBBPBPB,PPBPBB,13
BPBBPP,BBBBBBPBBPBBPBBBB,PPPBPP,17
BBPBPP,BBPBBBPBBBB,PPBPBB,11
BBBBPP,BPBBBBPBBB,PPBBBB,10
PPBPPP,BBPBPBPBPBBBBBB,PPBBBB,15
BPBBPP,BBBPBBPBPBB,PPBPBP,11
PPPBPP,BBPBPBBPBPBPB,PPPBBP,13
BPPBPP,BBBBPBBBBPB,PPBBBP,11
BPPBPP,BBBPBBBPBBBPBB,PPPBBP,14
PPPPPP,BPBBBBBPBBPBB,PPBBPP,13
PPPPPP,BBBPBPBBBPB,PPPBPB,11
PPBPPP,BBPBBPBBBB,PPPPBP,10
BBPBPP,BBPBPBBBBB,PPPBPB,10
BPPBPP,BBPBPBBBBPBPBB,PPPPPP,14
PBBPPP,BBPBPBPBBBBBBB,PPBBPP,14
PPPBPP,BPBBPBPBPBPB,PPBPPP,12
PPBBPP,BPBBPBPBPBPB,PPPBBB,12
PPBPPP,BPBBBBBBBB,PPBPBP,10
PBBBPP,BPBPBBBBPBBBBPBB,PPBPBP,16
PPPBPP,BPBBBBPBBPBPBBBBBPB,PPBPBP,19
PBBPPP,BBPBBPBPBPB,PPPPPB,11
PPBPPP,BBPBPBPBBPBBBBBPB,PPPPBB,17
PPPPPP,BPBBPBPBBBBBBBPBPBPB,PPPBPB,20
BBBPPP,BBBBBBBBBPBBPB,PPPPBB,14
BPPPPP,BPBBBBBBBBBBBBBB,PPPPPB,16
BPBPPP,BPBPBBBPBBPB,PPPBPP,12
BPPPPP,BBBPBBPBBBPB,PPPBPP,12
BBPBPP,BPBBPBBBPB,PPBPPP,10
PBBBPP,BBBPBBPBPBPBB,PPPBBP,13
BBPBPP,BPBBBBBBBPB,PPPBPP,11
PPPBPP,BPBBPBBPBBPBBPBBPBBBB,PPBBBP,21
BPPPPP,BBBBBBPBBBPBBB,PPPBBB,14
PBBPPP,BPBBPBBBBBB,PPBBPB,11
PBBBPP,BBBBPBBPBPBPBPBBPBBBBB,PPBBPB,22
BPPPPP,BPBBBBBPBBBPBBPBBPBB,PPBBPB,20
PBPBPP,BPBPBPBPBPB,PPPPBB,11
BPBBPP,BBBBPBBBPBB,PPPBBB,11
PPBBPP,BBPBBBBPBBB,PPBBBB,11
PPPBPP,BPBPBBBBBBBBBPBPBPBB,PPBPBB,20
BPPPPP,BBBBBPBBBB,PPBPBB,10
BBBBPP,BPBBPBBBBBBBBB,PPPPPP,14
PBBPPP,BPBBPBPBPB,PPPBPB,10
BPPBPP,BPBPBBBPBBBB,PPPBPP,12
PBBPPP,BBPBBBBPBBBBPB,PPBBBP,14
PBPBPP,BPBBPBBBPBPB,PPPPPP,12
PPBPPP,BBPBPBPBPBB,PPPBBB,11
BPPPPP,BBPBBPBPBBB,PPBBBB,11
PBBBPP,BBBBBBBPBBPBPBPBBPB,PPPPPP,19
BPPPPP,BBPBBPBBBPBPB,PPBPPP,13
PBPPPP,BBBBBBBBBPBBPBPBBPBBPBPB,PPPBPB,24
PBPPPP,BPBPBBPBPBB,PPBPBB,11
BPBBPP,BBBBPBPBBBBB,PPBBBP,12
PBPPPP,BPBPBPBPBB,PPBPPP,10
BPPBPP,BBBBPBBBBBPBPBPBB,PPPBBB,17
BBBBPP,BBPBBPBPBB,PPPBBP,10
PBBPPP,BBPBPBPBBBBBBB,PPPPBP,14
PPPPPP,BPBBBBPBBBBB,PPPBBB,12
BBPBPP,BPBBPBBPBPBPBB,PPBBBB,14
PBBPPP,BBBBPBBBBPBBBBBBBPB,PPPBPP,19
BPBPPP,BBBBBBPBBB,PPPBPP,10
PBPBPP,BBPBPBBPBPBBBBBBB,PPBPPB,17
BPPBPP,BBPBPBBPBPB,PPBBPP,11
PPPBPP,BBPBBPBPBB,PPBBPP,10
PBPPPP,BBBPBPBBBBPBBB,PPBBBP,14
PPBPPP,BBPBPBBPBBPB,PPPPBP,12
PBPPPP,BBPBBPBPBPB,PPPPBB,11
BPPBPP,BBBPBPBPBPB,PPBBBP,11
PBPBPP,BBBPBBBBPB,PPPPPP,10
PBBBPP,BBPBBBBBPBBPBB,PPPPBB,14
BPBPPP,BBBBPBBBPBPBBBBBB,PPPBPB,17
PBBBPP,BBPBBPBPBBBPB,PPBBBB,13
BPPBPP,BBBPBBBBBBBPB,PPBPBP,13
PBPPPP,BPBBBBBBPB,PPBBBP,10
BPPBPP,BBPBBPBPBBPB,PPBPBP,12
PBPBPP,BBPBBBPBBBBBBBB,PPBPPB,15
BPPPPP,BPBBPBBPBBBB,PPBBBB,12
BBBBPP,BBPBPBBBBPBPB,PPPBBP,13
BPBPPP,BPBPBBPBBPBPBBPBPB,PPPPPP,18
PBBPPP,BPBBPBPBPBBPBB,PPBBBP,14
PBBBPP,BBBPBPBPBPBB,PPBBBP,12
BBBPPP,BBBPBBPBPBBPB,PPBBPB,13
BPBBPP,BBPBBPBPBB,PPPBBP,10
PPBBPP,BPBBBBBBBPBPBBPBBBBPB,PPPBPB,21
PBPPPP,BBBBBPBBBBPBBB,PPBPPB,14
BBPBPP,BBPBBPBPBBPB,PPBBBB,12
BPPPPP,BBBBBBBBPBBPBPBB,PPPBPB,16
BPBBPP,BBBBPBBBPBB,PPPPPB,11
PPBPPP,BBBBPBBPBPBPBBBBPBPBPBPBPBPB,PPPPPB,28
BBBPPP,BBBBBBBPBB,PPPPBP,10
PPPPPP,BBBBBBBBBPBBBBBBBBBBBPB,PPBPPP,23
BBPBPP,BPBBPBBPBBB,PPBBBP,11
BPPBPP,BBPBBBBPBPBPBBBBB,PPPPPB,17
BPPBPP,BBBPBBPBPBPBPBBBBPBB,PPPBPB,20
BBBBPP,BPBBBPBBPBPBPBBBPBBBBB,PPPBPB,22
BBPBPP,BBPBBBBBPBBPB,PPBBBB,13
BBPBPP,BBBBBPBBBBPBBPBPBPBB,PPPPPB,20
PPBPPP,BPBPBPBPBB,PPBBPB,10
BPBBPP,BPBBBBPBBPBPBBBPBBB,PPBPBB,19
BPBPPP,BBPBBBPBPBBPB,PPPBPB,13
BPBPPP,BPBPBPBPBBPBBB,PPPPPP,14
PBBBPP,BPBBBBPBPB,PPBPPP,10
PPBBPP,BBPBPBBBBPB,PPPPPB,11
PPBPPP,BPBBBBBBBB,PPPBPB,10
PPBPPP,BBPBPBBPBPBBPBPBPBBPBBBPBBB,PPBPPP,27
BPBPPP,BBBBBBBBPBBBB,PPPPBP,13
PPPBPP,BBPBPBPBBBPBPBBBBBB,PPBBPP,19
BBPBPP,BBBBPBBBBBPBB,PPPPBP,13
BBPPPP,BPBBPBBPBBPBB,PPBPPP,13
BBPPPP,BPBPBPBPBPBBBBB,PPBPBB,15
PBBPPP,BBBBBPBBBBB,PPBPBB,11
BPBPPP,BPBPBPBPBBBBBBPB,PPBBPB,16
BBBPPP,BPBBPBPBBBPBBPBBB,PPPBBB,17
PPPPPP,BBBBPBBBBB,PPPBPP,10
PPBPPP,BBPBBPBBBPB,PPBPBP,11
PPBPPP,BBBBBBPBPBBPBPBBPBBBPB,PPPBPP,22
BBBBPP,BBBBPBBPBBPB,PPBBPB,12
PBBBPP,BPBPBBBPBBBB,PPBPBP,12
PBBBPP,BBBBBBBPBPBBPBB,PPPBBP,15
PBBBPP,BBPBPBBPBBPBPBB,PPBBPB,15
PPPPPP,BPBBBPBPBB,PPPBBP,10
PBBBPP,BBPBPBBBBBBPB,PPBBPB,13
PPBBPP,BPBBBBPBPBB,PPPPBB,11
PBPPPP,BPBBPBPBPBPBPBPBPB,PPBPBP,18
PPBPPP,BPBBBPBBBPB,PPPBPB,11
PBPPPP,BBPBPBBPBBBPBBPBBPBBPBPBBB,PPPPBP,26
BPBBPP,BBPBBBPBBB,PPPPPP,10
PPPPPP,BPBPBPBBBBB,PPBPBP,11
BPBBPP,BBPBPBPBPBB,PPPBPB,11
PPBBPP,BPBBBBPBBB,PPPBPB,10
BPPBPP,BBPBBBPBBB,PPPBBP,10
BBBPPP,BBBBBBBBBBPBB,PPBPBP,13
PPBBPP,BBBBBBBBBPBPBPBB,PPPBBB,16
PBBBPP,BBBBPBPBPB,PPBBPB,10
BPPBPP,BBBBBBPBPBB,PPBPBP,11
BBBPPP,BBPBPBPBPBPBPBBB,PPPBPP,16
BBPPPP,BPBPBBPBBBPBBBBB,PPPPBB,16
PPPBPP,BBBBPBBPBPB,PPPBPP,11
BPBBPP,BBBBPBPBBBB,PPBBPB,11
PBPPPP,BPBPBBBBPBBBBBB,PPPBPB,15
PBPBPP,BBBBPBPBBBBB,PPPBBB,12
BBBBPP,BBBBBBPBPBBPBPBBBPBPBB,PPBPBP,22
BBBBPP,BBBPBPBBBB,PPBPPB,10
BBBPPP,BBBPBBBBBBPBBBPB,PPPBPB,16
BBBBPP,BPBPBPBBPB,PPPBBP,10
PPBBPP,BPBPBBBBBBB,PPPPPP,11
BBPBPP,BBBBPBPBBB,PPPBBB,10
BPPPPP,BBBBBPBBBB,PPBBPP,10
PPBPPP,BPBBBBBPBBPB,PPPBBP,12
BBPBPP,BBBBBBPBBB,PPPBBB,10
PBPBPP,BBBBBBBBBB,PPPPBB,10
BBPPPP,BBPBBBPBBBBPBPB,PPPBPB,15
BPPPPP,BBBPBBBPBBBBB,PPPBBB,13
BBBBPP,BBPBBBBBBB,PPPPPB,10
PPPPPP,BBBBPBPBBBBBPBPBB,PPPBPB,17
PPPPPP,BBBBBPBBBBPBPBPBPBPBBB,PPBPBB,22
BPPBPP,BBBPBBBBBPBB,PPBBBB,12
BPBPPP,BBBBBBBBBPBBBB,PPBPBB,14
PBPPPP,BPBBPBBBBBBPBPB,PPPPPB,15
BPBBPP,BPBPBPBBPBB,PPBBBP,11
BPPPPP,BBBPBBPBBBB,PPBPPB,11
BPBPPP,BPBPBBPBPB,PPPBBB,10
PBBPPP,BPBBPBBBPB,PPBBBB,10
BPBPPP,BBBBBBPBBBB,PPPBPB,11
PPPPPP,BBPBBBBBBPBBB,PPPPPB,13
BPPBPP,BPBBBBBBBBPB,PPPBPP,12
BPBPPP,BPBBPBPBBBB,PPBBBP,11
PPBPPP,BBBBBPBBPBPBPBBBB,PPPBBB,17
BBBPPP,BBBBPBPBPBPB,PPBPPP,12
PPBBPP,BPBBPBBBPBPB,PPPPPP,12
PBPBPP,BBBPBBPBBBBPBPBBBBBPBPBB,PPPBBP,24
PBBPPP,BBBBBBBPBBBBPBBBB,PPPPPP,17
BPPPPP,BBPBPBBBBBBPB,PPBPBP,13
BPBBPP,BBPBPBPBPBBBBPBPBBB,PPBPBB,19
BBPBPP,BBPBPBPBPBBBBBBBBPBBB,PPBPBB,21
PBBPPP,BBBPBBPBBBPBPB,PPPPBB,14
BPPPPP,BBPBBBBPBBPBB,PPPBPP,13
PBBPPP,BPBPBBBBBBPBBB,PPPBPP,14
PBPBPP,BPBPBBPBPBBB,PPBBBB,12
BPPPPP,BBBBPBBBPBB,PPBBPB,11
BPPBPP,BBBBBBBBPBPBBB,PPPPPB,14
BPPPPP,BPBBBPBBPBB,PPBPBP,11
BBBPPP,BBBPBBBBPB,PPBBBP,10
PPBBPP,BPBBBBBBPB,PPBPBP,10
PPBBPP,BBPBBPBBPBPBBB,PPPBBP,14
BBPBPP,BPBBBPBBBB,PPPPBP,10
PPPBPP,BBBBBPBPBPB,PPBPPP,11
BBBBPP,BBBBPBPBBBBPBB,PPBPPP,14
BPBPPP,BBPBBPBPBPB,PPBPPB,11
BBPBPP,BBPBBBPBBPB,PPPPBP,11
BPPPPP,BBBPBBPBPBPB,PPBBPB,12
BBPPPP,BBBPBBBPBBBBPBPBPB,PPPBPP,18
PPPPPP,BBBBBBPBPB,PPBPPP,10
PBBBPP,BBPBBBBPBB,PPPBPP,10
PBBPPP,BBPBPBBBBBPBPBBBPBPBPBBB,PPBBPB,24
BBBBPP,BPBBBPBBPBBPBBBBB,PPPPPP,17
BBBBPP,BBBPBBPBBPBPBBBPBPBBPBBB,PPPPPP,24
PPPPPP,BPBBBBPBBBPBBBBBBBBPBBBPBPB,PPPPBB,27
PPBBPP,BBBBPBBPBBBB,PPBBPB,12
BBBBPP,BBPBBPBBBBB,PPBBPB,11
BBBPPP,BPBBBBPBBPB,PPBPBP,11
BBBPPP,BBBBBBBBBPBB,PPBBBP,12
BPPPPP,BBPBBBBBBBB,PPBPPB,11
PBPPPP,BPBPBBBBBBPB,PPPPPB,12
BPPPPP,BPBBPBPBPBBBBBBBB,PPBBPB,17
PPPBPP,BPBBBBBBBPB,PPPPBB,11
PPPBPP,BBBPBBBPBBPBBBBPBPBPB,PPBBPB,21
BBBBPP,BBBBBPBBPB,PPPPBP,10
BBBPPP,BPBBBPBBBBB,PPBBBB,11
PBBBPP,BBBBPBPBPBBBB,PPPPBP,13
PPPPPP,BBBBPBBBPB,PPPPBP,10
PPBBPP,BPBBBBPBBBBBPB,PPPPPP,14
PPBPPP,BBBBBBBBPBB,PPBBPP,11
PPBPPP,BBBBBBPBPBBB,PPBPPP,12
PPPPPP,BBBBPBBBBPB,PPPPPP,11
PPPBPP,BBBBBPBBBBPBBB,PPPBBP,14
PBBPPP,BBBPBPBPBPBPBBBB,PPPBBP,16
BBBPPP,BBPBBPBPBBBPB,PPBBPP,13
BBBPPP,BBPBBPBBPBBB,PPBPPB,12
BPPBPP,BBPBBBPBBBBBPBBBB,PPPBBB,17
PPBBPP,BBBBPBBBPB,PPPPBP,10
PPPPPP,BBPBPBPBBBBBBB,PPBPBP,14
BBBBPP,BBBBPBBPBB,PPPBPB,10
PBBPPP,BPBBPBBPBBB,PPPBBP,11
BBPBPP,BBBBBBBBPBBBB,PPPPPP,13
BPBBPP,BPBBBBPBBBPBB,PPPBBB,13
BBPPPP,BBPBBBBPBB,PPPBPB,10
PPPBPP,BBBBPBBBPBB,PPBBBB,11
BPBBPP,BBBBPBPBPBPBPBPBBBBB,PPBBPB,20
PPPBPP,BPBPBBPBBPB,PPBBBP,11
BBPPPP,BPBPBPBBPBB,PPBBBB,11
BPBBPP,BBBPBPBBPBB,PPBBPP,11
PPPBPP,BBPBPBBBBPBBBBPBBB,PPPBBB,18
PPPBPP,BPBPBPBPBPBPBB,PPPBBP,14
PBBPPP,BBPBBBBPBBB,PPBPPP,11
PPBBPP,BBPBPBBPBPBPBB,PPBBBP,14
PBPPPP,BPBPBBPBBBBB,PPBPBP,12
BBPBPP,BBPBPBPBBB,PPBBPP,10
PPPPPP,BBBBPBBBPB,PPPPPP,10
PBBPPP,BBBPBBBBBB,PPBPPP,10
PBPPPP,BBBPBPBBBB,PPBPBB,10
PBBBPP,BBBBPBPBPB,PPBPPB,10
PBPBPP,BBBPBBBPBPBB,PPPPPB,12
BBBBPP,BBBPBBBBBBB,PPBBBB,11
BBBPPP,BBPBBBBBBPBPBBB,PPPBPB,15
BBPBPP,BBBPBBBBPBPB,PPBPPP,12
BBPBPP,BBBPBPBBPB,PPBPBP,10
PPBPPP,BBPBBPBPBBPB,PPPPBP,12
BBPBPP,BPBBBPBPBB,PPBBBP,10
BBPBPP,BPBBBPBBPBBBBPBBBB,PPBPBP,18
BPBPPP,BBBPBBBPBBBBPB,PPPBPB,14
PBPPPP,BBPBBBBBPBBPBB,PPPPPB,14
PBPPPP,BPBBPBBPBPBPBBB,PPBPBB,15
BPPPPP,BBPBBBBBPBPBPB,PPBBPP,14
BPPBPP,BBPBBBPBBPBBPBB,PPPPPP,15
PBBPPP,BBBBBBBPBBPB,PPBPBP,12
PPPPPP,BPBBPBBPBPB,PPBBPP,11
PBPPPP,BBBBPBBBBB,PPBBBP,10
PBPPPP,BPBPBBBPBPBBBPBBBPBPB,PPBBPP,21
PBPPPP,BPBBBBBBBPB,PPBPPB,11
BBPBPP,BPBPBBBPBBBPBB,PPPPPB,14
BPBBPP,BBBBBBBBPBBBB,PPBPBB,13
PPPBPP,BBPBBPBBBBPB,PPBBBB,12
BBBPPP,BBBPBBBBPB,PPPBBP,10
PPBBPP,BPBBBBPBPBBBBB,PPPPBB,14
PPBPPP,BBPBBBBPBB,PPBPBP,10
BPBBPP,BPBPBBPBBPBB,PPPBBP,12
PBBBPP,BBPBBBBPBBB,PPPBPB,11
PBBBPP,BBBBBPBPBPBBBB,PPPBBB,14
BBPPPP,BPBPBPBBBBBPB,PPPPPB,13
PPPBPP,BPBPBPBPBBPBPB,PPPPBB,14
BBPPPP,BPBPBBPBBBBBBB,PPPPBP,14
PBBPPP,BPBPBPBBPBPBBBPBBBPBBPB,PPBPBB,23
BBPPPP,BBBPBBBPBBPB,PPPBBP,12
BBBBPP,BBBPBBBBPBPBPB,PPBPPP,14
BBBBPP,BPBPBBBPBPBBBBPBB,PPPPBB,17
PBBPPP,BBPBPBBPBB,PPPBBB,10
PPPBPP,BBBBPBPBBBBPBB,PPPBBB,14
PBBPPP,BBBBPBBPBB,PPBBPP,10
PPPBPP,BPBPBBPBPB,PPBBPP,10
PPBPPP,BBPBBBPBPBBBB,PPPPPP,13
PPPBPP,BPBPBBPBBB,PPBPBP,10
PPBPPP,BBBPBPBBBB,PPBPBP,10
BBBBPP,BPBPBBPBBBPBBPB,PPPPPP,15
BBPPPP,BBBBBBBBBBPBBPBBB,PPBBPB,17
BBPBPP,BPBPBPBPBBBPBBPBB,PPBPPB,17
BBPBPP,BBPBPBBPBPBBBBPB,PPBPPP,16
PBBBPP,BBPBPBBBBBBB,PPBPBB,12
PPPBPP,BPBPBBBPBBB,PPPPBP,11
PBBPPP,BBPBPBPBPBPB,PPPPPP,12
BPPPPP,BBBPBPBPBBPBPBPB,PPPBPP,16
BBPBPP,BBBBPBPBBBPBBBBBPBBB,PPBPPP,20
PBBPPP,BBBBBBBBBBB,PPBBPP,11
BPPBPP,BPBBPBBPBPBPBBBPBB,PPPPPB,18
PPBPPP,BPBPBBPBPBBBPBPBB,PPPBPP,17
PPPPPP,BPBPBBBPBBBBB,PPPPPP,13
PPBBPP,BPBBBPBBBB,PPPPBP,10
PBBBPP,BBBBBBBBPB,PPBBPP,10
BPBBPP,BBBPBBPBBB,PPPBPB,10
BBBBPP,BPBBBPBPBPB,PPPBBB,11
PPPPPP,BPBBPBBBBPB,PPPPBB,11
PBBPPP,BPBPBBBBPBB,PPBPBB,11
PBPBPP,BBBBBPBPBB,PPPBPP,10
PPPBPP,BBPBBPBBBBBPB,PPPPPP,13
BPBPPP,BPBBBBBPBBBBBPBPB,PPPPBP,17
PPBPPP,BPBPBPBBPBPB,PPBPPP,12
PBPBPP,BBPBBBBBBPB,PPBBBB,11
PPPBPP,BPBBBBBBPBPBBB,PPPPBP,14
BBPPPP,BBBPBBPBBBPBPB,PPBBPP,14
PBBPPP,BPBBBPBBPBBPB,PPPPBP,13
BBBBPP,BBPBBPBBPBPB,PPPPBB,12
BPPBPP,BBBBPBBBBBBB,PPPPPB,12
BPPBPP,BPBBBBPBBBB,PPBPPB,11
BPPPPP,BBBPBBPBBBBBBBPBBBB,PPPPBP,19
BBPBPP,BPBBBBBBBB,PPBBBB,10
BPBBPP,BBBBBBPBBBB,PPPPBP,11
BBPPPP,BPBBBPBPBB,PPPBBB,10
BBPPPP,BBPBPBBPBB,PPPPPP,10
PBBPPP,BPBBBBPBPB,PPPBBP,10
PPBBPP,BBPBBBPBPBPB,PPBPBP,12
BBBBPP,BBPBBPBBBBBBB,PPBBPP,13
PBPPPP,BPBBPBPBBBBPBBBPBB,PPBPBP,18
BPBBPP,BBBBBBBBBPBPBPBBBBBBBBBBPBPBBPBB,PPPPBP,32
PPBBPP,BPBPBPBBPB,PPBBBB,10
BBPBPP,BBBBPBBBBB,PPBPPP,10
PPBPPP,BPBBBPBBBBB,PPBPPP,11
PBPPPP,BBPBPBBBPBPBBBB,PPBBPP,15
BBBPPP,BBBBPBBBPBPBB,PPBPPP,13
PBBBPP,BPBBPBBBPB,PPBBPP,10
PBBPPP,BBBBPBBPBPBBB,PPPPBB,13
BBPBPP,BPBPBBBBPB,PPPBPB,10
BBBBPP,BBBBBBBPBBB,PPBBPB,11
PBBBPP,BBBBBBPBPB,PPPPPP,10
BPBBPP,BPBBPBBBBBPB,PPBBPB,12
BPPPPP,BBPBBBBBPBB,PPBBPP,11
PPBPPP,BBPBBPBBBBPBPBBPB,PPBBPP,17
BBBPPP,BPBPBPBPBBBB,PPBBBB,12
BBBBPP,BBBBPBPBPBBBB,PPPPBB,13
PPPPPP,BPBBPBPBBBPB,PPBPBB,12
BPPPPP,BBPBBPBBBBBB,PPBBBB,12
PPPBPP,BPBPBBBBPBPB,PPPBPP,12
PPBBPP,BPBPBPBBPBBB,PPPPPP,12
BBBPPP,BBBPBBPBPB,PPPPPP,10
BPPBPP,BBPBPBBPBB,PPBPPB,10
PPPBPP,BPBPBBPBBPB,PPPPPP,11
PPPPPP,BBBBBPBPBPBBPBBBBBPBPBBBBPB,PPPBPB,27
BPBPPP,BPBBPBPBBBBBBBBB,PPPBPB,16
BPPBPP,BBPBBBPBBB,PPBPPB,10
PBPPPP,BPBBPBBBPB,PPBBPP,10
BPBPPP,BBBPBBBBBBBBBB,PPPBBB,14
PBPBPP,BBBBBPBBBBB,PPBPBB,11
BPPBPP,BPBBBPBPBPBBB,PPBBBB,13
PBBBPP,BBBBPBBBBBBBBBBPB,PPBBBP,17
BBBBPP,BPBPBBBBBBPBBBBB,PPPPBP,16
BBPPPP,BPBPBBBBBB,PPBBBB,10
BPPBPP,BPBBBPBBBB,PPBPBP,10
BBBBPP,BPBPBBPBBPBBB,PPBBBP,13
PBPPPP,BPBPBBBBBPBPB,PPBPBB,13
PBPBPP,BPBBBBBPBB,PPBPPB,10
BBBBPP,BBBBBPBBBPB,PPBPPP,11
PPBPPP,BBPBBBBPBBBPB,PPPPBP,13
PBPPPP,BBBBBBPBPBBBB,PPBPBP,13
BBBBPP,BBBBBBBBPBPBB,PPBBPB,13
PPPBPP,BBBBPBPBPBPBPBB,PPPBPB,15
PPBBPP,BBBPBPBPBBB,PPPBPP,11
PBPBPP,BBPBBBPBBBBBPBPBB,PPBBPP,17
PBPBPP,BBPBPBPBBPB,PPBBBB,11
BBPBPP,BBBBBPBBPBPBPB,PPPBBB,14
BBPBPP,BPBPBPBBBPB,PPPBPB,11
PBPBPP,BBBPBBBPBB,PPPBPP,10
PPPPPP,BPBBBPBBBBBBB,PPPPPP,13
BBPPPP,BBPBBPBBBBBPBB,PPPPBB,14
BPPBPP,BPBBBPBBBPBBBBB,PPBPPB,15
PBBBPP,BBBPBPBBBPBBBPBBPB,PPBPPP,18
PBPPPP,BBBBBPBBBB,PPPPPP,10
PBPPPP,BBBBPBBBBBPBPBPBBPBPBB,PPPBBB,22
PPPBPP,BBBBPBPBPBPBBBPBBBB,PPPPPB,19
PPBPPP,BBPBBPBPBBB,PPBBBB,11
BPBPPP,BBBBBBPBPBPBBB,PPPPPB,14
BBBPPP,BPBPBBBBPBBBBBPB,PPPPBP,16
PBBPPP,BBBPBBBBBPBBBBBBB,PPPBPP,17
BPBBPP,BBBBBBBBPBBBBBPB,PPBPBB,16
PPBPPP,BBBBBPBBPBPBBB,PPBPBB,14
BBPBPP,BBBBPBBBPBPBB,PPBPPB,13
BPBPPP,BBBPBBPBPB,PPBBBP,10
PBBBPP,BPBBBBPBBBPBPB,PPPBBB,14
PBBPPP,BBBPBBBBBBBBPBPB,PPPPPB,16
PBBBPP,BPBPBBPBBBB,PPBBBB,11
BBBBPP,BBBBPBPBBBBB,PPPBBB,12
BBBPPP,BBBPBPBBPB,PPPPPB,10
PBBBPP,BBPBBBBBBPBPBBBB,PPBPBB,16
PPPBPP,BPBBPBBPBB,PPBPPP,10
BBPPPP,BBBBPBPBBBBBPBB,PPPBPP,15
PPPBPP,BPBBPBBBPBBB,PPPPBP,12
PBBBPP,BPBBBBBPBPB,PPBBBB,11
BPBPPP,BBBBPBPBBPBPBPBPBPBPBBPBPB,PPBPPB,26
PBBBPP,BBBPBPBBPB,PPPPBP,10
PPBBPP,BPBBPBBBBBPBBB,PPBBPP,14
BPPPPP,BBPBBPBBPBB,PPPBPB,11
PBPPPP,BBPBPBBPBPBBBPBBB,PPBPBP,17
PBPPPP,BBPBBBPBPBPBPB,PPBPPP,14
PPBPPP,BBBBBBBPBBBBPBBBPBB,PPBBBP,19
BBBPPP,BBBBBBBPBBPB,PPPBBB,12
BBBPPP,BBBBBPBPBPBBPBBBPBBPBBPB,PPBBPP,24
BPBPPP,BPBBPBBBBPBBBPB,PPPPBB,15
PBBBPP,BBPBBBBBPBPBBPBBBBBBBBPBBBPBBBBPBB,PPPPPP,34
PBPPPP,BPBPBBPBPBPBBPBPBBPBB,PPBPPB,21
BBPPPP,BPBPBBBBBPBBB,PPBBPP,13
BBBBPP,BPBBPBBPBPBBB,PPPBBB,13
BBPBPP,BBBBBBPBBBBBBBB,PPPBPP,15
PBBBPP,BBBBPBBPBB,PPBBBP,10
BBBBPP,BBBBPBBPBPBPBBB,PPPBBP,15
BPPPPP,BBBPBBBBBPBB,PPPBPB,12
PPPBPP,BPBPBBPBBBBBPBBPBPBB,PPBPBB,20
PBPBPP,BBBBBPBBBBBPBB,PPBBBB,14
PBBBPP,BPBBPBBBBBB,PPBBBP,11
PPBBPP,BBBPBBBPBBPBBB,PPBBBP,14
PPBPPP,BBBBPBBBPBB,PPBBBB,11
PBBBPP,BBPBPBPBPBBBB,PPBBPP,13
PPBPPP,BPBBBBPBBB,PPBPPB,10
BBPBPP,BBBBPBBPBBPBBBB,PPPBBB,15
BBBPPP,BBPBBBBBPBPBBPB,PPPPPP,15
PPBPPP,BBBBBBPBPB,PPBPPB,10
BBBPPP,BPBBBBPBPBB,PPPBPB,11
BBPPPP,BBBPBBBBPBBBBPB,PPPPBP,15
BPBBPP,BBPBBBBBBPBBB,PPBBPB,13
BBPPPP,BPBBPBBPBB,PPBPPP,10
BPPPPP,BPBBBBPBBB,PPBBPP,10
PPBBPP,BPBBPBBBPBBB,PPBBBP,12
PBPPPP,BBPBPBBPBBPBB,PPBPBB,13
BPPBPP,BBBBPBBBPB,PPBPBB,10
BBPBPP,BBBBBPBPBPBPB,PPPPPB,13
BPPPPP,BPBPBBBBBPBPBBB,PPPPPB,15
PBBBPP,BBBBBBPBBB,PPPBPP,10
PBBPPP,BBBBBBBPBB,PPBBPP,10
BPPPPP,BBBPBBBPBPBBPB,PPPBPB,14
PPPPPP,BBBPBPBBPBPBPBBPBPB,PPBPPB,19
PBBPPP,BPBBBBBBBBPB,PPPBPP,12
PBPBPP,BBBBPBPBBBBPBBB,PPBBBP,15
BBPBPP,BPBBBBPBBPBPB,PPPPBB,13
BBPBPP,BBPBPBBPBPBB,PPPBPB,12
BPPPPP,BPBPBBPBPBB,PPBPPP,11
PPPPPP,BPBPBBBBPB,PPBBBP,10
BPPPPP,BBBBBBBBBPBB,PPBPPP,12
PBPPPP,BBBBBBBPBPBBBBPB,PPPBPB,16
BBPPPP,BPBPBPBPBPB,PPPPBP,11
PBBPPP,BPBBBBPBBB,PPPPBB,10
BPBBPP,BBBPBPBBPB,PPBPPB,10
BBPPPP,BBPBBBBBBPBBBPBBPBBB,PPBBPB,20
PBBBPP,BBBBBPBBBBB,PPBPPB,11
PBPPPP,BBBBBBBBPBBB,PPBPBB,12
BBPBPP,BPBPBPBPBBPBBPBPBBBBB,PPPBBB,21
