before,pingpong,after,length
PPBBPP,PBPBPBPBP,PBBPPB,9
PBBPPB,BPBPBPB,BPPPPB,7
PPBPPB,BPBPBP,PBBBPB,6
PBBPPP,PBPBPBPB,BBPBBP,8
PPBBBB,BPBPBP,PBBPBP,6
PBPBBB,BPBPBP,PPBPBB,6
BBBBBP,PBPBPB,BBBPPB,6
BPBPPB,BPBPBPB,BBBBBB,7
PPPBBP,PBPBPBP,PPBPPP,7
BPBPPP,PBPBPB,BPPBBB,6
BBPBPB,BPBPBP,PBPPBP,6
PBBBPB,BPBPBP,PPPBBP,6
PPBBBB,BPBPBPB,BBBPPP,7
BBBBBB,BPBPBP,PBPPPP,6
BPBPPP,PBPBPBP,PPPBPP,7
BBPPPB,BPBPBP,PBPPBB,6
PPBBBP,PBPBPB,BBBBPB,6
BBBBPP,PBPBPB,BPPPPB,6
BBBBBB,BPBPBPBPB,BBBPPP,9
BPPBPB,BPBPBP,PBPBPB,6
BPBPBP,PBPBPBP,PBBPBP,7
BPBBPP,PBPBPB,BBPBBB,6
BBBBBB,BPBPBP,PPPBBP,6
BPBPPB,BPBPBP,PPPPPP,6
BBPPPB,BPBPBPBP,PPBPPP,8
PPPPPP,PBPBPBPB,BBPBPP,8
PPBBPP,PBPBPB,BPBPPP,6
PPBBBP,PBPBPB,BPPBPB,6
BBPBPP,PBPBPB,BBBBBP,6
BBBPPB,BPBPBP,PPBPBP,6
BBBBBB,BPBPBP,PBPPBB,6
BBBBBB,BPBPBP,PBPPBB,6
BBPPBP,PBPBPB,BPPBPP,6
BPPBBP,PBPBPBP,PPBPPB,7
BBBBBP,PBPBPBP,PBBPBB,7
PPPBBB,BPBPBP,PBBBBB,6
PPPPPP,PBPBPB,BBBPBP,6
PPPPPP,PBPBPBPB,BBBBBB,8
PBPPPB,BPBPBP,PBBBPB,6
BBBPPB,BPBPBP,PPBBBB,6
BBPPBB,BPBPBPB,BBBBBB,7
PBBPPB,BPBPBP,PPBBPB,6
BPPPBP,PBPBPB,BPBPPP,6
BBPPPB,BPBPBP,PBBPBP,6
BPBPPB,BPBPBP,PBBPPB,6
PBBBPB,BPBPBPB,BPBPPB,7
BBBBPP,PBPBPB,BBPPBP,6
PPPBPB,BPBPBPBP,PPBBPP,8
PBBBPP,PBPBPBP,PPPBPB,7
PPBPBP,PBPBPB,BBBPBB,6
PPBBPP,PBPBPBPBP,PPBBPB,9
PBPPPB,BPBPBPBPB,BBBPPP,9
BPBBPB,BPBPBPBPB,BBBBPB,9
PBPBBP,PBPBPBP,PBBPBB,7
PPBBPP,PBPBPB,BBBPPP,6
BBBPPP,PBPBPB,BBBBBP,6
PPBBBP,PBPBPBP,PPPBBB,7
BPBBBB,BPBPBP,PBPPPB,6
BBPBBP,PBPBPB,BBBPBP,6
PBPPBB,BPBPBPBP,PBBBPB,8
PBPPBB,BPBPBPB,BPPPBB,7
BBBBPB,BPBPBP,PBBPPB,6
PPPPBP,PBPBPBP,PPBPPB,7
BPPBBP,PBPBPBP,PBPBPP,7
BPBPPP,PBPBPB,BBPBPB,6
PBBPPB,BPBPBP,PBBPBP,6
PBBPBB,BPBPBPBPBPBPBPB,BPPBPB,15
BBBPBB,BPBPBP,PBPPBB,6
PBPBBB,BPBPBP,PPBPPB,6
PBBPBB,BPBPBP,PBPPBP,6
PPPPBB,BPBPBP,PBPBPP,6
BPPPPB,BPBPBP,PBBPBB,6
PBPPPB,BPBPBPB,BPPPBP,7
BBPPBB,BPBPBPBPB,BBBPPP,9
PPPPBB,BPBPBPB,BBBPBB,7
PPPBBP,PBPBPB,BPBPBP,6
PBPBPB,BPBPBP,PBPBBP,6
BPPPPB,BPBPBP,PPPPPB,6
BPPBPP,PBPBPB,BPBPPB,6
PBBBBP,PBPBPB,BPBPPB,6
BBPPBP,PBPBPB,BPPBBB,6
BPPPBB,BPBPBPBP,PBBPPP,8
PBBBBB,BPBPBPBPB,BPPPBB,9
BBBBBP,PBPBPB,BBBBPB,6
PBPPBB,BPBPBPB,BBPPPB,7
PBBPBB,BPBPBP,PBPBBP,6
PPBPPP,PBPBPB,BPPBPB,6
BPPPPP,PBPBPBP,PBBBPP,7
BPBBPP,PBPBPB,BPBPBP,6
PBPBPB,BPBPBPBPB,BBPPPB,9
BBPBBB,BPBPBPBP,PBBPPP,8
BPBBPP,PBPBPBPBP,PPPPPB,9
BBPBBB,BPBPBPBPB,BPPPBB,9
BBPBBB,BPBPBP,PBBBBP,6
BPPPPP,PBPBPB,BBBBBP,6
BBPPPB,BPBPBPBP,PBPBBP,8
BBPBBP,PBPBPB,BPPBBP,6
PBBPBP,PBPBPB,BBBPPB,6
BPBBBB,BPBPBP,PBBPBP,6
BPBPPB,BPBPBPB,BBPBPP,7
PBBBBB,BPBPBP,PBBPBB,6
PBBPPB,BPBPBP,PBBPBP,6
PBBPBP,PBPBPB,BBPBPP,6
PPBBBP,PBPBPBPB,BBBBPP,8
BPBBBP,PBPBPB,BBBPBB,6
BPBBPB,BPBPBPBP,PBBPPB,8
PBBBPP,PBPBPB,BBBBPP,6
PBPPBP,PBPBPB,BBPPBP,6
BBPPPB,BPBPBP,PPBPPP,6
PBPBBB,BPBPBP,PBBBBB,6
BBBBBB,BPBPBP,PPBPPB,6
PPBBBP,PBPBPBP,PPPBBB,7
BBBPPP,PBPBPBPB,BPPBBP,8
BBPBPP,PBPBPBPBP,PPPPBB,9
PBBPBB,BPBPBP,PBBPPB,6
PPPPPB,BPBPBPB,BBPBBP,7
PBPPPB,BPBPBPBPB,BPPBBP,9
PBPPBP,PBPBPBP,PPBPPB,7
BBPPPP,PBPBPBPB,BBPPBP,8
PPPBBB,BPBPBP,PPBPPB,6
PPPBPB,BPBPBPB,BPPPPP,7
BBBPPP,PBPBPB,BBBPBB,6
PPPBPP,PBPBPBPBPBP,PPPPBB,11
PBBBBP,PBPBPBPB,BPPBBB,8
PBBPPB,BPBPBPBP,PBBBPB,8
PBPPBB,BPBPBP,PPBBBB,6
PBPBBB,BPBPBPBP,PBPPPP,8
BPPPBB,BPBPBPBPB,BBBPBB,9
PPPPPP,PBPBPB,BPPPBB,6
BPPPBB,BPBPBPB,BPBPPB,7
PPPBBP,PBPBPBP,PPPPPB,7
PBPBBB,BPBPBPB,BPPBPP,7
PPPBPP,PBPBPBPB,BPPPPB,8
PBPBPP,PBPBPBP,PBBPBB,7
PBPBPB,BPBPBPBP,PPPPPP,8
BBPPPB,BPBPBP,PBBBBP,6
PPPBPB,BPBPBPB,BBBBBP,7
PBBBPP,PBPBPB,BBBBPP,6
PBBPPP,PBPBPBP,PPBBPP,7
BPPBBB,BPBPBPBP,PPPBPP,8
BPBBPB,BPBPBPBP,PBPPPB,8
BPPPBP,PBPBPBPBP,PPPBBB,9
BPPPPB,BPBPBP,PPBBBB,6
PPPBBB,BPBPBPBP,PPPPBB,8
BPBPBB,BPBPBP,PPBPBP,6
PBPBPP,PBPBPBP,PBBPPB,7
BPPBBP,PBPBPB,BPBBPB,6
BPPBPB,BPBPBPBP,PPBPPB,8
BBBBBP,PBPBPB,BBBPBB,6
PPBPPB,BPBPBP,PBPBBP,6
BBBBBP,PBPBPB,BBBPBB,6
PPBPPB,BPBPBP,PBPBBP,6
PPBBPP,PBPBPB,BPBPBB,6
BBBBBP,PBPBPBPB,BPBBPB,8
PPBBPP,PBPBPBP,PBPPBP,7
PPBPBP,PBPBPB,BPPBPP,6
BPPPPB,BPBPBP,PBBPBB,6
PBBPBP,PBPBPBPBP,PPPBBB,9
BBBBPB,BPBPBP,PPBBPB,6
BBBBPB,BPBPBP,PPBBPB,6
PBBBPB,BPBPBP,PPBBPB,6
BBBPPP,PBPBPB,BPBBBP,6
BBPPPP,PBPBPBPB,BPBBBP,8
PPBBBB,BPBPBPBPBPB,BBBBPB,11
PPPPBB,BPBPBPBPBP,PPPPBP,10
PPPPBP,PBPBPB,BPBPBP,6
PBPBPB,BPBPBP,PBPBBB,6
BPBBPB,BPBPBPBP,PPBPPP,8
PBBPBB,BPBPBPBPB,BBBBBB,9
PPPPBB,BPBPBPBP,PPBPPP,8
PBBPBB,BPBPBPB,BBBPPB,7
BBPBBP,PBPBPBPB,BBBBBB,8
PBPPBB,BPBPBP,PPBPPP,6
BBBBBB,BPBPBPB,BBBPPP,7
PPPBPP,PBPBPB,BBBPBB,6
BBPBBB,BPBPBPB,BBBBPB,7
BBBPBP,PBPBPBPB,BPPBPP,8
BBPBPB,BPBPBPBP,PPPBPB,8
BPBPPP,PBPBPB,BBPPBB,6
PPPPPP,PBPBPB,BBPBBP,6
PPPPPP,PBPBPB,BBPBBP,6
BBPPBP,PBPBPBP,PPBBBB,7
PPBBBB,BPBPBP,PBPBBP,6
BPBBPP,PBPBPBP,PPBPPP,7
PBBPBB,BPBPBPB,BPBBPB,7
BPPBBB,BPBPBP,PPBBPP,6
BPPBBB,BPBPBP,PPBBPP,6
PPBPBB,BPBPBPB,BPBBBP,7
BBPBPB,BPBPBPBP,PBBBPP,8
PBBBBB,BPBPBP,PPPBPP,6
BBBPPP,PBPBPB,BPPBPP,6
BBBBPP,PBPBPB,BPPPPP,6
BBBBPP,PBPBPB,BPPPPP,6
PBPBBP,PBPBPB,BPBBBB,6
BBBBBP,PBPBPBPB,BBBPBB,8
BBBBPP,PBPBPB,BBBBBB,6
BPPBBB,BPBPBP,PPBPBB,6
BBBPBB,BPBPBPB,BPBBBB,7
BBBBPP,PBPBPBP,PBPPBP,7
PPPPPB,BPBPBPB,BPBBPP,7
BBPBPP,PBPBPBPB,BPBPBP,8
BBPBBB,BPBPBPBP,PPBPBP,8
PBPBPP,PBPBPBP,PBPBBP,7
PBPPBB,BPBPBPBP,PPPBPB,8
PBPPBB,BPBPBPBP,PPPBPB,8
PBPPBB,BPBPBPBP,PPPBPB,8
BPBPPP,PBPBPBPB,BPBPPB,8
PBBPBP,PBPBPB,BBPPPP,6
BBBBBB,BPBPBP,PBPBBP,6
PPPPPP,PBPBPB,BBBPBP,6
PPPBBB,BPBPBP,PBPBPB,6
BPBPBP,PBPBPB,BPPBPP,6
PPPBBB,BPBPBP,PBPPBB,6
PPPBBB,BPBPBP,PBPPBB,6
PPPBBB,BPBPBP,PBPPBB,6
PBBPBB,BPBPBP,PPBBPB,6
PPBBPP,PBPBPBPBP,PBPPBB,9
BPBPBB,BPBPBP,PBPPPB,6
PPPPBB,BPBPBP,PPPBBP,6
BBBPPP,PBPBPBPB,BBBBPB,8
BBBBPB,BPBPBP,PBBPPB,6
BBBPPP,PBPBPBPB,BBBBPB,8
BBBBPB,BPBPBP,PBBPPB,6
BPPPBB,BPBPBPBPB,BBBPPB,9
BPPPBB,BPBPBPBPB,BBBPPB,9
BPPPBB,BPBPBPBPB,BBBPPB,9
BPPBPB,BPBPBP,PBBPBP,6
BBPPPP,PBPBPBPBP,PPPPBP,9
PBPBPP,PBPBPBPB,BBPBPB,8
PBBPBP,PBPBPB,BPBPBB,6
PBBPBB,BPBPBPBPBPB,BPBBBP,11
BPBBBB,BPBPBP,PBPBBP,6
PPBBPB,BPBPBPBPBPBP,PBBPPB,12
PPBBPB,BPBPBPBPBPBP,PBBPPB,12
BPBPPB,BPBPBP,PPPBPB,6
BPBPPP,PBPBPBP,PBBPBB,7
PBPPPP,PBPBPB,BBPBBB,6
BBBBPB,BPBPBP,PBBPBB,6
BBBPPP,PBPBPB,BBPPBP,6
BPBBBP,PBPBPBP,PBBPPB,7
BBPBPP,PBPBPBPB,BBBBPP,8
BPPBPP,PBPBPB,BPBBPB,6
BPPPPP,PBPBPBP,PPBPBP,7
BPPPPP,PBPBPBP,PPBPBP,7
BBBBPB,BPBPBPBP,PPBBBB,8
BBPBBB,BPBPBPB,BPBPPP,7
BPBBPB,BPBPBP,PPPPPP,6
BBBPPB,BPBPBP,PBBBBP,6
BPBPPB,BPBPBP,PPBBPP,6
PPBBPP,PBPBPBPBPBP,PBBPPB,11
PBPPBP,PBPBPBP,PBBPBB,7
PBPBPP,PBPBPB,BBPBPB,6
PBBBBP,PBPBPB,BBBBPB,6
PBBBBP,PBPBPBP,PPBBPB,7
PBPPBB,BPBPBP,PPPBBB,6
BBPPBP,PBPBPB,BBPPPP,6
BPPBBP,PBPBPB,BBBBPB,6
PPPPPB,BPBPBP,PBBBBB,6
BPBPPB,BPBPBPB,BBBPBP,7
BBPBPP,PBPBPB,BBBPBP,6
BPPPPB,BPBPBP,PBPBPB,6
BPBPBP,PBPBPBPB,BBPPPB,8
BPBPPP,PBPBPB,BPBBBP,6
PPPBBP,PBPBPBPBPBP,PPBBBB,11
PPPPBB,BPBPBPB,BBBPPB,7
BBPPPP,PBPBPBPB,BBBPPB,8
PPPBBB,BPBPBPB,BBBPPP,7
PPBBPB,BPBPBP,PPBBBB,6
PBBBPB,BPBPBP,PPPBBP,6
PPPBBP,PBPBPB,BBBPPP,6
PBBBPP,PBPBPB,BPBBPP,6
PPPPBP,PBPBPBP,PBPBPB,7
BPBPBP,PBPBPBPBPBPB,BPPPBP,12
BPBBPB,BPBPBPB,BBPBBP,7
BBBBPP,PBPBPBPBP,PBPPBB,9
BPPPBP,PBPBPBP,PBBBPB,7
PPBBBP,PBPBPB,BBBBPB,6
BBBBPP,PBPBPBPBP,PBPPBB,9
BPPPBP,PBPBPBP,PBBBPB,7
PBBBPB,BPBPBP,PBPBPB,6
BPBPBP,PBPBPBPB,BBPBPB,8
PPPBBP,PBPBPBP,PBBBBB,7
BBBBBB,BPBPBP,PPPBPP,6
BPBBPB,BPBPBP,PPBBBP,6
PPBBBB,BPBPBP,PBBPPB,6
PPPBBB,BPBPBP,PBBPBB,6
PPBPPP,PBPBPB,BBBPPB,6
BBPPBB,BPBPBPB,BBBBPB,7
PBBPPP,PBPBPBP,PBBPBP,7
PPBBBP,PBPBPBPB,BBBBBB,8
PBBBBP,PBPBPBPB,BBBPPP,8
PPPPPP,PBPBPB,BPBBPB,6
PBBBBB,BPBPBP,PPBBBB,6
BBPPBB,BPBPBPB,BBBPBB,7
BPPPBP,PBPBPB,BBBBBP,6
BBPBPB,BPBPBPB,BPPPPB,7
PBPPPP,PBPBPB,BPPBPP,6
BPPPBP,PBPBPB,BBBPPP,6
BPPBBP,PBPBPB,BPPBPP,6
PPPPPP,PBPBPB,BPPBBP,6
BBBPPP,PBPBPB,BPPPBB,6
PBBBBP,PBPBPBPBPBPB,BPBPPP,12
PBBBBB,BPBPBPB,BBPPPP,7
BPBBBP,PBPBPB,BPPPBB,6
PPBBBP,PBPBPBPB,BBBBPB,8
BBBBPP,PBPBPBPB,BPBPPB,8
PPPBPP,PBPBPBPBPBPB,BPPBPB,12
BPBBBB,BPBPBPB,BBBBPB,7
PBPPPB,BPBPBPBP,PBBBPB,8
PBPPBB,BPBPBP,PPBBBP,6
PBBPPB,BPBPBPBPB,BBBBBB,9
PPPBBP,PBPBPBP,PPBPPP,7
PPBBBB,BPBPBP,PBPBBB,6
PPPBPP,PBPBPB,BBBBPP,6
PBBBBB,BPBPBP,PPPBPP,6
BBPPBP,PBPBPBPBPB,BPPBBB,10
BPBPPP,PBPBPBPB,BBPPPB,8
BPBBBB,BPBPBP,PPBBPB,6
PBBBPP,PBPBPBP,PPBPBB,7
BPPBBP,PBPBPBP,PBPPPB,7
BPPBBP,PBPBPBPB,BBBPPP,8
BPPPBP,PBPBPBPBP,PBPPBP,9
PPBBBP,PBPBPBPBPBPBP,PPPPPB,13
BPPBPB,BPBPBPB,BPPBBB,7
PBPBPP,PBPBPB,BBPPPP,6
BBPBBB,BPBPBP,PBPPBB,6
PPBBBB,BPBPBP,PBBBBB,6
BPPPPB,BPBPBPB,BBPPPB,7
PBBBPP,PBPBPB,BPPBBB,6
BBBBPP,PBPBPBPB,BPBPBP,8
PBPBPB,BPBPBPB,BPPBBP,7
BPPPPB,BPBPBP,PBPBBP,6
BBPBBB,BPBPBP,PPBBBB,6
BPPPPP,PBPBPB,BPBPPB,6
BBBPBP,PBPBPB,BPPPBB,6
PPPBBB,BPBPBP,PBPPPB,6
PPPBBB,BPBPBP,PBPBBP,6
BPBBPP,PBPBPB,BPBPPB,6
BBBBPB,BPBPBPBP,PPPPPP,8
BBBBPB,BPBPBPBP,PPPPPP,8
PBBBBP,PBPBPB,BBBPBB,6
BBBBPB,BPBPBP,PBPPBB,6
PPBPPP,PBPBPBPB,BPBBPB,8
BPBBBB,BPBPBPBP,PBBBBP,8
PBBPPB,BPBPBPB,BBPPBB,7
PPBBPB,BPBPBPBPBP,PBPBBB,10
BPBPBB,BPBPBP,PPPPBB,6
BPPBBB,BPBPBPBP,PBBPPP,8
PPPBBB,BPBPBP,PPBBBB,6
BBPPPP,PBPBPBPBP,PPBPPB,9
PBPBBB,BPBPBP,PBBBBP,6
PPBPPB,BPBPBPB,BPBBBP,7
BPPPBB,BPBPBPB,BPPPPB,7
PBPPBP,PBPBPBP,PPPPBP,7
PPPBBB,BPBPBP,PPBPBP,6
PBPBPP,PBPBPBP,PPPPBP,7
BPPPPP,PBPBPB,BPPBBP,6
PPBPPB,BPBPBP,PPBPPB,6
PBPPBB,BPBPBPBP,PBBBPB,8
PPPBBP,PBPBPB,BPBPBB,6
BPBBBB,BPBPBP,PPBBBB,6
PPPBPB,BPBPBP,PPPPBB,6
BPPPBB,BPBPBPBP,PBBPPB,8
BPPBBP,PBPBPB,BBBPPP,6
BPPPBB,BPBPBPB,BBPPBP,7
BPBBBP,PBPBPBP,PBPPPP,7
PBPPBP,PBPBPB,BBPBPP,6
BPBBPP,PBPBPB,BBPPPB,6
PBBPPP,PBPBPBP,PBBBBP,7
PBBBPP,PBPBPBPBP,PPPBBB,9
PPPBPB,BPBPBP,PPPBPP,6
PBBPBP,PBPBPBPB,BBPBPB,8
BBPPBP,PBPBPB,BPBPBB,6
PBBPBP,PBPBPBPB,BBPPBP,8
BPPBPP,PBPBPBPBPBP,PBPPBB,11
BPPBPB,BPBPBP,PBPPPP,6
BBBPBB,BPBPBP,PBBBPB,6
BPBPBB,BPBPBP,PPBPBB,6
BBBPBB,BPBPBP,PPBPBB,6
BBPBBP,PBPBPBPB,BPBBPP,8
PBBPBB,BPBPBP,PBPPBP,6
PBBPBB,BPBPBP,PBPPBP,6
PPPBBP,PBPBPB,BBPBBP,6
PBBPPP,PBPBPBPBP,PPPBBB,9
PPPPBB,BPBPBP,PPBBPP,6
PPBPBB,BPBPBPBPBP,PBBPPB,10
BBPBPB,BPBPBPBPB,BBPBPP,9
BPPBBP,PBPBPBPBPB,BPBBBB,10
BBBPPP,PBPBPBPB,BPPBBB,8
BPBBPP,PBPBPB,BBPBPP,6
BBPPPP,PBPBPB,BBPPBB,6
PBPPBP,PBPBPBP,PBBBBP,7
PPBBBP,PBPBPB,BPPBPP,6
PPBPPP,PBPBPBPBP,PPBPPB,9
PPPBBB,BPBPBPB,BPBPPP,7
PPPPBB,BPBPBP,PPPPPP,6
PPBBPP,PBPBPB,BBPPBB,6
PPBBBB,BPBPBP,PBBBBB,6
PBBBBB,BPBPBPB,BPPBBP,7
PPPBPP,PBPBPB,BBPPPP,6
BBPPBP,PBPBPBPB,BBBPBB,8
BPPBPP,PBPBPBPBPB,BPPBBB,10
PBBPPP,PBPBPB,BPPBPP,6
BPPBPP,PBPBPB,BPBBPP,6
BBBPBB,BPBPBPB,BBBBPP,7
BBBBBP,PBPBPB,BPPBBP,6
BBBBPP,PBPBPB,BBBPPB,6
BPBBBP,PBPBPB,BPPPBP,6
BBPBBP,PBPBPB,BBPPPB,6
BPBPPP,PBPBPBP,PBPPPB,7
BBPPPB,BPBPBPBPB,BPBBPP,9
BPPBBB,BPBPBPB,BBBBBP,7
PBBBPP,PBPBPB,BBPBBP,6
PPBPPB,BPBPBP,PBBBBP,6
PPPBPB,BPBPBPBP,PPPBPP,8
PPPBBP,PBPBPB,BPBPBB,6
PPPBBP,PBPBPB,BPBPBB,6
PPBBPP,PBPBPB,BPPBBB,6
BBPPPB,BPBPBP,PBBBBB,6
BPBPPP,PBPBPB,BPBPBB,6
BPPPPP,PBPBPBPBPB,BBBPPP,10
BBPPPB,BPBPBPB,BBBPPP,7
BBBPPB,BPBPBP,PPPPPB,6
PBPPBP,PBPBPB,BPBBPB,6
BBBPPB,BPBPBP,PPPPPB,6
PBPPBP,PBPBPB,BPBBPB,6
BBBPPB,BPBPBP,PPPPPB,6
PBPPBP,PBPBPB,BPBBPB,6
BBPBBB,BPBPBPBPB,BBBPBP,9
PBPBBP,PBPBPB,BBPBBB,6
BPBPPP,PBPBPB,BBPBBB,6
BBPPPB,BPBPBP,PBBBPB,6
PPPPBP,PBPBPB,BBBBPB,6
PBBBBB,BPBPBP,PBPBBP,6
PPBBPP,PBPBPB,BPPBBP,6
BPPBBP,PBPBPB,BPPBBP,6
PBBBPP,PBPBPBP,PPBPBP,7
PBPBPP,PBPBPB,BPPBBB,6
PBBBPP,PBPBPB,BPBBBB,6
PBBBPB,BPBPBPBP,PPPBBP,8
PBBPBB,BPBPBP,PBPBPB,6
BPBPBP,PBPBPBP,PBPPBP,7
PPBBBB,BPBPBP,PBPPPB,6
BBBBBB,BPBPBPB,BBPPPP,7
BPPBBB,BPBPBPB,BBPBBB,7
PPBPBP,PBPBPB,BBPPPP,6
BPBBPB,BPBPBP,PPBPBP,6
PPPBBB,BPBPBP,PBBPBP,6
BPPBPP,PBPBPBPBP,PBBPPP,9
BBBBBP,PBPBPBPBPB,BPBBBB,10
PBPPBP,PBPBPB,BBBPBP,6
PPPPBB,BPBPBP,PPBPBB,6
PBBBPP,PBPBPBPBP,PBBPPB,9
PPBPBB,BPBPBP,PPPPPB,6
PPPBBP,PBPBPB,BBPPBP,6
PPBBBP,PBPBPBP,PPBBPP,7
PBBBPB,BPBPBP,PPPPPP,6
BBBBBB,BPBPBP,PPPBPP,6
BPBPPB,BPBPBPB,BPPPPP,7
PBBBBB,BPBPBP,PPPPBP,6
PBPPBP,PBPBPBPBP,PBPPBP,9
PBBBPB,BPBPBP,PBBPBP,6
PBBBPB,BPBPBP,PBBPBP,6
PBBBBB,BPBPBPBP,PPBPPP,8
PPPPPP,PBPBPBP,PPBBBB,7
PPPPPP,PBPBPBP,PPBBBB,7
PPPPBP,PBPBPB,BPBPBB,6
PPPPBP,PBPBPB,BBBBPP,6
BBBPPP,PBPBPB,BPBBPP,6
PPPPBP,PBPBPB,BBPPBP,6
PPBPBB,BPBPBP,PBBPBB,6
BPBBBP,PBPBPB,BBPPBB,6
PPPBBB,BPBPBP,PBPPBP,6
PPPBBB,BPBPBP,PBPPBP,6
BPPBPB,BPBPBPBP,PBPPPB,8
BPPBPP,PBPBPBPB,BPBBPB,8
PPPPBB,BPBPBP,PBBBBB,6
BBPBPB,BPBPBP,PPPPPB,6
BBBBBP,PBPBPBPBPB,BBBPPP,10
PPBPPB,BPBPBPB,BBPBBB,7
PBPPBB,BPBPBPBPB,BBPPBP,9
BBPBBP,PBPBPBPBP,PPPPPB,9
BBBPPP,PBPBPB,BBPBPP,6
BBBPBB,BPBPBPB,BBBPBB,7
BBPBBB,BPBPBP,PPPPBP,6
BPPBPP,PBPBPBP,PBPPPP,7
PPBBBP,PBPBPB,BBBPBP,6
PBPBBB,BPBPBP,PBBBBB,6
PPBBPB,BPBPBP,PPBPPB,6
BBPBPB,BPBPBPBPB,BBPPBB,9
PBPPPB,BPBPBP,PBBBBB,6
BBPBPP,PBPBPB,BBPPPB,6
PBBPPB,BPBPBPBPB,BPPBPP,9
BBBPBP,PBPBPB,BBBPBP,6
BPPPPB,BPBPBPBP,PBBBPB,8
BBBPBP,PBPBPB,BBBPBP,6
BPPPPB,BPBPBPBP,PBBBPB,8
BBBPPB,BPBPBPB,BBBPPB,7
PBBBBP,PBPBPBPBP,PPBBPB,9
PPPBBB,BPBPBP,PBPBPB,6
BPBPBP,PBPBPBPBPB,BPBBBP,10
PBPPPB,BPBPBPBPBPBPBP,PPPBPP,14
PPPPBB,BPBPBP,PPBPBB,6
PBPBBP,PBPBPB,BBPBBB,6
PBBPBP,PBPBPBPBP,PBBPBB,9
PPBPPP,PBPBPB,BBBBPP,6
PBBBBP,PBPBPBP,PBPPBP,7
PBBBBP,PBPBPBP,PBPPBP,7
PPPPPB,BPBPBP,PPBPBP,6
PBPBPP,PBPBPBPBPBPB,BBPBPB,12
PPPPPB,BPBPBP,PPBPBP,6
PBPBPP,PBPBPBPBPBPB,BBPBPB,12
BPPBBP,PBPBPB,BPBPPB,6
PBPPPB,BPBPBP,PBBBBB,6
BBPPBP,PBPBPBPB,BPPBBB,8
PPBBPB,BPBPBPBP,PPPPBB,8
BPBPPB,BPBPBPBPBP,PPPPBP,10
PPBBPP,PBPBPBP,PPPBPB,7
PPBBBP,PBPBPBPBPBPBPB,BPBBBP,14
BBBPPP,PBPBPBP,PBBBBB,7
BPBPPP,PBPBPB,BPBPBB,6
BBBBPB,BPBPBPBP,PBPPPB,8
BPPBPP,PBPBPB,BBPBPP,6
BPPBPP,PBPBPB,BPBPBP,6
PBPBPB,BPBPBP,PBBPBB,6
PPBPPB,BPBPBP,PBPBBP,6
BBBPPB,BPBPBPBP,PBBBBB,8
BPBBBB,BPBPBP,PPBPPP,6
PPPPPP,PBPBPBPBP,PBBBBP,9
BBBBBB,BPBPBP,PBBPBP,6
BPBPPB,BPBPBP,PBBBPB,6
PPPPBB,BPBPBP,PBPBPB,6
BPBPBP,PBPBPB,BPBBBP,6
BBBPBB,BPBPBPB,BPBBBB,7
BBBBPB,BPBPBP,PBBBBB,6
BPBBPB,BPBPBP,PPBBBP,6
BPBBPB,BPBPBP,PPBBBP,6
PBPPBB,BPBPBP,PPBPPB,6
PPBPPB,BPBPBPBPB,BPPPPP,9
PBBPBB,BPBPBPB,BPPBBB,7
PBBPBB,BPBPBP,PPBPBB,6
PPPBPP,PBPBPBP,PBBPBP,7
PBBBPB,BPBPBPB,BBPBBP,7
PBBBPB,BPBPBPBPB,BBBBBP,9
BBBBBB,BPBPBPB,BBBBBP,7
BBBBBB,BPBPBPB,BBBBBP,7
BBBBPB,BPBPBP,PPPPBP,6
PPBBBB,BPBPBP,PPPBBP,6
BBPBBP,PBPBPB,BBBBBB,6
BBBBPB,BPBPBPB,BPBPBP,7
PBPBPB,BPBPBPBPB,BBBBBP,9
PBBPBP,PBPBPBPB,BBBPPP,8
PPBPBB,BPBPBP,PPBPBB,6
PBBBBP,PBPBPB,BPBPBP,6
PBPBPB,BPBPBPB,BPPBPB,7
PBPBBP,PBPBPB,BBPBPB,6
PBBPBP,PBPBPBPB,BBPBBP,8
BBBPPB,BPBPBP,PBPPPP,6
BPBBPB,BPBPBP,PBBPBP,6
PPBBBB,BPBPBPBPB,BPPBPP,9
BPBPPB,BPBPBP,PBBBPB,6
PBPPBB,BPBPBPBP,PPBPPP,8
BBPBPB,BPBPBP,PPBPPB,6
PBPBBP,PBPBPB,BPPBBB,6
PPPPBP,PBPBPB,BBBPBB,6
PPPPBP,PBPBPBPB,BPBBPP,8
BPPBPP,PBPBPBP,PPBBBB,7
BPPPBB,BPBPBPB,BPPPPB,7
PBBPPP,PBPBPBP,PPBPPB,7
BBBPPP,PBPBPB,BBPPPP,6
BBBPBP,PBPBPBP,PPPBBP,7
PBPBBB,BPBPBP,PBPPPP,6
BPBBPB,BPBPBPB,BBBPBB,7
PBPPPP,PBPBPB,BPPPPP,6
PPPPPB,BPBPBPBP,PBBPBB,8
PPBPBP,PBPBPB,BPBPBB,6
BBBBBP,PBPBPBP,PBPPPB,7
PPBPBB,BPBPBP,PBBBBP,6
PPBPBB,BPBPBP,PBBBBP,6
PBBPPP,PBPBPBP,PBPPBB,7
PPPBPP,PBPBPB,BBPPPP,6
PPPBBP,PBPBPB,BPPBBB,6
BBPPBP,PBPBPB,BPBBBB,6
