before,bantai,after,pattern,direction
BPBBBP,BPPPBBBB,PPPBPB,1-3-4,ขึ้น
BPPPPB,PPPPPPBBBP,BBBBBB,6-3-1,ลง
BPPPPB,PPPPPPBBBP,BBBBBB,6-3-1,ลง
BBBBBP,BPPBBBBB,PBBBBP,1-2-5,ขึ้น
BBBPPP,BBBPPB,PBPPPP,3-2-1,ลง
PBPPPP,BPPBBBB,PPPBPB,1-2-4,ขึ้น
BBBPPP,BBBPPB,PBPPPP,3-2-1,ลง
PBPPPP,BPPBBBB,PPPBPB,1-2-4,ขึ้น
PBPPBP,BPPBBBB,PPPPBB,1-2-4,ขึ้น
BBBBBB,PBBPPP,BBPBBP,1-2-3,ขึ้น
PBBBBB,PPBBBBPPPPPP,BPPPBP,2-4-6,ขึ้น
BPBBPB,PPPPBBBP,BPBPPP,4-3-1,ลง
BPPPBP,BBBBBBPPPB,PBPBBP,6-3-1,ลง
PPPBPB,PBBPPPP,BPBPPP,1-2-4,ขึ้น
BPBBPB,PPPPBBBP,BPBPPP,4-3-1,ลง
BPPPBP,BBBBBBPPPB,PBPBBP,6-3-1,ลง
PPPBPB,PBBPPPP,BPBPPP,1-2-4,ขึ้น
PBPPBB,PPPBBP,BPPBPP,3-2-1,ลง
BPBPPB,PPPPPPBBP,BBPPPP,6-2-1,ลง
PBBPBB,PPPPBBP,BPPPPP,4-2-1,ลง
BPBPPP,BPPBBBB,PPPPPP,1-2-4,ขึ้น
BBPPPP,BBBBBBPPPB,PPBBBP,6-3-1,ลง
BBBPBP,BBBBBBBBPPB,PPBBPB,8-2-1,ลง
BPBPPB,PPPPBBBPP,BPPPBB,4-3-2,ลง
BBBPBP,BBBBBBBBPPB,PPBBPB,8-2-1,ลง
BPBPPB,PPPPBBBPP,BPPPBB,4-3-2,ลง
BBPPBP,BBBBPPPB,PBBBBB,4-3-1,ลง
BBBBBP,BBBPPB,PBPBBB,3-2-1,ลง
PPBBBP,BBBPPB,PBPBBP,3-2-1,ลง
PBBPPB,PBBPPP,BPBBPB,1-2-3,ขึ้น
PPPBPB,PBBPPP,BBBBBB,1-2-3,ขึ้น
PBBPPP,BBBBBBPPPB,PBBPBP,6-3-1,ลง
BPPPPB,PBBPPPP,BPBPPP,1-2-4,ขึ้น
BBBPPP,BBBBPPB,PPBBBP,4-2-1,ลง
BPBPBP,BBBPPB,PPPPPB,3-2-1,ลง
BPPBPB,PPPPBBP,BPPBBP,4-2-1,ลง
PPPBBP,BPPBBBBB,PPBPPP,1-2-5,ขึ้น
BBBBPP,BPPPPBBBBBB,PPBBBB,1-4-6,ขึ้น
BBPBBB,PPPBBP,BBPBPP,3-2-1,ลง
PBPPBB,PBBPPP,BBBBPP,1-2-3,ขึ้น
PBBPPP,BBBBPPPB,PPBPPP,4-3-1,ลง
BBPBBB,PBBPPP,BBBPBB,1-2-3,ขึ้น
BPBBPB,PBBPPPP,BBPPPB,1-2-4,ขึ้น
PPPPBB,PPPBBP,BPBPBP,3-2-1,ลง
PBPBPP,BPPPBBBB,PBBBBB,1-3-4,ขึ้น
PBBBPB,PBBPPP,BBBBPP,1-2-3,ขึ้น
BPBBPP,BBBBPPPB,PPPBPB,4-3-1,ลง
BPBBBP,BPPBBBBBBB,PBPBPB,1-2-7,ขึ้น
PPBPBB,PBBPPPPP,BBBPPP,1-2-5,ขึ้น
BBBBPP,BBBBBBBPPB,PBPPPP,7-2-1,ลง
BPPPPP,BBBPPPPBBBBB,PPPBPB,3-4-5,ขึ้น
PBBPBP,BBBBBPPPB,PPBPBP,5-3-1,ลง
PBBPBP,BBBBBPPPB,PPBPBP,5-3-1,ลง
PPBBPP,BPPBBBB,PPPBPP,1-2-4,ขึ้น
PBPBPB,PBBPPPPP,BBBBBP,1-2-5,ขึ้น
PBBPPB,PPPPBBP,BPPPBP,4-2-1,ลง
BBBBBB,PBBPPPP,BPBPBB,1-2-4,ขึ้น
PPBPBP,BBBBPPB,PBPBPB,4-2-1,ลง
PPPPBB,PPPPPPBBP,BPBBPP,6-2-1,ลง
BBBPPP,BBBPPB,PPBPPP,3-2-1,ลง
PPBPPB,PPPPBBBP,BBBBPB,4-3-1,ลง
PBBPBB,PBBPPP,BPBPPP,1-2-3,ขึ้น
PPPBPB,PPPPPBBBP,BPPPBB,5-3-1,ลง
PBBBPB,PPPBBP,BPPPBP,3-2-1,ลง
PPBBPB,PBBPPP,BBPPBB,1-2-3,ขึ้น
BPPBPB,PBBPPPP,BBBBBP,1-2-4,ขึ้น
BBPPPP,BBBBBPPPB,PBPPPB,5-3-1,ลง
BPPBPB,PBBPPPP,BBBBBP,1-2-4,ขึ้น
BBPPPP,BBBBBPPPB,PBPPPB,5-3-1,ลง
PBBPPB,PPPPPBBBBPP,BBPBBP,5-4-2,ลง
PBPBBP,BPPBBB,PPPPBB,1-2-3,ขึ้น
BPPBBP,BBBBBPPB,PBPBBP,5-2-1,ลง
BPBBPB,PPPPBBBP,BPPPPP,4-3-1,ลง
PBPBBP,BPPBBB,PPPPBB,1-2-3,ขึ้น
BPPBBP,BBBBBPPB,PBPBBP,5-2-1,ลง
BPBBPP,BPPBBB,PBPPPB,1-2-3,ขึ้น
BPBBPP,BPPBBB,PBPPPB,1-2-3,ขึ้น
BBBBBP,BPPBBB,PBBPBB,1-2-3,ขึ้น
BBBPBB,PBBPPP,BPBPBP,1-2-3,ขึ้น
PBBPPB,PBBBBPPPPP,BPPPBP,1-4-5,ขึ้น
PBPPBP,BBBBBPPPB,PPBPPB,5-3-1,ลง
PPBPPB,PPPPPBBBBP,BBBBBB,5-4-1,ลง
BBBBBB,PBBPPPPP,BPBBBP,1-2-5,ขึ้น
BBBPPP,BBBPPB,PPBPBB,3-2-1,ลง
BBBPBP,BPPBBB,PPBBBB,1-2-3,ขึ้น
BBPPPP,BPPBBBB,PBBPPB,1-2-4,ขึ้น
BBBBPB,PPPPBBP,BPPPBP,4-2-1,ลง
BBPPPP,BPPPPPBBBBBBB,PPBBPP,1-5-7,ขึ้น
BBBBBP,BPPBBB,PBBPPP,1-2-3,ขึ้น
BPPBBB,PBBPPP,BBBPBP,1-2-3,ขึ้น
BBBBBP,BPPBBB,PBBPPP,1-2-3,ขึ้น
BPPBBB,PBBPPP,BBBPBP,1-2-3,ขึ้น
BBBPPP,BBBPPB,PBBPPP,3-2-1,ลง
BBBPPB,PBBPPPP,BBPBPB,1-2-4,ขึ้น
BPPPBB,PPPPBBP,BPPBPP,4-2-1,ลง
BPPBPB,PPPBBP,BPPPPB,3-2-1,ลง
PPPBBP,BPPPPBBBBBB,PPBBPB,1-4-6,ขึ้น
BPBPBB,PBBPPPPPPP,BBBBPP,1-2-7,ขึ้น
BPBPBB,PBBPPPPPPP,BBBBPP,1-2-7,ขึ้น
BPBPBB,PBBPPPPPPP,BBBBPP,1-2-7,ขึ้น
PBPPBB,PBBPPP,BPPPPP,1-2-3,ขึ้น
BBPBPB,PBBPPPP,BBBBBB,1-2-4,ขึ้น
BBPPPP,BBBBBBBPPPPPPB,PBBPBB,7-6-1,ลง
PPBPPB,PBBBPPPP,BBPBPP,1-3-4,ขึ้น
PPPBBP,BPPBBB,PBPPPP,1-2-3,ขึ้น
PPBPPB,PBBBPPPP,BBPBPP,1-3-4,ขึ้น
PPPBBP,BPPBBB,PBPPPP,1-2-3,ขึ้น
PBBBBP,BBBBPPB,PPBBPB,4-2-1,ลง
PBPBPP,BPPPBBBBB,PBPPBP,1-3-5,ขึ้น
PBBPPP,BPPBBB,PPBPPB,1-2-3,ขึ้น
PBPPBB,PPPBBP,BBPPBB,3-2-1,ลง
PPPPPP,BBPPPBBBB,PBPBPP,2-3-4,ขึ้น
PPBPBB,PBBPPP,BPPBPB,1-2-3,ขึ้น
PBBPPP,BPPBBB,PPBPPB,1-2-3,ขึ้น
PBPPBB,PPPBBP,BBPPBB,3-2-1,ลง
BBBPBP,BBBBBPPPPB,PPBBBB,5-4-1,ลง
BBBPBP,BBBBBPPPPB,PPBBBB,5-4-1,ลง
PBBPPB,PPPBBP,BPBBPP,3-2-1,ลง
PPBBPB,PBBPPP,BBPBBB,1-2-3,ขึ้น
PPPPBP,BBBPPB,PPPBBP,3-2-1,ลง
PBBPPB,PPPBBP,BPBBPP,3-2-1,ลง
PPBBPB,PBBPPP,BBPBBB,1-2-3,ขึ้น
PPPPBP,BBBPPB,PPPBBP,3-2-1,ลง
BBBPPB,PBBBPPPP,BBPBBB,1-3-4,ขึ้น
PPPBBP,BBBPPB,PPBBPB,3-2-1,ลง
PPBBPP,BBBBBPPPBB,PPBPPB,5-3-2,ลง
BPBPPP,BBBPPB,PPPPBP,3-2-1,ลง
BBPBBB,PPPBBP,BPBBBP,3-2-1,ลง
PBBPBP,BBBPPB,PBBPBP,3-2-1,ลง
BPBBPB,PPPBBP,BPBPBB,3-2-1,ลง
BBPBPB,PBBPPPP,BBBPBP,1-2-4,ขึ้น
BBPPPB,PBBPPP,BBBBBB,1-2-3,ขึ้น
BBPPPB,PBBPPP,BBBBBB,1-2-3,ขึ้น
PPBBPP,BBBBBPPPBB,PPBPPB,5-3-2,ลง
BPBBPB,PPPBBP,BBPBBB,3-2-1,ลง
BBPBBP,BBBBPPPB,PBBBBP,4-3-1,ลง
BPBBPP,BBBBPPPB,PBPBPP,4-3-1,ลง
BPPPBB,PPBBBBPPPPP,BBBPBP,2-4-5,ขึ้น
PPBBBP,BPPBBBBB,PBBPBB,1-2-5,ขึ้น
BBPPBB,PBBPPP,BBPBPP,1-2-3,ขึ้น
PPBBPP,BBBPPB,PBBBBP,3-2-1,ลง
BBBPPB,PBBBBPPPPP,BPBBPP,1-4-5,ขึ้น
BPBBPP,BPPPBBBBBBBB,PBBPPP,1-3-8,ขึ้น
BBBBBB,PBBPPP,BPBPBB,1-2-3,ขึ้น
PBPBBB,PPBBBPPPP,BBBBBP,2-3-4,ขึ้น
BPBPPP,BPPBBB,PBBBBP,1-2-3,ขึ้น
PPBPPB,PBBBPPPPP,BBPBPB,1-3-5,ขึ้น
PBBBPB,PBBBPPPPP,BPPPBP,1-3-5,ขึ้น
BPPBBP,BPPBBB,PPPPPP,1-2-3,ขึ้น
PBBPPP,BPPBBB,PBBBBP,1-2-3,ขึ้น
PPBBBP,BBBBPPB,PBPBPP,4-2-1,ลง
PPBPBP,BPPBBB,PBPPBP,1-2-3,ขึ้น
BPBPBP,BBBBPPPBB,PBPPPB,4-3-2,ลง
PBPPBP,BBBBPPB,PBBPBB,4-2-1,ลง
PPBPBB,PBBBPPPPPPP,BPPBPB,1-3-7,ขึ้น
BPBBPP,BBBBPPB,PPPBPB,4-2-1,ลง
BPPPBP,BPPPBBBB,PPBPPB,1-3-4,ขึ้น
BPPPBB,PPBBBPPPPPP,BPPPBB,2-3-6,ขึ้น
PPPBPP,BPPPBBBBB,PPBBBB,1-3-5,ขึ้น
BBBBPP,BBBBBBPPB,PPPBPP,6-2-1,ลง
PPBPPB,PPPPBBBP,BPBBBB,4-3-1,ลง
PBBBBB,PBBPPP,BBPPBP,1-2-3,ขึ้น
PBBPBP,BPPBBBBBB,PBPPBB,1-2-6,ขึ้น
BBBBBP,BPPBBBB,PPBPBP,1-2-4,ขึ้น
BBBPBB,PBBPPPPPP,BBPBBP,1-2-6,ขึ้น
PPPPBB,PBBPPP,BPBBPB,1-2-3,ขึ้น
BPBBPB,PBBBPPPP,BPBPPP,1-3-4,ขึ้น
BBBBPB,PBBPPPP,BBPPPP,1-2-4,ขึ้น
BPBPPP,BBBPPB,PBBBPB,3-2-1,ลง
PPBPPB,PPPBBP,BBPPPP,3-2-1,ลง
BBBBPB,PBBPPPP,BBPPPP,1-2-4,ขึ้น
BBBBPB,PBBPPPP,BBPPPP,1-2-4,ขึ้น
BPPBPP,BPPPBBBB,PPBPPB,1-3-4,ขึ้น
PPBPBB,PPBBBPPPPPPP,BPBBBB,2-3-7,ขึ้น
BPBBBB,PPBBBPPPP,BBBPBB,2-3-4,ขึ้น
PPPBBB,PBBPPP,BBBPBB,1-2-3,ขึ้น
PPBBBP,BBBBBPPB,PPBPBB,5-2-1,ลง
PBPBPB,PBBBPPPPP,BPPBPP,1-3-5,ขึ้น
PPBPPB,PPPPBBP,BPBBPP,4-2-1,ลง
PPBBPB,PBBPPPPPPP,BBBBBP,1-2-7,ขึ้น
PBBPPB,PPPBBP,BBPBPB,3-2-1,ลง
BPBPBP,BPPBBBB,PBPBBP,1-2-4,ขึ้น
BBBBPB,PBBPPPP,BPPBPP,1-2-4,ขึ้น
PPBPPB,PBBPPP,BBPPPP,1-2-3,ขึ้น
BPPPBB,PPPPPPPBBBBP,BPPPBP,7-4-1,ลง
PBBBPP,BBBBBPPB,PBBPBP,5-2-1,ลง
BPBBBB,PBBPPPPP,BBPBPP,1-2-5,ขึ้น
BPPPPP,BPPBBBBBB,PPBPBP,1-2-6,ขึ้น
PBPPPB,PBBPPP,BBPPPP,1-2-3,ขึ้น
BPBBBP,BPPPPBBBBBB,PBBBBP,1-4-6,ขึ้น
BBBBBB,PBBBBPPPPPP,BPBPBB,1-4-6,ขึ้น
PPBPBP,BBBPPB,PPPBBP,3-2-1,ลง
BBBPPB,PPPBBP,BBBBBP,3-2-1,ลง
PBBBBB,PBBPPPP,BPBBPP,1-2-4,ขึ้น
BBPBBP,BBBBBPPPPB,PBBBBB,5-4-1,ลง
PPPPBP,BBBBBBPPPB,PBBBPB,6-3-1,ลง
BPBBPP,BBBBPPB,PPBBBP,4-2-1,ลง
BBBPPB,PPBBBPPPPP,BBBBBP,2-3-5,ขึ้น
PBBPBB,PBBPPP,BBBBPB,1-2-3,ขึ้น
PBBBBP,BBBBBBBPPPPPPB,PPBPPB,7-6-1,ลง
PBPPBB,PBBPPP,BBBBPB,1-2-3,ขึ้น
BBBBBB,PPPPPPBBBPP,BBBPPB,6-3-2,ลง
PBBBPP,BBBPPB,PPBPBP,3-2-1,ลง
BPPPPB,PPPPPPPBBBBBP,BPBPPB,7-5-1,ลง
PBPBPP,BPPBBB,PBPPBP,1-2-3,ขึ้น
BPPPPB,PPPPPPPBBBBBP,BPBPPB,7-5-1,ลง
PBPBPP,BPPBBB,PBPPBP,1-2-3,ขึ้น
PPBBBP,BPPBBBB,PPBPBB,1-2-4,ขึ้น
BBPPBB,PBBPPP,BPBBPP,1-2-3,ขึ้น
BPBBPP,BBBBPPB,PPPPPP,4-2-1,ลง
PBPPBP,BBBBBBBBBPPPPB,PPBPPB,9-4-1,ลง
PPPBBP,BPPPBBBB,PPBBPP,1-3-4,ขึ้น
PPPBBP,BPPPBBBB,PPBBPP,1-3-4,ขึ้น
BBBPBP,BPPBBB,PBPPPB,1-2-3,ขึ้น
BPBPPP,BBBPPB,PPPBPB,3-2-1,ลง
PBPPPB,PBBPPPPP,BPPBPB,1-2-5,ขึ้น
BPPBBB,PBBPPP,BPPBPP,1-2-3,ขึ้น
PBPPBB,PBBPPP,BBPBBB,1-2-3,ขึ้น
PBBBPB,PBBPPPPP,BBPPBP,1-2-5,ขึ้น
PBBPPB,PBBPPP,BPBBPP,1-2-3,ขึ้น
BPBPBP,BBBBPPPB,PPPBPB,4-3-1,ลง
PPBPPB,PBBPPPPP,BPPBPP,1-2-5,ขึ้น
BPBPPB,PPPPPBBP,BPBPBB,5-2-1,ลง
BBPBPB,PBBPPP,BPPBBP,1-2-3,ขึ้น
PBBBPB,PPPPBBBPP,BPPBBP,4-3-2,ลง
BBBBPP,BBBPPB,PBPPPB,3-2-1,ลง
BBPPBP,BPPPBBBBB,PPBBPP,1-3-5,ขึ้น
PPBPPP,BPPBBBBBBB,PPPBBB,1-2-7,ขึ้น
BBBBBP,BBBBBPPPB,PPBPPB,5-3-1,ลง
BPPPPP,BPPBBB,PPBBBP,1-2-3,ขึ้น
BPPBBP,BBBPPB,PPPBBB,3-2-1,ลง
PPBBBB,PBBPPP,BPPPPP,1-2-3,ขึ้น
BBPPPB,PPPPPBBP,BBPPPB,5-2-1,ลง
PPBBBB,PBBPPP,BPPPPP,1-2-3,ขึ้น
BBPPPB,PPPPPBBP,BBPPPB,5-2-1,ลง
BBPPPB,PPPBBP,BPBPBB,3-2-1,ลง
BPBPBP,BBBPPB,PPBBPP,3-2-1,ลง
PPBPBB,PBBBPPPP,BBPPPB,1-3-4,ขึ้น
PPPBBB,PBBBPPPPP,BPPBBP,1-3-5,ขึ้น
BBPBBP,BBBPPB,PBPBPB,3-2-1,ลง
PBPBBP,BBBPPB,PPBPPP,3-2-1,ลง
PPBPPB,PPPBBP,BPPPPB,3-2-1,ลง
PBBPPB,PBBBPPPPP,BBBPPB,1-3-5,ขึ้น
PPBPPB,PBBPPPP,BPPBBB,1-2-4,ขึ้น
BBPPPP,BPPBBB,PPPPBP,1-2-3,ขึ้น
PBBBBB,PPBBBPPPP,BPBPPB,2-3-4,ขึ้น
PBPPBP,BPPBBBBB,PPBPPP,1-2-5,ขึ้น
PBPPPP,BBBBPPPB,PBPPBP,4-3-1,ลง
BBBBBB,PPBBBPPPP,BBBBPP,2-3-4,ขึ้น
PBPPPP,BBBBPPB,PPBBBP,4-2-1,ลง
BPPBPP,BBBPPB,PPPBPP,3-2-1,ลง
PPPBBB,PPPBBP,BBPPBP,3-2-1,ลง
BPBBPP,BPPBBB,PPPBBP,1-2-3,ขึ้น
PPPPBP,BBBBPPB,PBPBBB,4-2-1,ลง
PPPBBB,PPPBBP,BBPPBP,3-2-1,ลง
BPBBPP,BPPBBB,PPPBBP,1-2-3,ขึ้น
PPPPBP,BBBBPPB,PBPBBB,4-2-1,ลง
PBBBPB,PBBPPP,BBPPPP,1-2-3,ขึ้น
BPBPPP,BBBPPB,PPBBPB,3-2-1,ลง
BPBBBB,PBBBPPPP,BPBBBB,1-3-4,ขึ้น
PPPPBP,BBBBPPPB,PBPBPP,4-3-1,ลง
BPBPPP,BBBPPB,PPBBPB,3-2-1,ลง
BPBBBB,PBBBPPPP,BPBBBB,1-3-4,ขึ้น
PPPPBP,BBBBPPPB,PBPBPP,4-3-1,ลง
BBPBBP,BBBPPB,PBPPBB,3-2-1,ลง
BBPPBP,BPPBBB,PBPBPP,1-2-3,ขึ้น
BBPBPB,PPPPBBP,BBPBBB,4-2-1,ลง
PBPBBP,BBBBBBBPPPPPBB,PBPBPB,7-5-2,ลง
PBBPBP,BBBPPB,PPPPPB,3-2-1,ลง
PBBPBP,BPPPPPPBBBBBBBB,PBBBPB,1-6-8,ขึ้น
BPBBPB,PBBPPPP,BBPPBP,1-2-4,ขึ้น
PPPBBB,PPPPBBBP,BPBBBB,4-3-1,ลง
BBBPBP,BBBBBBBBBBPPPPPPPPBBB,PPBPBB,10-8-3,ลง
BBBPBP,BBBBBBPPB,PPPPBP,6-2-1,ลง
PBBPPB,PPPPBBP,BPBBBP,4-2-1,ลง
PBPPBB,PPBBBPPPPP,BPPBBB,2-3-5,ขึ้น
BPPPPP,BPPBBBBBB,PBPBPP,1-2-6,ขึ้น
PPBBPP,BBBPPB,PBBPPB,3-2-1,ลง
PPPBBB,PPPBBP,BPBPPB,3-2-1,ลง
BPBPPB,PPPBBP,BPBBBB,3-2-1,ลง
PBBPBP,BBBBPPB,PBBBPP,4-2-1,ลง
PBBPBP,BBBPPB,PPPPBB,3-2-1,ลง
BBBPPB,PPPPBBBPP,BBPBPB,4-3-2,ลง
BBBBBP,BPPBBB,PPBBPB,1-2-3,ขึ้น
BBBBBP,BPPBBB,PPBBPB,1-2-3,ขึ้น
BBPPPP,BPPBBB,PBBPPP,1-2-3,ขึ้น
BPPBBB,PBBPPPP,BBPBBB,1-2-4,ขึ้น
BBBPBP,BPPBBB,PBPBPP,1-2-3,ขึ้น
BBBPBP,BPPBBBB,PBBPPP,1-2-4,ขึ้น
PPBBBB,PBBPPP,BPBBPP,1-2-3,ขึ้น
BBPPPB,PBBPPPPPP,BPBBBP,1-2-6,ขึ้น
BPPPBP,BPPPPPPBBBBBBBB,PPBBBP,1-6-8,ขึ้น
BBBBPP,BBBPPB,PPPPBB,3-2-1,ลง
BBBBBB,PBBPPPPP,BBPBPB,1-2-5,ขึ้น
PBPBBP,BBBBPPB,PBPPPP,4-2-1,ลง
PBBPPP,BPPBBB,PPPBPB,1-2-3,ขึ้น
BPPBPP,BBBBBBPPPBB,PPPBPP,6-3-2,ลง
PPPBBB,PPPPPBBP,BBBPBB,5-2-1,ลง
BPPPBB,PPPBBP,BBBPBB,3-2-1,ลง
BPPPBP,BPPBBB,PBPPPP,1-2-3,ขึ้น
PBBBPB,PPPPBBP,BPBBBB,4-2-1,ลง
PBBPBP,BBBBPPPB,PPBPPP,4-3-1,ลง
BPPPBP,BPPBBB,PBPPPP,1-2-3,ขึ้น
PBBBPB,PPPPBBP,BPBBBB,4-2-1,ลง
PBBPBP,BBBBPPPB,PPBPPP,4-3-1,ลง
PBBBBB,PPPPPBBBBP,BBPBBB,5-4-1,ลง
PBPBPP,BBPPPBBBB,PPBBPP,2-3-4,ขึ้น
BPPPBB,PPPPPPBBBBPP,BBBPPB,6-4-2,ลง
BBBBPP,BBBPPB,PPPPPB,3-2-1,ลง
PPPBBP,BBBBPPB,PPBBPP,4-2-1,ลง
PPPPPB,PBBBPPPP,BBPPPP,1-3-4,ขึ้น
PPBBPB,PPPBBP,BPBBPB,3-2-1,ลง
PBPBBP,BBBBBPPB,PPPBPP,5-2-1,ลง
PBPPPB,PPPPPBBP,BPPBBP,5-2-1,ลง
PPBBPB,PPPBBP,BPBBPB,3-2-1,ลง
PBPBBP,BBBBBPPB,PPPBPP,5-2-1,ลง
PBPPPB,PPPPPBBP,BPPBBP,5-2-1,ลง
BPBPPB,PBBPPP,BPPBBP,1-2-3,ขึ้น
PPBBPB,PPPBBP,BPBBPB,3-2-1,ลง
PBPBBP,BBBBBPPB,PPPBPP,5-2-1,ลง
PBPPPB,PPPPPBBP,BPPBBP,5-2-1,ลง
PPBPPB,PBBBPPPPP,BBPPBP,1-3-5,ขึ้น
PBPPBB,PPBBBPPPP,BBPPBB,2-3-4,ขึ้น
PPBPPB,PBBBPPPPP,BBPPBP,1-3-5,ขึ้น
PBPPBB,PPBBBPPPP,BBPPBB,2-3-4,ขึ้น
PPBPBB,PPBBBPPPPPPP,BBBBBB,2-3-7,ขึ้น
PPBPBB,PPBBBPPPPPPP,BBBBBB,2-3-7,ขึ้น
PPBPBB,PPBBBPPPPPPP,BBBBBB,2-3-7,ขึ้น
PBPBBP,BPPBBBB,PPPPPB,1-2-4,ขึ้น
PBPPBP,BBBBBPPB,PPPBBP,5-2-1,ลง
BBPPBP,BPPPBBBBB,PBBPPP,1-3-5,ขึ้น
PBBBBB,PBBPPPP,BBPPPP,1-2-4,ขึ้น
PBBPPB,PPPPPBBBBPP,BBBPPP,5-4-2,ลง
BPBBBP,BBBBBPPPPBB,PPBBPP,5-4-2,ลง
BPBPPB,PBBBPPPP,BPPBPP,1-3-4,ขึ้น
BPPPBB,PPPBBP,BPBBBB,3-2-1,ลง
BBBPBB,PBBPPP,BPPPPB,1-2-3,ขึ้น
BPPBBP,BBBBPPB,PBBBBP,4-2-1,ลง
PPPBPP,BPPBBB,PBBPPP,1-2-3,ขึ้น
BPPBBB,PBBPPPP,BBPBPB,1-2-4,ขึ้น
BBPPBB,PPBBBPPPPP,BBBBPB,2-3-5,ขึ้น
BBBBBP,BPPBBB,PBBBBP,1-2-3,ขึ้น
BBPBBP,BPPBBB,PPBBPB,1-2-3,ขึ้น
BPBPBB,PBBPPPPPPP,BPPPPB,1-2-7,ขึ้น
PPBPBP,BPPBBB,PPPBPP,1-2-3,ขึ้น
BPBPBB,PBBPPPPPPP,BPPPPB,1-2-7,ขึ้น
PPBPBP,BPPBBB,PPPBPP,1-2-3,ขึ้น
BBBBBP,BBBBPPB,PBPBBP,4-2-1,ลง
BPPBPB,PBBPPP,BBBPPB,1-2-3,ขึ้น
PBBPPP,BBBPPB,PBBBPP,3-2-1,ลง
PBBBPP,BBBBBPPPBB,PBBPPB,5-3-2,ลง
PPBPPB,PPPPBBBP,BBBPPB,4-3-1,ลง
PBBPPB,PPPPPBBP,BPPBPB,5-2-1,ลง
PBBBPB,PBBPPPPP,BPBBBB,1-2-5,ขึ้น
PPPPBP,BBBBBBPPPBB,PPBBPB,6-3-2,ลง
BBBBPB,PPPBBP,BBPPBP,3-2-1,ลง
PBBPPB,PBBBPPPPP,BBPPPB,1-3-5,ขึ้น
PPPPBB,PPPBBP,BBBPBP,3-2-1,ลง
PBPBBP,BBBBBBPPB,PBPBPB,6-2-1,ลง
BPBPPB,PPPBBP,BBPPPP,3-2-1,ลง
BPPBBB,PPPPPBBBPP,BPBBPP,5-3-2,ลง
BBBPPB,PBBPPPPPP,BBPBPB,1-2-6,ขึ้น
PBPBBB,PBBPPP,BPPBPB,1-2-3,ขึ้น
BPBBBB,PBBPPP,BBBBPP,1-2-3,ขึ้น
PPBPBP,BBBPPB,PPBBBB,3-2-1,ลง
BPBBBB,PBBPPP,BBBBPP,1-2-3,ขึ้น
PPBPBP,BBBPPB,PPBBBB,3-2-1,ลง
PBBPPB,PPPBBP,BBPBPB,3-2-1,ลง
PBPBBP,BPPBBB,PPBPBP,1-2-3,ขึ้น
BBPPBP,BPPBBB,PPPBBP,1-2-3,ขึ้น
BPPBBB,PPPBBP,BPPBPB,3-2-1,ลง
PPPBBB,PPPPBBP,BPBPPB,4-2-1,ลง
BPBPPB,PPPPPPPPBBP,BPPBBP,8-2-1,ลง
PPPBBB,PPPPBBP,BPBPPB,4-2-1,ลง
BPBPPB,PPPPPPPPBBP,BPPBBP,8-2-1,ลง
PPPBBP,BPPBBBB,PPPPBB,1-2-4,ขึ้น
PPBBBB,PPPPBBP,BBPBPP,4-2-1,ลง
PBBPPB,PBBPPP,BPPBBP,1-2-3,ขึ้น
BBPBPB,PPPPBBBP,BBPPPP,4-3-1,ลง
PBPPBP,BPPBBBB,PBPPBP,1-2-4,ขึ้น
PBPPPB,PBBPPPPPP,BBPPBB,1-2-6,ขึ้น
BBPPBB,PBBBPPPP,BBPPBB,1-3-4,ขึ้น
BPBBPB,PBBPPP,BBPBPB,1-2-3,ขึ้น
BPPBBP,BPPBBB,PPBPPP,1-2-3,ขึ้น
BPPPBB,PPPBBP,BBBBPP,3-2-1,ลง
PPPPPB,PBBBPPPP,BBPPBP,1-3-4,ขึ้น
BBPBBB,PPPBBP,BPBBBP,3-2-1,ลง
BBPPBB,PBBPPPP,BBPPPB,1-2-4,ขึ้น
PBBBPP,BBBPPB,PBBPPP,3-2-1,ลง
BBBPPB,PBBPPP,BPPPBP,1-2-3,ขึ้น
PBPPPB,PPPPPBBP,BBPPPP,5-2-1,ลง
BBPPBP,BBBPPB,PPBPBP,3-2-1,ลง
BPBBPP,BBBBBPPB,PPPBBB,5-2-1,ลง
BPBPPB,PPPPBBP,BBPBPB,4-2-1,ลง
BPBBPP,BBBBPPB,PPBPPP,4-2-1,ลง
PPBPPB,PPPBBP,BPBPBP,3-2-1,ลง
BBBBPP,BBBPPB,PPPBBP,3-2-1,ลง
BBPPBB,PPPPPPPPBBBPP,BBPBBB,8-3-2,ลง
BPPBBP,BBBBBPPPPB,PPPBPP,5-4-1,ลง
BPPPPB,PPPBBP,BPBPBB,3-2-1,ลง
PBBBBP,BBBPPB,PBPPBB,3-2-1,ลง
BBPPBP,BPPBBB,PBPPBB,1-2-3,ขึ้น
PPBBBP,BPPBBBBB,PBPPPP,1-2-5,ขึ้น
PBPBBB,PPBBBPPPP,BPPPPB,2-3-4,ขึ้น
BPBPBP,BBBBPPB,PPPBPP,4-2-1,ลง
BPBPBP,BBBBPPB,PPPBPP,4-2-1,ลง
BPBPBP,BBBBPPB,PPPBPP,4-2-1,ลง
PPBPPB,PBBPPPPPPPPP,BPPBPP,1-2-9,ขึ้น
