before,dejavu,after,cycles,length
BPBBPP,PBPBPBPB,BPPPBP,2,8
PPPBPB,BPBPBPBP,BPPBBB,2,8
PBPBPB,BPBPBPBP,PPBPPP,2,8
BBPBPP,PBPBPBPB,PPBPBB,2,8
BBBBPP,PBPBPBPB,PBBBBP,2,8
PPBPBP,PBPBPBPB,BPPPPB,2,8
BBPBBB,BPBPBPBP,BBBBBB,2,8
BPBPPB,BPBPBPBP,PBPPPP,2,8
BBPPPP,PBPBPBPB,PPPBBP,2,8
BPPBBB,BPBPBPBP,PBBPPP,2,8
BPPPPP,PBPBPBPB,BPBPBP,2,8
PBBPPP,PBPBPBPB,PPPPPB,2,8
BBPPBB,BPBPBPBP,PPBBPB,2,8
PPPBPB,BPBPBPBP,BBBPBB,2,8
BBPPPP,PBPBPBPB,BPPPPB,2,8
PPBBPB,BPBPBPBPBPBP,BPPBPP,3,12
BPBPBP,PBPBPBPB,BPPPBP,2,8
PPBPBP,PBPBPBPB,PPPPBP,2,8
BPPPPB,BPBPBPBP,PBPBPB,2,8
BBBBPP,PBPBPBPB,PPPPBP,2,8
PBBBBB,BPBPBPBP,BBBPPB,2,8
BBBPPP,PBPBPBPB,BPBPBP,2,8
BPBPPP,PBPBPBPB,BBPPBP,2,8
PPBPPP,PBPBPBPB,BBBPPP,2,8
BPPPBB,BPBPBPBP,BPBBPB,2,8
PPPPPB,BPBPBPBP,PBBBPB,2,8
PPBPBP,PBPBPBPB,PPBPBB,2,8
PBPPPP,PBPBPBPB,PPBPPP,2,8
BPPPPP,PBPBPBPB,PBBBBP,2,8
PPBBBP,PBPBPBPB,PPPBBB,2,8
BBBBPP,PBPBPBPB,PBBPBB,2,8
BBPBPP,PBPBPBPB,BPPPBP,2,8
BBPPBB,BPBPBPBP,PBPPPP,2,8
PPBBBP,PBPBPBPB,PBBPPP,2,8
PPBBPP,PBPBPBPB,PPBBPB,2,8
PBPPBP,PBPBPBPB,PPBPPP,2,8
PPBBPP,PBPBPBPB,BBBBBB,2,8
BPBPBB,BPBPBPBP,PPBPPB,2,8
BPPBBP,PBPBPBPB,BBBPBP,2,8
BPBBPP,PBPBPBPB,PPPBPP,2,8
PPPPBB,BPBPBPBP,PBBBPP,2,8
PBBBBP,PBPBPBPB,PPPPPP,2,8
BBPPBP,PBPBPBPB,PBBBBP,2,8
PPPPBP,PBPBPBPB,PPBBPP,2,8
BBBBBP,PBPBPBPB,BPPPPP,2,8
PBBBPP,PBPBPBPB,PPPPBB,2,8
PBBBBB,BPBPBPBPBPBP,BPPBBP,3,12
BPPBPB,BPBPBPBP,BPBBPP,2,8
PBPPBB,BPBPBPBP,PPBBBB,2,8
PBBBPB,BPBPBPBP,PBBBPB,2,8
BPPBBB,BPBPBPBP,PPPPPB,2,8
PPBBBP,PBPBPBPB,BBPPBP,2,8
PPBBBP,PBPBPBPB,PBPPPP,2,8
BBPBBP,PBPBPBPB,PPPBPP,2,8
PPBBBB,BPBPBPBP,PBBPBB,2,8
PBPPPB,BPBPBPBP,BPPPBP,2,8
PPPBPB,BPBPBPBP,BPPBPB,2,8
PPBBPB,BPBPBPBP,BBBBBB,2,8
PPBPPB,BPBPBPBP,BPPBPB,2,8
BPPPPP,PBPBPBPB,BPBPPB,2,8
PBBPBP,PBPBPBPB,PPBBPP,2,8
BBPBPB,BPBPBPBP,BPPBBP,2,8
PBBPBB,BPBPBPBP,BBPBBP,2,8
PBBBBP,PBPBPBPB,BBPBPB,2,8
BPBPPB,BPBPBPBP,BPPPBP,2,8
BBBBBP,PBPBPBPB,BPBPBP,2,8
BBPPBP,PBPBPBPB,BPBPPP,2,8
BPBBPB,BPBPBPBP,PBPPPB,2,8
PBPPPP,PBPBPBPB,BBPBBB,2,8
PPPPBP,PBPBPBPBPBPB,PBBPBB,3,12
PPPPBB,BPBPBPBP,BBPPPB,2,8
BBBBPP,PBPBPBPB,BPPBPB,2,8
PBPBPB,BPBPBPBP,PPBPBP,2,8
PBPPBB,BPBPBPBP,PBBBBB,2,8
BBPBPB,BPBPBPBP,BPPBBB,2,8
BPPBPB,BPBPBPBP,BPPBBB,2,8
BPPPBB,BPBPBPBP,PBPPBP,2,8
BPPPBP,PBPBPBPB,BBPPPP,2,8
BPBPBP,PBPBPBPB,BBPBPB,2,8
BBPPBP,PBPBPBPB,PPPBBB,2,8
BBPPPP,PBPBPBPB,BBBPPP,2,8
BPBBBB,BPBPBPBP,PPBPBP,2,8
PPBBPB,BPBPBPBP,PPPPPB,2,8
BBBBPB,BPBPBPBP,PBBBPB,2,8
BBBPPB,BPBPBPBP,PPPBBP,2,8
BBPPPP,PBPBPBPB,BBBPBP,2,8
BBPBBP,PBPBPBPBPBPB,PPBPPB,3,12
BBPBBB,BPBPBPBP,PPPBPP,2,8
BPBBPB,BPBPBPBP,PBPPBB,2,8
BBBBBB,BPBPBPBP,PPBBBP,2,8
PPPPBP,PBPBPBPB,BPBBPB,2,8
PPPPBP,PBPBPBPB,PPBBBP,2,8
PBPBPP,PBPBPBPB,BBPPPP,2,8
PPBPBB,BPBPBPBP,BBBBPP,2,8
PBBBPB,BPBPBPBP,BPBBBP,2,8
BPBBBP,PBPBPBPB,BPBPPP,2,8
BBPPBB,BPBPBPBP,BPPBPP,2,8
BBBPPB,BPBPBPBP,BBBBBB,2,8
PPPBBB,BPBPBPBP,BPPBBP,2,8
BBPPBP,PBPBPBPB,PBPPPP,2,8
BBPBBP,PBPBPBPB,BPBBBP,2,8
BBBBPB,BPBPBPBP,PPPPPB,2,8
BPPPPP,PBPBPBPB,BPBBPB,2,8
PBBPBP,PBPBPBPB,BPPPBP,2,8
PPBBBP,PBPBPBPB,BBPBPP,2,8
BBPPPB,BPBPBPBPBPBP,BPBBBP,3,12
PBPPPP,PBPBPBPB,PBPPBB,2,8
BBBBBB,BPBPBPBP,BPBBBB,2,8
PPBPPB,BPBPBPBP,BPPBPP,2,8
PBPBBB,BPBPBPBP,PBBBBB,2,8
BBBBPB,BPBPBPBP,BPPPPB,2,8
BPBBBP,PBPBPBPB,PBBBPB,2,8
BBBPBB,BPBPBPBP,BBBBPB,2,8
PPBBPB,BPBPBPBP,BBPBBP,2,8
BBBPPB,BPBPBPBP,PBPBBB,2,8
PBPPPP,PBPBPBPB,PBBPPP,2,8
PBBBBB,BPBPBPBP,BPPPPB,2,8
BPPPBB,BPBPBPBP,BPBBBP,2,8
BPBBPP,PBPBPBPB,BPPBPB,2,8
BBPPPP,PBPBPBPB,PPPPPB,2,8
PBPPPP,PBPBPBPB,BPPPPP,2,8
BBPBPB,BPBPBPBP,PBPBBB,2,8
BPPPBB,BPBPBPBP,BBPPBP,2,8
BPPPBB,BPBPBPBP,PPBPBB,2,8
PPBPBP,PBPBPBPB,BPPPBB,2,8
PPPPBP,PBPBPBPB,PBPPPB,2,8
BBPPBB,BPBPBPBP,BBBBBP,2,8
BPBBPP,PBPBPBPBPBPB,PPBPPB,3,12
PBBBPP,PBPBPBPB,BPBBBB,2,8
PPBPBP,PBPBPBPB,BPPBBP,2,8
BBBPBB,BPBPBPBP,BPPPPP,2,8
BBBPPB,BPBPBPBP,PBBBPP,2,8
BBBPBB,BPBPBPBP,BBPPPB,2,8
BPBBBB,BPBPBPBP,BBBBPP,2,8
PBPBPP,PBPBPBPB,PBPPPP,2,8
BBPPBP,PBPBPBPB,BPPPPP,2,8
BBPBPP,PBPBPBPB,BBPBPB,2,8
PBPPPB,BPBPBPBPBPBP,BBPBBP,3,12
PBBPBB,BPBPBPBP,BBPPBP,2,8
BBBBPP,PBPBPBPB,BBBBPB,2,8
PBPBBB,BPBPBPBP,PBBBBP,2,8
PPBPPP,PBPBPBPB,BBBBBP,2,8
BBPPBB,BPBPBPBP,BPPBPP,2,8
PPBPPB,BPBPBPBP,BPPBBB,2,8
BBBPBB,BPBPBPBP,PPBBPP,2,8
PPBPPB,BPBPBPBP,BPPPBB,2,8
BPPPPB,BPBPBPBP,BBBBPP,2,8
PBBPBB,BPBPBPBP,BPPBBB,2,8
PBPBBP,PBPBPBPB,BPBPBP,2,8
PBPPPP,PBPBPBPB,BBPBBP,2,8
BPPBBP,PBPBPBPB,BBPBBP,2,8
PBPBPP,PBPBPBPB,PPPPPP,2,8
PBBBBP,PBPBPBPB,BBBPPB,2,8
BPBPBB,BPBPBPBPBPBP,BPPBPB,3,12
PPBBBB,BPBPBPBP,PPPPPB,2,8
BBBBBB,BPBPBPBP,PPBBBB,2,8
PPBPBB,BPBPBPBP,PBPPPP,2,8
BBPBBB,BPBPBPBP,BBBPPB,2,8
BBPBPB,BPBPBPBP,PBBBPB,2,8
PBPBBP,PBPBPBPB,PPPPPB,2,8
BPPBBB,BPBPBPBP,BBPPPP,2,8
BBBPBP,PBPBPBPB,BBBPBB,2,8
PBBPBB,BPBPBPBP,PBPBPP,2,8
BBPPPB,BPBPBPBP,PBPPBB,2,8
BPPPBP,PBPBPBPB,BBBPBP,2,8
PPBPPB,BPBPBPBP,BBBBPP,2,8
BPBBPB,BPBPBPBP,BBPPPB,2,8
BPPPPB,BPBPBPBP,PPBPPP,2,8
BBBPBB,BPBPBPBP,BPPPBP,2,8
PPBPBB,BPBPBPBP,BBBPPB,2,8
BBBBPB,BPBPBPBP,PPBBBB,2,8
BPBPPP,PBPBPBPB,PPBPPB,2,8
BBBPBB,BPBPBPBP,PBBBPB,2,8
PBPBPP,PBPBPBPBPBPB,BPBPBB,3,12
BPPBPB,BPBPBPBP,PBBPBP,2,8
PPBPBB,BPBPBPBP,PPBBBB,2,8
PPBBPB,BPBPBPBP,PBBPBP,2,8
PPPBPB,BPBPBPBP,BBPBBP,2,8
BBBPPP,PBPBPBPB,PBBBPB,2,8
BBBBPP,PBPBPBPB,BPPPBP,2,8
BBBPPB,BPBPBPBP,PPPBBB,2,8
BPBBPB,BPBPBPBP,BPPBBB,2,8
BBPPPP,PBPBPBPB,PPBPPP,2,8
PPPBBB,BPBPBPBP,PPPPPB,2,8
PPBPBP,PBPBPBPB,BBPPPP,2,8
BPPBPP,PBPBPBPB,BBPPPB,2,8
BPBPPB,BPBPBPBP,PBBPBB,2,8
BBBBBP,PBPBPBPB,PBBPBP,2,8
PPPBPP,PBPBPBPB,BBBBPB,2,8
PPBBBP,PBPBPBPB,BPPBPB,2,8
PBPBBB,BPBPBPBP,BPBBPB,2,8
PPBBBP,PBPBPBPB,PPBPPP,2,8
BBBPBB,BPBPBPBP,PBBPPP,2,8
PPPBPP,PBPBPBPB,BBPPBP,2,8
PBPPBP,PBPBPBPB,BBBPBP,2,8
PBPBBB,BPBPBPBP,BPBBPP,2,8
PPBBPP,PBPBPBPB,PPBBPP,2,8
PBBPPP,PBPBPBPB,PBPPBB,2,8
PPPBBB,BPBPBPBP,PPBPBB,2,8
PBBBPP,PBPBPBPB,PPBPPB,2,8
BPPBPP,PBPBPBPB,PBPPPP,2,8
PPPPBP,PBPBPBPB,BPBPPP,2,8
PBPPPP,PBPBPBPB,BPBPPP,2,8
BPPBBB,BPBPBPBP,PBBPPP,2,8
PPBBBB,BPBPBPBP,PBPPBP,2,8
PPBPPB,BPBPBPBP,PPPPBB,2,8
BPPBBP,PBPBPBPB,BBPPBP,2,8
BBPBPP,PBPBPBPB,BPBPBP,2,8
BPPBPB,BPBPBPBP,BPPPPB,2,8
BBBBPB,BPBPBPBP,BPBBPP,2,8
PBBBBP,PBPBPBPB,BPBBPP,2,8
BBPPBP,PBPBPBPB,BBBBPP,2,8
BBPPPP,PBPBPBPB,BPBPPP,2,8
PPPPPB,BPBPBPBP,PPBPPP,2,8
PPBBBP,PBPBPBPBPBPB,BBBBBB,3,12
PPBBBB,BPBPBPBPBPBP,PPBBBP,3,12
BBPPBB,BPBPBPBP,PPPPBB,2,8
BBPPBB,BPBPBPBP,PBPBBB,2,8
BBBBPB,BPBPBPBP,BBPBBP,2,8
BPBPBP,PBPBPBPB,BBPPPP,2,8
BBPBBB,BPBPBPBP,PPPBPB,2,8
PBPBBP,PBPBPBPB,BPBBBB,2,8
BBPPPP,PBPBPBPB,BPPBBP,2,8
PBPPBB,BPBPBPBP,BPPBBB,2,8
PPPBBB,BPBPBPBP,PBBBPB,2,8
PBPPPP,PBPBPBPB,BBPPPB,2,8
BBBBPP,PBPBPBPB,BBBPPB,2,8
BPPPBB,BPBPBPBP,PPPBPP,2,8
PPPBPP,PBPBPBPB,BBBBPB,2,8
PBPPBP,PBPBPBPB,BPBBPP,2,8
BBBPBB,BPBPBPBP,BPPBBB,2,8
BPBPPP,PBPBPBPB,PBBPBB,2,8
BPBPBP,PBPBPBPB,BBPBBP,2,8
PPBPBB,BPBPBPBP,BBBBPB,2,8
PPBBPP,PBPBPBPB,PPBBPP,2,8
PBBPPP,PBPBPBPB,BBPBBP,2,8
BBBBBB,BPBPBPBP,BBBBPP,2,8
BBPPPB,BPBPBPBP,PPBPPP,2,8
PPPPPP,PBPBPBPB,BBPBPP,2,8
PPPPPP,PBPBPBPB,BBBBBB,2,8
PPPBPB,BPBPBPBP,PPBBPP,2,8
PPBBPP,PBPBPBPB,PPPBBP,2,8
PBPPPB,BPBPBPBP,BBBBPP,2,8
BPBBPB,BPBPBPBP,BBBBBP,2,8
PBPPBB,BPBPBPBP,PBBBPB,2,8
PBBPBB,BPBPBPBPBPBP,BPBBPP,3,12
BBPPBB,BPBPBPBP,BBBBPP,2,8
BPPPBB,BPBPBPBP,PBBPPP,2,8
PBBBBB,BPBPBPBP,BBPPPB,2,8
PBPBPB,BPBPBPBP,BBBPPP,2,8
BBPBBB,BPBPBPBP,PBBPPP,2,8
BPBBPP,PBPBPBPB,PPPPPP,2,8
BBPBBB,BPBPBPBP,BBPPPB,2,8
BBPPPB,BPBPBPBP,PBPBBP,2,8
PPBBBP,PBPBPBPB,BBBBPP,2,8
BPBBPB,BPBPBPBP,PBBPPB,2,8
BBBPPP,PBPBPBPB,BPPBBP,2,8
BBPBPP,PBPBPBPB,PPPPPB,2,8
PBPPPB,BPBPBPBP,BBPPBB,2,8
BBPPPP,PBPBPBPB,BBPPBP,2,8
PPPBPP,PBPBPBPB,PBPPPP,2,8
PBBBBP,PBPBPBPB,BPPBBB,2,8
PBBPPB,BPBPBPBP,PBBBPB,2,8
PBPBBB,BPBPBPBP,PBPPPP,2,8
BPPPBB,BPBPBPBP,BBBBPB,2,8
PPPBPP,PBPBPBPB,BPPPPB,2,8
PBPBPB,BPBPBPBP,PPPPPP,2,8
BPPBBB,BPBPBPBP,PPPBPP,2,8
BPBBPB,BPBPBPBP,PBPPPB,2,8
BPPPBP,PBPBPBPB,PPPPBB,2,8
PPPBBB,BPBPBPBP,PPPPBB,2,8
BPPBPB,BPBPBPBP,PPBPPB,2,8
BBBBBP,PBPBPBPB,BPBBPB,2,8
PBBPBP,PBPBPBPB,PPPPBB,2,8
BBPPPP,PBPBPBPB,BPBBBP,2,8
PPBBBB,BPBPBPBP,BPBBBB,2,8
PPPPBB,BPBPBPBP,BPPPPP,2,8
BPBBPB,BPBPBPBP,PPBPPP,2,8
PBBPBB,BPBPBPBP,BBBBBB,2,8
PPPPBB,BPBPBPBP,PPBPPP,2,8
BBPBBP,PBPBPBPB,BBBBBB,2,8
BBBPBP,PBPBPBPB,BPPBPP,2,8
BBPBPB,BPBPBPBP,PPPBPB,2,8
BBPBPB,BPBPBPBP,PBBBPP,2,8
BBBBBP,PBPBPBPB,BBBPBB,2,8
BBPBPP,PBPBPBPB,BPBPBP,2,8
BBPBBB,BPBPBPBP,PPBPBP,2,8
PBPPBB,BPBPBPBP,PPPBPB,2,8
PBPPBB,BPBPBPBP,PPPBPB,2,8
PBPPBB,BPBPBPBP,PPPBPB,2,8
BPBPPP,PBPBPBPB,BPBPPB,2,8
PPBBPP,PBPBPBPB,PPBPPB,2,8
BBBPPP,PBPBPBPB,BBBBPB,2,8
BBBPPP,PBPBPBPB,BBBBPB,2,8
PBPPPP,PBPBPBPB,PPPBPP,2,8
BPPPBB,BPBPBPBP,BBBBPP,2,8
BPPPBB,BPBPBPBP,BBBBPP,2,8
BPPPBB,BPBPBPBP,BBBBPP,2,8
BBPPPP,PBPBPBPB,PPPPPB,2,8
PBPBPP,PBPBPBPB,BBPBPB,2,8
PBBPBB,BPBPBPBP,BPBBPB,2,8
PPBBPB,BPBPBPBPBPBP,PBBPPB,3,12
PPBBPB,BPBPBPBPBPBP,PBBPPB,3,12
BBPBPP,PBPBPBPB,BBBBPP,2,8
BBBBPB,BPBPBPBP,PPBBBB,2,8
PPBBPP,PBPBPBPB,PBPPBB,2,8
BPBPBP,PBPBPBPB,BBPPPB,2,8
PPPBBP,PBPBPBPB,PBPPPB,2,8
BBPPPP,PBPBPBPB,BBBPPB,2,8
BPBPBP,PBPBPBPBPBPB,BPPPBP,3,12
BBBBPP,PBPBPBPB,PPBPPB,2,8
BBBBPP,PBPBPBPB,PPBPPB,2,8
BPBPBP,PBPBPBPB,BBPBPB,2,8
PPBBBP,PBPBPBPB,BBBBBB,2,8
PBBBBP,PBPBPBPB,BBBPPP,2,8
PBBBBP,PBPBPBPBPBPB,BPBPPP,3,12
PPBBBP,PBPBPBPB,BBBBPB,2,8
BBBBPP,PBPBPBPB,BPBPPB,2,8
PPPBPP,PBPBPBPBPBPB,BPPBPB,3,12
PBPPPB,BPBPBPBP,PBBBPB,2,8
PBBPPB,BPBPBPBP,BBBBBB,2,8
BBPPBP,PBPBPBPB,PBBPPB,2,8
BPBPPP,PBPBPBPB,BBPPPB,2,8
BPPBBP,PBPBPBPB,BBBPPP,2,8
BPPPBP,PBPBPBPB,PPBPPB,2,8
PPBBBP,PBPBPBPBPBPB,PPPPPP,3,12
BBBBPP,PBPBPBPB,BPBPBP,2,8
BBBBPB,BPBPBPBP,PPPPPP,2,8
BBBBPB,BPBPBPBP,PPPPPP,2,8
PPBPPP,PBPBPBPB,BPBBPB,2,8
BPBBBB,BPBPBPBP,PBBBBP,2,8
PPBBPB,BPBPBPBP,BPPBPB,2,8
BPPBBB,BPBPBPBP,PBBPPP,2,8
BBPPPP,PBPBPBPB,PPPBPP,2,8
PBPPBB,BPBPBPBP,PBBBPB,2,8
BPPPBB,BPBPBPBP,PBBPPB,2,8
PBBBPP,PBPBPBPB,PPPPBB,2,8
PBBPBP,PBPBPBPB,BBPBPB,2,8
PBBPBP,PBPBPBPB,BBPPBP,2,8
BPPBPP,PBPBPBPB,PBPPBP,2,8
BBPBBP,PBPBPBPB,BPBBPP,2,8
PBBPPP,PBPBPBPB,PPPPBB,2,8
PPBPBB,BPBPBPBP,BPPBBP,2,8
BBPBPB,BPBPBPBP,BBBPBP,2,8
BPPBBP,PBPBPBPB,PBBPBB,2,8
BBBPPP,PBPBPBPB,BPPBBB,2,8
PPBPPP,PBPBPBPB,PPPBPP,2,8
BBPPBP,PBPBPBPB,BBBPBB,2,8
BPPBPP,PBPBPBPB,PBBPPB,2,8
BBBBBB,BPBPBPBP,BBPPPP,2,8
BBPPPB,BPBPBPBP,BBPBBP,2,8
BPPBBB,BPBPBPBPBPBP,BPPBPB,3,12
PPPBPB,BPBPBPBP,PPPBPP,2,8
BPPPPP,PBPBPBPB,PBBBBP,2,8
BBPBBB,BPBPBPBP,BBBBPB,2,8
PBBBPB,BPBPBPBP,PPPBBP,2,8
BPPBPP,PBPBPBPB,PPBBPP,2,8
BBBBBP,PBPBPBPB,PBBPBB,2,8
PBBBPP,PBPBPBPB,PPBBPP,2,8
PBPPBP,PBPBPBPB,PPBPPB,2,8
PBBBBB,BPBPBPBP,PPBPPP,2,8
BPPBPB,BPBPBPBP,PBPPPB,2,8
BPPBPP,PBPBPBPB,BPBBPB,2,8
BBBBBP,PBPBPBPB,PBBBBP,2,8
PBPPBB,BPBPBPBP,BBBPPB,2,8
BBPBBP,PBPBPBPB,PPPPPP,2,8
BBPBPB,BPBPBPBP,BBBPPB,2,8
PBBPPB,BPBPBPBP,BBPPBP,2,8
BPPPPB,BPBPBPBP,PBBBPB,2,8
BPPPPB,BPBPBPBP,PBBBPB,2,8
PBBBBP,PBPBPBPB,PPPBBP,2,8
BPBPBP,PBPBPBPB,PBBPBB,2,8
PBPPPB,BPBPBPBPBPBP,BPPPPB,3,12
PBBPBP,PBPBPBPB,PPBBPB,2,8
PBPBPP,PBPBPBPBPBPB,BBPBPB,3,12
PBPBPP,PBPBPBPBPBPB,BBPBPB,3,12
BBPPBP,PBPBPBPB,BPPBBB,2,8
PPBBPB,BPBPBPBP,PPPPBB,2,8
BPBPPB,BPBPBPBP,BPPPPP,2,8
PPBBBP,PBPBPBPBPBPB,PBBPBB,3,12
BBBBPB,BPBPBPBP,PBPPPB,2,8
BBBPPB,BPBPBPBP,PBBBBB,2,8
PPPPPP,PBPBPBPB,PPBBBB,2,8
PPBPPB,BPBPBPBP,BBPPPP,2,8
PBBBPB,BPBPBPBP,BBBBBB,2,8
PBPBPB,BPBPBPBP,BBBBBB,2,8
PBBPBP,PBPBPBPB,BBBPPP,2,8
PBBPBP,PBPBPBPB,BBPBBP,2,8
PPBBBB,BPBPBPBP,BBPPBP,2,8
PBPPBB,BPBPBPBP,PPBPPP,2,8
PPPPBP,PBPBPBPB,BPBBPP,2,8
PBPBPP,PBPBPBPB,PPBPPP,2,8
PPPPPB,BPBPBPBP,PBBPBB,2,8
BBPBPB,BPBPBPBP,BPPPBB,2,8
PBBBPB,BPBPBPBP,PBPPBP,2,8
PPBPPB,BPBPBPBP,PPBBPP,2,8
BPBBBB,BPBPBPBPBPBP,BBPBBP,3,12
BBPBBB,BPBPBPBP,PBBBPP,2,8
PBBPPB,BPBPBPBPBPBP,BPPPBP,3,12
PPPBPP,PBPBPBPB,PPPPBB,2,8
BBBPPP,PBPBPBPBPBPB,BPPBBB,3,12
PBBPPB,BPBPBPBP,PPBPBB,2,8
BBBPPB,BPBPBPBP,PBPPBB,2,8
PBBPPP,PBPBPBPB,PPBBPP,2,8
PBBPPP,PBPBPBPB,PPBBPP,2,8
PPBBBP,PBPBPBPB,PBPPPB,2,8
PPPPBB,BPBPBPBP,BPPPPP,2,8
PBPPPP,PBPBPBPB,PPBPBB,2,8
PPPPPP,PBPBPBPB,PPPPPP,2,8
BBBBPB,BPBPBPBP,PPPBBP,2,8
PBPBPB,BPBPBPBP,PPPPBB,2,8
BPPPBB,BPBPBPBP,BPPPPP,2,8
PPPPBP,PBPBPBPB,PBBPBB,2,8
PPPPBP,PBPBPBPB,PBBPBB,2,8
BPBPBP,PBPBPBPB,PPPPPB,2,8
PPPPBP,PBPBPBPB,BPPBPB,2,8
PPPPBP,PBPBPBPB,BPPBPB,2,8
PPPPBP,PBPBPBPB,BPPBPB,2,8
PPPBPB,BPBPBPBP,BPPPPB,2,8
BPBBPP,PBPBPBPB,PBBPBP,2,8
PBPBPB,BPBPBPBP,PPPPBB,2,8
PPPPPP,PBPBPBPB,PPPPPB,2,8
PPPPPP,PBPBPBPB,PPPPPB,2,8
PBPPPP,PBPBPBPB,PPPPPB,2,8
BBBBBB,BPBPBPBP,BBPBBP,2,8
BPBBPP,PBPBPBPB,PPBBBB,2,8
BPBBPP,PBPBPBPB,PPBPBB,2,8
BBPPPP,PBPBPBPB,PPPPBB,2,8
PPBBBB,BPBPBPBP,PPBBBP,2,8
BPPPPP,PBPBPBPB,BBBBPP,2,8
PBPBBP,PBPBPBPB,BPBPPB,2,8
PBBBPP,PBPBPBPB,BBBPPB,2,8
PPPPPP,PBPBPBPB,BPPBBP,2,8
BPPPBP,PBPBPBPB,PBPPBB,2,8
PPBPPB,BPBPBPBP,BBBBPB,2,8
PPBPPB,BPBPBPBP,BBBBPB,2,8
BPPPBB,BPBPBPBP,PPBPBB,2,8
PPBPPP,PBPBPBPB,BBBPBP,2,8
PPBPPP,PBPBPBPB,BBBPBP,2,8
PBPBPP,PBPBPBPB,BPPPBB,2,8
BPPBBB,BPBPBPBP,BBPPPB,2,8
BPPBBB,BPBPBPBP,BBPPPB,2,8
BPPBBB,BPBPBPBP,BBPPPB,2,8
BBPBBB,BPBPBPBP,PBPPPB,2,8
BBPBBP,PBPBPBPB,PBBPPB,2,8
PPBBBP,PBPBPBPB,PBPPBB,2,8
BPBBBP,PBPBPBPB,BPBPBP,2,8
BPBBBP,PBPBPBPB,BPBPBP,2,8
PBBBBB,BPBPBPBP,BBBPPP,2,8
BBBBBP,PBPBPBPB,PPBBPB,2,8
BBBBBP,PBPBPBPB,PPBBPB,2,8
PPBBPP,PBPBPBPB,PPPPPB,2,8
PPBBPP,PBPBPBPB,PPPPPB,2,8
BBPBPB,BPBPBPBP,PBBBPP,2,8
PPBPPB,BPBPBPBP,PPBBPP,2,8
PPBPPB,BPBPBPBP,PPBBPP,2,8
BBPPBB,BPBPBPBP,BBPBBB,2,8
BBBPBB,BPBPBPBPBPBP,PPBPBB,3,12
PPBBBB,BPBPBPBP,BPPBPB,2,8
BPBBPB,BPBPBPBP,PPPBPP,2,8
BPBBPB,BPBPBPBP,PPPBPP,2,8
PPBPBP,PBPBPBPB,BBPPBB,2,8
BPPPBB,BPBPBPBP,BBPBPP,2,8
PPBBBP,PBPBPBPB,PBBBPB,2,8
PBBPPP,PBPBPBPB,PPPPPB,2,8
BPBBPB,BPBPBPBP,PPBPPB,2,8
BBPPPP,PBPBPBPB,PBPPBB,2,8
PBPBBB,BPBPBPBP,PBBBBB,2,8
BPPPPB,BPBPBPBP,BBPPBP,2,8
PBPPPP,PBPBPBPB,PBBPBP,2,8
PPBBPP,PBPBPBPB,BPPBBP,2,8
BPPPBP,PBPBPBPB,BBBBBB,2,8
BPPPPB,BPBPBPBP,BPBBPB,2,8
PPBBBB,BPBPBPBP,BBBPBB,2,8
PBBPBP,PBPBPBPB,BPBBBB,2,8
BBPPBP,PBPBPBPB,BBBBPB,2,8
PPPPBP,PBPBPBPB,BPBBPP,2,8
PPPPBP,PBPBPBPB,BPBBPB,2,8
BPPPPP,PBPBPBPB,BPPPBP,2,8
BPPBPP,PBPBPBPB,BPBBPP,2,8
PPBBBP,PBPBPBPB,PBPPPB,2,8
PPPBBP,PBPBPBPB,BPBBPP,2,8
PPPPBB,BPBPBPBP,BPPPPP,2,8
PPPPPB,BPBPBPBP,PBPBBB,2,8
BBBPPP,PBPBPBPB,BPPPBB,2,8
PPBBPP,PBPBPBPB,PPBPBP,2,8
PBBBBB,BPBPBPBP,PPBPBB,2,8
BBPPBB,BPBPBPBP,PBBBPB,2,8
PBPPBP,PBPBPBPB,BBBBBB,2,8
BPBBPB,BPBPBPBPBPBP,BBBPPB,3,12
PPBBPB,BPBPBPBP,PPPPBP,2,8
PPBBPB,BPBPBPBP,PPPPBP,2,8
PPPBPB,BPBPBPBP,PPBPBP,2,8
BPPBBP,PBPBPBPB,PBPPPP,2,8
BBPBPB,BPBPBPBP,PBPBPB,2,8
BPBPBP,PBPBPBPB,BBBBBB,2,8
PBPPPB,BPBPBPBP,BPPBPP,2,8
BBBBPP,PBPBPBPB,BPPPBP,2,8
BPPBPB,BPBPBPBP,PPPBPB,2,8
PPPBBP,PBPBPBPB,PBBPPP,2,8
PBBPBP,PBPBPBPB,BBPBPB,2,8
PPBPBP,PBPBPBPB,BPBPBB,2,8
BBBPPB,BPBPBPBP,BPPPPP,2,8
PBBBBP,PBPBPBPB,BPPBBP,2,8
BPBBBP,PBPBPBPB,PBBBPP,2,8
PPBPBB,BPBPBPBP,PBBBBP,2,8
PPPBBB,BPBPBPBP,BPPPBB,2,8
PPPBPP,PBPBPBPB,BBBBBP,2,8
PBPPPP,PBPBPBPB,PPBBBP,2,8
PBPPBB,BPBPBPBP,BPPPPB,2,8
BBPBPB,BPBPBPBP,PPBBPP,2,8
PPBBPB,BPBPBPBP,BPPBPP,2,8
BPPPPB,BPBPBPBP,PPPPPB,2,8
