before,lukku,after,pairs,length
PBBPPP,BBPPBBPP,BPBPPB,4,8
BBBBBP,BBPP,PPBPBB,2,4
PPBPBB,BBPP,PBPPBP,2,4
BPPBPB,PPBB,PBBBPB,2,4
BPBBPB,PPBBPP,PBBBPP,3,6
BBBBPP,PPBB,PBBPBP,2,4
PBBPBP,BBPP,PBBPPB,2,4
PBBPPP,BBPP,BPPPBP,2,4
PBPBPP,PPBBPP,BPBPPP,3,6
PPPBBB,PPBB,PBBPBP,2,4
BPBBBP,BBPPBB,BBBPBB,3,6
PBPPBP,BBPP,BPBBBP,2,4
PPBPPP,BBPP,PPPBBB,2,4
PPPBPB,PPBB,PBBBPB,2,4
BPBPPP,BBPPBB,BPPPBP,3,6
BPPPBP,BBPP,PBBBBP,2,4
BPPPBB,BBPP,BPPPBB,2,4
BPBPBB,BBPP,BPBPPB,2,4
BBPPBB,BBPP,BPBPBB,2,4
PPPPBP,BBPP,BPPPPP,2,4
BBBPBB,BBPP,BPPBPB,2,4
BPBPBB,BBPP,PBBBBB,2,4
BPPBPP,PPBBPPBB,BBPBBB,4,8
BBBBBB,PPBBPP,PBBBPP,3,6
PPPBPB,PPBBPP,PBBBPP,3,6
BPPBPP,PPBB,BBPBPB,2,4
BPPPBP,BBPP,PPPBBB,2,4
PPPPBB,BBPP,PBBPBP,2,4
BBBBPP,PPBBPPBB,PBBBBB,4,8
BPBBBB,BBPPBB,BBPPBP,3,6
BBPPBB,BBPP,BPBBPB,2,4
BPBPPB,PPBB,BBPBBP,2,4
BBPBBP,BBPP,BPPPPP,2,4
PPPPPP,PPBB,BPPPPP,2,4
PBPPPP,PPBB,PBBBPB,2,4
BPBBBB,BBPPBB,BBPBBP,3,6
PBBBBP,BBPPBBPPBB,BBBBBB,5,10
PPBPPB,PPBB,PBPPBB,2,4
PPBBPB,PPBB,PBBPPP,2,4
BPPBBP,BBPP,PBBPPB,2,4
PBBPPP,BBPPBB,BBBPBP,3,6
BBBBPB,PPBB,BBPPPB,2,4
PBPPBB,BBPP,PBBPPB,2,4
BBBPPP,BBPP,BPPPBB,2,4
BBPBBP,BBPP,PBPPBB,2,4
BBPPPB,PPBB,BPBBPP,2,4
PPBBBP,BBPPBB,BBBBBB,3,6
BBBBBB,BBPP,PBBBBB,2,4
BPPPPB,PPBB,PBPBBB,2,4
PBBBBP,BBPP,PBPBPP,2,4
BBPBBP,BBPP,PBPPBB,2,4
BBPPPB,PPBB,PBBPBB,2,4
PPPBPB,PPBB,PBBPBP,2,4
PBBBBB,PPBB,PBBPPP,2,4
BPPBBP,BBPP,PPBBBP,2,4
BPBBPP,PPBB,BPPBBP,2,4
BBBBPB,PPBB,BPPPPB,2,4
PBBBPP,PPBB,BBPBBP,2,4
PBBBBP,BBPP,PPPPBB,2,4
BBPPPP,PPBB,BPPPBP,2,4
BPPPBP,BBPPBB,PBBPPB,3,6
BPPBBP,BBPP,BPBPPB,2,4
PBBPBB,BBPPBB,PBPBPB,3,6
BBPBPP,PPBBPP,PBBPPP,3,6
PBBPPP,BBPP,PBBPPP,2,4
PBBPPP,BBPP,PBBPPP,2,4
PBBPPP,BBPP,PPBBBP,2,4
PPBBPP,PPBB,BPPPPB,2,4
PPPBBB,PPBB,PBBPPB,2,4
BPPBBP,BBPP,BPPBBP,2,4
PBBPPB,PPBB,PBPBBB,2,4
BPBPBB,BBPPBB,PBPPBB,3,6
PPBBPB,PPBB,BBPBBB,2,4
BBBBPB,PPBB,BPPPPB,2,4
BPPPBP,BBPP,PBBBBP,2,4
BPPPBP,BBPP,PBBBBB,2,4
PBBBBB,PPBBPP,BPBBBB,3,6
BBPPBB,BBPPBB,BPPBPP,3,6
PPPPBP,BBPPBB,BPBBBB,3,6
BPPPBP,BBPP,PBBBPP,2,4
PPBPPB,PPBB,BBPBPB,2,4
PPBBPB,PPBB,BBBPPP,2,4
BPPPBB,BBPP,PPPPBP,2,4
PPPPPB,PPBB,BBPPBP,2,4
PBPPBB,BBPP,BPPBBP,2,4
BBPBBP,BBPP,PBPPBB,2,4
BBPPPB,PPBBPP,BPPPPP,3,6
BPBBBB,BBPP,BPPBPP,2,4
PPBPBB,BBPP,BPBPBB,2,4
BBBBBP,BBPP,BPPBBB,2,4
PBBPPB,PPBB,BPBBBB,2,4
PPBBBB,BBPP,BPBBPB,2,4
BBPBBP,BBPP,PPBBBB,2,4
BPBBPP,PPBB,BBBBBB,2,4
BPPPPB,PPBB,PBPBBB,2,4
BPBBBP,BBPPBB,PBBPPB,3,6
PPBBPB,PPBBPP,BPBBBP,3,6
BBBBBB,BBPP,PPPBBB,2,4
PBPPBB,BBPP,PPPPPP,2,4
BBBBBP,BBPP,PBBBBP,2,4
BPPPBB,BBPP,PPPBBP,2,4
PPPPPB,PPBBPPBBPPBB,BPPPBB,6,12
PBBPBP,BBPP,PPBBBP,2,4
BPBBPP,PPBB,BPPBPP,2,4
BBBPPB,PPBB,PBBBBB,2,4
PBPPBP,BBPP,BPPBPB,2,4
PPPBPP,PPBB,BBBBBB,2,4
BPBBPB,PPBB,BBBPBB,2,4
BBPBBP,BBPP,PBPBPB,2,4
BPPPBP,BBPP,BPBPPP,2,4
BPPPPB,PPBB,BPBBBP,2,4
BBPBBB,PPBB,PBBBPP,2,4
BBPPBB,BBPP,PPPBBB,2,4
BBPBPB,PPBBPP,PPBBBP,3,6
PPBBPP,PPBB,BPPBBB,2,4
PPPBBB,PPBB,BPBPPP,2,4
BBBPPP,BBPP,PBBPBP,2,4
BPPPPP,BBPPBBPP,PBBPBP,4,8
PBBPBP,BBPP,PPPPPB,2,4
PPBPBB,BBPP,PPPBBB,2,4
PPBBBP,BBPP,PBPPPP,2,4
PPPBBB,PPBB,BBPBBB,2,4
BBBPBP,BBPPBB,PBBBBP,3,6
PBBPBB,BBPP,PBBBBB,2,4
BBBBBB,PPBB,BPPPPB,2,4
PBBPBB,BBPP,PPPPPP,2,4
BBPBPP,PPBB,BBPBPP,2,4
BPBPPB,PPBB,BPPPPB,2,4
PBBBPP,PPBB,PBBPPB,2,4
PPPBBP,BBPP,BPBPBP,2,4
BBBBPP,PPBB,PBPBBP,2,4
PBBPBP,BBPPBBPPBB,PBPBPP,5,10
BBPBPB,PPBB,BPPBBB,2,4
BPPBBB,PPBB,BPPBPB,2,4
PBBBBP,BBPP,BPBPPP,2,4
PBPBPP,PPBB,PBBBBP,2,4
PBPPPP,PPBB,BPBPPB,2,4
PBBBPB,PPBB,BPBPPB,2,4
BBPBBP,BBPP,PPPPBP,2,4
BBPBBP,BBPP,PPPPPB,2,4
BPBBBB,BBPPBB,BPPPBB,3,6
PPBPPB,PPBBPPBB,BPPPPB,4,8
PPPPPP,PPBB,PBBBBB,2,4
BBBPPB,PPBB,PBBBPB,2,4
BBBBBP,BBPP,PPBPPP,2,4
BBPPBP,BBPPBB,PBBBPP,3,6
PPPBBB,PPBB,PBBBBP,2,4
PBBPBB,BBPP,PBPBPB,2,4
PPBPBP,BBPPBB,BPBPBB,3,6
BPPBPB,PPBBPPBB,PBPPPP,4,8
PPPPPB,PPBB,PBBPBP,2,4
PBPPPP,PPBB,BPBBBP,2,4
BPPPBB,BBPP,PBPPBP,2,4
PBPBPP,PPBB,BPPPPB,2,4
PBBBPP,PPBB,PBPPPB,2,4
PBPBBB,PPBB,BPPPBP,2,4
BBPBPP,PPBB,BBBPPB,2,4
BBBPPP,BBPP,PPBBBB,2,4
PPBBPP,PPBB,BBPBBP,2,4
BPBPPP,BBPP,PPPBBB,2,4
BPPPPP,BBPPBBPPBB,PBPPPB,5,10
BBBBBP,BBPPBB,BPBPPP,3,6
BPBPBP,BBPP,PBPPBP,2,4
BBPBPB,PPBB,BPPBPB,2,4
PPPPPB,PPBB,BBPBBB,2,4
BPBPBP,BBPP,PPBBBP,2,4
BPPPBB,BBPP,PBPBBP,2,4
BPPPBP,BBPPBB,BBBPPB,3,6
BPPPPB,PPBB,PBBBPB,2,4
BBPBBP,BBPP,BPBBPP,2,4
BBPPBP,BBPP,BPPBPB,2,4
PBPPBP,BBPPBB,BBPPPB,3,6
BBPPBB,BBPP,PBBBPB,2,4
PBBBBB,PPBB,PBPPPP,2,4
PBPBPB,PPBB,PBPPBB,2,4
PBPBPP,PPBBPP,PPBPBB,3,6
PBBBBB,PPBB,PBBPBB,2,4
BPPBPB,PPBB,PBBBPP,2,4
BBBBPB,PPBB,BPBPPB,2,4
PBBBPB,PPBB,BBBBBP,2,4
BBBPPB,PPBBPPBB,BPPBPP,4,8
BPBBBB,BBPP,PBPPPB,2,4
PBPPPB,PPBBPP,PPPPPB,3,6
PBPBBB,PPBB,BPBPBP,2,4
PBBPBB,BBPP,PBBPPP,2,4
BBBPPP,BBPP,PBPPBB,2,4
BBPBBP,BBPP,PPPBPP,2,4
PPPPPP,BBPP,PBBPPP,2,4
PBBPPP,BBPP,PPBPPB,2,4
PBBBBP,BBPP,BPPPBB,2,4
BPPPBB,BBPP,PPPPPB,2,4
PPPPPB,PPBB,BBBBBP,2,4
BPBPPP,BBPP,BPPBPP,2,4
BBPBBP,BBPP,BPPPPP,2,4
PPBPBB,BBPP,PPPPBP,2,4
PPPPPB,PPBB,BPPPPB,2,4
PBBBPP,PPBB,BPBPBB,2,4
PBPPBP,BBPPBB,PBBBPB,3,6
PBBBPB,PPBBPP,PPBPPB,3,6
PPBPPP,BBPPBB,BPPBPP,3,6
BPPBPP,PPBB,PBBBPB,2,4
BPPBPB,PPBB,PBBPBP,2,4
PBPBBB,PPBB,BPBBPP,2,4
PPBBBP,BBPP,PBBPPB,2,4
PBBPPP,BBPPBB,BPBPBB,3,6
PPBBBB,BBPPBB,BBPBBP,3,6
PBBBBP,BBPP,PPBPBB,2,4
PPBBBB,BBPPBB,BBPBBP,3,6
PBBBBP,BBPP,PPBPBB,2,4
PBBBBB,PPBB,BPPPBP,2,4
BBPPPB,PPBB,BPPPBP,2,4
BPPPBP,BBPP,BPBBBP,2,4
PBBBPP,PPBB,PBBBPP,2,4
BPBBBB,BBPPBB,BPBBBB,3,6
PPBBBB,BBPP,BPBBBP,2,4
PBPPBP,BBPP,BPPBPP,2,4
BPBPBB,BBPPBB,PBBPBP,3,6
BBBPPB,PPBB,BPPPPP,2,4
BBBBBP,BBPP,PBPPPB,2,4
PPPBPB,PPBB,BPBBPB,2,4
BPBBBB,BBPP,BPBBPP,2,4
PPPPBB,BBPP,BPBBBB,2,4
PBPBBB,PPBB,BBBPPP,2,4
PPPBPB,PPBB,BBBPBP,2,4
PPPPPB,PPBB,BBBBBP,2,4
BPBBBB,BBPPBB,BBPBPB,3,6
BPBBBB,BBPP,PPBBPP,2,4
BBBBPP,PPBBPP,PBPPBP,3,6
BPPPBB,BBPPBB,PBPBPP,3,6
PBBBPB,PPBB,BBBPBP,2,4
PPPBPB,PPBB,PBBBBB,2,4
BBBBBP,BBPP,BPBPBP,2,4
PBPPPB,PPBB,PBBBBP,2,4
PBBPBB,BBPP,PBBPPB,2,4
BBBPPP,BBPP,BPPPBP,2,4
BBBPPB,PPBB,PBBPPB,2,4
BPPBBP,BBPP,BPPPBP,2,4
BBPBPB,PPBB,BBBBBP,2,4
BBPBPP,PPBBPP,PBPPBP,3,6
BPPBPB,PPBB,BPPBPB,2,4
BBPBPP,PPBB,PBBPPB,2,4
PBBPBB,BBPP,BPPPPP,2,4
PPBPBB,BBPPBB,PBPBBP,3,6
PBPBBP,BBPP,PBBPPP,2,4
PBBPPP,BBPP,PPPBPP,2,4
BBPBPP,PPBB,BBPPPB,2,4
PPPPBB,BBPP,PBPBPP,2,4
PBBBBP,BBPP,PPPBBP,2,4
BPPPBP,BBPP,BPPPPB,2,4
PBPBBB,PPBB,BBBBPP,2,4
PPBBBB,BBPPBB,PBPPBB,3,6
PPBBPB,PPBB,PBBPPP,2,4
BPPBBP,BBPP,PBPPBP,2,4
BPPPBB,BBPPBBPPBB,PBBPPB,5,10
BPPBBP,BBPPBB,PBPBBB,3,6
PBPBBB,PPBB,BPPPBP,2,4
PPPPPB,PPBB,PBBBPB,2,4
PBBBBB,PPBBPP,PBPPBB,3,6
BBPPPB,PPBBPP,PPPPPP,3,6
PBPPBP,BBPPBB,PBBPPP,3,6
BPPBBP,BBPP,PPPBPP,2,4
BBBBPB,PPBBPPBB,BPPPPB,4,8
PBPBBB,PPBB,PBBBBB,2,4
PBBBPB,PPBB,BBBPPP,2,4
PBBBPB,PPBB,BBBPPP,2,4
PPPBPP,PPBBPP,BPBBPB,3,6
BBPBPP,PPBB,BBPPPB,2,4
PPPPBB,BBPP,PBBBPB,2,4
PBBPPB,PPBB,BBPPPB,2,4
PBPPBB,BBPP,PBBBBB,2,4
PPBBBB,BBPP,PBPBBP,2,4
PBPBPB,PPBB,PBPBBB,2,4
PBBPPP,BBPP,PPBPBP,2,4
PBPPBP,BBPPBB,BBBBBB,3,6
BPPBPP,PPBB,PBPBPB,2,4
BPBPBP,BBPP,BPPBPB,2,4
PPBPBB,BBPP,BPBPPB,2,4
BBBPPP,BBPP,PBBPPP,2,4
PBBPPP,BBPP,PPBPPB,2,4
BPPBPB,PPBB,BPPPBP,2,4
BPPPBP,BBPP,BPBBBP,2,4
BPBBPB,PPBB,BBPBPB,2,4
BBPBPB,PPBB,BBBBBB,2,4
BBBBPB,PPBBPP,PBPPBB,3,6
PPBBBP,BBPP,BPPBBP,2,4
PBBPPB,PPBB,PBBPBP,2,4
BPBPPP,BBPP,BPPBBP,2,4
PBBPPB,PPBBPP,PPBBBP,3,6
PPBBPP,PPBB,BPPPBB,2,4
PBPPPP,PPBB,BPPBBP,2,4
PPPBBB,PPBBPP,PBBBBP,3,6
BPPPBB,BBPP,PBBPBB,2,4
PBPPPB,PPBB,PBPBPB,2,4
PBPBPP,PPBB,BBPPPB,2,4
PPPPBB,BBPP,PBBBBB,2,4
BBBBPB,PPBB,BBBBBP,2,4
BBPPPP,PPBBPP,PBPBPP,3,6
PPPBBB,PPBB,BPPBBP,2,4
BPPBBB,PPBBPP,BPPPPP,3,6
PBPBPB,PPBB,BPBPBB,2,4
PBPPPB,PPBB,BPPBPB,2,4
BPPBPB,PPBBPPBB,BBPBPB,4,8
BBPBPB,PPBB,BPPBPP,2,4
BPPBPP,PPBB,PBPBPP,2,4
BBPBPB,PPBB,PBBBBP,2,4
PBBPBB,BBPPBB,BPPPPP,3,6
BPBBPB,PPBB,PBBPPP,2,4
BPPBBP,BBPP,PBBPBP,2,4
PBPPPB,PPBB,BBBBBB,2,4
PPBPBP,BBPPBB,BPPPPP,3,6
BPPPPP,BBPP,PPPBPB,2,4
PPPBPB,PPBB,BBBPPP,2,4
PBPPPB,PPBBPP,BPPBBB,3,6
PBBPPB,PPBB,BPBBBP,2,4
BBPBBB,PPBB,BBPPBB,2,4
BBPPBB,BBPPBB,PBBPPB,3,6
BPPBBP,BBPPBB,PBBBPP,3,6
BBPBPP,PPBB,PBBPPP,2,4
PPPBBP,BBPP,PBPBBP,2,4
PPPBBP,BBPP,BPPBPB,2,4
PBPPPB,PPBB,PBPPPB,2,4
PBPPPB,PPBB,PBPBBP,2,4
PPPBPB,PPBBPPBB,BBPPBP,4,8
BBPPBB,BBPP,BPPPBP,2,4
PBPPPB,PPBB,BBPBPB,2,4
BBPPBP,BBPP,PPPPBB,2,4
BBPPPP,PPBBPP,BPBPPP,3,6
PPPPPB,PPBB,BBPPPB,2,4
PBPPBB,BBPP,PBBBPP,2,4
BBPBPP,PPBBPP,BPBBBB,3,6
PPBPBB,BBPP,PBPPBB,2,4
BBPPPB,PPBB,BBPBPB,2,4
PBPBPP,PPBB,PBBBPB,2,4
BPBBBP,BBPP,BPPPBP,2,4
BPPPBP,BBPP,PBPBPB,2,4
BPPBPP,PPBB,PBPBBP,2,4
PBBPBP,BBPP,PPPPBP,2,4
PPPPBP,BBPP,BPBBPB,2,4
PBBPBB,BBPP,PBBPBB,2,4
BBBPBP,BBPPBB,BPBPPB,3,6
PBPPPP,PPBB,BBBBBP,2,4
BBBBBB,PPBB,PBPPPB,2,4
BBPBBP,BBPPBB,PBPPBB,3,6
PPBBPB,PPBB,BPPPBB,2,4
BBBPPP,BBPP,BPBBPB,2,4
PBPBBP,BBPP,PPPBPB,2,4
PBPBBB,PPBBPP,BPPPBP,3,6
PPBBPB,PPBBPP,BPPBBB,3,6
PBBPPB,PPBB,BBPPPP,2,4
PBPPBB,BBPP,PPBBPP,2,4
BBBBPP,PPBBPP,PPBBPB,3,6
PPBBPP,PPBB,PBPPPB,2,4
BPBPPP,BBPP,PBBBBP,2,4
BBPBBB,PPBBPP,PBBPPB,3,6
PBBPPP,BBPP,BPPBPP,2,4
PPBPPB,PPBB,PBBBPP,2,4
BBPBBB,PPBB,BBPPPB,2,4
PPBPPB,PPBBPP,BPPPBP,3,6
PPPBPP,PPBB,PBPPBP,2,4
BBPPPB,PPBB,BPBBBB,2,4
BBBPBB,BBPPBBPPBB,BBPPPB,5,10
BBPPBB,BBPP,PBBBBP,2,4
BBBPBP,BBPP,BPBPPP,2,4
BPBBBP,BBPP,PPPPPB,2,4
BBBPPP,BBPP,BPBPPB,2,4
PBBBPB,PPBB,BBBPBP,2,4
BPBPPP,BBPPBB,BBPBPB,3,6
BPPBPB,PPBB,BBBBPB,2,4
BPBPPB,PPBB,BPPPPP,2,4
BBPPPP,PPBB,PBBPBP,2,4
PBPBBP,BBPP,BPBBPP,2,4
PBBBPB,PPBB,BPPBPP,2,4
BPPBPP,PPBB,PBBBPB,2,4
BBBBBB,BBPP,PPBBBP,2,4
BBBBPP,PPBB,BPBPBP,2,4
BPPPPP,BBPP,PBPBPB,2,4
PBPBBP,BBPP,PBPPBB,2,4
PPPBBP,BBPP,PPBBBP,2,4
BPBBPP,PPBB,BPBBBP,2,4
BBBPPP,BBPPBBPP,PPPPBB,4,8
BBPPPP,PPBB,BBBPPB,2,4
BPBPPP,BBPP,PBBBPP,2,4
PBBBBB,PPBB,PBPBPB,2,4
BPPBPP,PPBB,BPPPPB,2,4
PBBBPP,PPBB,PBPBBP,2,4
PBBPBP,BBPP,PBBPBB,2,4
BPPBPB,PPBB,BPBBPP,2,4
PPBBBP,BBPP,PBPPBP,2,4
BBBPBP,BBPPBB,PBPPPP,3,6
BPBBBB,BBPP,BPPPPB,2,4
BPPBPP,PPBB,BPBPBP,2,4
BBPBPP,PPBBPP,PBPPBB,3,6
PBPBPB,PPBB,BPPPPP,2,4
PBPPPP,PPBB,PBBBBB,2,4
BBPBPP,PPBB,BBBPPB,2,4
BBBPPB,PPBB,BPPPPP,2,4
PBBPBB,BBPP,PBBBPP,2,4
BPBBBB,BBPP,BPPPBP,2,4
BBBPBP,BBPP,PBBPPB,2,4
PBBPPP,BBPP,BPBPPP,2,4
PBPBPB,PPBB,BBBPBB,2,4
BBBBBP,BBPPBB,BPBBBB,3,6
BPBBPP,PPBB,BBPBBB,2,4
BBBPBB,BBPPBB,BBBPPP,3,6
BBBBPP,PPBB,BBBBPB,2,4
BBPBPB,PPBBPP,PBBPPP,3,6
BBPPPB,PPBB,BBBPBB,2,4
PBBBPP,PPBBPPBB,PBPPBB,4,8
BBBBBP,BBPPBB,BBBBPP,3,6
PPBBBB,BBPP,PPBBBB,2,4
BBBBPP,PPBB,BBBBPB,2,4
PBPPBP,BBPPBB,BBPPBP,3,6
BBPPBB,BBPP,BPPPBP,2,4
BPPBPB,PPBB,BPPPPB,2,4
PPBPBB,BBPP,BPBBBB,2,4
BBBBBP,BBPP,PBBBBB,2,4
PBPBBB,PPBB,BBBPBB,2,4
BBPBPB,PPBBPP,BPPPPP,3,6
PBPPPP,PPBBPPBB,BBBBBB,4,8
BPBBPB,PPBBPP,PBBPBB,3,6
PBBBBB,PPBB,PBBBBB,2,4
BBBBPB,PPBB,PBBBPP,2,4
BBBBPB,PPBBPP,PBPBPB,3,6
PPBPBP,BBPP,PPBBBB,2,4
BPBBPP,PPBB,BBBBBB,2,4
PBBBPB,PPBB,BBBBBB,2,4
BBPBPB,PPBBPPBB,PBPPBB,4,8
PPBBPB,PPBB,BPPBBP,2,4
BPPBBB,PPBBPPBB,BPBBPP,4,8
BBPBPP,PPBB,BPPPPB,2,4
BBPBPB,PPBB,PBBPBP,2,4
PPBPBB,BBPP,PBBPPB,2,4
BBBPPP,BBPP,BPPPPP,2,4
PPBPBP,BBPPBB,PBPBBB,3,6
BPBBBP,BBPP,PPBBPP,2,4
PPBPBB,BBPP,BPBBBB,2,4
PPBPBB,BBPP,PPBBPB,2,4
BBBBPP,PPBB,PBPPBB,2,4
PPBBPB,PPBBPPBB,BPBBPP,4,8
PPBBBP,BBPP,BPPPPP,2,4
BPBBBB,BBPP,PBBBPP,2,4
PPPPPP,BBPP,BPPPBB,2,4
PBBBPB,PPBB,BPBPBB,2,4
BPBPPB,PPBB,BPPBBP,2,4
BPPBBB,PPBBPPBBPP,PPBBBP,5,10
PPBBPP,PPBB,BPPPPB,2,4
PBBBPP,PPBB,BBBPPP,2,4
PBBBBP,BBPP,BPPBBB,2,4
PBBPPB,PPBB,BBBBBP,2,4
BBBBBB,PPBB,BPPPPB,2,4
PBBBPP,PPBB,BBBPBP,2,4
BBBPBP,BBPP,PBPBPP,2,4
PPPBPB,PPBBPP,BPBBPB,3,6
BBPPPP,PPBBPPBB,BBBBPB,4,8
BPBPBP,BBPP,PBPBBP,2,4
PBPBBP,BBPP,PBBPBP,2,4
PBBBPP,PPBB,BPBBBB,2,4
BBBPBB,BBPP,BPPPPP,2,4
BPPBPB,PPBBPPBB,PBBPPB,4,8
BPPBBP,BBPPBB,BBPBPB,3,6
PPPBPP,PPBB,BBPBPB,2,4
BBPBPB,PPBB,BBBPBB,2,4
BBBBBB,PPBBPP,BPPPBB,3,6
BBBBBP,BBPP,BPPPBP,2,4
BBPBBB,PPBBPP,BPBBPP,3,6
BBPPBP,BBPP,PBPBPB,2,4
BPBPBP,BBPP,BPBBPB,2,4
BPPPPB,PPBB,BBPPBB,2,4
PBPPBB,BBPPBB,PBBBPB,3,6
BPPPBB,BBPP,PPPBPP,2,4
PPPPBP,BBPP,BPPPBP,2,4
PPBBBB,BBPP,PPBPPB,2,4
BPBPBB,BBPP,BPBPPB,2,4
PBPPBP,BBPP,PPPPPB,2,4
PBPBBP,BBPP,BPBPBP,2,4
PBPBPP,PPBB,BBBBPP,2,4
PPBBBB,BBPP,PBPPPP,2,4
PPPPBP,BBPP,BPBBBB,2,4
BPBBBB,BBPP,PBBBPB,2,4
BBPBBP,BBPP,PBBPBB,2,4
BPBPPB,PPBBPP,PPPBPP,3,6
BPPPPB,PPBBPPBB,BPPBPB,4,8
PBBBPP,PPBB,PBBBBP,2,4
BPPPBP,BBPP,PPPPBP,2,4
PBPBBP,BBPP,PPPBBP,2,4
BBBPBB,BBPP,PPPBPP,2,4
PPPPPB,PPBBPP,PPBPBP,3,6
PPBPBP,BBPPBB,BPBPBP,3,6
PPPPBP,BBPP,PBPPPP,2,4
BBBBBB,BBPP,PBBBBB,2,4
PPPBPP,PPBB,BBBPBP,2,4
BBBBPB,PPBB,PBPBBB,2,4
BPPPPP,BBPP,PPPBPB,2,4
PBPPPB,PPBBPP,PBBBPB,3,6
BPBBBB,BBPP,PPBPPP,2,4
BPPPPB,PPBB,PBBPBP,2,4
PBBPBP,BBPP,BPPBBP,2,4
PPPPPB,PPBB,PBPPPP,2,4
BBPBPP,PPBB,BBPPBP,2,4
PPPPBB,BBPP,BPBBBP,2,4
BPBBPB,PPBB,BBBPBB,2,4
PBBBBP,BBPP,BPPBPP,2,4
PBBBPP,PPBB,BPBPPB,2,4
PBBBPB,PPBBPP,PBBBPB,3,6
PBPBPB,PPBB,BPPBPP,2,4
BPPBPP,PPBB,BPPPBP,2,4
BBBPBB,BBPPBB,PBBPPB,3,6
BPBPBP,BBPP,PBBPBB,2,4
PBBPBP,BBPPBB,BPPPPB,3,6
BPBPBP,BBPP,PPBPBP,2,4
BBPBBP,BBPP,PBBPPP,2,4
PBBPPP,BBPP,PPBBBP,2,4
PPBBPP,PPBB,BPBPBB,2,4
PPBBPB,PPBB,PBBPPB,2,4
BPPBBP,BBPPBBPP,PPBPPB,4,8
PPBPPB,PPBBPP,BPPPPB,3,6
BPPPPB,PPBB,BBPBPB,2,4
BBPBPP,PPBB,BPBBBP,2,4
BBPPPB,PPBB,PBPBPB,2,4
BBPBBB,PPBB,BBPPBB,2,4
BBPBPP,PPBB,BBBBPB,2,4
BBBBPB,PPBB,BPBPPB,2,4
PPBPBB,BBPP,BPBPBP,2,4
PBPBPB,PPBBPPBB,BBBBBP,4,8
PPPBBB,PPBBPP,PBBPBB,3,6
BBPBBB,PPBB,BPBBBP,2,4
BPPBPB,PPBB,PBPBBP,2,4
PPPPPB,PPBB,PBBPPP,2,4
BPPBBP,BBPP,PPPPPB,2,4
PBPPBP,BBPP,PPPPBB,2,4
BBPPPP,PPBB,PBBPPB,2,4
PPPBBP,BBPP,BPPBBB,2,4
PBPPPP,PPBB,BPPPBP,2,4
BPBBPB,PPBBPP,BPBPBB,3,6
BPPPPB,PPBB,BBPPBB,2,4
PBPPBB,BBPPBB,PBPPBB,3,6
PPBBPB,PPBB,BBBBBP,2,4
PPBBBB,BBPP,PPBBPP,2,4
BBBBPP,PPBBPP,PBBBBP,3,6
BPPPBB,BBPP,BPBBPB,2,4
BPBPPB,PPBBPP,PPBPPB,3,6
PPPBPB,PPBB,BBBPBP,2,4
PBBBPP,PPBB,BPBBPP,2,4
BBBPPP,BBPP,BPBBPB,2,4
PPPBPP,PPBBPP,PBPBPB,3,6
BBBBPB,PPBB,BPBBBP,2,4
BBPPPP,PPBB,BBPPPP,2,4
PPPPBB,BBPP,PPPPBP,2,4
PBBBPP,PPBB,PBBPBP,2,4
PPBPPP,BBPP,PPPBPB,2,4
BPBPBP,BBPP,PPPBBB,2,4
PBBPPB,PPBBPP,BPPBPB,3,6
BPPPPP,BBPP,PPPPBB,2,4
BBPPPP,PPBB,PBBBPP,2,4
PBPPPB,PPBB,BPBBBP,2,4
PPPPPP,PPBB,BBBBBB,2,4
BBBPBB,BBPPBB,BPPBBP,3,6
BPPBBB,PPBBPP,PPBPBB,3,6
PPPBBP,BBPP,PPBBBP,2,4
BPBBPP,PPBB,BPPPPP,2,4
BBBBBB,BBPPBB,BPPPBP,3,6
PBPBBB,PPBB,BBPPPP,2,4
BBPPBB,BBPP,PPPBBP,2,4
BPBBBB,BBPP,BPBBBB,2,4
PBBBBB,PPBBPP,BPBBPB,3,6
BPPPPP,BBPP,BPBPPP,2,4
PBPBPP,PPBB,BPBPBB,2,4
PBPBBP,BBPPBB,BBPPPP,3,6
BBPPBB,BBPP,PPPBBP,2,4
BPPPPP,BBPPBB,PBBPBP,3,6
PPBBBB,BBPPBB,BBBBPB,3,6
BPBPBP,BBPP,PPBPPP,2,4
PPBPBP,BBPP,BPBBBP,2,4
PPBPPB,PPBB,PBBBBB,2,4
PPPBBP,BBPP,PPPBPB,2,4
PBBBBB,PPBBPP,PBPPBB,3,6
BPBBBP,BBPP,PPBPPB,2,4
BPPPPB,PPBB,BBPBBB,2,4
PPBPBB,BBPP,BPPPPB,2,4
BPPBPP,PPBB,BPPBBB,2,4
PPPBBB,PPBB,BPBPBP,2,4
BBBBBP,BBPP,BPPBBP,2,4
PBPPBP,BBPP,PPBPPB,2,4
PPBPBB,BBPP,PBBBPB,2,4
BPBPBP,BBPP,BPBPPB,2,4
BBBBBP,BBPP,PPPPPP,2,4
PPPPPP,BBPPBB,PBPPPP,3,6
BBPBBB,PPBB,PBBPBP,2,4
PBPBBB,PPBB,PBBBBP,2,4
PPBPPB,PPBB,BBPBBP,2,4
BBPBBP,BBPPBB,BPBPPB,3,6
PBBBPB,PPBB,BBBPPP,2,4
